About|Про
Edith enable login|Edith дозволити логін
Email system|Система електронної пошти
Email/XMPP: USEREMAIL|Email / XMPP: USEREMAIL
Enable access via secure shell?|Увімкнути доступ через безпечну оболонку?
Enable Updates|Увімкнути оновлення
English|Англійська
English (US)|Англійська (США)
Ensure that dat files are always available|Переконайтеся, що файли dat завжди доступні
Ensure that tor is installed onto your local system:|Переконайтеся, що Tor встановлений у вашу локальну систему:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Введіть мітку (яка може бути будь-яким ім'ям, яке ви виберете для сервера), ім'я домену за замовчуванням LibreServer, або, бажано, адреса мафію цибулі, ваше ім'я користувача (яке також може бути що-небудь) та пароль mumble, який є таким же, як і для Ви спочатку встановили коробку з. Залиште номер порту без змін.
Enter a password which will be used to protect the backup|Введіть пароль, який буде використовуватися для захисту резервної копії
Enter first and second nicknames and check connect to this network on startup.|Введіть перші та другі псевдоніми та перевірте підключення до цієї мережі під час запуску.
Estonian|Естонська
Everything installed will be lost|Все встановлене буде втрачено
Extremely simple note taking|Дуже простий нотаток
Factory reset is in progress|Фабричний скидання вже завершено
Farsi|Фарсі
Favicon|Favicon
Federated image sharing|Федеральний обмін зображеннями
Federated microblogging|Федеративний мікроблог
Federated social network|Федеральна соціальна мережа
Federated wiki|Федеративна вікі
File storage and sync|Збереження та синхронізація файлів
File synchronization|Синхронізація файлів
Filipino|Філіппінський
Finnish|Фінський
First ensure that tor is installed. Within a terminal:|Спочатку переконайтеся, що встановлено тор. У межах терміналу:
For details see the diagnostics|Детальніше див. Діагностику
For details see:|Докладніше див .:
For further information see the website at https://libreserver.org|Додаткову інформацію можна знайти на веб-сайті https://libreserver.org
For the initial login use username: admin password admin|Для початкового входу в систему використовуйте ім'я користувача: admin admin admin
For the Jabber ID enter the email address from your LibreServer user settings|Для Jabber ID введіть адресу електронної пошти з налаштувань користувача LibreServer
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Для використання пароля використовуйте пароль, який ви спочатку записали або зберегли під час налаштування системи LibreServer
Forward port 80 and 443 from your internet router|Переадресовуйте порт 80 і 443 з вашого інтернет-маршрутизатора
Forward the following ports from your internet router:|Передайте наступні порти з вашого інтернет-маршрутизатора:
Forward the port 64738 from your internet router|Направити порт 64738 з вашого інтернет-маршрутизатора
Forward the port 6697 from your internet router|Передайте порт 6697 з вашого інтернет-маршрутизатора
Forward the port 8448 from your internet router|Передайте порт 8448 з вашого інтернет-маршрутизатора
FreeDNS code:|FreeDNS-код:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer розпочався в 2013 році. Спочатку він був заснований на чорному апараті Beaglebone і натхненний ідеєю FreedomBox про недорогий та простий у використанні інтернет-сервер для домашнього використання.
French|Французька мова
French (Canada)|Французька (Канада)
From the initial screen select 'settings' then 'language'.|З початкового екрана виберіть "налаштування", потім "мова".
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|У меню виберіть «Налаштувати», потім «Налаштування». Установіть прапорець "Розширені" та виберіть "Мережа". Виберіть 'Force TCP mode' та тип проксі 'Socks5'. Ім'я хоста має бути встановлено на "localhost", а порт має бути 9050.
Gaelic|Гаельська мова
Gallego|Галего
Georgian|Грузинський
German|Німецька
German (Personal)|Німецька (персональна)
Git repo management|Управління Git repo
Go Back|Повертайся
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Поверніться до початкового екрана F-droid та оновіть сховища, проведіть пальцем униз. Ви побачите це як "оновлення сховищ". Це може зайняти кілька хвилин.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Поверніться до початкового екрана програми "Бесіди", знову виберіть меню, а потім - "Керування обліковими записами". Додайте обліковий запис, вибравши піктограму з плюсом біля нього.
Gogs allow new registrations|Gogs дозволяють нові реєстрації
Greek|Грецький
Gujarati|Гуджараті
Have you written down or saved the login credentials and removed any backup drives from the system?|Ви записали або зберегли реєстраційні дані та видалили будь-які резервні накопичувачі з системи?
Hebrew|Іврит
Help|Допомога
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Допомагає доглядачам відстежувати сон, годування, зміна пелюшки і час живота
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Допомагає доглядачам відстежувати сон, годування, зміна пелюшки та животик, щоб дізнатись про них та передбачати їхні потреби, не маючи так багато вгадувань.
here|тут
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (раніше XChat) сумісний з проксі-сервером через Tor, і тому забезпечує найкращу безпеку при підключенні до вашого IRC-сервера. Це дозволить вам підключитися до адреси цибулі вашого сервера IRC.
Hindi|Хінді
How to do translations|Як зробити переклади
Hungarian|Угорська мова
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast досить інтенсивний процесор. Наприклад, на основі системи A20 вона займає близько 70% ресурсу ЦП. Це потрібно знати, якщо ви працюєте з кількома додатками
Icecast is updating|Icecast - оновлення
Icelandic|Ісландська мова
Icons on the website and user interfaces are by Rashid Mhar.|Іконки на веб-сайті та інтерфейси користувача - Рашид Мгар.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Якщо ви є користувачем Emacs, ви також можете підключитися до вашого IRC-сервера за допомогою Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Якщо ви використовуєте адресу цибулини, то слід використовувати прапорець SSL, а транспортне шифрування здійснюватиметься безпосередньо за адресою лука.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Якщо ви використовуєте звичайне ім'я домену (clearnet / ICANN), переконайтеся, що позначено пункт Використовувати SSL.
If you don't have a domain then just select Continue|Якщо у вас немає домену, просто виберіть Продовжити
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Якщо у вас немає встановленого орбота, то у спадному меню ввімкніть репозиторій проекту «Guardian Project» та встановіть його.
If you don't need a password then just leave this blank and select Update|Якщо вам не потрібен пароль, просто залиште це порожнім і виберіть «Оновити»
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Якщо у вас підключено USB, залиште його вставленим, доки не зможете підтвердити, що потік працює
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Якщо у вас виникли проблеми з доступом до адреси цибулі, вставте деякі мости Тору нижче. Див. Https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Якщо ви використовуєте мобільний додаток Element для доступу до власного сервера Matrix, ви можете значно підвищити продуктивність акумулятора, перейшовши до налаштувань та змінивши «Тайм-аут запиту синхронізації» до 30 секунд, а «Затримка між двома запитами синхронізації» до 600 секунд. Також допоможе вимкнути "Повідомляти в групових чатах", оскільки воно не дозволить отримувати сповіщення щоразу, коли відбудеться подія групового чату, після чого прокидається екран
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Якщо Ваші переклади будуть прийняті, вони пізніше з'являться в проекті "Напрямок" та будуть доступні для користування.
Import|Імпортувати
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|У браузері Tor перейдіть до адреси цибулі Icecast, після чого ви можете відтворити потік
Indonesian|Індонезійська
Initial login|Початковий логін
Initial Setup|Початкова установка
Install|Встановити
Install APPNAME now?|Встановити програму APPNAME зараз?
Install F-Droid|Встановіть F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Встановіть HexChat і налаштуйте його файл налаштування. Якщо ви використовуєте дистрибутив Debian або Arch, це можна зробити на локальній машині за допомогою:
Installation|Установка
Installing in Emacs|Встановлення в Emacs
Installing on Desktop|Встановлення на робочому столі
Invalid Password|Неправильний пароль
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC корисний для багатокористувацького чату. Класичним випадком використання є розробка програмного забезпечення, де багато інженерів, можливо, доведеться координувати свою діяльність, але це також корисно для зустрічей, партій та загальної спілкування.
It can be shown using the command:|Це може бути показано за допомогою команди:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Можна додавати джингли, які будуть відтворюватися між доріжками з випадковими інтервалами. Якщо деякі з аудіофайлів вашого USB-диска називаються jingle_something.mp3, то вони будуть використовуватися як джингли
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Рекомендується додати запис SRV для Matrix для налаштування DNS. Як ви це зробите, це залежить від динамічного DNS-провайдера та веб-інтерфейсу. На FreeDNS в налаштуваннях субдоменів на додаток до субдомену, який ви використовуєте для матричного сервера, створюється додатковий запис наступним чином:
Italian|Італійська
Japanese|Японська
Jingles|Джинглі
Kannada|Каннада
Keep changes|Збережіть зміни
Khmer|Кхмерська
Korean|Корейська
Language|Мова
Lao|Лаос
Latvian|Латвійська
Lithuanian|Литовський
Malayalam|Малаялам
Malaysian|Малайзійська
Manually upgrade now ?|Вручну оновити зараз?
Maori (Ngai Tahu)|Маорі (Нгай Таху)
Maori (Waikoto Uni)|Маорі (Waikoto Uni)
Markdown blogging|Маркетинговий блог
Matrix|Матриця
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Може бути, замість редагування в цьому користувальницькому інтерфейсі ви віддаєте перевагу використовувати свій власний редактор. Це можна зробити наступним чином:
Media broadcast|Медіа трансляція
Media storage and broadcast|ЗМІ зберігання та трансляції
Mongolian|Монгольський
Mumble|Гадюка
Music player|Музичний програвач
No|Немає
No SSH public key was provided|Немає відкритого ключа SSH
none|ніхто
Norwegian|Норвезька мова
Norwegian (Primary)|Норвезька (основна)
Not Connected|Не з'єднано
Note taking|Конспектування
Nynorsk|Нюнорськ
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Коли ви перебуваєте на екрані перекладів (див. Перші три етапи першого розділу вище), виберіть кнопку "Відправити".
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Коли ви перебуваєте на екрані перекладу (див. Перші три кроки першого розділу вище), виберіть коду мови, який відображається у верхній частині екрана (зазвичай він закінчується UTF-8). Потім ви можете побачити файл raw files.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Відкрийте програму F-droid і виберіть «Налаштування», а потім - «Репозиторії». Переконайтеся, що активовано "Офіційні релізи проекту охоронця"
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Відкрийте налаштування. Виберіть "Загальні", потім "Підключення через Tor". Це забезпечить кращий захист, завдяки чому супротивники зможуть знати, з ким він спілкується. Якщо підключення через Tor є ненадійним та спричиняє збій, зніміть прапорець "Підключити через Tor" до "Загальних налаштувань", а потім просто використовуйте своє звичайне доменне ім'я.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Відкрийте додаток Розмови і виберіть меню (три точки), прокрутіть вниз і виберіть «Експертні налаштування», потім виберіть «Підключитися до Tor»
or|або
Paragraphs can be dragged up and down to change their order, or moved between pages|Параметри можна перетягувати вгору та вниз, щоб змінити їх порядок або переміщуватися між сторінками
Password|Пароль
Password: |Пароль:
Paste your ssh public key here|Вставте ваш відкритий ключ ssh тут
Paste your translations file below|Вставте файл перекладу нижче
Peertube allow new registrations|Peertube дозволить нові реєстрації
Personal accounting|Особистий облік
Personal or small business accounting|Особистий або малий бізнес обліку
Photo album|фотоальбом
Please enter their username. This should be lower case only and with no spaces.|Введіть своє ім'я користувача. Це має бути лише в нижньому регістрі і без пробілів.
Please insert a USB drive|Будь ласка, вставте USB-диск
Please insert the USB drive to restore from now|Будь ласка, вставте USB-накопичувач, щоб відновити його зараз
Please insert your backup USB drive now|Будь ласка, вставте ваш резервний USB-накопичувач зараз
Please specify stream name, description and genre|Будь ласка, вкажіть назву потоку, опис та жанр
Please wait while your appliance is configuring|Будь ласка, зачекайте, поки пристрій налаштується
Please write down or save these credentials|Будь ласка, напишіть або збережіть ці дані
Pleroma|Плерома
Pleroma allow new registrations|Плерома дозволяє нові реєстрації
Pleroma Custom Emoji|Спеціальна емоція Pleroma
Pleroma Settings|Налаштування Pleroma
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Підключіть USB-накопичувач до свого сервера, перейдіть до налаштувань програми Icecast, додайте деякі подробиці про свій список відтворення та виберіть "Оновити"
Polish|Польський
Ports|Порти
Portuguese|Португальська
Portuguese (Brazil)|Португальська (бразилія)
Power|Потужність
Press the plus button to add a Mumble server.|Натисніть кнопку плюс, щоб додати сервер Mumble.
Proceed with backup?|Продовжити резервне копіювання?
Proceed with drive format?|Продовжити формат диска?
Proceed with reset?|Продовжити скидання?
Proceed with restore?|Продовжити відновлення
RAM used|Використовувана пам'ять
Remote access|Віддалений доступ
Remove|Видалити
Remove any backup drives now|Видаліть всі накопичувачі на жорсткому диску
Remove APPNAME now?|Видалити APPNAME зараз?
Remove user USERNAME?|Видалити користувача USERNAME?
Removing user account|Видалення облікового запису користувача
Reset is in progress|Скидання відбувається в процесі
Reset to factory|Скинути на заводський режим
RESET TO FACTORY DEFAULTS|ПОВЕРНУТИ ДО ФАБРИКИ
Restart|Перезапустити
Restore|Відновлення
Restore has failed|Відновити не вдалося
Restore in progress|Відновлюється
Restore is complete|Відновлення завершено
Restore of keys failed|Не вдалося відновити ключі
Restore of keys is complete|Відновлення ключів завершено
Restore password|Відновити пароль
Restore your keys now?|Відновити свої ключі зараз?
Restoring backup keys|Відновлення ключів резервування
Romanian|Румунська мова
RSS Reader|RSS Reader
Run HexChat.|Запустити HexChat.
Running backup of keys|Запуск резервної копії ключів
Russian|російський
Samoan|Самоанські
Search again for 'Conversations' (not the legacy version), then select 'install'|Знову шукайте "Розмови" (а не застарілу версію), а потім виберіть "Встановити"
Search for and install Plumble.|Шукайте та встановлюйте Plumble.
Secure realtime collaboration|Безпечне співробітництво в режимі реального часу
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Безпечна співпраця в режимі реального часу за допомогою документів, презентацій, креслення та голосування. Документи є ефемерними, і якщо ви не збережете їх, вони будуть видалені, коли ви закриєте веб-переглядач.
Secure Shell|Безпечна оболонка
Select|Виберіть
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Виберіть «Застосувати» та «Добре», потім у меню «Сервер» та «Підключити».
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Виберіть «Далі», щоб створити обліковий запис. Якщо після закінчення декількох хвилин робота eveything працюватиме, ви побачите зміни статусу облікового запису в "online" зеленим кольором
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Виберіть пошук (піктограма збільшувального скла) та знайдіть "Orbot" (а не застарілу версію), а потім виберіть "встановити"
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Виберіть кнопку "перекласти". Ви побачите новий екран з англійським текстом зліва та перекладений текст справа.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Виберіть вкладку «Автоматичні канали», натисніть «Додати» та введіть #libreserver як назву каналу.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Виберіть запис у вікні серверів, потім введіть іcaddress.onion/6697 або mydomainname/6697 і натисніть клавішу Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Виберіть кнопку wiki у нижній частині екрана поруч із сторінками, щоб увімкнути або вимкнути редагування.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Вибравши сервер, натиснувши на нього, він з'єднує вас із сервером, щоб ви могли спілкуватися з іншими підключеними користувачами
Serbian|Сербський
Setting up on a laptop|Налаштування на ноутбуці
Setting up on Android|Налаштування на Android
Setting up with an Android phone|Налаштування за допомогою телефону Android
Settings|Налаштування
Setup on Android|Налаштування на Android
Shortcode|Короткий код
Shutdown|Закрити
Shutting down|Закриття
Simple kanban|Простий канбан
Simple Markdown blogging|Простий маркетинговий блог
Simple notes|Прості нотатки
Slovak|Словацька мови
Slovenian|Словенська мова
Somali|Сомалі
Spanish (International)|Іспанська (міжнародна)
SSH access is disabled|SSH доступ вимкнено
SSH access is enabled|SSH доступ активований
Stream Description|Опис потоку
Streaming media|Потокове медіа
Submit|Відправити
Submitting your translations to the LibreServer project|Надсилання Ваших перекладів у проект LibreServer
Swedish|Шведський
System Monitor|Системний монітор
Systems may be temporarily unavailable in the next few minutes|Системи можуть бути тимчасово недоступними в найближчі кілька хвилин
Tagalog|Тагальська мова
Tamil|Тамільський
Thai|Тайський
Thankyou for choosing the LibreServer home internet appliance|Thankyou для того, щоб вибрати домашній інтернет пристрій LibreServer
The account will now be removed. This may take a minute or two. For details see:|Тепер обліковий запис буде видалено. Це може тривати хвилину або дві. Докладніше див .:
The classic low bandwidth chat system|Класична система чату з низькою пропускною здатністю
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|Система LibreServer не спрямована, перш за все, на компанії або установи, але якщо ви є однією компанією або фрілансер, то ви можете мати власну систему бухгалтерського обліку та зберегти дані приватними, а також зробити резервне копіювання корисним. Akaunting надає приємну веб-систему для облікових записів малого бізнесу, а також досить зручна у мобільному веб-браузері.
A new member is being added. This may take a minute or two.|Новий користувач додається. Запишіть або збережіть свій пароль.
The passwords do not match|Паролі не збігаються
There are a few things to know about using the federated wiki.|Є декілька речей, які слід знати про використання федерації вікі.
There are no apps installed. Select the plus button above to install new apps.|Немає встановлених додатків. Виберіть кнопку "Плюс" вище, щоб встановити нові програми.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Це додаток може бути корисним, якщо у вас є нові обов'язки дитини або няні. Це допомагає опікунам відстежувати сон, годування, зміна пелюшки і час живота, щоб дізнатись про нього та передбачити потреби дитини, не маючи так багато вгадувань.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Це серверна система, яка дозволяє запускати інтернет-програми, такі як блог або федеративна соціальна мережа.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Це, безумовно, тип даних, який ви, можливо, захочете зберегти в приватному порядку та від компанії, які можуть використовувати дані стеження за батьківськими програмами, щоб спробувати звинуватити вас в покупці всіх видів небажаної вами, які вам насправді не потрібні або не можуть дозволити собі .
This is your new password|Це ваш новий пароль
This may take a few minutes.|Це може зайняти кілька хвилин.
This may take a minute or two. For details see:|Це може тривати хвилину або дві. Докладніше див .:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Ця система не призначена для трансляції широких аудиторій, а верхня межа слухачів встановлюється на десять. Отже, родина та друзі називають групу.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Це зробить резервну копію ключів, які шифрують ваші резервні копії, захищаючи їх від випадкової втрати або впливу. Ви повинні тримати цей диск у безпечному місці, відокремлювати його від інших резервних копій.
This will restore the keys used to encrypt backups.|Це відновить ключі, які використовуються для шифрування резервних копій.
To add a new paragraph use the + button|Щоб додати новий абзац, натисніть кнопку +
To claim/fork a page from another server click on the flag icon|Щоб стверджувати / розблокувати сторінку з іншого сервера, натисніть піктограму прапора
To edit a paragraph double click on it|Щоб відредагувати абзац, двічі клацніть на ньому
To remove a paragraph just delete all of its text|Щоб видалити абзац, просто видаліть весь його текст
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Для того, щоб завантажити музичні файли, встановіть Syncthing, а потім копіюйте каталоги альбомів у ~ / Sync / music_upload, після чого в Koel перейдіть до налаштувань та скануйте каталог / музику
Tor Bridges|Тор Мости
Translate|Перекласти
Translations|Переклади
Turkish|Турецька мова
Type: SRV|Тип: SRV
Ukrainian|Українська
Uncheck use global user information.|Зніміть прапорець, щоб використовувати глобальну інформацію про користувачів.
Uninstall|Видалити
Update|Оновити
Updates settings changed|Налаштування оновлень змінено
Upgrade|Оновити
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Оновлення відбуваються автоматично. Вам не потрібно починати їх вручну, як це, за винятком рідких обставин
Upload|Завантажити
URL to upload from|URL для завантаження з
USB drive format has failed|Формат USB-диска не вдалося
USB drive format in progress|Формат USB-приводу в процесі роботи
USB drive format is complete|Формат USB-приводу завершено
Username: |Ім'я користувача:
Username: admin|Ім'я користувача: admin
Members|Користувачі
Using your preferred editor|Використання потрібного редактора
Video broadcast|Відео трансляція
Vietnamese|В'єтнамський
Voice chat|Голосовий чат
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|ПОПЕРЕДЖЕННЯ: ЦЕ ВИНИКНЮВАЛИ ВСЕ ЗМІСТ USB-ПРИВОДУ
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Вибачте, але вказане вами ім'я користувача не підходить. Переконайтеся, що він не містить пропусків, є нижнім регістром і не менше 3 символів у довжину.
Web publishing system|Система веб-публікацій
When done editing click on the wiki button again|Після завершення редагування натисніть кнопку wiki ще раз
When it's done it will appear on the apps screen|Коли це буде зроблено, він з'явиться на екрані додатків
When removal is finished it will disappear from apps|Коли видалення завершиться, він зникне з додатків
When you are done with translating select the 'import' button on the translations screen.|Коли ви закінчите з перекладом, виберіть кнопку "імпортувати" на екрані перекладів.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Коли ви додали свої переклади, виберіть кнопку "Оновити". Це оновить файл перекладу для вибраної мови. Зауважте, що це не змінює поточну мову інтерфейсу користувача. Якщо ви хочете зробити це, поверніться на екран мови, виберіть мову, а потім кнопку "вибрати".
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Якийсь екран ви зараз перебуваєте, ви можете повернутись до попереднього екрана, натиснувши або натиснувши логотип LibreServer угорі.
