About|Trong khoảng
For details see the diagnostics|Để biết chi tiết, hãy xem chẩn đoán
For details see:|Để biết chi tiết, hãy xem:
For further information see the website at https://libreserver.org|Để biết thêm thông tin, hãy xem trang web tại https://libreserver.org
For the initial login use username: admin password admin|Đối với tên người dùng đăng nhập ban đầu: admin admin admin
For the Jabber ID enter the email address from your LibreServer user settings|Đối với ID Jabber, hãy nhập địa chỉ email từ cài đặt người dùng LibreServer của bạn
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Đối với mật khẩu, hãy sử dụng mật khẩu mà ban đầu bạn viết xuống hoặc lưu trữ trong khi thiết lập hệ thống LibreServer
Forward port 80 and 443 from your internet router|Chuyển tiếp cổng 80 và 443 từ bộ định tuyến internet của bạn
Forward the following ports from your internet router:|Chuyển tiếp các cổng sau từ bộ định tuyến internet của bạn:
Forward the port 64738 from your internet router|Chuyển tiếp cổng 64738 từ bộ định tuyến internet của bạn
Forward the port 6697 from your internet router|Chuyển tiếp cổng 6697 từ bộ định tuyến internet của bạn
Forward the port 8448 from your internet router|Chuyển tiếp cổng 8448 từ bộ định tuyến internet của bạn
FreeDNS code:|Mã FreeDNS:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer bắt đầu vào năm 2013. Nó ban đầu được dựa trên phần cứng Beaglebone Black và lấy cảm hứng từ ý tưởng FreedomBox của một máy chủ internet rẻ tiền và đơn giản để quản lý cho ngôi nhà.
French|người Pháp
French (Canada)|Tiếng Pháp (Canada)
From the initial screen select 'settings' then 'language'.|Từ màn hình ban đầu, chọn 'settings' rồi chọn 'language'.
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Từ menu chọn 'Configure' rồi chọn 'Settings'. Chọn hộp kiểm 'Nâng cao' rồi chọn 'Mạng'. Chọn 'Buộc chế độ TCP' và loại proxy 'Socks5'. Tên máy chủ phải được đặt thành 'localhost' và cổng phải là 9050.
Gaelic|Gaelic
Gallego|Gallego
Georgian|Tiếng Gruzia
German|tiếng Đức
German (Personal)|Tiếng Đức (Cá nhân)
Git repo management|Quản lý repo Git
Go Back|Quay lại
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Quay trở lại màn hình ban đầu F-droid và cập nhật các kho lưu trữ bằng cách vuốt xuống dưới. Bạn sẽ thấy nó nói "cập nhật kho". Điều này có lẽ tốn một vài phút.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Quay lại màn hình ban đầu của ứng dụng Cuộc trò chuyện, chọn lại menu, sau đó chọn 'Quản lý tài khoản'. Thêm tài khoản bằng cách chọn biểu tượng hình người có dấu cộng bên cạnh.
Gogs allow new registrations|Gogs cho phép đăng ký mới
Greek|người Hy Lạp
Gujarati|Gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Bạn đã viết xuống hoặc lưu thông tin xác thực đăng nhập và xóa mọi ổ đĩa dự phòng khỏi hệ thống chưa?
Hebrew|Tiếng Do Thái
Help|Cứu giúp
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Giúp người chăm sóc theo dõi giấc ngủ, thức ăn, thay tã và thời gian tummy
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Giúp người chăm sóc theo dõi giấc ngủ, thức ăn, thay tã, và thời gian tummy để tìm hiểu và dự đoán nhu cầu của trẻ mà không cần phải đoán nhiều.
here|đây
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (trước đây là XChat) tương thích với proxy thông qua Tor và do đó cung cấp bảo mật tốt nhất khi kết nối với máy chủ IRC của bạn. Nó sẽ cho phép bạn kết nối đến địa chỉ hành của máy chủ IRC của bạn.
Hindi|Tiếng Hindi
How to do translations|Cách dịch
Hungarian|Tiếng Hungari
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast là khá nhiều CPU. Ví dụ trên một hệ thống dựa trên A20, nó chiếm khoảng 70% tài nguyên CPU. Đây là điều cần lưu ý nếu bạn đang chạy nhiều ứng dụng
Icecast is updating|Icecast đang cập nhật
Icelandic|Tiếng Iceland
Icons on the website and user interfaces are by Rashid Mhar.|Các biểu tượng trên trang web và giao diện người dùng là bởi Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Nếu bạn là người dùng Emacs thì bạn cũng có thể kết nối với máy chủ IRC của bạn qua Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Nếu bạn đang sử dụng địa chỉ hành tây thì sử dụng SSL nên được bỏ chọn và mã hóa truyền tải sẽ được xử lý thông qua chính địa chỉ hành tây.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Nếu bạn đang sử dụng tên miền thông thường (clearnet / ICANN) thì hãy đảm bảo rằng Use SSL được chọn.
If you don't have a domain then just select Continue|Nếu bạn không có miền thì chỉ cần chọn Tiếp tục
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Nếu bạn chưa cài đặt Orbot, hãy kích hoạt kho lưu trữ The Guardian Project từ trình đơn thả xuống và cài đặt nó.
If you don't need a password then just leave this blank and select Update|Nếu bạn không cần mật khẩu thì chỉ cần để trống và chọn Cập nhật
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Nếu bạn đã cắm USB, hãy cắm vào cho đến khi bạn có thể xác nhận rằng luồng đang hoạt động
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Nếu bạn gặp sự cố khi truy cập địa chỉ hành tây, hãy dán một số cây cầu Tor bên dưới. Xem https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Nếu bạn đang sử dụng ứng dụng di động Element để truy cập vào máy chủ Matrix, bạn có thể cải thiện đáng kể hiệu suất pin bằng cách chuyển đến cài đặt và thay đổi 'Yêu cầu đồng bộ hóa yêu cầu' thành 30 giây và 'Trì hoãn giữa hai yêu cầu đồng bộ' thành 600 giây. Đồng thời tắt 'msgs trong các cuộc trò chuyện nhóm' sẽ giúp ích, vì nó sẽ tránh nhận được thông báo bất cứ khi nào một sự kiện trò chuyện nhóm xảy ra, sau đó sẽ đánh thức màn hình
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Nếu bản dịch của bạn được chấp nhận, chúng sẽ xuất hiện trong dự án ngược dòng và có thể sử dụng được bởi bất kỳ ai.
Import|Nhập
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|Trong trình duyệt Tor, điều hướng đến địa chỉ onion cho Icecast và sau đó bạn có thể phát luồng
Indonesian|Tiếng Indonesia
Initial login|Đăng nhập ban đầu
Initial Setup|Thiết lập ban đầu
Install|cài đặt, dựng lên
Install APPNAME now?|Cài đặt APPNAME ngay bây giờ?
Install F-Droid|Cài đặt F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Cài đặt HexChat và thiết lập tệp cấu hình của nó. Giả sử rằng bạn đang chạy trên một bản phát hành dựa trên Debian hoặc Arch, điều này có thể được thực hiện trên máy cục bộ của bạn với:
Installation|Cài đặt
Installing in Emacs|Cài đặt trong Emacs
Installing on Desktop|Cài đặt trên Desktop
Invalid Password|Mật khẩu không hợp lệ
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC hữu ích cho trò chuyện nhiều người dùng. Trường hợp sử dụng cổ điển là để phát triển phần mềm, nơi nhiều kỹ sư có thể cần phối hợp các hoạt động của họ, nhưng nó cũng hữu ích cho các cuộc họp, các bên và xã hội hóa chung.
It can be shown using the command:|Nó có thể được hiển thị bằng cách sử dụng lệnh:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Có thể thêm các jingles sẽ được phát giữa các bản nhạc trong khoảng thời gian ngẫu nhiên. Nếu một số tệp âm thanh trên ổ USB của bạn có tên là jingle_something.mp3 thì chúng sẽ được sử dụng làm jingles
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Bạn nên thêm bản ghi SRV cho Ma trận vào thiết lập DNS của mình. Cách bạn thực hiện việc này sẽ tùy thuộc vào nhà cung cấp DNS động và giao diện web của họ. Trên FreeDNS trên các thiết lập tên miền phụ ngoài các tên miền phụ mà bạn đang sử dụng cho máy chủ ma trận tạo ra một mục bổ sung như sau:
Italian|người Ý
Japanese|tiếng Nhật
Jingles|Jingles
Kannada|Tiếng Kannada
Keep changes|Giữ sự thay đổi
Khmer|Người Khmer
Korean|Hàn Quốc
Language|Ngôn ngữ
Lao|Lào
Latvian|Tiếng Latvia
Lithuanian|Người Lithuania
Malayalam|Tiếng Malayalam
Malaysian|người Malaysia
Manually upgrade now ?|Nâng cấp thủ công ngay bây giờ?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown blog
Matrix|Ma trận
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Có lẽ thay vì chỉnh sửa trong giao diện người dùng này, bạn thích sử dụng trình soạn thảo của riêng bạn. Điều đó có thể được thực hiện như sau:
Media broadcast|Phát sóng phương tiện
Media storage and broadcast|Lưu trữ và phát sóng phương tiện
Mongolian|Người Mông cổ
Mumble|Mumble
Music player|Máy nghe nhạc
No|Không
No SSH public key was provided|Không có khóa công khai SSH nào được cung cấp
none|không ai
Norwegian|Người Na uy
Norwegian (Primary)|Tiếng Na Uy (Chính)
Not Connected|Không kết nối
Note taking|Ghi chép
Nynorsk|Nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Khi bạn đang ở trên màn hình dịch (xem ba bước đầu tiên trong phần đầu tiên ở trên), hãy chọn nút 'gửi'.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Khi bạn đang ở trên màn hình dịch (xem ba bước đầu tiên trong phần đầu tiên ở trên), hãy chọn mã ngôn ngữ được hiển thị ở đầu màn hình (thường là kết thúc bằng UTF-8). Sau đó, bạn có thể xem tệp bản dịch thô.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Mở ứng dụng F-droid và chọn 'Cài đặt' rồi chọn 'Kho lưu trữ'. Đảm bảo rằng 'Bản phát hành chính thức dự án người giám hộ' được bật
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Mở cài đặt. Chọn 'General', sau đó 'Connect via Tor'. Điều này sẽ cung cấp sự bảo vệ tốt hơn, làm cho nó khó khăn hơn cho các đối thủ để biết ai đang nói chuyện với ai. Nếu kết nối qua Tor không đáng tin cậy và gây ra sự cố, hãy bỏ chọn 'Kết nối qua Tor' trên 'Cài đặt chung' và sau đó chỉ sử dụng tên miền thông thường của bạn.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Mở ứng dụng Cuộc trò chuyện và chọn menu (ba chấm), cuộn xuống và chọn 'Cài đặt chuyên môn' rồi chọn 'Kết nối với Tor'
or|hoặc là
Paragraphs can be dragged up and down to change their order, or moved between pages|Các đoạn có thể được kéo lên và xuống để thay đổi thứ tự của chúng hoặc di chuyển giữa các trang
Password|Mật khẩu
Password: |Mật khẩu:
Paste your ssh public key here|Dán khóa công khai của bạn ở đây
Paste your translations file below|Dán tệp bản dịch của bạn bên dưới
Peertube allow new registrations|Peertube cho phép đăng ký mới
Personal accounting|Kế toán cá nhân
Personal or small business accounting|Kế toán cá nhân hoặc doanh nghiệp nhỏ
Photo album|album ảnh
Please enter their username. This should be lower case only and with no spaces.|Vui lòng nhập tên người dùng của họ. Đây chỉ là trường hợp thấp hơn và không có dấu cách.
Please insert a USB drive|Vui lòng lắp ổ USB
Please insert the USB drive to restore from now|Vui lòng lắp ổ USB để khôi phục từ bây giờ
Please insert your backup USB drive now|Vui lòng chèn ổ USB dự phòng của bạn ngay bây giờ
Please specify stream name, description and genre|Vui lòng chỉ định tên luồng, mô tả và thể loại
Please wait while your appliance is configuring|Vui lòng đợi trong khi công cụ của bạn đang định cấu hình
Please write down or save these credentials|Vui lòng ghi lại hoặc lưu các thông tin xác thực này
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma cho phép đăng ký mới
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Cài đặt Pleroma
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Cắm ổ USB vào máy chủ của bạn, sau đó đi tới cài đặt ứng dụng Icecast, thêm một số chi tiết về danh sách phát của bạn và chọn 'Cập nhật'
Polish|đánh bóng
Ports|Cổng
Portuguese|Người bồ đào nha
Portuguese (Brazil)|Tiếng Bồ Đào Nha (Braxin)
Power|Quyền lực
Press the plus button to add a Mumble server.|Nhấn nút dấu cộng để thêm máy chủ Mumble.
Proceed with backup?|Tiến hành sao lưu?
Proceed with drive format?|Tiếp tục với định dạng ổ đĩa?
Proceed with reset?|Tiếp tục với thiết lập lại?
Proceed with restore?|Tiếp tục khôi phục?
RAM used|RAM đã sử dụng
Remote access|Tiếp cận từ xa
Remove|Tẩy
Remove any backup drives now|Xóa mọi ổ đĩa sao lưu ngay bây giờ
Remove APPNAME now?|Xóa APPNAME ngay bây giờ?
Remove user USERNAME?|Xóa người dùng USERNAME?
Removing user account|Xóa tài khoản người dùng
Reset is in progress|Đang đặt lại
Reset to factory|Đặt lại về nhà máy
RESET TO FACTORY DEFAULTS|RESET TO FACTORY DEFAULTS
Restart|Khởi động lại
Restore|Khôi phục
Restore has failed|Khôi phục không thành công
Restore in progress|Đang khôi phục
Restore is complete|Khôi phục hoàn tất
Restore of keys failed|Khôi phục các khóa không thành công
Restore of keys is complete|Khôi phục các phím đã hoàn tất
Restore password|khôi phục mật khẩu
Restore your keys now?|Khôi phục khóa của bạn ngay bây giờ?
Restoring backup keys|Khôi phục các khóa dự phòng
Romanian|Tiếng Rumani
RSS Reader|Trình đọc RSS
Run HexChat.|Chạy HexChat.
Running backup of keys|Đang chạy sao lưu các khóa
Russian|Người Nga
Samoan|Samoan
Search again for 'Conversations' (not the legacy version), then select 'install'|Tìm kiếm lại 'Cuộc trò chuyện' (không phải phiên bản cũ), sau đó chọn 'cài đặt'
Search for and install Plumble.|Tìm kiếm và cài đặt Plumble.
Secure realtime collaboration|Hợp tác thời gian thực an toàn
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Hợp tác thời gian thực an toàn với tài liệu, bản trình bày, bản vẽ và bỏ phiếu. Tài liệu là tạm thời và trừ khi bạn lưu chúng sẽ bị xóa khi bạn đóng trình duyệt.
Secure Shell|Vỏ an toàn
Select|Lựa chọn
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Chọn 'Áp dụng' và 'Ok', sau đó trên menu 'Máy chủ' và 'Kết nối'.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Chọn 'Tiếp theo' để tạo tài khoản. Nếu eveything đang hoạt động sau một vài phút, bạn sẽ thấy trạng thái tài khoản thay đổi thành 'online' bằng màu xanh lục
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Chọn tìm kiếm (biểu tượng kính lúp) và tìm kiếm 'Orbot' (không phải phiên bản cũ), sau đó chọn 'cài đặt'
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Chọn nút 'dịch'. Bạn sẽ thấy một màn hình mới với văn bản tiếng Anh ở bên trái và văn bản được dịch ở bên phải.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Chọn tab Tự động chuyển kênh, nhấp vào Thêm và nhập #libreserver làm tên kênh.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Chọn mục nhập trong hộp máy chủ, sau đó nhập ircaddress.onion/6697 hoặc mydomainname/6697 và nhấn Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Chọn nút wiki ở cuối màn hình, bên cạnh các trang, để bật hoặc tắt chỉnh sửa.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Chọn máy chủ bằng cách nhấn vào nó sau đó kết nối bạn với máy chủ để bạn có thể trò chuyện với những người dùng được kết nối khác
Serbian|Tiếng Serbia
Setting up on a laptop|Thiết lập trên máy tính xách tay
Setting up on Android|Thiết lập trên Android
Setting up with an Android phone|Thiết lập bằng điện thoại Android
Settings|Cài đặt
Setup on Android|Thiết lập trên Android
Shortcode|Mã ngắn
Shutdown|Tắt
Shutting down|Đang Tắt
Simple kanban|Đơn giản kanban
Simple Markdown blogging|Viết blog đơn giản Markdown
Simple notes|Ghi chú đơn giản
Slovak|Tiếng Slovak
Slovenian|Tiếng Slovenia
Somali|Tiếng Somali
Spanish (International)|Tiếng Tây Ban Nha (Quốc tế)
SSH access is disabled|Quyền truy cập SSH bị tắt
SSH access is enabled|Quyền truy cập SSH được bật
Stream Description|Mô tả luồng
Streaming media|Phương tiện phát trực tuyến
Submit|Gửi đi
Submitting your translations to the LibreServer project|Gửi bản dịch của bạn cho dự án LibreServer
Swedish|Tiếng Thụy Điển
System Monitor|Giám sát hệ thống
Systems may be temporarily unavailable in the next few minutes|Hệ thống có thể tạm thời không hoạt động trong vài phút tới
Tagalog|Tiếng Tagalog
Tamil|Tiếng Tamil
Thai|Người Thái
Thankyou for choosing the LibreServer home internet appliance|Cảm ơn bạn đã chọn thiết bị internet gia đình LibreServer
The account will now be removed. This may take a minute or two. For details see:|Tài khoản sẽ bị xóa. Quá trình này có thể mất một hoặc hai phút. Để biết chi tiết, hãy xem:
The classic low bandwidth chat system|Hệ thống trò chuyện băng thông thấp cổ điển
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|Hệ thống LibreServer không chủ yếu nhắm vào các công ty hoặc tổ chức, nhưng nếu bạn là một công ty hay một freelancer thì có khả năng chạy hệ thống kế toán của riêng bạn và giữ dữ liệu riêng tư cũng như sao lưu là hữu ích. Akaunting cung cấp một hệ thống dựa trên web tốt đẹp cho các tài khoản doanh nghiệp nhỏ và cũng có thể sử dụng được trong trình duyệt web di động.
A new member is being added. This may take a minute or two.|Người dùng mới đang được thêm. Viết xuống hoặc lưu mật khẩu của họ.
The passwords do not match|Mật khẩu không trùng khớp
There are a few things to know about using the federated wiki.|Có một vài điều cần biết về việc sử dụng wiki liên kết.
There are no apps installed. Select the plus button above to install new apps.|Không có ứng dụng nào được cài đặt. Chọn nút dấu cộng ở trên để cài đặt ứng dụng mới.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Ứng dụng này có thể hữu ích nếu bạn có con mới hoặc nhiệm vụ giữ trẻ. Nó giúp người chăm sóc theo dõi giấc ngủ, thức ăn, thay tã, và thời gian để tìm hiểu và dự đoán nhu cầu của bé mà không cần phải đoán nhiều.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Đây là một hệ thống máy chủ cho phép bạn chạy các ứng dụng internet như blog hoặc mạng xã hội được liên kết.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Đây chắc chắn là loại dữ liệu mà bạn có thể muốn giữ riêng tư và tránh xa các công ty có thể sử dụng giám sát dữ liệu ứng dụng nuôi dạy con để cố gắng lừa bạn mua tất cả các loại rác mà bạn không thực sự cần hoặc không có khả năng .
This is your new password|Đây là mật khẩu mới của bạn
This may take a few minutes.|Có thể sẽ mất vài phút.
