About|Over
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown-bloggen
Matrix|Matrix
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Misschien in plaats van het bewerken binnen deze gebruikersinterface, geeft u er de voorkeur aan uw eigen editor te gebruiken. Dat kan als volgt worden gedaan:
Media broadcast|Media-uitzending
Media storage and broadcast|Media opslag en uitzending
Mongolian|Mongools
Mumble|Mompelen
Music player|Muziekspeler
No|Nee
No SSH public key was provided|Er is geen openbare SSH-sleutel verstrekt
none|geen
Norwegian|Noors
Norwegian (Primary)|Noors (primair)
Not Connected|Niet verbonden
Note taking|Notities maken
Nynorsk|nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Als u eenmaal op het scherm Vertalingen bent (zie de eerste drie stappen in het eerste gedeelte hierboven), selecteert u de knop 'Verzenden'.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Zodra u zich in het scherm Vertalingen bevindt (zie de eerste drie stappen in het eerste gedeelte hierboven), selecteert u de taalcode die bovenaan het scherm wordt weergegeven (meestal eindigt deze met UTF-8). U kunt dan het onbewerkte vertalingenbestand bekijken.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Open de F-droid app en selecteer 'Instellingen' en vervolgens 'Repositories'. Zorg ervoor dat 'Guardian Project Official Releases' is ingeschakeld
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Open de instellingen. Selecteer 'Algemeen' en vervolgens 'Verbinden via Tor'. Dit biedt betere bescherming, waardoor het moeilijker wordt voor tegenstanders om te weten wie met wie praat. Als het verbinden via Tor onbetrouwbaar is en crashes veroorzaakt, schakel dan 'Verbinden via Tor' in de 'Algemene instellingen' uit en gebruik dan gewoon je gewone domeinnaam.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Open de app Conversations en selecteer het menu (drie stippen), scrol omlaag en selecteer 'Expertinstellingen' en selecteer 'Connect to Tor'
or|of
Paragraphs can be dragged up and down to change their order, or moved between pages|Alinea's kunnen op en neer worden gesleept om hun volgorde te wijzigen of tussen pagina's te worden verplaatst
Password|Wachtwoord
Password: |Wachtwoord:
Paste your ssh public key here|Plak hier je openbare SSH-sleutel
Paste your translations file below|Plak hieronder je vertalingenbestand
Peertube allow new registrations|Peertube staat nieuwe registraties toe
Personal accounting|Persoonlijke boekhouding
Personal or small business accounting|Persoonlijke of kleine zakelijke boekhouding
Photo album|fotoalbum
Please enter their username. This should be lower case only and with no spaces.|Vul alstublieft hun gebruikersnaam in. Dit moet alleen in kleine letters zijn en zonder spaties.
Please insert a USB drive|Voer een USB-stick in
Please insert the USB drive to restore from now|Voer de USB-stick in om vanaf nu te herstellen
Please insert your backup USB drive now|Voer nu uw back-up USB-drive in
Please specify stream name, description and genre|Geef stroomnaam, beschrijving en genre op
Please wait while your appliance is configuring|Even geduld terwijl uw apparaat aan het configureren is
Please write down or save these credentials|Schrijf of bewaar deze inloggegevens
Pleroma|pleroma
Pleroma allow new registrations|Pleroma staat nieuwe registraties toe
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Pleroma-instellingen
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Sluit het USB-station aan op uw server, ga vervolgens naar de Icecast-app-instellingen, voeg wat details toe over uw afspeellijst en selecteer 'Update'
Polish|Pools
Ports|ports
Portuguese|Portugees
Portuguese (Brazil)|Portugees (Brazilië)
Power|macht
Press the plus button to add a Mumble server.|Druk op de plusknop om een ​​Mumble-server toe te voegen.
Proceed with backup?|Doorgaan met back-up?
Proceed with drive format?|Doorgaan met drive-indeling?
Proceed with reset?|Doorgaan met reset?
Proceed with restore?|Doorgaan met herstellen?
RAM used|RAM gebruikt
Remote access|Toegang op afstand
Remove|Verwijderen
Remove any backup drives now|Verwijder nu alle back-upschijven
Remove APPNAME now?|APPNAME nu verwijderen?
Remove user USERNAME?|Gebruiker USERNAME verwijderen?
Removing user account|Verwijderen gebruikersaccount
Reset is in progress|Reset is bezig
Reset to factory|Reset naar fabriek
RESET TO FACTORY DEFAULTS|RESET NAAR FABRIEKSINSTELLINGEN
Restart|Herstarten
Restore|Herstellen
Restore has failed|Herstellen is mislukt
Restore in progress|Bezig met herstellen
Restore is complete|Herstellen is voltooid
Restore of keys failed|Het herstellen van de sleutels is mislukt
Restore of keys is complete|Het terugzetten van de sleutels is voltooid
Restore password|Wachtwoord herstellen
Restore your keys now?|Uw sleutels nu herstellen?
Restoring backup keys|Back-upsleutels herstellen
Romanian|Roemeense
RSS Reader|RSS-lezer
Run HexChat.|Run HexChat.
Running backup of keys|Back-up van sleutels uitvoeren
Russian|Russisch
Samoan|Samoaanse
Search again for 'Conversations' (not the legacy version), then select 'install'|Zoek opnieuw naar 'Conversaties' (niet de oude versie) en selecteer 'Installeren'
Search for and install Plumble.|Zoek en installeer Plumble.
Secure realtime collaboration|Veilige samenwerking in realtime
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Veilige realtime-samenwerking met documenten, presentaties, tekenen en stemmen. Documenten zijn kortstondig en tenzij u ze opslaat, worden ze verwijderd wanneer u de browser sluit.
Secure Shell|Beveiligde Shell
Select|kiezen
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Selecteer 'Toepassen' en 'OK', vervolgens in het menu 'Server' en 'Verbinden'.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Selecteer 'Volgende' om het account te maken. Als alles na een paar minuten werkt, ziet u dat de status van de account in groen verandert in 'online'
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Selecteer zoeken (vergrootglaspictogram) en zoek naar 'Orbot' (niet de oude versie) en selecteer vervolgens 'installeren'
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Selecteer de knop 'vertalen'. U ziet een nieuw scherm met Engelse tekst aan de linkerkant en vertaalde tekst aan de rechterkant.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Selecteer het Autojoin-kanalen-tabblad, klik op Toevoegen en voer #libreserver in als de kanaalnaam.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Selecteer het item in het vak servers, voer dan ircadres.onion/6697 of mijndomeinnaam / 6697 in en druk op Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Selecteer de wikiknop onderaan het scherm, naast pagina's, om bewerken in of uit te schakelen.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Als u de server selecteert door erop te drukken, wordt u verbonden met de server zodat u kunt chatten met andere verbonden gebruikers
Serbian|Servisch
Setting up on a laptop|Opzetten op een laptop
Setting up on Android|Instellen op Android
Setting up with an Android phone|Instellen met een Android-telefoon
Settings|instellingen
Setup on Android|Setup op Android
Shortcode|Korte code
Shutdown|Afsluiten
Shutting down|Afsluiten
Simple kanban|Eenvoudige kanban
Simple Markdown blogging|Eenvoudig bloggen met Markdown
Simple notes|Eenvoudige notities
Slovak|Slowaaks
Slovenian|Sloveens
Somali|Somalisch
Spanish (International)|Spaans (internationaal)
SSH access is disabled|SSH-toegang is uitgeschakeld
SSH access is enabled|SSH-toegang is ingeschakeld
Stream Description|Stream beschrijving
Streaming media|Streaming media
Submit|voorleggen
Submitting your translations to the LibreServer project|Uw vertalingen indienen bij het LibreServer-project
Swedish|Zweeds
System Monitor|Systeemmonitor
Systems may be temporarily unavailable in the next few minutes|Systemen zijn mogelijk tijdelijk niet beschikbaar in de komende minuten
Tagalog|Tagalog
Tamil|Tamil
Thai|Thais
Thankyou for choosing the LibreServer home internet appliance|Bedankt voor het kiezen van het LibreServer-internetapparaat voor thuis
The account will now be removed. This may take a minute or two. For details see:|Het account wordt nu verwijderd. Dit kan een minuut of twee duren. Voor details zie:
The classic low bandwidth chat system|Het klassieke chatsysteem met lage bandbreedte
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|Het LibreServer-systeem is niet primair gericht op bedrijven of instellingen, maar als je een eenmansbedrijf of freelancer bent, dan is het handig om de mogelijkheid te hebben om je eigen boekhoudsysteem te beheren en de gegevens privé te houden en ook een back-up te maken. Akaunting biedt een mooi webgebaseerd systeem voor kleine zakelijke accounts en is ook redelijk bruikbaar in een mobiele webbrowser.
A new member is being added. This may take a minute or two.|De nieuwe gebruiker wordt toegevoegd. Noteer of bewaar hun wachtwoord.
The passwords do not match|de wachtwoorden komen niet overeen
There are a few things to know about using the federated wiki.|Er zijn een paar dingen om te weten over het gebruik van de gefedereerde wiki.
There are no apps installed. Select the plus button above to install new apps.|Er zijn geen apps geïnstalleerd. Selecteer de plusknop hierboven om nieuwe apps te installeren.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Deze app kan handig zijn als je een nieuw kind of een oppas hebt. Het helpt zorgverleners slaap, voedingen, luierwisselingen en buiktijd bij te houden om over de behoeften van baby's te leren en te voorspellen zonder dat ze zoveel giswerk hoeven te doen.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Dit is een serversysteem waarmee u internet-apps kunt uitvoeren, zoals een blog of een federatief sociaal netwerk.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Dit is zeker het soort gegevens dat je misschien privé wilt houden en weg van bedrijven die anders toezicht op app-gegevens van ouders zouden kunnen gebruiken om je schuldig te verklaren door het kopen van allerlei rommel die je niet echt nodig hebt of niet kunt betalen .
This is your new password|Dit is je nieuwe wachtwoord
This may take a few minutes.|Dit kan een paar minuten duren.
This may take a minute or two. For details see:|Dit kan een minuut of twee duren. Voor details zie:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Dit systeem is niet bedoeld om uit te zenden naar een groot publiek en de bovenlimiet van luisteraars is ingesteld op tien. Dus een groep met familie en vrienden.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Hiermee maakt u een back-up van de sleutels die uw back-ups coderen en beschermt deze tegen onopzettelijk verlies of blootstelling. Bewaar deze schijf op een veilige plaats, los van andere back-ups.
This will restore the keys used to encrypt backups.|Hiermee worden de sleutels hersteld die worden gebruikt voor het coderen van back-ups.
To add a new paragraph use the + button|Gebruik de knop + om een ​​nieuwe alinea toe te voegen
To claim/fork a page from another server click on the flag icon|Om een ​​pagina van een andere server te claimen / vorkten, klikt u op het vlagpictogram
To edit a paragraph double click on it|Om een ​​alinea te bewerken, dubbelklik erop
To remove a paragraph just delete all of its text|Als u een alinea wilt verwijderen, verwijdert u gewoon alle tekst
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Als u muziekbestanden wilt uploaden, installeert u Syncthing en kopieert u vervolgens albumdirectory's naar ~ / Sync / music_upload. Ga vervolgens naar Koel, ga naar instellingen en scan de map / muziek
Tor Bridges|Tor Bridges
Translate|Vertalen
Translations|vertaalwerk
Turkish|Turks
Type: SRV|Type: SRV
Ukrainian|Oekraïens
Uncheck use global user information.|Verwijder het vinkje bij het gebruik van wereldwijde gebruikersinformatie.
Uninstall|Uninstall
Update|Bijwerken
Updates settings changed|Updates instellingen veranderd
Upgrade|Upgrade
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Upgrades gebeuren automatisch. U hoeft ze niet handmatig te starten, behalve in zeldzame gevallen
Upload|Uploaden
URL to upload from|URL om van te uploaden
USB drive format has failed|USB-station is mislukt
USB drive format in progress|USB-schijfindeling aan de gang
USB drive format is complete|Het USB-station is voltooid
Username: |Gebruikersnaam:
Username: admin|Gebruikersnaam: admin
Members|gebruikers
Using your preferred editor|Gebruik je gewenste editor
Video broadcast|Video-uitzending
Vietnamese|Vietnamees
Voice chat|Voicechat
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|WAARSCHUWING: DIT ZAL ALLE INHOUD VAN DE USB-SCHIJF WISSELEN
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Het spijt ons, maar de gebruikersnaam die u heeft opgegeven, is niet geschikt. Controleer of het geen spaties bevat, is kleine letters en minimaal 3 tekens lang.
Web publishing system|Web publishing-systeem
When done editing click on the wiki button again|Als je klaar bent met bewerken, klik je opnieuw op de wikiknop
