About|Handla om
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Det är möjligt att lägga till jinglar som spelas mellan spår i slumpmässiga intervaller. Om några av ljudfilerna på din USB-enhet heter jingle_something.mp3 så kommer de att användas som jingles
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Det rekommenderas att du lägger till en SRV-post för Matrix till din DNS-inställning. Hur du gör detta beror på din dynamiska DNS-leverantör och deras webbgränssnitt. På FreeDNS i underdomän inställningarna utöver underdomänen som du använder för matrisservern skapar du en extra post enligt följande:
Italian|italienska
Japanese|japansk
Jingles|Jingles
Kannada|kannada
Keep changes|Håll ändringar
Khmer|Khmer
Korean|korean
Language|Språk
Lao|lao
Latvian|lettisk
Lithuanian|litauisk
Malayalam|malayalam
Malaysian|Malaysian
Manually upgrade now ?|Uppgradera manuellt nu?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown blogging
Matrix|Matris
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Kanske istället för att redigera inom detta användargränssnitt föredrar du att använda din egen redaktör. Det kan göras enligt följande:
Media broadcast|Mediasändning
Media storage and broadcast|Media lagring och sändning
Mongolian|mongoliska
Mumble|Mumla
Music player|Musikspelare
No|Nej
No SSH public key was provided|Ingen SSH-nyckel publicerades
none|ingen
Norwegian|norsk
Norwegian (Primary)|Norska (primär)
Not Connected|Ej ansluten
Note taking|Anteckna
Nynorsk|nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|När du är på översättningsskärmen (se de tre första stegen i det första avsnittet ovan) välj knappen "Skicka".
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|När du är på översättningsskärmen (se de tre första stegen i det första avsnittet ovan) välj språkkoden som visas längst upp på skärmen (vanligtvis slutar den med UTF-8). Då kan du se den råa översättningsfilen.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Öppna appen F-droid och välj "Inställningar" och sedan "Repositories". Se till att "Guardian Project Official Releases" är aktiverat
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Öppna inställningarna. Välj 'Allmänt' och sedan 'Anslut via Tor'. Detta kommer att ge bättre skydd, vilket gör det svårare för motståndare att veta vem som pratar med vem. Om anslutning via Tor är opålitlig och orsakar kraschar, avmarkera sedan 'Connect via Tor' på 'Allmänna inställningar' och använd bara ditt vanliga domännamn.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Öppna appen Konversationer och välj menyn (tre punkter), rulla ner och välj "Expertinställningar" och välj sedan "Anslut till Tor"
or|eller
Paragraphs can be dragged up and down to change their order, or moved between pages|Punkter kan släpas upp och ner för att ändra deras ordning, eller flyttas mellan sidor
Password|Lösenord
Password: |Lösenord:
Paste your ssh public key here|Klistra in din ssh-nyckel här
Paste your translations file below|Klistra in din översättningsfil nedan
Peertube allow new registrations|Peertube tillåter nya registreringar
Personal accounting|Personlig redovisning
Personal or small business accounting|Personlig eller mindre företagsledning
Photo album|fotoalbum
Please enter their username. This should be lower case only and with no spaces.|Vänligen ange användarnamnet. Detta bör endast vara små bokstäver och utan mellanslag.
Please insert a USB drive|Vänligen sätt in en USB-enhet
Please insert the USB drive to restore from now|Vänligen sätt in USB-enheten för att återställa från och med nu
Please insert your backup USB drive now|Vänligen sätt in din backup USB-enhet nu
Please specify stream name, description and genre|Var god ange strömnamn, beskrivning och genre
Please wait while your appliance is configuring|Vänta medan din apparat konfigurerar
Please write down or save these credentials|Vänligen skriv ner eller spara dessa uppgifter
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma tillåter nya registreringar
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Pleroma Inställningar
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Anslut USB-enheten till din server, gå till Icecast-appinställningarna, lägg till några detaljer om din spellista och välj "Uppdatera"
Polish|putsa
Ports|Hamnar
Portuguese|portugisiska
Portuguese (Brazil)|Portugisiska (Brasilien)
Power|Kraft
Press the plus button to add a Mumble server.|Tryck på plus-knappen för att lägga till en Mumble-server.
Proceed with backup?|Fortsätt med säkerhetskopiering?
Proceed with drive format?|Fortsätt med drivformat?
Proceed with reset?|Fortsätt med återställning?
Proceed with restore?|Fortsätt med återställning?
RAM used|RAM används
Remote access|Fjärranslutning
Remove|Avlägsna
Remove any backup drives now|Ta bort eventuella backup-enheter nu
Remove APPNAME now?|Ta bort APPNAME nu?
Remove user USERNAME?|Ta bort användarnamn?
Removing user account|Ta bort användarkonto
Reset is in progress|Återställning pågår
Reset to factory|Återställ till fabriken
RESET TO FACTORY DEFAULTS|ÅTERSTÄLLA PÅ FABRIKSVÅRDEN
Restart|Omstart
Restore|Återställa
Restore has failed|Återställ har misslyckats
Restore in progress|Återställ pågår
Restore is complete|Återställningen är klar
Restore of keys failed|Återställning av nycklar misslyckades
Restore of keys is complete|Återställning av nycklar är komplett
Restore password|Återställ lösenord
Restore your keys now?|Återställ dina nycklar nu?
Restoring backup keys|Återställ säkerhetskopieringsnycklar
Romanian|rumänska
RSS Reader|RSS-läsare
Run HexChat.|Kör HexChat.
Running backup of keys|Kör säkerhetskopiering av nycklar
Russian|ryska
Samoan|samoanska
Search again for 'Conversations' (not the legacy version), then select 'install'|Sök igen efter "Konversationer" (inte den äldre versionen), välj sedan "installera"
Search for and install Plumble.|Sök efter och installera Plumble.
Secure realtime collaboration|Säkert realtids samarbete
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Säkert realtidssamarbete med dokument, presentationer, ritning och omröstning. Dokument är efemere och om du inte sparar dem kommer du att radera när du stänger webbläsaren.
Secure Shell|Säkert skal
Select|Välj
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Välj "Apply" och "Ok", sedan på menyn "Server" och "Connect".
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Välj "Nästa" för att skapa kontot. Om eveything fungerar efter ett par minuter bör du se statusändringen för kontot till "online" i grönt
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Välj sökning (förstoringsglasikonen) och sök efter "Orbot" (inte den äldre versionen) och välj sedan "installera"
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Välj "översätt" -knappen. Du kommer att se en ny skärm med engelsk text till vänster och översatt text till höger.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Välj fliken Autojoin Channels, klicka på Add och skriv #libreserver som kanalnamn.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Markera posten i rutan servrar och ange sedan ircaddress.onion/6697 eller mydomainname/6697 och tryck på Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Välj wiki-knappen längst ner på skärmen bredvid sidor, för att aktivera eller inaktivera redigering.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Om du väljer servern genom att trycka på den kopplar du dig till servern så att du kan chatta med andra anslutna användare
Serbian|serb
Setting up on a laptop|Ställa in på en bärbar dator
Setting up on Android|Konfigurera på Android
Setting up with an Android phone|Konfigurera med en Android-telefon
Settings|inställningar
Setup on Android|Inställningar på Android
Shortcode|kortkod
Shutdown|Stänga av
Shutting down|Stänger ner
Simple kanban|Enkel kanban
Simple Markdown blogging|Enkel Markdown bloggar
Simple notes|Enkla anteckningar
Slovak|slovakiska
Slovenian|slovenska
Somali|Somali
Spanish (International)|Spanska (internationella)
SSH access is disabled|SSH-åtkomst är inaktiverad
SSH access is enabled|SSH-åtkomst är aktiverad
Stream Description|Strömbeskrivning
Streaming media|Strömmande media
Submit|Lämna
Submitting your translations to the LibreServer project|Skicka in dina översättningar till LibreServer-projektet
Swedish|svenska
System Monitor|Systemmonitor
Systems may be temporarily unavailable in the next few minutes|System kan vara tillfälligt otillgängliga de närmaste några minuterna
Tagalog|Tagalog
Tamil|tamil
Thai|Thai
Thankyou for choosing the LibreServer home internet appliance|Tack för att du har valt LibreServer Home Internet Appliance
The account will now be removed. This may take a minute or two. For details see:|Kontot kommer nu att tas bort. Det kan ta en minut eller två. För detaljer se:
The classic low bandwidth chat system|Det klassiska lågbandbreddssystemet
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|LibreServer-systemet är inte främst riktat till företag eller institutioner, men om du är ett företagsföretag eller frilansare så har du förmågan att driva ditt eget bokföringssystem och hålla datan privat och också säkerhetskopierad. Akaunting tillhandahåller ett fint webbaserat system för småföretagskonton, och är också ganska användbart inom en mobil webbläsare.
A new member is being added. This may take a minute or two.|Den nya användaren läggs till. Skriv ner eller spara deras lösenord.
The passwords do not match|Lösenorden stämmer inte överens
There are a few things to know about using the federated wiki.|Det finns några saker att veta om att använda den federerade wikien.
There are no apps installed. Select the plus button above to install new apps.|Det finns inga appar installerade. Välj plusknappen ovan för att installera nya appar.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Den här appen kan vara användbar om du har ett nytt barn eller barnpassning. Det hjälper vårdgivare att spåra sömn, matningar, blöjaförändringar och magetid för att lära sig och förutse barnets behov utan lika mycket gissningsarbete.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Detta är ett servernsystem som gör att du kan köra internetapps såsom en blogg eller ett federerat socialt nätverk.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Det här är verkligen den typ av data som du kanske vill behålla privat och bort från företag som annars skulle kunna använda övervakning av föräldraskapsappdata för att försöka skulda dig för att köpa alla typer av skräp som du inte verkligen behöver eller inte har råd med .
This is your new password|Detta är ditt nya lösenord
This may take a few minutes.|Det kan ta några minuter.
This may take a minute or two. For details see:|Det kan ta en minut eller två. För detaljer se:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Detta system är inte avsett att sändas till stor publik och den övre gränsen för lyssnare är satt till tio. Så en familj och vänner skriver grupp.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Detta gör en säkerhetskopia av nycklarna som krypterar dina säkerhetskopior, skyddar dem mot oavsiktlig förlust eller exponering. Du bör hålla den här enheten på ett säkert ställe, åtskilt från andra säkerhetskopior.
This will restore the keys used to encrypt backups.|Detta kommer att återställa de nycklar som används för att kryptera säkerhetskopior.
To add a new paragraph use the + button|För att lägga till en ny paragraf, använd + knappen
To claim/fork a page from another server click on the flag icon|Att hävda / gaffla en sida från en annan server klickar på flaggikonen
To edit a paragraph double click on it|För att redigera ett stycke dubbelklicka på det
To remove a paragraph just delete all of its text|För att ta bort ett stycke, radera bara all text
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|För att ladda upp musikfiler installera Syncthing och kopiera albumkataloger till ~ / Sync / music_upload, och sedan i Koel gå till inställningar och skanna katalog / musik
Tor Bridges|Tor Bridges
Translate|Översätt
Translations|översättningar
Turkish|turkiska
Type: SRV|Typ: SRV
Ukrainian|ukrainare
Uncheck use global user information.|Avmarkera använd globala användaruppgifter.
Uninstall|Uninstall
Update|Uppdatering
Updates settings changed|Inställningarna för uppdateringar har ändrats
Upgrade|uppgradering
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Uppgraderingar sker automatiskt. Du behöver inte starta dem manuellt så här, utom i sällsynta fall
Upload|Ladda upp
URL to upload from|URL för att ladda upp från
USB drive format has failed|USB-enhetens format har misslyckats
USB drive format in progress|USB-drivenhet pågår
USB drive format is complete|USB-enhetens format är komplett
Username: |Användarnamn:
Username: admin|Användarnamn: admin
Members|användare
Using your preferred editor|Använd din föredragna redigerare
Video broadcast|Videosändning
Vietnamese|vietnames
Voice chat|Röstchatt
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|VARNING: DETTA SKRÄVAR ALLT INNEHÅLL PÅ USB-DIN
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Vi är ledsna, men användarnamnet du gav är inte lämpligt. Kontrollera att det inte innehåller mellanslag, små bokstäver och minst 3 tecken i längd.
Web publishing system|Webpubliceringssystem
When done editing click on the wiki button again|När du har gjort redigering klickar du på wiki-knappen igen
When it's done it will appear on the apps screen|När det är klart kommer det att visas på programskärmen
When removal is finished it will disappear from apps|När borttagningen är klar kommer den att försvinna från appar
When you are done with translating select the 'import' button on the translations screen.|När du är färdig med att översätta väljer du "Importera" -knappen på översättningsskärmen.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|När du har lagt till dina översättningar väljer du "uppdatera" -knappen. Detta uppdaterar översättningsfilen för det valda språket. Observera att detta inte ändrar det aktuella språket inom användargränssnittet. Om du vill göra det går du tillbaka till språkskärmen, välj ett språk och sedan på knappen "välj".
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Vilken skärm du än är på, kan du komma tillbaka till föregående skärm genom att klicka eller trycka på LibreServer-logotypen högst upp.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Med Icecast kan du köra din egen internetradio från en lökadress. Var alltid försiktig med upphovsrättsfrågor och helst hålla fast vid Creative Commons musik eller musikfiler som du äger.
Within the network list click, Add and enter your domain name then click Edit.|Klicka på Lägg till och skriv in ditt domännamn i nätverkslistan och klicka sedan på Redigera.
Within the Password field enter the password which you originally set up the box with.|Inom fältet Lösenord anger du det lösenord som du ursprungligen ställde in rutan med.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|Inom mjukvarucentret söka efter "mumble" och installera klienten och kör sedan den. Hoppa över ljudinstallationsguiden. Avbryt det ursprungliga anslutningsfönstret.
Write it down or save it|Skriv ner den eller spara den
XMPP|XMPP
xmpp based chat system|xmpp baserat chatt system
Yes|Ja
You can edit the translated text on the right side of the screen.|Du kan redigera den översatta texten på höger sida av skärmen.
You can get to this system remotely via:|Du kan komma till detta system på distans via:
