About|Σχετικά με
Edith enable login|Η Edith ενεργοποιεί τη σύνδεση
Email system|Σύστημα ηλεκτρονικού ταχυδρομείου
Email/XMPP: USEREMAIL|Email / XMPP: USEREMAIL
Enable access via secure shell?|Ενεργοποιήστε την πρόσβαση μέσω ασφαλούς κελύφους;
Enable Updates|Ενεργοποίηση ενημερώσεων
English|Αγγλικά
English (US)|Αγγλικά (Η.Π.Α.)
Ensure that dat files are always available|Βεβαιωθείτε ότι τα αρχεία δεδομένων είναι πάντα διαθέσιμα
Ensure that tor is installed onto your local system:|Βεβαιωθείτε ότι το tor είναι εγκατεστημένο στο τοπικό σας σύστημα:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Καταχωρίστε μια ετικέτα (το οποίο μπορεί να είναι οποιοδήποτε όνομα που επιλέγετε για το διακομιστή), το προεπιλεγμένο όνομα τομέα της διεύθυνσης LibreServer ή, κατά προτίμηση, το όνομα του μούμπιου κρεμμυδιού, το όνομα χρήστη σας (το οποίο μπορεί επίσης να είναι οτιδήποτε) και τον κωδικό πρόσβασης που είναι ο ίδιος με αυτόν Ρυθμίσατε αρχικά το κουτί με. Αφήστε τον αριθμό θύρας αμετάβλητο.
Enter a password which will be used to protect the backup|Πληκτρολογήστε έναν κωδικό πρόσβασης που θα χρησιμοποιηθεί για την προστασία του αντιγράφου ασφαλείας
Enter first and second nicknames and check connect to this network on startup.|Εισαγάγετε το πρώτο και το δεύτερο ψευδώνυμο και ελέγξτε τη σύνδεση με αυτό το δίκτυο κατά την εκκίνηση.
Estonian|Εσθονικά
Everything installed will be lost|Όλα τα εγκατεστημένα θα χαθούν
Extremely simple note taking|Εξαιρετικά απλή λήψη σημειώσεων
Factory reset is in progress|Η εργοστασιακή επαναφορά βρίσκεται σε εξέλιξη
Farsi|Φάρσι
Favicon|Favicon
Federated image sharing|Ομοσπονδιακή κοινή χρήση εικόνων
Federated microblogging|Ομοσπονδιακή microblogging
Federated social network|Ομοσπονδιακό κοινωνικό δίκτυο
Federated wiki|Ομοσπονδιακό wiki
File storage and sync|Αποθήκευση αρχείων και συγχρονισμός
File synchronization|Συγχρονισμός αρχείων
Filipino|Φιλιππίνος
Finnish|φινλανδικός
First ensure that tor is installed. Within a terminal:|Κατ 'αρχάς βεβαιωθείτε ότι έχει εγκατασταθεί ο κορμός. Μέσα σε ένα τερματικό:
For details see the diagnostics|Για λεπτομέρειες, δείτε τα διαγνωστικά
For details see:|Για λεπτομέρειες δείτε:
For further information see the website at https://libreserver.org|Για περισσότερες πληροφορίες, ανατρέξτε στον ιστότοπο στη διεύθυνση https://libreserver.org
For the initial login use username: admin password admin|Για την αρχική σύνδεση χρησιμοποιήστε το όνομα χρήστη: admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|Για το αναγνωριστικό Jabber εισάγετε τη διεύθυνση ηλεκτρονικού ταχυδρομείου από τις ρυθμίσεις χρήστη LibreServer
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Για τον κωδικό πρόσβασης, χρησιμοποιήστε τον κωδικό πρόσβασης που καταγράφηκε αρχικά ή αποθηκεύτηκε κατά τη διάρκεια της εγκατάστασης του συστήματος LibreServer
Forward port 80 and 443 from your internet router|Προώθηση 80 και 443 από τον δρομολογητή σας στο Διαδίκτυο
Forward the following ports from your internet router:|Προωθήστε τις ακόλουθες θύρες από τον δρομολογητή σας στο Διαδίκτυο:
Forward the port 64738 from your internet router|Προωθήστε τη θύρα 64738 από τον δρομολογητή σας στο διαδίκτυο
Forward the port 6697 from your internet router|Προωθήστε τη θύρα 6697 από τον δρομολογητή σας στο διαδίκτυο
Forward the port 8448 from your internet router|Προωθήστε τη θύρα 8448 από τον δρομολογητή σας στο διαδίκτυο
FreeDNS code:|Κωδικός FreeDNS:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|Το LibreServer ξεκίνησε το 2013. Αρχικά βασίστηκε στο υλικό Black Beaglebone και εμπνεύστηκε από την ιδέα του FreedomBox για ένα φθηνό και απλό στη διαχείριση διαδικτυακό διακομιστή για το σπίτι.
French|γαλλική γλώσσα
French (Canada)|Γαλλικά (Καναδάς)
From the initial screen select 'settings' then 'language'.|Από την αρχική οθόνη επιλέξτε 'ρυθμίσεις' και στη συνέχεια 'γλώσσα'.
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Από το μενού επιλέξτε 'Ρύθμιση' και στη συνέχεια 'Ρυθμίσεις'. Επιλέξτε το πλαίσιο ελέγχου 'Advanced' και, στη συνέχεια, επιλέξτε 'Δίκτυο'. Επιλέξτε "Δύναμη λειτουργίας TCP" και τύπος πληρεξουσίου "Socks5". Το όνομα κεντρικού υπολογιστή θα πρέπει να οριστεί σε 'localhost' και η θύρα θα πρέπει να είναι 9050.
Gaelic|Gaelic
Gallego|Gallego
Georgian|Γεωργιανός
German|Γερμανός
German (Personal)|Γερμανικά (Προσωπικά)
Git repo management|Git διαχείριση repo
Go Back|Πήγαινε πίσω
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Πηγαίνετε πίσω στην αρχική οθόνη F-droid και ενημερώστε τα αποθετήρια πατώντας προς τα κάτω. Θα το δείτε να λέει "ενημέρωση αποθετηρίων". Αυτό μπορεί να διαρκέσει μερικά λεπτά.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Επιστρέψτε στην αρχική οθόνη της εφαρμογής "Συνομιλίες", επιλέξτε ξανά το μενού και, στη συνέχεια, επιλέξτε "Διαχείριση λογαριασμών". Προσθέστε ένα λογαριασμό, επιλέγοντας το εικονίδιο του ατόμου με το συν το δίπλα του.
Gogs allow new registrations|Τα gogs επιτρέπουν νέες εγγραφές
Greek|Ελληνικά
Gujarati|Γκουτζαράτι
Have you written down or saved the login credentials and removed any backup drives from the system?|Καταγράψατε ή αποθηκεύσατε τα διαπιστευτήρια σύνδεσης και αφαιρέσατε όλες τις μονάδες εφεδρείας από το σύστημα;
Hebrew|Εβραϊκά
Help|Βοήθεια
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Βοηθάει τους φροντιστές να παρακολουθούν τον ύπνο, τις τροφές, τις αλλαγές της πάνας και τον χρόνο της κοιλιάς
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Βοηθά τους φροντιστές να παρακολουθούν τον ύπνο, τις τροφές, τις αλλαγές της πάνας και τον χρόνο των κοιλιών για να μάθουν και να προβλέψουν τις ανάγκες των μωρών χωρίς να φαντάζουν ότι εργάζονται.
here|εδώ
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|Το HexChat (πρώην XChat) είναι συμβατό με το proxying μέσω Tor και έτσι παρέχει την καλύτερη ασφάλεια κατά τη σύνδεση στον IRC server σας. Θα σας επιτρέψει να συνδεθείτε με τη διεύθυνση κρεμμυδιού του IRC του διακομιστή σας.
Hindi|Χίντι
How to do translations|Πώς να κάνετε μεταφράσεις
Hungarian|ουγγρικός
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Το Icecast είναι αρκετά έντονο CPU. Για παράδειγμα, σε ένα σύστημα που βασίζεται σε A20 χρειάζεται περίπου το 70% της πηγής CPU. Αυτό είναι κάτι που πρέπει να γνωρίζετε εάν εκτελείτε πολλαπλές εφαρμογές
Icecast is updating|Το Icecast ενημερώνεται
Icelandic|ισλανδικός
Icons on the website and user interfaces are by Rashid Mhar.|Τα εικονίδια στην ιστοσελίδα και οι διεπαφές χρήστη είναι από τον Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Εάν είστε χρήστης Emacs τότε μπορείτε επίσης να συνδεθείτε στο IRC server σας μέσω του Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Εάν χρησιμοποιείτε τη διεύθυνση κρεμμυδιού, τότε θα πρέπει να μη ελέγχεται η χρήση SSL και η κρυπτογράφηση μεταφοράς θα γίνεται μέσω της ίδιας της διεύθυνσης κρεμμυδιού.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Εάν χρησιμοποιείτε το συνηθισμένο όνομα τομέα (clearnet / ICANN), βεβαιωθείτε ότι έχει επιλεγεί η επιλογή Χρήση SSL.
If you don't have a domain then just select Continue|Εάν δεν διαθέτετε τομέα, απλώς επιλέξτε Συνέχεια
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Εάν δεν έχετε εγκαταστήσει το Orbot, ενεργοποιήστε το χώρο αποθήκευσης The Guardian Project από το αναπτυσσόμενο μενού και εγκαταστήστε το.
If you don't need a password then just leave this blank and select Update|Εάν δεν χρειάζεστε έναν κωδικό πρόσβασης, απλώς αφήστε το κενό και επιλέξτε Ενημέρωση
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Αν έχετε συνδεδεμένο USB, αφήστε το να εισέλθει μέχρι να επιβεβαιώσετε ότι η ροή λειτουργεί
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Αν αντιμετωπίζετε προβλήματα με την πρόσβαση στις διευθύνσεις κρεμμυδιών, επικολλήστε μερικές γέφυρες Tor παρακάτω. Δείτε το https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Εάν χρησιμοποιείτε την κινητή εφαρμογή Element για πρόσβαση στο Matrix homeserver, τότε μπορείτε να βελτιώσετε σημαντικά την απόδοση της μπαταρίας μεταβαίνοντας στις ρυθμίσεις και αλλάζοντας το χρονικό όριο "Συγχρονισμός αιτήματος" στα 30 δευτερόλεπτα και "Καθυστέρηση μεταξύ δύο αιτημάτων συγχρονισμού" στα 600 δευτερόλεπτα. Επίσης, η απενεργοποίηση των μηνυμάτων στις ομαδικές συνομιλίες θα βοηθήσει, καθώς θα αποφευχθεί η λήψη ειδοποίησης κάθε φορά που συμβαίνει ένα γεγονός ομαδικής συζήτησης, το οποίο στη συνέχεια ξυπνάει την οθόνη
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Εάν οι μεταφράσεις σας γίνονται δεκτές, θα εμφανιστούν αργότερα στο προηγούμενο έργο και θα μπορούν να χρησιμοποιηθούν από οποιονδήποτε.
Import|Εισαγωγή
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|Σε ένα πρόγραμμα περιήγησης Tor περιηγηθείτε στη διεύθυνση κρεμμυδιού για Icecast και στη συνέχεια μπορείτε να αναπαράγετε τη ροή
Indonesian|Ινδονήσιος
Initial login|Αρχική σύνδεση
Initial Setup|Αρχική εγκατάσταση
Install|Εγκαθιστώ
Install APPNAME now?|Εγκαταστήστε τώρα το APPNAME;
Install F-Droid|Εγκαταστήστε το F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Εγκαταστήστε το HexChat και ρυθμίστε το αρχείο ρυθμίσεων. Υποθέτοντας ότι τρέχετε σε μια διανομή Debian ή Arch, αυτό μπορεί να γίνει στο τοπικό σας μηχάνημα με:
Installation|Εγκατάσταση
Installing in Emacs|Εγκατάσταση σε Emacs
Installing on Desktop|Εγκατάσταση στην επιφάνεια εργασίας
Invalid Password|Λανθασμένος κωδικός
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|Το IRC είναι χρήσιμο για τη συζήτηση πολλών χρηστών. Η κλασική περίπτωση χρήσης είναι για την ανάπτυξη λογισμικού, όπου πολλοί μηχανικοί ίσως χρειαστεί να συντονίσουν τις δραστηριότητές τους, αλλά είναι επίσης χρήσιμος για συναντήσεις, πάρτι και γενική κοινωνικοποίηση.
It can be shown using the command:|Μπορεί να παρουσιαστεί χρησιμοποιώντας την εντολή:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Είναι δυνατό να προσθέσετε jingles που θα αναπαραχθούν μεταξύ κομματιών σε τυχαία χρονικά διαστήματα. Εάν κάποια από τα αρχεία ήχου στη μονάδα USB σας ονομάζονται jingle_something.mp3 τότε θα χρησιμοποιηθούν ως jingles
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Συνιστάται να προσθέσετε μια εγγραφή SRV για το Matrix στη ρύθμιση DNS. Πώς θα το κάνετε αυτό θα εξαρτηθεί από το δυναμικό παροχέα DNS και την διεπαφή ιστού. Στο FreeDNS στις ρυθμίσεις υποτομέων εκτός από τον υποτομέα που χρησιμοποιείτε για το διακομιστή μήτρας δημιουργήστε μια επιπλέον εγγραφή ως εξής:
Italian|ιταλικός
Japanese|Ιαπωνικά
Jingles|Τζίνγκς
Kannada|Κανάντα
Keep changes|Κρατήστε αλλαγές
Khmer|Χμερ
Korean|κορεάτης
Language|Γλώσσα
Lao|Λάο
Latvian|Λετονίας
Lithuanian|Λιθουανικά
Malayalam|Μαλαγιαλάμ
Malaysian|Μαλαισίας
Manually upgrade now ?|Μη αυτόματη αναβάθμιση τώρα;
Maori (Ngai Tahu)|Μαόρι (Ngai Tahu)
Maori (Waikoto Uni)|Μαορί (Waikoto Uni)
Markdown blogging|Σχετικά με το blogging
Matrix|Μήτρα
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Ίσως αντί να επεξεργαστείτε μέσα σε αυτό το περιβάλλον χρήστη προτιμάτε να χρησιμοποιήσετε τον δικό σας επεξεργαστή. Αυτό μπορεί να γίνει ως εξής:
Media broadcast|Μετάδοση μέσων
Media storage and broadcast|Αποθήκευση και μετάδοση μέσων
Mongolian|Μογγόλος
Mumble|Ψέλλισμα
Music player|Μουσική
No|Οχι
No SSH public key was provided|Δεν δόθηκε δημόσιο κλειδί SSH
none|κανένας
Norwegian|Νορβηγός
Norwegian (Primary)|Νορβηγικά (πρωτοβάθμια)
Not Connected|Μη συνδεδεμένο
Note taking|Κρατάω σημειώσεις
Nynorsk|Nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Αφού βρεθείτε στην οθόνη μεταφράσεων (δείτε τα πρώτα τρία βήματα στην πρώτη ενότητα παραπάνω), επιλέξτε το κουμπί 'υποβολή'.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Μόλις μπείτε στην οθόνη μεταφράσεων (δείτε τα τρία πρώτα βήματα στην πρώτη ενότητα παραπάνω), επιλέξτε τον κωδικό γλώσσας που εμφανίζεται στο επάνω μέρος της οθόνης (συνήθως τελειώνει με το UTF-8). Στη συνέχεια, μπορείτε να δείτε το αρχείο ακατέργαστων μεταφράσεων.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Ανοίξτε την εφαρμογή F-droid και επιλέξτε 'Ρυθμίσεις' και 'Αποθετήρια'. Βεβαιωθείτε ότι έχετε ενεργοποιήσει τις "Επίσημες ανακοινώσεις προγράμματος Guardian"
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Ανοίξτε τις ρυθμίσεις. Επιλέξτε 'Γενικά', στη συνέχεια 'Σύνδεση μέσω Tor'. Αυτό θα προσφέρει καλύτερη προστασία, καθιστώντας πιο δύσκολο για τους αντιπάλους να γνωρίζουν ποιος μιλάει με ποιον. Αν η σύνδεση μέσω του Tor είναι αναξιόπιστη και προκαλεί συντριβές τότε απενεργοποιήστε την επιλογή 'Connect via Tor' στις 'Γενικές ρυθμίσεις' και στη συνέχεια απλά χρησιμοποιήστε το συνηθισμένο όνομα τομέα.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Ανοίξτε την εφαρμογή Συνομιλίες και επιλέξτε το μενού (τρεις κουκκίδες), μετακινηθείτε προς τα κάτω και επιλέξτε 'Ρυθμίσεις εμπειρογνωμόνων' και, στη συνέχεια, επιλέξτε 'Σύνδεση με το Tor'
or|ή
Paragraphs can be dragged up and down to change their order, or moved between pages|Οι παράγραφοι μπορούν να σύρονται προς τα πάνω και προς τα κάτω για να αλλάζουν τη σειρά τους ή να μετακινούνται μεταξύ των σελίδων
Password|Κωδικός πρόσβασης
Password: |Κωδικός πρόσβασης:
Paste your ssh public key here|Επικολλήστε το δημόσιο κλειδί ssh εδώ
Paste your translations file below|Επικολλήστε το αρχείο μεταφράσεων σας παρακάτω
Peertube allow new registrations|Το Peertube επιτρέπει νέες εγγραφές
Personal accounting|Προσωπική λογιστική
Personal or small business accounting|Λογιστική προσωπικών ή μικρών επιχειρήσεων
Photo album|άλμπουμ φωτογραφιών
Please enter their username. This should be lower case only and with no spaces.|Εισαγάγετε το όνομα χρήστη. Αυτό θα πρέπει να είναι μόνο πεζά και χωρίς κενά.
Please insert a USB drive|Εισαγάγετε μια μονάδα USB
Please insert the USB drive to restore from now|Εισαγάγετε τη μονάδα USB για επαναφορά από τώρα
Please insert your backup USB drive now|Εισαγάγετε τώρα την εφεδρική μονάδα USB
Please specify stream name, description and genre|Προσδιορίστε το όνομα, την περιγραφή και το είδος ροής
Please wait while your appliance is configuring|Περιμένετε μέχρι να ρυθμιστεί η συσκευή σας
Please write down or save these credentials|Καταχωρίστε ή αποθηκεύστε αυτά τα διαπιστευτήρια
Pleroma|Πλερμόμα
Pleroma allow new registrations|Το Pleroma επιτρέπει νέες καταχωρίσεις
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Ρυθμίσεις Pleroma
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Συνδέστε τη μονάδα USB στο διακομιστή σας και, στη συνέχεια, μεταβείτε στις ρυθμίσεις εφαρμογών Icecast, προσθέστε κάποιες λεπτομέρειες σχετικά με τη λίστα αναπαραγωγής και επιλέξτε "Ενημέρωση"
Polish|Στίλβωση
Ports|Λιμάνια
Portuguese|Πορτογαλικά
Portuguese (Brazil)|Πορτογαλικά (Βραζιλία)
Power|Εξουσία
Press the plus button to add a Mumble server.|Πατήστε το πλήκτρο συν για να προσθέσετε ένα διακομιστή Mumble.
Proceed with backup?|Προχωρήστε με δημιουργία αντιγράφων ασφαλείας;
Proceed with drive format?|Συνεχίστε με τη μορφή δίσκου;
Proceed with reset?|Συνεχίστε με επαναφορά;
Proceed with restore?|Προχωρήστε με την επαναφορά;
RAM used|RAM που χρησιμοποιήθηκε
Remote access|Απομακρυσμένη πρόσβαση
Remove|Αφαιρώ
Remove any backup drives now|Αφαιρέστε όλες τις μονάδες δημιουργίας αντιγράφων ασφαλείας τώρα
Remove APPNAME now?|Κατάργηση APPNAME τώρα;
Remove user USERNAME?|Κατάργηση χρήστη USERNAME;
Removing user account|Κατάργηση λογαριασμού χρήστη
Reset is in progress|Επαναφορά βρίσκεται σε εξέλιξη
Reset to factory|Επαναφορά εργοστασίου
RESET TO FACTORY DEFAULTS|ΕΠΙΣΤΡΟΦΗ ΣΤΟ ΕΓΚΑΤΑΣΤΑΣΗ
Restart|Επανεκκίνηση
Restore|Επαναφέρω
Restore has failed|Η επαναφορά απέτυχε
Restore in progress|Επαναφορά σε εξέλιξη
Restore is complete|Η επαναφορά ολοκληρώθηκε
Restore of keys failed|Η επαναφορά των κλειδιών απέτυχε
Restore of keys is complete|Η επαναφορά πλήκτρων ολοκληρώθηκε
Restore password|Επαναφορά κωδικού πρόσβασης
Restore your keys now?|Επαναφέρετε τα κλειδιά σας τώρα;
Restoring backup keys|Επαναφορά των κλειδιών αντιγράφων ασφαλείας
Romanian|ρουμανικός
RSS Reader|Αναγνώστη RSS
Run HexChat.|Εκτελέστε HexChat.
Running backup of keys|Εκτέλεση αντιγράφων ασφαλείας των κλειδιών
Russian|Ρωσική
Samoan|Samoan
Search again for 'Conversations' (not the legacy version), then select 'install'|Αναζητήστε ξανά τις 'Συνομιλίες' (όχι την έκδοση παλαιού τύπου) και επιλέξτε 'install'
Search for and install Plumble.|Αναζήτηση και εγκατάσταση του Plumble.
Secure realtime collaboration|Ασφαλίστε τη συνεργασία σε πραγματικό χρόνο
