About|關於
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|如果您使用Element移動應用程序訪問Matrix主服務器，那麼您可以通過轉到設置並將“同步請求超時”更改為30秒並將“兩個同步請求之間的延遲”更改為600秒來顯著提高電池性能。關閉“群組聊天中的消息”也會有所幫助，因為它會避免在群聊事件發生時收到通知，然後喚醒屏幕
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|如果您的翻譯被接受，它們將在以後出現在上游項目中並且可供任何人使用。
Import|進口
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|在Tor瀏覽器中，導航到Icecast的洋蔥地址，然後您可以播放該流
Indonesian|印度尼西亞
Initial login|初次登錄
Initial Setup|初始設置
Install|安裝
Install APPNAME now?|立即安裝APPNAME？
Install F-Droid|安裝F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|安裝HexChat並設置其配置文件。假設您在基於Debian或Arch的發行版上運行，可以在本地計算機上執行以下操作：
Installation|安裝
Installing in Emacs|在Emacs中安裝
Installing on Desktop|在桌面上安裝
Invalid Password|無效的密碼
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC對多用戶聊天很有用。經典用例適用於軟件開發，許多工程師可能需要協調他們的活動，但它對會議，聚會和一般社交活動也很有用。
It can be shown using the command:|可以使用以下命令顯示：
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|可以添加將以隨機間隔在曲目之間播放的jingles。如果USB驅動器上的某些音頻文件名為jingle_something.mp3，那麼它們將被用作jingles
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|建議您將Matrix的SRV記錄添加到DNS設置中。如何執行此操作取決於您的動態DNS提供程序及其Web界面。在子域設置上的FreeDNS以及您用於矩陣服務器的子域之外，創建一個額外的條目，如下所示：
Italian|意大利
Japanese|日本
Jingles|順口溜
Kannada|卡納達語
Keep changes|保持變化
Khmer|高棉
Korean|朝鮮的
Language|語言
Lao|老撾
Latvian|拉脫維亞
Lithuanian|立陶宛
Malayalam|馬拉雅拉姆語
Malaysian|馬來西亞
Manually upgrade now ?|現在手動升級？
Maori (Ngai Tahu)|毛利人（Ngai Tahu）
Maori (Waikoto Uni)|毛利人（Waikoto Uni）
Markdown blogging|Markdown博客
Matrix|矩陣
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|也許您不想在此用戶界面中進行編輯，而是希望使用自己的編輯器。這可以做到如下：
Media broadcast|媒體廣播
Media storage and broadcast|媒體存儲和廣播
Mongolian|蒙
Mumble|咕噥
Music player|音樂播放器
No|沒有
No SSH public key was provided|沒有提供SSH公鑰
none|沒有
Norwegian|挪威
Norwegian (Primary)|挪威語（小學）
Not Connected|未連接
Note taking|做筆記
Nynorsk|尼諾斯克
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|進入翻譯界面後（請參閱上面第一部分的前三個步驟），選擇“提交”按鈕。
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|進入翻譯界面後（請參閱上面第一部分的前三個步驟），選擇屏幕頂部顯示的語言代碼（通常以UTF-8結尾）。然後，您可以看到原始翻譯文件。
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|打開F-droid應用程序，然後選擇“設置”，然後選擇“存儲庫”。確保啟用“Guardian Project官方發布”
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|打開設置。選擇“常規”，然後選擇“通過Tor連接”。這將提供更好的保護，使對手更難以知道誰在與誰交談。如果通過Tor連接不可靠並導致崩潰，則在“常規設置”中取消選擇“通過Tor連接”，然後只使用普通域名。
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|打開Conversations應用程序並選擇菜單（三個點），向下滾動並選擇'Expert Settings'然後選擇'Connect to Tor'
or|要么
Paragraphs can be dragged up and down to change their order, or moved between pages|可以上下拖動段落以更改其順序，也可以在頁面之間移動
Password|密碼
Password: |密碼：
Paste your ssh public key here|在此粘貼您的ssh公鑰
Paste your translations file below|在下面粘貼您的翻譯文件
Peertube allow new registrations|Peertube允許新註冊
Personal accounting|個人會計
Personal or small business accounting|個人或小企業會計
Photo album|相片集
Please enter their username. This should be lower case only and with no spaces.|請輸入他們的用戶名。這應該只是小寫，沒有空格。
Please insert a USB drive|請插入USB驅動器
Please insert the USB drive to restore from now|請從現在開始插入USB驅動器進行恢復
Please insert your backup USB drive now|請立即插入備用USB驅動器
Please specify stream name, description and genre|請指定流名稱，描述和流派
Please wait while your appliance is configuring|您的設備正在配置，請稍候
Please write down or save these credentials|請寫下或保存這些憑據
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma允許新的註冊
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Pleroma設置
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|將USB驅動器插入服務器，然後轉到Icecast應用程序設置，添加有關播放列表的一些詳細信息，然後選擇“更新”
Polish|拋光
Ports|端口
Portuguese|葡萄牙語
Portuguese (Brazil)|葡萄牙語（巴西）
Power|功率
Press the plus button to add a Mumble server.|按加號按鈕添加Mumble服務器。
Proceed with backup?|繼續進行備份？
Proceed with drive format?|繼續驅動格式？
Proceed with reset?|繼續重置？
Proceed with restore?|繼續還原？
RAM used|使用RAM
Remote access|遠程訪問
Remove|去掉
Remove any backup drives now|立即刪除所有備份驅動器
Remove APPNAME now?|立即刪除APPNAME？
Remove user USERNAME?|刪除用戶USERNAME？
Removing user account|刪除用戶帳戶
Reset is in progress|重置正在進行中
Reset to factory|重置為工廠
RESET TO FACTORY DEFAULTS|重置工廠默認值
Restart|重新開始
Restore|恢復
Restore has failed|恢復失敗
Restore in progress|正在恢復
Restore is complete|恢復完成
Restore of keys failed|恢復密鑰失敗
Restore of keys is complete|恢復密鑰已完成
Restore password|恢復密碼
Restore your keys now?|現在恢復你的鑰匙？
Restoring backup keys|恢復備份密鑰
Romanian|羅馬尼亞
RSS Reader|RSS閱讀器
Run HexChat.|運行HexChat。
Running backup of keys|運行密鑰備份
Russian|俄語
Samoan|薩摩亞
Search again for 'Conversations' (not the legacy version), then select 'install'|再次搜索“對話”（不是舊版），然後選擇“安裝”
Search for and install Plumble.|搜索並安裝Plumble。
Secure realtime collaboration|安全的實時協作
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|通過文檔，演示文稿，繪圖和投票實現安全的實時協作。文檔是短暫的，除非您保存它們將在關閉瀏覽器時被刪除。
Secure Shell|安全外殼
Select|選擇
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|選擇“應用”和“確定”，然後在“服務器”和“連接”菜單上。
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|選擇“下一步”以創建帳戶。如果eveything在幾分鐘後工作，您應該會看到帳戶狀態變為綠色的“在線”狀態
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|選擇搜索（放大鏡圖標）並蒐索“Orbot”（不是舊版），然後選擇“安裝”
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|選擇“翻譯”按鈕。您將看到左側是英文文本的新屏幕，右側是翻譯文本。
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|選擇“自動加入頻道”選項卡，單擊“添加”，然後輸入#libreserver作為頻道名稱。
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|選擇服務器框中的條目，然後輸入ircaddress.onion/6697或mydomainname/6697並按Enter鍵。
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|選擇屏幕底部，頁面旁邊的wiki按鈕，以啟用或禁用編輯。
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|按下它選擇服務器然後將您連接到服務器，以便您可以與其他連接的用戶聊天
Serbian|塞爾維亞
Setting up on a laptop|在筆記本電腦上設置
Setting up on Android|在Android上設置
Setting up with an Android phone|使用Android手機進行設置
Settings|設置
Setup on Android|在Android上安裝
Shortcode|短代碼
Shutdown|關掉
Shutting down|關機
Simple kanban|簡單的看板
Simple Markdown blogging|簡單的Markdown博客
Simple notes|簡單的筆記
Slovak|斯洛伐克
Slovenian|斯洛文尼亞
Somali|索馬里
Spanish (International)|西班牙語（國際）
SSH access is disabled|SSH訪問被禁用
SSH access is enabled|SSH訪問已啟用
Stream Description|流描述
Streaming media|流媒體
Submit|提交
Submitting your translations to the LibreServer project|將您的翻譯提交到LibreServer項目
Swedish|瑞典
System Monitor|系統監視器
Systems may be temporarily unavailable in the next few minutes|系統可能在接下來的幾分鐘內暫時無法使用
Tagalog|他加祿語
Tamil|泰米爾人
Thai|泰國
Thankyou for choosing the LibreServer home internet appliance|謝謝您選擇LibreServer家庭互聯網設備
The account will now be removed. This may take a minute or two. For details see:|該帳戶現在將被刪除。這可能需要一兩分鐘。詳情見：
The classic low bandwidth chat system|經典的低帶寬聊天系統
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|LibreServer系統並非主要針對公司或機構，但如果您是一個單獨的公司或自由職業者，那麼能夠運行您自己的會計系統並將數據保密並備份也很有用。 Akaunting為小型企業帳戶提供了一個很好的基於Web的系統，並且在移動Web瀏覽器中也非常有用。
A new member is being added. This may take a minute or two.|正在添加新用戶。記下或保存他們的密碼。
The passwords do not match|密碼不匹配
There are a few things to know about using the federated wiki.|關於使用聯合wiki，有幾點需要了解。
There are no apps installed. Select the plus button above to install new apps.|沒有安裝應用程序。選擇上面的加號按鈕以安裝新應用。
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|如果您有新的孩子或保姆職責，此應用程序可能會有用。它幫助護理人員跟踪睡眠，餵養，尿布變化和肚子時間，以了解和預測寶寶的需求，而無需進行大量的猜測工作。
This is a server system which enables you to run internet apps such as a blog or federated social network.|這是一個服務器系統，使您可以運行互聯網應用程序，如博客或聯合社交網絡。
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|這肯定是您可能希望保密的數據類型，遠離公司，否則他們可能會使用對育兒應用數據的監控來試圖讓您有罪地購買各種您實際上不需要或不負擔的垃圾。
This is your new password|這是您的新密碼
This may take a few minutes.|這可能需要幾分鐘的時間。
This may take a minute or two. For details see:|這可能需要一兩分鐘。詳情見：
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|該系統不打算向大量觀眾廣播，並且聽眾的上限設置為10。所以一個家庭和朋友類型組。
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|這將備份加密備份的密鑰，防止意外丟失或暴露。您應該將此驅動器保存在安全的地方，與其他備份分開。
This will restore the keys used to encrypt backups.|這將恢復用於加密備份的密鑰。
To add a new paragraph use the + button|要添加新段落，請使用+按鈕
To claim/fork a page from another server click on the flag icon|要從另一台服務器聲明/分叉頁面，請單擊標誌圖標
To edit a paragraph double click on it|要編輯段落，請雙擊它
To remove a paragraph just delete all of its text|要刪除段落，只需刪除其所有文本
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|要上傳音樂文件，請安裝Syncthing，然後將相冊目錄複製到〜/ Sync / music_upload，然後在Koel內轉到設置並掃描目錄/音樂
Tor Bridges|Tor Bridges
Translate|翻譯
Translations|翻譯
Turkish|土耳其
Type: SRV|類型：SRV
Ukrainian|烏克蘭
Uncheck use global user information.|取消選中使用全局用戶信息。
Uninstall|卸載
Update|更新
Updates settings changed|更新設置已更改
Upgrade|升級
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|升級自動發生。除非在極少數情況下，否則您不需要像這樣手動啟動它們
Upload|上傳
URL to upload from|要上傳的網址
USB drive format has failed|USB驅動器格式失敗
USB drive format in progress|USB驅動器格式正在進行中
USB drive format is complete|USB驅動器格式已完成
Username: |用戶名：
Username: admin|用戶名：admin
Members|用戶
Using your preferred editor|使用首選編輯器
Video broadcast|視頻廣播
Vietnamese|越南
Voice chat|語音聊天
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|警告：這將刪除USB驅動器的所有內容
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|很抱歉，您提供的用戶名不合適。檢查它是否包含空格，是小寫字母，長度至少為3個字符。
Web publishing system|網絡出版系統
When done editing click on the wiki button again|完成編輯後再次單擊wiki按鈕
When it's done it will appear on the apps screen|完成後，它將顯示在應用程序屏幕上
When removal is finished it will disappear from apps|刪除完成後，它將從應用程序中消失
When you are done with translating select the 'import' button on the translations screen.|完成翻譯後，選擇翻譯屏幕上的“導入”按鈕。
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|添加翻譯後，選擇“更新”按鈕。這將更新所選語言的翻譯文件。請注意，這不會更改用戶界面中的當前語言。如果要執行此操作，請返回語言屏幕，選擇一種語言，然後選擇“選擇”按鈕。
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|無論您當前使用哪種屏幕，都可以通過單擊或按頂部的LibreServer徽標返回上一屏幕。
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|使用Icecast，您可以從洋蔥地址運行自己的互聯網廣播流。與往常一樣，請注意版權問題，最好堅持使用您擁有的Creative Commons音樂或音樂文件。
Within the network list click, Add and enter your domain name then click Edit.|在網絡列表中單擊，添加並輸入您的域名，然後單擊編輯。
Within the Password field enter the password which you originally set up the box with.|在密碼字段中輸入您最初設置框的密碼。
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|在軟件中心內搜索“mumble”並安裝客戶端然後運行它。跳過音頻設置嚮導。取消初始連接窗口。
Write it down or save it|寫下來或保存
XMPP|XMPP
xmpp based chat system|基於xmpp的聊天系統
Yes|是
You can edit the translated text on the right side of the screen.|您可以編輯屏幕右側的翻譯文本。
You can get to this system remotely via:|您可以通過以下方式遠程訪問此系統：
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|您現在可以返回初始的Conversations應用程序屏幕並開始使用它。您可能希望使用右下方的圖標添加聯繫人。有關詳細信息，請參閱Conversations網站（conversations.im）或訂閱聊天組conversations@conference.siacs.eu
You can now log in with:|您現在可以使用以下命令登錄：
You can see upgrade progress|您可以看到升級進度
You can use left and right cursor keys to move through pages|您可以使用左右光標鍵在頁面中移動
You may also want to make another entry with the same settings but replacing tcp with udp.|您可能還想使用相同的設置創建另一個條目，但用udp替換tcp。
You may now remove the USB drive|您現在可以刪除USB驅動器
You might have mistyped one of them|您可能輸錯了其中一個
You will see the translations file with some instructions at the top.|您將在頂部看到帶有一些說明的翻譯文件。
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|您的密碼長度必須至少為8個字符，並且只能使用字符a-z A-Z和0-9
Zero knowledge pastebin|零知識pastebin
Theme|主題
Light|光
Dark|黑暗
Mail|郵件
Clear|明確
Send email through a proxy|通過代理髮送電子郵件
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|Hvis du finner ut at du ikke kan sende ut e-post og at dufårmislykkedeleveringsmeldinger，kan du sende proxy via e-post via en annen server。 有時，bedrijven leveren的ISPs服務器死掉了dan kan doen。
Failed to install. For details see admin/applog.txt|安裝失敗。 有關詳細信息，請參閱admin/applog.txt
Installed successfully|安裝成功
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|與基於瀏覽器的廣告攔截器不同，pihole在域名解析級別工作，以阻止已知的域名出現在網頁中。
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| 將您的DNS IP地址設置為顯示的IP地址，即使在將廣告投放到您的筆記本電腦或移動設備之前，也會阻止許多廣告。這可以節省大量帶寬，並且通常可以加快網站的加載速度
Change DNS on your internet router| 在您的互聯網路由器上更改DNS
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|如果您的互聯網路由器允許您更改DNS IP地址，那麼這是使用pihole的最佳方式，因為它將為您家中的所有設備和計算機提供覆蓋。
Change DNS on individual devices|更改各個設備上的DNS
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| 如果您無法更改您的互聯網路由器的DNS，那麼您可以在各個GNU/Linux系統上執行此操作，如下所示：
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|刪除或註釋掉任何現有的名稱服務器，並添加一個顯示為pihole應用程序顯示的IP地址。像：
Then save and exit and prevent the file from being automatically changed with:| 然後保存並退出並阻止文件自動更改為：
