About|Noin
Enter first and second nicknames and check connect to this network on startup.|Anna ensimmäinen ja toinen lempinimi ja tarkista, että muodostat yhteyden tähän verkkoon käynnistyksen yhteydessä.
Estonian|Virolainen
Everything installed will be lost|Kaikki asennettuna menetetään
Extremely simple note taking|Erittäin yksinkertainen muistiinpano
Factory reset is in progress|Tehdasasetus on käynnissä
Farsi|farsi
Favicon|favicon
Federated image sharing|Federated image sharing
Federated microblogging|Federated microblogging
Federated social network|Federated social network
Federated wiki|Federated wiki
File storage and sync|Tiedoston tallennus ja synkronointi
File synchronization|Tiedoston synkronointi
Filipino|filippiiniläinen
Finnish|Suomalainen
First ensure that tor is installed. Within a terminal:|Varmista ensin, että tor on asennettu. Terminaalissa:
For details see the diagnostics|Katso lisätietoja diagnostiikasta
For details see:|Lisätietoja:
For further information see the website at https://libreserver.org|Lisätietoja löytyy osoitteesta https://libreserver.org
For the initial login use username: admin password admin|Aloitussivulle käytetään käyttäjätunnusta: admin salasana admin
For the Jabber ID enter the email address from your LibreServer user settings|Jabber-tunnukselle kirjoita sähköpostiosoite LibreServer-käyttäjäasetuksistasi
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Salasanassa käytetään salasanaa, jonka alunperin kirjoitit tai tallennat LibreServer-järjestelmän asennuksen aikana
Forward port 80 and 443 from your internet router|Siirtää porttia 80 ja 443 Internet-reitittimestasi
Forward the following ports from your internet router:|Siirrä Internet-reitittimesi seuraavat portit:
Forward the port 64738 from your internet router|Siirrä portti 64738 Internet-reitittimestasi
Forward the port 6697 from your internet router|Lähetä portti 6697 Internet-reitittimestasi
Forward the port 8448 from your internet router|Lähetä portti 8448 internet-reitittimestäsi
FreeDNS code:|FreeDNS-koodi:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer aloitti vuonna 2013. Se perustui alunperin Beaglebone Black -laitteistoon ja FreedomBox-idean innoittamana edullisen ja helppokäyttöisen internet-palvelimen kotiin.
French|Ranskan kieli
French (Canada)|Ranska (Kanada)
From the initial screen select 'settings' then 'language'.|Valitse aloitusnäytöstä "asetukset" ja sitten "kieli".
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Valitse valikosta "Määritä" ja sitten "Asetukset". Valitse Lisäasetukset-valintaruutu ja valitse sitten Verkko. Valitse 'Force TCP-tila' ja välityspalvelimen tyyppi 'Socks5'. Hostname olisi asetettava 'localhost' ja portin pitäisi olla 9050.
Gaelic|gaelilainen
Gallego|Gallego
Georgian|georgialainen
German|Saksan kieli
German (Personal)|Saksa (henkilökohtainen)
Git repo management|Git-repo-hallinta
Go Back|Mene takaisin
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Palaa F-droidin aloitusnäyttöön ja päivitä arkistot pyyhkäisemällä alaspäin. Näet sen sanovan "arkistojen päivittäminen". Tämä saattaa kestää muutaman minuutin.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Siirry takaisin Keskustelut-sovelluksen aloitusnäyttöön, valitse valikko uudelleen ja valitse sitten Hallinnoi tilejä. Lisää tili valitsemalla henkilökuvake, jonka vieressä on plusmerkki.
Gogs allow new registrations|Gogit sallivat uusien rekisteröintien
Greek|kreikkalainen
Gujarati|gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Oletko kirjannut tai tallentanut kirjautumistiedot ja poistanut kaikki varmuuskopiointiasemat järjestelmästä?
Hebrew|heprealainen
Help|auta
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Auttaa hoitajia seuraamaan nukkua, syöttöjä, vaippamuutoksia ja vatsa-aikaa
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Auttaa hoitajia seuraamaan uneliaisuutta, ruokailuja, vaippamuutoksia ja vatsa-aikaa oppia ja ennustaa lapsen tarpeet ilman niin paljon arvausta.
here|tässä
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (aiemmin XChat) on yhteensopiva pro: n kanssa Torin kautta ja tarjoaa näin parhaan mahdollisen turvallisuuden, kun liität IRC-palvelimeen. Sen avulla voit muodostaa yhteyden IRC-palvelimesi sipulikohtaan.
Hindi|hindi
How to do translations|Miten tehdä käännöksiä
Hungarian|Unkarin kieli
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast on melko CPU-intensiivinen. Esimerkiksi A20-pohjaisessa järjestelmässä se vie noin 70% CPU-resurssista. Tämä on jotain, joka on tiedossa, jos käytät useita sovelluksia
Icecast is updating|Icecast päivittyy
Icelandic|islantilainen
Icons on the website and user interfaces are by Rashid Mhar.|Sivustoilla olevat kuvakkeet ja käyttöliittymät ovat Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Jos olet Emacs-käyttäjä, voit myös muodostaa yhteyden IRC-palvelimeen Emacsin kautta.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Jos käytät sipuliosoitetta, käytä SSL: ää ei tarvitse valittaa ja kuljetuksen salaus käsitellään itse sipulisivun kautta.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Jos käytät tavallista verkkotunnusta (clearnet / ICANN), varmista, että Käytä SSL-toimintoa on valittu.
If you don't have a domain then just select Continue|Jos sinulla ei ole verkkotunnusta, valitse vain Jatka
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Jos sinulla ei ole Orbot -ohjelmaa, ota sitten The Guardian Project -huoneisto pudotusvalikosta ja asenna se.
If you don't need a password then just leave this blank and select Update|Jos et tarvitse salasanaa, jätä se tyhjäksi ja valitse Päivitä
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Jos sinulla on USB-liitäntä, jätä se paikalleen, kunnes voit vahvistaa, että virta toimii
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Jos sinulla on vaikeuksia päästä sipulien osoitteisiin, liitä allaolevia Tor-siltoja. Katso https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Jos käytät Element-mobiilisovellusta Matrix-kotipalvelimen käyttämiseen, voit parantaa merkittävästi akun suorituskykyä siirtymällä asetuksiin ja valitsemalla Sync-pyynnön aikakatkaisu 30 sekuntia ja "Synkronointipyyntöjen viive kahden sekunnin välillä". Myös keskustelujen "viestien poistaminen ryhmäkeskusteluista" auttaa, koska se välttää ilmoituksen vastaanottamisen, kun tapahtuu ryhmäkeskustelu, joka sitten herättää näytön
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Jos käännökset hyväksytään, ne tulevat myöhemmin esiin tuotantoketjun alkuprojektissa ja niitä voi käyttää kuka tahansa.
Import|Tuonti
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|Tor-selaimessa siirry Icecastin sipuliosoitteeseen ja voit soittaa streamia
Indonesian|indonesialainen
Initial login|Ensimmäinen kirjautuminen
Initial Setup|Alkuasennus
Install|Asentaa
Install APPNAME now?|Asenna APPNAME nyt?
Install F-Droid|Asenna F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Asenna HexChat ja asenna kokoonpanotiedosto. Olettaen, että olet käynnissä Debian- tai Arch-pohjaisella etäisyyksellä, tämä voidaan tehdä paikallisella koneellasi:
Installation|Asennus
Installing in Emacs|Asennus Emacsissa
Installing on Desktop|Asentaminen työpöydälle
Invalid Password|väärä salasana
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC on hyödyllinen monen käyttäjän keskustelussa. Klassinen käyttötapa on ohjelmistokehitykseen, jossa monet insinöörit saattavat joutua koordinoimaan toimintaansa, mutta se on myös hyödyllinen kokouksiin, bileisiin ja yleiseen seurusteluun.
It can be shown using the command:|Se voidaan näyttää komennolla:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|On mahdollista lisätä jinglejä, joita soitetaan raidojen välillä satunnaisin väliajoin. Jos jotkut USB-aseman äänitiedostosta on nimetty jingle_something.mp3, niitä käytetään jingleinä
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|On suositeltavaa lisätä SRV-tietue Matrix-sovellukseen DNS-asetuksiin. Näin teet tämän riippuen dynaamisesta DNS-palveluntarjoajaltasi ja heidän web-käyttöliittymästä. FreeDNS: ssä aliverkkotunnusten asetuksissa matriisipalvelimelle käytettävän aliverkkotunnuksen lisäksi voit luoda ylimääräisen merkinnän seuraavasti:
Italian|italialainen
Japanese|japanilainen
Jingles|Jingles
Kannada|kannada
Keep changes|Pidä muutoksia
Khmer|Khmer
Korean|Korealainen
Language|Kieli
Lao|Lao
Latvian|Latvialainen
Lithuanian|liettualainen
Malayalam|malajalam
Malaysian|Malesian
Manually upgrade now ?|Päivitä manuaalisesti nyt?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown bloggaaminen
Matrix|Matriisi
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Ehkä tämän käyttöliittymän muokkaamisen sijaan haluat käyttää omaa editoriani. Se voidaan tehdä seuraavasti:
Media broadcast|Media lähetetään
Media storage and broadcast|Median tallennus ja lähetys
Mongolian|mongolialainen
Mumble|Jupina
Music player|Musiikinsoittaja
No|Ei
No SSH public key was provided|SSH: n julkista avainta ei annettu
none|ei mitään
Norwegian|Norjan kieli
Norwegian (Primary)|Norja (ensisijainen)
Not Connected|Ei yhteyttä
Note taking|Muistiinpanojen tekemistä
Nynorsk|nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Kun olet käännöstyössä (katso ensimmäisessä vaiheessa ensimmäiset kolme vaihetta) valitse lähetä-painike.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Kun olet käännöstyössä (katso ensimmäisessä vaiheessa ensimmäiset kolme vaihetta), valitse näytön yläosassa näkyvä kielikoodi (yleensä se päättyy UTF-8: lla). Tämän jälkeen voit tarkastella raakakäännöstiedostoa.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Avaa F-droidi-sovellus ja valitse 'Asetukset' ja sitten 'Repositorit'. Varmista, että Guardian Project Official Releases on käytössä
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Avaa asetukset. Valitse Yleiset ja sitten Yhdistä Torin kautta. Tämä antaa paremman suojan, mikä vaikeuttaa vastustajien tietävän kuka puhuu kenelle. Jos Torin kautta tapahtuva yhteys ei ole luotettava ja aiheuttaa kaatumisen, poista valinta "Yhdistä Torin kautta" Yleiset asetukset -kohdasta ja käytä vain tavallista verkkotunnusta.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Avaa Keskustelut-sovellus ja valitse valikko (kolme pistettä), selaa alaspäin ja valitse "Expert Settings" ja valitse "Connect to Tor"
or|tai
Paragraphs can be dragged up and down to change their order, or moved between pages|Kappaleita voidaan vetää ylös ja alas vaihtamaan järjestystä tai siirtyä sivujen välillä
Password|Salasana
Password: |Salasana:
Paste your ssh public key here|Liitä ssh-julkinen avain täällä
Paste your translations file below|Liitä käännöstiedostot alla
Peertube allow new registrations|Peertube antaa uusia rekisteröintejä
Personal accounting|Henkilökohtainen kirjanpito
Personal or small business accounting|Henkilökohtainen tai pienyritysten kirjanpito
Photo album|valokuva-albumi
Please enter their username. This should be lower case only and with no spaces.|Anna käyttäjätunnuksesi. Tämän pitäisi olla pieni ja ilman välilyöntejä.
Please insert a USB drive|Aseta USB-asema
Please insert the USB drive to restore from now|Aseta USB-asema palamaan nyt
Please insert your backup USB drive now|Aseta varmuuskopio USB-asema nyt
Please specify stream name, description and genre|Määritä nimen, kuvauksen ja tyylilajin nimi
Please wait while your appliance is configuring|Odota, kun laite on määrittänyt
Please write down or save these credentials|Kirjoita tai tallenna nämä valtakirjat
Pleroma|pleroma
Pleroma allow new registrations|Pleroma antaa uusia rekisteröintejä
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Pleroma-asetukset
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Liitä USB-asema palvelimeen, siirry sitten Icecast-sovelluksen asetuksiin, lisää tiedot soittolistasi ja valitse 'Päivitä'
Polish|Kiillottaa
Ports|satamat
Portuguese|Portugalin kieli
Portuguese (Brazil)|Portugali (Brasilia)
Power|teho
Press the plus button to add a Mumble server.|Paina Plus-painiketta lisätäksesi Mumble-palvelimen.
Proceed with backup?|Suorita varmuuskopiointi?
Proceed with drive format?|Suorita asema?
Proceed with reset?|Jatka nollausta?
Proceed with restore?|Jatka palautus?
RAM used|Käytetty RAM
Remote access|Etäyhteys
Remove|Poistaa
Remove any backup drives now|Poista kaikki varmuuskopioasemat nyt
Remove APPNAME now?|Poista APPNAME nyt?
Remove user USERNAME?|Poista käyttäjä USERNAME?
Removing user account|Käyttäjätilien poistaminen
Reset is in progress|Nollaus on käynnissä
Reset to factory|Palauta tehdas
RESET TO FACTORY DEFAULTS|PALAUTA TEHDASALUEESEEN
Restart|Uudelleenkäynnistää
Restore|Palauttaa
Restore has failed|Palautus on epäonnistunut
Restore in progress|Palauta käynnissä
Restore is complete|Palautus on valmis
Restore of keys failed|Avainten palautus epäonnistui
Restore of keys is complete|Avainten palautus on valmis
Restore password|Palauta salasana
Restore your keys now?|Palauta avaimet nyt?
Restoring backup keys|Varmuuskopioiden avaaminen
Romanian|romanialainen
RSS Reader|RSS-lukija
Run HexChat.|Suorita HexChat.
Running backup of keys|Avainten varmuuskopiointi
Russian|Venäjän kieli
Samoan|samoa
Search again for 'Conversations' (not the legacy version), then select 'install'|Etsi uudelleen keskusteluista (ei vanhasta versiosta) ja valitse sitten "asenna"
Search for and install Plumble.|Etsi ja asenna lävistys.
Secure realtime collaboration|Turvallinen reaaliaikainen yhteistyö
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Turvallinen reaaliaikainen yhteistyö asiakirjojen, esitysten, piirustuksen ja äänestyksen kanssa. Dokumentit ovat efektejä, ja jos tallennat ne, ne poistetaan, kun suljet selaimen.
Secure Shell|Secure Shell
Select|valita
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Valitse 'Käytä' ja 'OK' ja valitse valikosta 'Palvelin' ja 'Yhdistä'.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Luo tili valitsemalla Seuraava. Jos kaikki toimivat parin minuutin kuluttua, tilien tilan muuttuminen vihreänä on "verkossa"
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Valitse haku (suurennuslasikuvake) ja etsi 'Orbot' (ei vanha versio) ja valitse 'asenna'
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Valitse kääntää-painike. Näet uuden ruudun, jossa on englanninkielinen teksti vasemmalla ja käännetty teksti oikealla.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Valitse Autojoin-kanavat -välilehti, valitse Lisää ja kirjoita kanavaan nimi #libreserver.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Valitse merkintä palvelinruudusta ja syötä ircaddress.onion/6697 tai mydomainname/6697 ja paina Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Valitse sivun vieressä näytön alaosassa oleva wiki-painike, jotta muokkaus otetaan käyttöön tai poistetaan käytöstä.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Palvelimen valitseminen painamalla sitä muodostaa yhteyden palvelimeen, jotta voit keskustella muiden liitettyjen käyttäjien kanssa
Serbian|serbialainen
Setting up on a laptop|Asentaminen kannettavaan tietokoneeseen
Setting up on Android|Asentaminen Android-laitteelle
Setting up with an Android phone|Asentaminen Android-puhelimella
Settings|asetukset
Setup on Android|Asennus Androidissa
Shortcode|Lyhyt koodi
Shutdown|Sammuttaa
Shutting down|sammutetaan
Simple kanban|Yksinkertainen Kanban
Simple Markdown blogging|Yksinkertainen Markdown bloggaaminen
Simple notes|Yksinkertaiset huomautukset
Slovak|Slovakian
Slovenian|slovenian
Somali|somali
Spanish (International)|Espanja (kansainvälinen)
SSH access is disabled|SSH-käyttö on estetty
SSH access is enabled|SSH-yhteys on käytössä
Stream Description|Stream Kuvaus
Streaming media|Streaming media
Submit|Lähetä
Submitting your translations to the LibreServer project|Käännösten lähettäminen LibreServern projektiin
Swedish|Ruotsin kieli
System Monitor|Järjestelmänvalvonta
Systems may be temporarily unavailable in the next few minutes|Järjestelmät voivat olla tilapäisesti poissa seuraavien minuuttien aikana
Tagalog|Tagalog
Tamil|tamil
Thai|thaimaalainen
Thankyou for choosing the LibreServer home internet appliance|Kiitos, kun valitsit Freedombon kotisovelluslaitteen
The account will now be removed. This may take a minute or two. For details see:|Tili poistetaan nyt. Tämä saattaa kestää hetken tai kaksi. Lisätietoja:
The classic low bandwidth chat system|Klassinen matala kaistanleveys chat-järjestelmä
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|LibreServer-järjestelmää ei ole ensisijaisesti suunnattu yrityksille tai laitoksille, mutta jos olet yksi henkilöyritys tai freelancer, silloin kykenet käyttämään omaa kirjanpitojärjestelmääsi ja pitämään tiedot yksityisesti ja myös varmuuskopioidut ovat hyödyllisiä. Akaunting tarjoaa mukavan web-pohjaisen järjestelmän pienyritysten tileille ja on myös melko käyttökelpoinen mobiiliselaimessa.
A new member is being added. This may take a minute or two.|Uusi käyttäjä lisätään. Kirjoita salasana tai tallenna se.
The passwords do not match|salasanat eivät täsmää
There are a few things to know about using the federated wiki.|Muutamia asioita on tiedettävä yhdistetyn wikin käyttämisestä.
There are no apps installed. Select the plus button above to install new apps.|Sovelluksia ei ole asennettu. Aseta uudet sovellukset valitsemalla yläpuolella oleva plus-painike.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Tämä sovellus voi olla hyödyllinen, jos sinulla on uusi lapsi tai lastenhoitopalvelu. Se auttaa hoitajia seuraamaan nukkua, ravitsemuksia, vaippamuutoksia ja mahakivaa aikaa oppia ja ennustaa vauvan tarpeet ilman paljon arvauksia.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Tämä on palvelinjärjestelmä, jonka avulla voit käyttää Internet-sovelluksia, kuten blogia tai yhdistettyä sosiaalista verkostoa.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Tämä on varmasti tietotyyppi, jota saatat haluta pitää yksityisenä ja poissa yrityksiltä, ​​jotka saattaisivat muuten käyttää vanhempainlaskennan tietojen valvontaa yrittäessään syyttää sinua ostamasta kaikenlaisia ​​roskaa, jota et todellakaan tarvitse tai joilla ei ole varaa .
This is your new password|Tämä on uusi salasana
This may take a few minutes.|Tämä saattaa kestää muutaman minuutin.
This may take a minute or two. For details see:|Tämä saattaa kestää hetken tai kaksi. Lisätietoja:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Tätä järjestelmää ei ole tarkoitus lähettää suurille yleisöille ja kuuntelijoiden yläraja asetetaan kymmeneen. Joten perhe- ja ystäväryhmä.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Tämä varmuuskopioi avaimet, jotka salaavat varmuuskopiot ja suojaavat niitä vahingossa tapahtuvalta häviämiseltä tai altistumiselta. Tämä asema on säilytettävä turvallisessa paikassa erillään muista varmuuskopioista.
This will restore the keys used to encrypt backups.|Tämä palauttaa varmuuskopioiden salaamiseen käytetyt avaimet.
To add a new paragraph use the + button|Lisää uusi kohta käyttämällä + -painiketta
To claim/fork a page from another server click on the flag icon|Voit hakea / haarata sivun toisesta palvelimesta klikkaamalla lippukuvaketta
To edit a paragraph double click on it|Voit muokata kohdan kaksoisnapsauta sitä
To remove a paragraph just delete all of its text|Poistaaksesi kappaleen, poista vain kaikki teksti
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Voit ladata musiikkitiedostoja asentamalla Synk.:n ja kopioida albumihakemistoja ~ / Sync / music_upload, sitten Koelissa siirry asetuksiin ja skannaa hakemisto / musiikki
Tor Bridges|Tor-sillat
Translate|Kääntää
Translations|käännökset
Turkish|turkki
Type: SRV|Tyyppi: SRV
Ukrainian|ukrainalainen
Uncheck use global user information.|Poista valinta käytöstä maailmanlaajuisten käyttäjätietojen avulla.
Uninstall|Uninstall
Update|Päivittää
Updates settings changed|Päivitysasetukset muuttuvat
Upgrade|parantaa
