About|hakkında
Forward the port 8448 from your internet router|İnternet yönlendiricinizden 8448 numaralı bağlantı noktasını yönlendirin
FreeDNS code:|FreeDNS kodu:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer 2013 yılında başladı. Başlangıçta Beaglebone Black donanımına dayanıyordu ve ev için internet sunucusunu yönetmek için ucuz ve basit bir FreedomBox fikrinden esinlenilmişti.
French|Fransızca
French (Canada)|Fransızca (Kanada)
From the initial screen select 'settings' then 'language'.|İlk ekrandan 'ayarlar' ve ardından 'dil' seçimini yapın.
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Menüden 'Yapılandır'ı ve ardından' Ayarlar'ı seçin. 'Gelişmiş' onay kutusunu seçin ve ardından 'Ağ' seçeneğini seçin. 'TCP modunu zorla' ve 'Socks5' proxy türünü seçin. Ana bilgisayar adı 'localhost' olarak ayarlanmalı ve port 9050 olmalıdır.
Gaelic|Kelt
Gallego|Gallego
Georgian|Gürcü
German|Almanca
German (Personal)|Almanca (Kişisel)
Git repo management|Git repo yönetimi
Go Back|Geri dön
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|F-droid başlangıç ​​ekranına geri dönün ve depoları aşağı doğru kaydırarak güncelleyin. "Depoları güncelleyerek" yazdığını göreceksiniz. Bu, birkaç dakika sürebilir.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Konuşmalar uygulamasının başlangıç ​​ekranına geri dönün, menüyü tekrar seçin, ardından 'Hesapları yönetin'. Yanındaki artı ile birlikte kişi simgesini seçerek bir hesap ekleyin.
Gogs allow new registrations|Gogs yeni kayıtlara izin veriyor
Greek|Yunan
Gujarati|Gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Giriş bilgilerini yazdınız veya kaydettiniz ve herhangi bir yedek sürücüyü sistemden sildin mi?
Hebrew|İbranice
Help|yardım et
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Bakım verenlerin uykuyu, beslemeleri, bebek bezini değiştirmelerini ve karın sürelerini takip etmelerine yardımcı olur
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Bakım görevlilerinin bebeklerin ihtiyaçlarını tahmin etmek ve tahmin etmek için uyku, beslenme, bebek bezi değişiklikleri ve karın sürelerini tahmin etmelerine yardımcı olur.
here|İşte
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (eski XChat), Tor üzerinden proxy ile uyumludur ve böylece IRC sunucunuza bağlanırken en iyi güvenliği sağlar. IRC sunucunuzun soğan adresinize bağlanmanızı sağlar.
Hindi|Hintçe
How to do translations|Çeviri nasıl yapılır?
Hungarian|Macarca
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast oldukça yoğun bir işlemci. Örneğin A20 tabanlı bir sistemde, CPU kaynağının yaklaşık% 70'i alınır. Bu, birden çok uygulama çalıştırıyor olmanızın farkında olmanız gereken bir şeydir.
Icecast is updating|Icecast güncelleniyor
Icelandic|İzlandaca
Icons on the website and user interfaces are by Rashid Mhar.|Web sitesi ve kullanıcı arayüzlerindeki simgeler Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Emacs kullanıcısıysanız, Emacs üzerinden IRC sunucunuza da bağlanabilirsiniz.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Soğan adresini kullanıyorsanız, SSL kullanıp işaretlememelisiniz ve taşıma şifrelemesi soğan adresi üzerinden ele alınacaktır.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Normal alan adını (clearnet / ICANN) kullanıyorsanız, SSL kullan'ın işaretli olduğundan emin olun.
If you don't have a domain then just select Continue|Bir alan adınız yoksa, sadece Devam'ı seçin.
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Orbot yüklü değilse, açılır menüden Guardian Project deposunu etkinleştirin ve kurun.
If you don't need a password then just leave this blank and select Update|Eğer bir şifreye ihtiyacınız yoksa, sadece bu boş bırakın ve Güncelle'yi seçin.
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Eğer bir USB takılıysa, akışın çalıştığını doğrulayana kadar
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Soğan adreslerine erişme konusunda sorun yaşıyorsanız, aşağıda bazı Tor köprülerini yapıştırın. Https://bridges.torproject.org/bridges adresine bakın.
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Eğer Element mobil uygulamanızı Matrix ev sunucunuza erişmek için kullanıyorsanız, o zaman ayarlara gidip 'Senkronizasyon isteği zaman aşımını' 30 saniye ve 'İki eşitleme isteği arasındaki gecikme' 600 saniyeye kadar değiştirerek pil performansını önemli ölçüde artırabilirsiniz. Ayrıca, grup sohbeti gerçekleştiğinde bir bildirim almayı engelleyeceğinden, daha sonra ekranı uyandırdığı için, 'grup sohbetlerindeki msj'ler' kapatılır.
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Çevirileriniz kabul edilirse, daha sonra proje akışında görünecek ve herkes tarafından kullanılabilir olacak.
Import|İthalat
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|Bir Tor tarayıcısında Icecast için soğan adresine gidin ve akışı izleyebilirsiniz
Indonesian|Endonezya
Initial login|İlk giriş
Initial Setup|İlk kurulum
Install|kurmak
Install APPNAME now?|APPNAME şimdi yüklensin mi?
Install F-Droid|F-Droid'i Kurun
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|HexChat'i kurun ve yapılandırma dosyasını ayarlayın. Bir Debian veya Arch tabanlı dağıtımda çalıştığınızı varsayarsak, bu sizin yerel makinenizde şu şekilde yapılabilir:
Installation|Kurulum
Installing in Emacs|Emacs'te yükleme
Installing on Desktop|Masaüstüne Yükleme
Invalid Password|geçersiz şifre
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC, çok kullanıcılı sohbet için kullanışlıdır. Klasik kullanım durumu, birçok mühendisin faaliyetlerini koordine etmesi gereken yazılım geliştirme içindir, ancak toplantılar, partiler ve genel sosyalleşme için de yararlıdır.
It can be shown using the command:|Komut kullanılarak gösterilebilir:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Rastgele aralıklarla parçalar arasında oynanacak jingle'lar eklemek mümkündür. USB sürücünüzdeki ses dosyalarından bazıları jingle_something.mp3 olarak adlandırılmışsa, bunlar jingle olarak kullanılacaktır.
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|DNS kurulumunuza Matrix için bir SRV kaydı eklemeniz önerilir. Bunu nasıl yapacağınız, dinamik DNS sağlayıcınıza ve web arayüzüne bağlı olacaktır. Alt etki alanları üzerindeki FreeDNS'de, matris sunucusu için kullandığınız alt etki alanına ek olarak aşağıdaki gibi ek bir giriş oluşturulur:
Italian|İtalyan
Japanese|Japonca
Jingles|Jingles
Kannada|Kannada
Keep changes|Değişiklikleri Koru
Khmer|Kmer
Korean|Koreli
Language|Dil
Lao|Lao
Latvian|Letonyalı
Lithuanian|Litvanyalı
Malayalam|Malayalam
Malaysian|Malezyalı
Manually upgrade now ?|Şimdi yeni sürüme mi geçmelisiniz?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown blog
Matrix|Matris
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Belki bu kullanıcı arayüzünde düzenleme yapmak yerine kendi editörünüzü kullanmayı tercih edersiniz. Bu aşağıdaki gibi yapılabilir:
Media broadcast|Medya yayını
Media storage and broadcast|Medya depolama ve yayın
Mongolian|Moğolca
Mumble|Mırıltı
Music player|Müzik çalar
No|Yok hayır
No SSH public key was provided|SSH genel anahtarı verilmedi
none|Yok
Norwegian|Norveççe
Norwegian (Primary)|Norveççe (Birincil)
Not Connected|Bağlı değil
Note taking|Not alma
Nynorsk|Nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Çeviriler ekranındayken (yukarıdaki bölümdeki ilk üç adımı inceleyin) 'Gönder' düğmesini seçin.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Çeviriler ekranındayken (yukarıdaki bölümdeki ilk üç adımı izleyin) ekranın üst kısmında gösterilen dil kodunu seçin (genellikle UTF-8 ile biter). Daha sonra ham çeviriler dosyasını görebilirsiniz.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|F-droid uygulamasını açın ve 'Ayarlar' ardından 'Depolar' seçeneğini seçin. 'Guardian Project Official Releases' uygulamasının etkinleştirildiğinden emin olun.
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Ayarları aç. 'Genel' seçeneğini, ardından 'Tor ile bağlan'ı seçin. Bu, daha iyi koruma sağlayacak ve düşmanların kiminle kimin konuştuğunu bilmesini zorlaştırır. Tor üzerinden bağlantı güvenilir değilse ve çökmelere neden oluyorsa, 'Genel ayarlar' kısmında 'Tor ile bağlan' seçimini kaldırın ve sonra sadece normal alan adınızı kullanın.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Konuşmalar uygulamasını açın ve menüyü (üç nokta) seçin, aşağı kaydırın ve 'Uzman Ayarları'nı seçin ve ardından' Bağlanmaya Bağlan'ı seçin.
or|veya
Paragraphs can be dragged up and down to change their order, or moved between pages|Paragraflar, sırasını değiştirmek veya sayfalar arasında taşınmak için yukarı ve aşağı sürüklenebilir.
Password|Parola
Password: |Parola:
Paste your ssh public key here|Ssh genel anahtarınızı buraya yapıştırın
Paste your translations file below|Çeviri dosyanızı aşağıya yapıştırın
Peertube allow new registrations|Peertube yeni kayıtlara izin veriyor
Personal accounting|Kişisel muhasebe
Personal or small business accounting|Kişisel veya küçük işletme muhasebesi
Photo album|fotoğraf albümü
Please enter their username. This should be lower case only and with no spaces.|Lütfen kullanıcı adlarını giriniz. Bu sadece küçük harf ve boşluk içermemelidir.
Please insert a USB drive|Lütfen bir USB sürücü takın
Please insert the USB drive to restore from now|Lütfen şimdi geri yüklemek için USB sürücüsünü takın
Please insert your backup USB drive now|Lütfen şimdi yedek USB sürücünüzü takın
Please specify stream name, description and genre|Lütfen akış adını, açıklamasını ve türünü belirtin
Please wait while your appliance is configuring|Cihazınız yapılandırırken lütfen bekleyin
Please write down or save these credentials|Lütfen bu bilgileri yazın veya kaydedin
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma yeni kayıtlara izin verir
Pleroma Custom Emoji|Pleroma Özel Emoji
Pleroma Settings|Pleroma Ayarları
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|USB sürücüsünü sunucunuza takın, sonra Icecast uygulama ayarlarına gidin, çalma listeniz hakkında bazı ayrıntılar ekleyin ve 'Güncelle' seçeneğini belirleyin.
Polish|Polonya
Ports|Limanlar
Portuguese|Portekizce
Portuguese (Brazil)|Portekizce (Brezilya)
Power|Güç
Press the plus button to add a Mumble server.|Bir Mumble sunucusu eklemek için artı düğmesine basın.
Proceed with backup?|Yedekleme ile devam edilsin mi?
Proceed with drive format?|Sürücü formatı ile devam edilsin mi?
Proceed with reset?|Sıfırlama ile devam edilsin mi?
Proceed with restore?|Geri yükleme ile devam edilsin mi?
RAM used|RAM kullanıldı
Remote access|Uzaktan erişim
Remove|Kaldır
Remove any backup drives now|Şimdi herhangi bir yedek sürücüyü kaldırın
Remove APPNAME now?|APPNAME şimdi kaldırılsın mı?
Remove user USERNAME?|USERNAME kullanıcısını kaldır
Removing user account|Kullanıcı hesabı kaldırılıyor
Reset is in progress|Sıfırlama devam ediyor
Reset to factory|Fabrika ayarlarına dön
RESET TO FACTORY DEFAULTS|FABRİKA VARSAYILANLARINA SIFIRLAYIN
Restart|Tekrar başlat
Restore|Restore
Restore has failed|Geri yükleme başarısız oldu
Restore in progress|Geri yükleme işlemi devam ediyor
Restore is complete|Geri yükleme tamamlandı
Restore of keys failed|Anahtarların geri yüklenmesi başarısız oldu
Restore of keys is complete|Anahtarların geri yüklenmesi tamamlandı
Restore password|Şifreyi geri yükle
Restore your keys now?|Anahtarlarınızı şimdi mi geri yükleyin?
Restoring backup keys|Yedekleme anahtarlarını geri yükleme
Romanian|Romen
RSS Reader|RSS Okuyucu
Run HexChat.|HexChat'i çalıştırın.
Running backup of keys|Anahtarların yedeklenmesi
Russian|Rusça
Samoan|Samoa
Search again for 'Conversations' (not the legacy version), then select 'install'|'Sohbetler' için tekrar arama yapın (eski sürüm değil), ardından 'yükle'yi seçin.
Search for and install Plumble.|Plumble'ı arayın ve yükleyin.
Secure realtime collaboration|Güvenli gerçek zamanlı işbirliği
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Dokümanlar, sunumlar, çizim ve oylama ile gerçek zamanlı işbirliği yapın. Belgeler, geçici ve tarayıcıyı kapattığınızda bunları kaydetmediğiniz sürece silinir.
Secure Shell|Güvenli Kabuk
Select|seçmek
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|'Uygula' ve 'Tamam'ı, ardından' Sunucu 've' Bağlan 'menüsünde seçin.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Hesabı oluşturmak için 'İleri'yi seçin. Eğer birkaç dakika sonra her şey çalışıyorsa, hesap durumu değişikliğini yeşil renkte 'çevrimiçi' olarak görmelisiniz.
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Arama öğesini (büyüteç simgesi) seçin ve 'Orbot' (eski sürüm değil) 'i arayın ve ardından' yükle'yi seçin.
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|'Çevir' düğmesini seçin. Solda İngilizce metin ve sağda çevrilmiş metin ile yeni bir ekran göreceksiniz.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Kanalları otomatikleştir sekmesini seçin, Ekle'yi tıklayın ve kanal adı olarak #libreserver girin.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Sunucu kutusundaki girişi seçin, sonra ircaddress.onion/6697 veya mydomainname/6697 girin ve Enter tuşuna basın.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Düzenlemeyi etkinleştirmek veya devre dışı bırakmak için ekranın altındaki wiki düğmesini, sayfaların yanında seçin.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Üzerine basarak sunucuyu seçmek, diğer bağlı kullanıcılar ile sohbet edebilmeniz için sizi sunucuya bağlar.
Serbian|Sırpça
Setting up on a laptop|Bir dizüstü bilgisayarda kurma
Setting up on Android|Android'de kurma
Setting up with an Android phone|Android telefon ile kurma
Settings|Ayarlar
Setup on Android|Android'de kurulum
Shortcode|Kısa kod
Shutdown|Kapat
Shutting down|Kapatmak
Simple kanban|Basit kanban
Simple Markdown blogging|Basit Markdown bloglama
Simple notes|Basit notlar
Slovak|Slovak
Slovenian|Sloven
Somali|Somalili
Spanish (International)|İspanyolca (Uluslararası)
SSH access is disabled|SSH erişimi devre dışı
SSH access is enabled|SSH erişimi etkinleştirildi
Stream Description|Akış Açıklaması
Streaming media|Akış medya
Submit|Gönder
Submitting your translations to the LibreServer project|Çevirilerinizi LibreServer projesine göndermek
Swedish|İsveççe
System Monitor|Sistem Monitörü
Systems may be temporarily unavailable in the next few minutes|Sistemler önümüzdeki birkaç dakika içinde geçici olarak kullanılamayabilir
Tagalog|Tagalog
Tamil|Tamilce
Thai|Tayland
Thankyou for choosing the LibreServer home internet appliance|LibreServer ev internet cihazını tercih ettiğiniz için teşekkür ederiz
The account will now be removed. This may take a minute or two. For details see:|Hesap şimdi kaldırılacak. Bu bir iki dakika sürebilir. Ayrıntılar için bakınız:
The classic low bandwidth chat system|Klasik düşük bant genişliği sohbet sistemi
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|LibreServer sistemi öncelikli olarak şirketlere veya kurumlara yönelik değildir, ancak eğer bir tek kişi şirket ya da serbest meslek sahibi iseniz, o zaman kendi muhasebe sisteminizi yönetme ve verileri özel tutma ve yedekleme de yararlıdır. Akaunting, küçük işletme hesapları için güzel bir web tabanlı sistem sağlar ve aynı zamanda bir mobil web tarayıcısında da kullanılabilir.
A new member is being added. This may take a minute or two.|Yeni kullanıcı ekleniyor. Yazmak veya şifresini kaydetmek.
The passwords do not match|Şifreler eşleşmiyor
There are a few things to know about using the federated wiki.|Federal wiki'yi kullanmayla ilgili bilmeniz gereken birkaç şey var.
There are no apps installed. Select the plus button above to install new apps.|Yüklü uygulama yok. Yeni uygulamalar yüklemek için yukarıdaki artı düğmesini seçin.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Yeni bir çocuk veya bebek bakıcılığı göreviniz varsa bu uygulama yararlı olabilir. Bakım görevlilerinin bebeğin ihtiyaçlarını tahmin etmek ve tahmin etmek için uyku, beslenme, bebek bezi değişiklikleri ve karın zamanlarını tahmin etmelerine yardımcı olur.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Bu, blog veya federe sosyal ağ gibi internet uygulamalarını çalıştırmanızı sağlayan bir sunucu sistemidir.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Bu, özel olarak saklamak isteyebileceğiniz ve gerçekte ihtiyacınız olmayan ya da karşılayamayacağınız her türlü çöpü satın almak için sizi suçlamak için ebeveynlik uygulama verilerinin gözetimini kullanabilecek şirketlerden uzakta olabilecek verilerin türüdür. .
This is your new password|Bu yeni şifreniz
This may take a few minutes.|Bu bir kaç dakika alabilir.
This may take a minute or two. For details see:|Bu bir iki dakika sürebilir. Ayrıntılar için bakınız:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Bu sistem geniş kitlelere yayın yapmak için tasarlanmamıştır ve dinleyicilerin üst limiti on olarak belirlenmiştir. Yani bir aile ve arkadaş grubu yazın.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Bu, yedeklerinizi şifreleyen anahtarların bir yedeğini oluşturarak kazayla kayıplara veya pozlamaya karşı koruyacaktır. Bu sürücüyü diğer yedeklerden ayrı olarak güvenli bir yerde saklamalısınız.
This will restore the keys used to encrypt backups.|Bu, yedekleri şifrelemek için kullanılan anahtarları geri yükler.
To add a new paragraph use the + button|Yeni bir paragraf eklemek için + düğmesini kullanın
To claim/fork a page from another server click on the flag icon|Başka bir sunucudan bir sayfayı istemek / çatallandırmak için bayrak simgesine tıklayın
To edit a paragraph double click on it|Bir paragrafı düzenlemek için üzerine çift tıklayın
To remove a paragraph just delete all of its text|Bir paragrafı kaldırmak için tüm metnini silin
