About|حول
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|من القائمة ، حدد "تكوين" ثم "إعدادات". حدد مربع الاختيار "خيارات متقدمة" ، ثم حدد "الشبكة". حدد "وضع بروتوكول TCP" ونوع الوكيل "Socks5". يجب تعيين اسم المضيف على "localhost" ويجب أن يكون المنفذ 9050.
Gaelic|الغيلية
Gallego|غاليغو
Georgian|الجورجية
German|ألمانية
German (Personal)|الألمانية (شخصية)
Git repo management|إدارة git repo
Go Back|عُد
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|عد إلى الشاشة الأولية F-droid وقم بتحديث المستودعات بالتمرير لأسفل. سترى أنه يقول "تحديث المستودعات". وهذا قد يستغرق بضع دقائق.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|ارجع إلى الشاشة الأولية لتطبيق Conversations ، وحدد القائمة مرة أخرى ، ثم "إدارة الحسابات". أضف حسابًا عن طريق تحديد رمز الشخص مع علامة الجمع المجاورة له.
Gogs allow new registrations|Gogs السماح بالتسجيلات الجديدة
Greek|الإغريقي
Gujarati|الغوجاراتية
Have you written down or saved the login credentials and removed any backup drives from the system?|هل قمت بتدوين بيانات اعتماد تسجيل الدخول أو حفظها وإزالة أي محركات أقراص احتياطية من النظام؟
Hebrew|اللغة العبرية
Help|مساعدة
Helps caregivers track sleep, feedings, diaper changes, and tummy time|يساعد مقدمي الرعاية على تتبع النوم ، والوجبات الغذائية ، وتغييرات الحفاضة ، ووقت المعدة
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|يساعد مقدمي الرعاية على تتبع النوم ، والوجبات الغذائية ، وتغييرات الحفاضات ، ووقت المعدة لمعرفة احتياجات الطفل والتنبؤ بها دون القيام بأي قدر من التخمين.
here|هنا
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|يتوافق HexChat (XChat سابقًا) مع Proxying عبر Tor ويوفر أفضل أمان عند الاتصال بخادم IRC. سيسمح لك بالاتصال بعنوان البصل الخاص ب IRC.
Hindi|الهندية
How to do translations|كيف نفعل الترجمات
Hungarian|الهنغارية
Icecast|يسكاست
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast هو مكثف جدا وحدة المعالجة المركزية. على سبيل المثال ، في نظام A20 يعتمد حوالي 70٪ من مورد وحدة المعالجة المركزية. هذا أمر يجب أن تدركه إذا كنت تستخدم تطبيقات متعددة
Icecast is updating|Icecast يتم تحديث
Icelandic|أيسلندي
Icons on the website and user interfaces are by Rashid Mhar.|الأيقونات على الموقع وواجهات المستخدم هي رشيد مهر.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|إذا كنت من مستخدمي Emacs ، فيمكنك أيضًا الاتصال بخادم IRC عبر Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|إذا كنت تستخدم عنوان البصلة ، فيجب عدم استخدام SSL وسيتم التعامل مع تشفير النقل عبر عنوان البصلة نفسه.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|إذا كنت تستخدم اسم النطاق العادي (clearnet / ICANN) ، فتأكد من تحديد استخدام SSL.
If you don't have a domain then just select Continue|إذا لم يكن لديك نطاق ، فما عليك سوى اختيار متابعة
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|إذا لم يكن لديك Orbot مثبتًا ، فقم بتمكين مستودع مشروع Guardian Project من القائمة المنسدلة وقم بتثبيته.
If you don't need a password then just leave this blank and select Update|إذا لم تكن بحاجة إلى كلمة مرور ، فما عليك سوى تركها فارغة وتحديد تحديث
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|إذا كان لديك منفذ USB مثبت ، فقم بإدخاله حتى تتمكن من التأكد من أن الدفق يعمل
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|إذا واجهتك مشكلة في الوصول إلى عناوين البصل ، فاضغط على بعض جسور Tor أدناه. انظر https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|إذا كنت تستخدم تطبيق Element للدخول إلى Matrix homeserver ، فيمكنك تحسين أداء البطارية بشكل ملحوظ عن طريق الانتقال إلى الإعدادات وتغيير "مهلة طلب المزامنة" إلى 30 ثانية و "التأخير بين طلبين متزامنين" إلى 600 ثانية. سيؤدي أيضًا إيقاف "الرسائل في الدردشات الجماعية" إلى المساعدة ، حيث سيتجنب الحصول على إشعار عند حدوث حدث دردشة جماعي ، والذي يستيقظ بعد ذلك على الشاشة
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|إذا تم قبول ترجماتك ، فستظهر لاحقًا في مشروع المنبع وستكون قابلة للاستخدام من قبل أي شخص.
Import|استيراد
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|في متصفح تور ، انتقل إلى عنوان البصل الخاص بـ Icecast ويمكنك بعد ذلك تشغيل الدفق
Indonesian|الأندونيسية
Initial login|الدخول المبدئي
Initial Setup|الإعداد الأولي
Install|التثبت
Install APPNAME now?|هل تريد تثبيت APPNAME الآن؟
Install F-Droid|تثبيت F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|قم بتثبيت HexChat وقم بإعداد ملف التكوين الخاص به. بافتراض أنك تعمل على توزيعة ديبيان أو آرتش ، يمكن القيام بذلك على جهازك المحلي مع:
Installation|التركيب
Installing in Emacs|التثبيت في إيماكس
Installing on Desktop|التثبيت على سطح المكتب
Invalid Password|رمز مرور خاطئ
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC مفيد للدردشة متعددة المستخدمين. حالة الاستخدام الكلاسيكية هي لتطوير البرمجيات حيث قد يحتاج العديد من المهندسين لتنسيق أنشطتهم ، ولكن من المفيد أيضا للاجتماعات والأطراف وعامة الاجتماعية.
It can be shown using the command:|يمكن إظهاره باستخدام الأمر:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|من الممكن إضافة الأناشيد التي ستلعب بين المسارات على فترات عشوائية. إذا تم تسمية بعض ملفات الصوت على محرك أقراص USB باسم jingle_something.mp3 ، فسيتم استخدامها كأغاني
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|يوصى بإضافة سجل SRV لـ Matrix إلى إعداد DNS الخاص بك. تعتمد كيفية القيام بذلك على مزود DNS الديناميكي الخاص بك وواجهة الويب الخاصة به. على FreeDNS على إعدادات النطاقات الفرعية بالإضافة إلى النطاق الفرعي الذي تستخدمه لخادم المصفوفة ، قم بإنشاء إدخال إضافي على النحو التالي:
Italian|الإيطالي
Japanese|اليابانية
Jingles|الأناشيد
Kannada|الكانادا
Keep changes|حفظ التغييرات
Khmer|الخمير
Korean|الكورية
Language|لغة
Lao|لاو
Latvian|اللاتفية
Lithuanian|اللتوانية
Malayalam|المالايالامية
Malaysian|الماليزية
Manually upgrade now ?|الترقية يدويًا الآن؟
Maori (Ngai Tahu)|الماوري (نغاي تاهو)
Maori (Waikoto Uni)|ماوري (وايكوتو يوني)
Markdown blogging|المدونات التدوين
Matrix|مصفوفة
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|ربما بدلاً من التعديل داخل واجهة المستخدم هذه ، تفضل استخدام المحرر الخاص بك. يمكن القيام بذلك على النحو التالي:
Media broadcast|بث الوسائط
Media storage and broadcast|تخزين الوسائط والبث
Mongolian|المنغولية
Mumble|غمغم
Music player|مشغل الموسيقى
No|لا
No SSH public key was provided|لم يتم توفير مفتاح عام SSH
none|لا شيء
Norwegian|النرويجية
Norwegian (Primary)|نرويجي (أساسي)
Not Connected|غير متصل
Note taking|أخذ الملاحظات
Nynorsk|النرويجي
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|بمجرد ظهورك على شاشة الترجمة (انظر الخطوات الثلاث الأولى في القسم الأول أعلاه) ، حدد الزر "إرسال".
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|بمجرد ظهورك على شاشة الترجمات (راجع الخطوات الثلاث الأولى في القسم الأول أعلاه) ، حدد رمز اللغة المعروض أعلى الشاشة (عادةً ما ينتهي بـ UTF-8). يمكنك بعد ذلك مشاهدة ملف الترجمات الأولية.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|افتح تطبيق F-droid واختر "Settings" ثم "Repositories". تأكد من تمكين "الإصدارات الرسمية لمشروع Guardian"
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|افتح الإعدادات. اختر "عام" ، ثم "الاتصال عبر تور". هذا سيوفر حماية أفضل ، مما يزيد من صعوبة على الأعداء معرفة من يتحدث مع من. إذا كان الاتصال عبر Tor غير موثوق به ويتسبب في حدوث أعطال ، فقم بإلغاء تحديد "الاتصال عبر Tor" في "الإعدادات العامة" ثم استخدم اسم النطاق العادي الخاص بك.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|افتح تطبيق Conversations وحدد القائمة (ثلاث نقاط) ، ثم قم بالتمرير لأسفل واختر "إعدادات الخبير" ثم اختر "Connect to Tor"
or|أو
Paragraphs can be dragged up and down to change their order, or moved between pages|يمكن سحب الفقرات لأعلى ولأسفل لتغيير ترتيبها ، أو نقلها بين الصفحات
Password|كلمه السر
Password: |كلمه السر:
Paste your ssh public key here|قم بلصق مفتاح ssh الخاص بك هنا
Paste your translations file below|قم بلصق ملف الترجمات الخاص بك أدناه
Peertube allow new registrations|Peertube تسمح بالتسجيلات الجديدة
Personal accounting|المحاسبة الشخصية
Personal or small business accounting|المحاسبة الشخصية أو الأعمال التجارية الصغيرة
Photo album|إلبوم الصور
Please enter their username. This should be lower case only and with no spaces.|يرجى إدخال اسم المستخدم الخاص بهم. هذا يجب أن يكون أقل حالة فقط وبدون مسافات.
Please insert a USB drive|يرجى إدخال محرك أقراص USB
Please insert the USB drive to restore from now|الرجاء إدخال محرك أقراص USB للاستعادة من الآن
Please insert your backup USB drive now|الرجاء إدخال محرك أقراص USB الاحتياطي الآن
Please specify stream name, description and genre|يرجى تحديد اسم الدفق والوصف والنوع
Please wait while your appliance is configuring|الرجاء الانتظار حتى يتم تهيئة الجهاز
Please write down or save these credentials|يرجى كتابة أو حفظ بيانات الاعتماد هذه
Pleroma|الملأ الأعلى
Pleroma allow new registrations|Pleroma تسمح التسجيلات الجديدة
Pleroma Custom Emoji|Pleroma مخصص تعبيري
Pleroma Settings|إعدادات Pleroma
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|قم بتوصيل محرك أقراص USB بالملقم ، ثم انتقل إلى إعدادات تطبيق Icecast ، وأضف بعض التفاصيل حول قائمة التشغيل الخاصة بك ، واختر "تحديث"
Polish|البولندي
Ports|الموانئ
Portuguese|البرتغالية
Portuguese (Brazil)|البرتغالية (البرازيل).
Power|قوة
Press the plus button to add a Mumble server.|اضغط على زر زائد لإضافة خادم Mumble.
Proceed with backup?|المضي قدما في النسخ الاحتياطي؟
Proceed with drive format?|المضي قدما في تنسيق محرك الأقراص؟
Proceed with reset?|المضي قدما في إعادة؟
Proceed with restore?|المضي قدما في استعادة؟
RAM used|تستخدم ذاكرة الوصول العشوائي
Remote access|الوصول عن بعد
Remove|إزالة
Remove any backup drives now|قم بإزالة أي محركات أقراص النسخ الاحتياطي الآن
Remove APPNAME now?|هل تريد إزالة APPNAME الآن؟
Remove user USERNAME?|هل تريد إزالة المستخدم USERNAME؟
Removing user account|إزالة حساب المستخدم
Reset is in progress|إعادة التعيين قيد التقدم
Reset to factory|إعادة تعيين لمصنع
RESET TO FACTORY DEFAULTS|الرجوع الى ضبط المصنع
Restart|إعادة بدء
Restore|استعادة
Restore has failed|فشل الاستعادة
Restore in progress|استعادة في التقدم
Restore is complete|اكتمل الاستعادة
Restore of keys failed|فشل استعادة المفاتيح
Restore of keys is complete|اكتمل استعادة المفاتيح
Restore password|استعادة كلمة المرور
Restore your keys now?|استعادة مفاتيحك الآن؟
Restoring backup keys|استعادة مفاتيح النسخ الاحتياطي
Romanian|روماني
RSS Reader|قارئ RSS
Run HexChat.|تشغيل HexChat.
Running backup of keys|تشغيل النسخ الاحتياطي للمفاتيح
Russian|الروسية
Samoan|ساموا
Search again for 'Conversations' (not the legacy version), then select 'install'|ابحث مرة أخرى عن "المحادثات" (وليس النسخة القديمة) ، ثم حدد "تثبيت"
Search for and install Plumble.|البحث عن وتثبيت Plumble.
Secure realtime collaboration|تعاون آمن في الوقت الفعلي
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|تعاون آمن في الوقت الفعلي مع المستندات والعروض التقديمية والرسم والتصويت. تكون المستندات سريعة الزوال وإلا سيتم حذفها عند إغلاق المتصفح.
Secure Shell|صدفه آمنه
Select|تحديد
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|حدد "تطبيق" و "موافق" ، ثم في القائمة "الخادم" و "الاتصال".
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|اختر "التالي" لإنشاء الحساب. إذا عملت eveything بعد بضع دقائق ، يجب أن تلاحظ تغيير حالة الحساب إلى "عبر الإنترنت" باللون الأخضر
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|حدد البحث (رمز العدسة المكبرة) وابحث عن "Orbot" (وليس الإصدار القديم) ، ثم حدد "تثبيت"
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|حدد زر "الترجمة". سترى شاشة جديدة بها نص باللغة الإنجليزية على اليسار ونص مترجم على اليمين.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|حدد علامة التبويب قنوات Autojoin ، وانقر فوق إضافة وأدخل #libreserver كاسم القناة.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|حدد الإدخال داخل مربع الخوادم ، ثم أدخل ircaddress.onion/6697 أو mydomainname/6697 واضغط على Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|حدد زر wiki في الجزء السفلي من الشاشة ، بجوار الصفحات ، لتمكين التحرير أو تعطيله.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|اختيار الخادم بالضغط عليه ثم توصيلك بالخادم بحيث يمكنك الدردشة مع المستخدمين المتصلين الآخرين
Serbian|صربي
Setting up on a laptop|الإعداد على جهاز كمبيوتر محمول
Setting up on Android|الإعداد على Android
Setting up with an Android phone|الإعداد مع هاتف Android
Settings|إعدادات
Setup on Android|الإعداد على Android
Shortcode|رمز قصير
Shutdown|اغلق
Shutting down|اغلاق
Simple kanban|كانبان بسيط
Simple Markdown blogging|التدوين بسيط Markdown
Simple notes|ملاحظات بسيطة
Slovak|السلوفاكية
Slovenian|سلوفيني
Somali|الصومالية
Spanish (International)|الاسبانية (الدولية)
SSH access is disabled|تم تعطيل دخول SSH
SSH access is enabled|يتم تمكين وصول SSH
Stream Description|تيار الوصف
Streaming media|وسائل الأعلام التي تبث عبر الشبكة العنكبوتية
Submit|خضع
Submitting your translations to the LibreServer project|تقديم ترجماتك لمشروع LibreServer
Swedish|اللغة السويدية
System Monitor|مراقب النظام
Systems may be temporarily unavailable in the next few minutes|قد تكون الأنظمة غير متوفرة مؤقتًا في الدقائق القليلة التالية
Tagalog|التغالوغ
Tamil|التاميل
Thai|التايلاندية
Thankyou for choosing the LibreServer home internet appliance|شكرًا لك على اختيار جهاز LibreServer home للإنترنت
The account will now be removed. This may take a minute or two. For details see:|سيتم الآن إزالة الحساب. قد يستغرق هذا دقيقة أو اثنتين. لمزيد من التفاصيل ، انظر:
The classic low bandwidth chat system|نظام الدردشة الكلاسيكي منخفض النطاق
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|لا يهدف نظام LibreServer بشكل أساسي إلى الشركات أو المؤسسات ، ولكن إذا كنت شركة شخص واحد أو شخص مستقل ، فإن امتلاكك القدرة على تشغيل نظام المحاسبة الخاص بك والحفاظ على خصوصية البيانات والمساندة الاحتياطية أمر مفيد أيضًا. يوفر Akaunting نظامًا رائعًا يستند إلى الويب لحسابات الشركات الصغيرة ، كما أنه قابل للاستخدام على نطاق واسع داخل متصفح الويب للجوال.
A new member is being added. This may take a minute or two.|يتم إضافة المستخدم الجديد. اكتب كلمة المرور أو احفظها.
The passwords do not match|كلمات السر لا تتطابق
There are a few things to know about using the federated wiki.|هناك بعض الأشياء التي يجب معرفتها حول استخدام الويكي المتحد.
There are no apps installed. Select the plus button above to install new apps.|لا توجد تطبيقات مثبتة. حدد زر الإضافة أعلاه لتثبيت تطبيقات جديدة.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|قد يكون هذا التطبيق مفيدًا إذا كان لديك طفل جديد أو رسوم مجالسة الأطفال. ويساعد مقدمي الرعاية على تتبع النوم ، والوجبات الغذائية ، وتغييرات الحفاضات ، ووقت المعدة لمعرفة احتياجات الطفل والتنبؤ بها دون القيام بأي قدر من التخمين.
This is a server system which enables you to run internet apps such as a blog or federated social network.|هذا نظام خادم يمكّنك من تشغيل تطبيقات الإنترنت مثل مدونة أو شبكة اجتماعية متحدة.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|هذا بالتأكيد هو نوع البيانات التي قد ترغب في الاحتفاظ بها خاصة وبعيدًا عن الشركات التي قد تستخدم بيانات مراقبة الأبوة والأمومة لمحاولة استدراجك إلى شراء جميع أنواع النفايات غير الضرورية التي لا تحتاج إليها أو لا تستطيع .
This is your new password|هذه هي كلمة مرورك الجديدة
This may take a few minutes.|قد يستغرق هذا بضع دقائق.
This may take a minute or two. For details see:|قد يستغرق هذا دقيقة أو اثنتين. لمزيد من التفاصيل ، انظر:
