About|Über
Khmer|Khmer
Korean|Koreanisch
Language|Sprache
Lao|Lao
Latvian|lettisch
Lithuanian|litauisch
Malayalam|Malayalam
Malaysian|malaysisch
Manually upgrade now ?|Jetzt manuell aktualisieren?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown Bloggen
Matrix|Matrix
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Vielleicht verwenden Sie lieber einen eigenen Editor, anstatt diese Benutzeroberfläche zu bearbeiten. Das kann wie folgt gemacht werden:
Media broadcast|Mediensendung
Media storage and broadcast|Medienspeicherung und -übertragung
Mongolian|mongolisch
Mumble|Murmeln
Music player|Musikspieler
No|Nein
No SSH public key was provided|Es wurde kein öffentlicher SSH-Schlüssel bereitgestellt
none|keiner
Norwegian|norwegisch
Norwegian (Primary)|Norwegisch (Grundschule)
Not Connected|Nicht verbunden
Note taking|Notizen
Nynorsk|Nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Sobald Sie auf dem Übersetzungsbildschirm sind (siehe die ersten drei Schritte im ersten Abschnitt oben), wählen Sie die Schaltfläche "Senden".
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Sobald Sie sich auf dem Übersetzungsbildschirm befinden (siehe die ersten drei Schritte im ersten Abschnitt oben), wählen Sie den oben auf dem Bildschirm angezeigten Sprachcode (normalerweise endet er mit UTF-8). Sie können dann die rohe Übersetzungsdatei sehen.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Öffne die F-Droid App und wähle 'Einstellungen' und dann 'Repositories'. Stellen Sie sicher, dass "Guardian Project Official Releases" aktiviert ist
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Öffnen Sie die Einstellungen. Wählen Sie "Allgemein" und dann "Verbindung über Tor". Dies wird einen besseren Schutz bieten und es für Gegner schwieriger machen zu wissen, wer mit wem spricht. Wenn die Verbindung über Tor unzuverlässig ist und zu Abstürzen führt, deaktivieren Sie die Option "Über Tor verbinden" in den "Allgemeinen Einstellungen" und verwenden Sie dann einfach Ihren normalen Domainnamen.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Öffne die Conversations-App und wähle das Menü (drei Punkte), scrolle nach unten und wähle 'Experteneinstellungen' und dann 'Connect to Tor' wird.
or|oder
Paragraphs can be dragged up and down to change their order, or moved between pages|Absätze können nach oben und unten gezogen werden, um ihre Reihenfolge zu ändern, oder zwischen den Seiten verschoben werden
Password|Passwort
Password: |Passwort:
Paste your ssh public key here|Fügen Sie Ihren öffentlichen ssh-Schlüssel hier ein
Paste your translations file below|Fügen Sie Ihre Übersetzungsdatei unten ein
Peertube allow new registrations|Peertube erlaubt Neuanmeldungen
Personal accounting|Persönliche Buchhaltung
Personal or small business accounting|Personal oder Kleinunternehmen Buchhaltung
Photo album|Fotoalbum
Please enter their username. This should be lower case only and with no spaces.|Bitte geben Sie ihren Benutzernamen ein. Dies sollte nur Kleinbuchstaben und keine Leerzeichen sein.
Please insert a USB drive|Bitte legen Sie ein USB-Laufwerk ein
Please insert the USB drive to restore from now|Bitte legen Sie das USB-Laufwerk ein, um es von nun an wiederherzustellen
Please insert your backup USB drive now|Bitte legen Sie jetzt Ihr Backup-USB-Laufwerk ein
Please specify stream name, description and genre|Bitte geben Sie den Namen, die Beschreibung und das Genre des Streams an
Please wait while your appliance is configuring|Bitte warten Sie, während Ihre Appliance konfiguriert wird
Please write down or save these credentials|Bitte notieren oder speichern Sie diese Zugangsdaten
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma erlauben Neuanmeldungen
Pleroma Custom Emoji|Pleroma benutzerdefinierte Emoji
Pleroma Settings|Pleroma-Einstellungen
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Schließe das USB-Laufwerk an deinen Server an, gehe zu den Icecast App-Einstellungen, füge Details zu deiner Playlist hinzu und wähle "Update"
Polish|Polieren
Ports|Häfen
Portuguese|Portugiesisch
Portuguese (Brazil)|Portugiesisch (Brasilien)
Power|Leistung
Press the plus button to add a Mumble server.|Drücken Sie die Plus-Taste, um einen Mumble-Server hinzuzufügen.
Proceed with backup?|Mit dem Backup fortfahren?
Proceed with drive format?|Fahren Sie mit dem Laufwerkformat fort?
Proceed with reset?|Mit dem Zurücksetzen fortfahren?
Proceed with restore?|Mit Wiederherstellung fortfahren?
RAM used|RAM benutzt
Remote access|Fernzugriff
Remove|Löschen
Remove any backup drives now|Entfernen Sie jetzt alle Backup-Laufwerke
Remove APPNAME now?|APPNAME jetzt entfernen?
Remove user USERNAME?|Entfernen Sie Benutzer USERNAME?
Removing user account|Benutzerkonto entfernen
Reset is in progress|Zurücksetzen wird ausgeführt
Reset to factory|Zum Werkszustand zurücksetzen
RESET TO FACTORY DEFAULTS|RESET AUF WERKSEINSTELLUNGEN
Restart|Neustart
Restore|Wiederherstellen
Restore has failed|Die Wiederherstellung ist fehlgeschlagen
Restore in progress|Wiederherstellung im Prozess
Restore is complete|Die Wiederherstellung ist abgeschlossen
Restore of keys failed|Wiederherstellung der Schlüssel fehlgeschlagen
Restore of keys is complete|Die Wiederherstellung der Schlüssel ist abgeschlossen
Restore password|Passwort wiederherstellen
Restore your keys now?|Wiederherstellen Sie Ihre Schlüssel jetzt?
Restoring backup keys|Wiederherstellen von Backup-Schlüsseln
Romanian|rumänisch
RSS Reader|RSS Leser
Run HexChat.|Führen Sie HexChat aus.
Running backup of keys|Laufende Sicherung der Schlüssel
Russian|Russisch
Samoan|Samoanisch
Search again for 'Conversations' (not the legacy version), then select 'install'|Suchen Sie erneut nach "Conversations" (nicht die ältere Version) und wählen Sie dann "install"
Search for and install Plumble.|Suchen und installieren Sie Plumble.
Secure realtime collaboration|Sichere Echtzeit-Zusammenarbeit
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Sichere Echtzeit-Zusammenarbeit mit Dokumenten, Präsentationen, Zeichnen und Voting Dokumente sind vergänglich und werden, wenn Sie sie nicht speichern, beim Schließen des Browsers gelöscht.
Secure Shell|Sichere Shell
Select|Wählen
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Wählen Sie 'Anwenden' und 'Ok', dann im Menü 'Server' und 'Verbinden'.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Wählen Sie "Weiter", um das Konto zu erstellen. Wenn nach ein paar Minuten alles funktioniert, sollten Sie sehen, dass sich der Account-Status in grün auf "online" ändert
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Wählen Sie Suche (Lupensymbol) und suchen Sie nach "Orbot" (nicht die ältere Version), dann wählen Sie "installieren"
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Wählen Sie die Schaltfläche "Übersetzen". Sie sehen einen neuen Bildschirm mit englischem Text auf der linken Seite und übersetzten Text auf der rechten Seite.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Wählen Sie die Registerkarte Autojoin-Kanäle aus, klicken Sie auf Hinzufügen und geben Sie #libreserver als Kanalnamen ein.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Wählen Sie den Eintrag in der Serverbox aus, geben Sie ircaddress.onion/6697 oder mydomainname/6697 ein und drücken Sie die Eingabetaste.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Wählen Sie die Wiki-Schaltfläche am unteren Rand des Bildschirms neben den Seiten aus, um die Bearbeitung zu aktivieren oder zu deaktivieren.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Wenn Sie den Server auswählen, indem Sie darauf klicken, werden Sie mit dem Server verbunden, sodass Sie mit anderen verbundenen Benutzern chatten können
Serbian|serbisch
Setting up on a laptop|Einrichten auf einem Laptop
Setting up on Android|Einrichtung unter Android
Setting up with an Android phone|Einrichten mit einem Android-Telefon
Settings|die Einstellungen
Setup on Android|Einrichtung unter Android
Shortcode|Kurzwahl
Shutdown|Herunterfahren
Shutting down|Herunterfahren
Simple kanban|Einfacher Kanban
Simple Markdown blogging|Einfaches Markdown-Bloggen
Simple notes|Einfache Notizen
Slovak|slowakisch
Slovenian|Slowenisch
Somali|somali
Spanish (International)|Spanisch (International)
SSH access is disabled|SSH-Zugriff ist deaktiviert
SSH access is enabled|SSH-Zugriff ist aktiviert
Stream Description|Stream Beschreibung
Streaming media|Streaming Medien
Submit|einreichen
Submitting your translations to the LibreServer project|Senden Sie Ihre Übersetzungen in das LibreServer-Projekt
Swedish|Schwedisch
System Monitor|Systemmonitor
Systems may be temporarily unavailable in the next few minutes|Systeme können in den nächsten Minuten vorübergehend nicht verfügbar sein
Tagalog|Tagalog
Tamil|Tamilisch
Thai|Thai
Thankyou for choosing the LibreServer home internet appliance|Vielen Dank, dass Sie sich für die LibreServer Home Internet Appliance entschieden haben
The account will now be removed. This may take a minute or two. For details see:|Das Konto wird jetzt entfernt. Dies kann eine oder zwei Minuten dauern. Für Details siehe:
The classic low bandwidth chat system|Das klassische Chat-System mit niedriger Bandbreite
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|Das LibreServer-System richtet sich nicht in erster Linie an Unternehmen oder Institutionen, aber wenn Sie ein Ein-Personen-Unternehmen oder Freiberufler sind, dann ist es nützlich, Ihr eigenes Buchführungssystem zu führen und die Daten privat zu halten und auch gesichert. Akaunting bietet ein nettes webbasiertes System für kleine Geschäftskonten und ist auch innerhalb eines mobilen Webbrowsers recht brauchbar.
A new member is being added. This may take a minute or two.|Der neue Benutzer wird hinzugefügt. Schreib dein Passwort auf oder speichere es.
The passwords do not match|Die Passwörter stimmen nicht überein
There are a few things to know about using the federated wiki.|Es gibt ein paar Dinge, die Sie über das Föderierte Wiki wissen sollten.
There are no apps installed. Select the plus button above to install new apps.|Es sind keine Apps installiert. Wählen Sie die Plus-Schaltfläche oben, um neue Apps zu installieren.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Diese App kann nützlich sein, wenn Sie ein neues Kind oder Babysitteraufgaben haben. Es hilft Pflegekräften, Schlaf, Fütterungen, Windelwechsel und Bauchzeit zu verfolgen, um Babys Bedürfnisse zu erkennen und vorherzusagen, ohne so viel raten zu müssen.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Dies ist ein Server-System, mit dem Sie Internet-Apps wie einen Blog oder ein soziales Netzwerk eines Verbunds betreiben können.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Dies ist sicherlich die Art von Daten, die Sie privat und weg von Unternehmen, die sonst Überwachung von Eltern-App-Daten verwenden könnten, versuchen, Sie schuldig zu kaufen alle Arten von Junk, die Sie nicht wirklich brauchen oder nicht leisten können .
This is your new password|Das ist dein neues Passwort
This may take a few minutes.|Das kann ein paar minuten dauern.
This may take a minute or two. For details see:|Dies kann eine oder zwei Minuten dauern. Für Details siehe:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Dieses System ist nicht für die Übertragung an große Zielgruppen gedacht, und die Obergrenze für Listener ist auf zehn festgelegt. Also eine Familien- und Freundesgruppe.
