about|Di
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Se stai utilizzando l'app mobile Element per accedere al tuo server di casa Matrix, puoi migliorare in modo significativo le prestazioni della batteria andando alle impostazioni e modificando "Timeout richiesta sincronizzazione" a 30 secondi e "Ritardo tra due richieste di sincronizzazione" a 600 secondi. Anche disattivare "msg in chat di gruppo", poiché eviterà di ricevere una notifica ogni volta che si verifica un evento di chat di gruppo, che quindi riattiva lo schermo
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Se le tue traduzioni sono accettate, verranno in seguito visualizzate nel progetto upstream e saranno utilizzabili da chiunque.
Import|Importare
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|In un browser Tor, vai all'indirizzo cipolla di Icecast e puoi riprodurre il flusso
Indonesian|indonesiano
Initial login|Accesso iniziale
Initial Setup|Configurazione iniziale
Install|Installare
Install APPNAME now?|Installa APPNAME ora?
Install F-Droid|Installa F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Installa HexChat e configura il suo file di configurazione. Supponendo che tu stia girando su una distribuzione Debian o Arch, questo può essere fatto sul tuo computer locale con:
Installation|Installazione
Installing in Emacs|Installazione in Emacs
Installing on Desktop|Installazione sul desktop
Invalid Password|Password non valida
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC è utile per chat multiutente. Il caso d'uso classico è lo sviluppo di software in cui molti ingegneri potrebbero aver bisogno di coordinare le loro attività, ma è anche utile per riunioni, feste e socializzazione generale.
It can be shown using the command:|Può essere mostrato usando il comando:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|È possibile aggiungere jingle che verranno riprodotti tra le tracce a intervalli casuali. Se alcuni dei file audio sull'unità USB sono denominati jingle_something.mp3, verranno utilizzati come jingle
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Si consiglia di aggiungere un record SRV per Matrix alla configurazione DNS. Il modo in cui lo fai dipenderà dal tuo provider DNS dinamico e dalla loro interfaccia web. Su FreeDNS nelle impostazioni dei sottodomini, oltre al sottodominio che si sta utilizzando per il server matrix, creare una voce aggiuntiva come segue:
Italian|italiano
Japanese|giapponese
Jingles|jingles
Kannada|Kannada
Keep changes|Mantenere le modifiche
Khmer|Khmer
Korean|coreano
Language|linguaggio
Lao|Lao
Latvian|lettone
Lithuanian|lituano
Malayalam|Malayalam
Malaysian|malese
Manually upgrade now ?|Aggiorna manualmente ora?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown blogging
Matrix|Matrice
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Forse invece di modificare all'interno di questa interfaccia utente preferisci usare il tuo editor. Questo può essere fatto come segue:
Media broadcast|Trasmissione multimediale
Media storage and broadcast|Archiviazione e trasmissione dei media
Mongolian|mongolo
Mumble|borbottio
Music player|Lettore musicale
No|No
No SSH public key was provided|Non è stata fornita alcuna chiave pubblica SSH
none|nessuna
Norwegian|norvegese
Norwegian (Primary)|Norvegese (Primaria)
Not Connected|Non collegata
Note taking|Prendere appunti
Nynorsk|nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Una volta che sei nella schermata delle traduzioni (vedi i primi tre passaggi nella prima sezione sopra) seleziona il pulsante 'invia'.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Una volta che sei nella schermata di traduzione (vedi i primi tre passaggi nella prima sezione sopra) seleziona il codice della lingua mostrato nella parte superiore dello schermo (di solito finisce con UTF-8). Puoi quindi vedere il file delle traduzioni raw.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Apri l'app F-droid e seleziona "Impostazioni", quindi "Archivi". Assicurati che "Release ufficiali del progetto Guardian" sia abilitato
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Apri le impostazioni. Seleziona "Generale", quindi "Connetti via Tor". Ciò fornirà una protezione migliore, rendendo più difficile per gli avversari sapere chi sta parlando con chi. Se la connessione tramite Tor non è affidabile e causa arresti anomali, deseleziona "Connetti via Tor" nelle "Impostazioni generali" e quindi utilizza semplicemente il tuo normale nome di dominio.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Apri l'app Conversazioni e seleziona il menu (tre punti), scorri verso il basso e seleziona "Impostazioni avanzate", quindi seleziona "Connetti a Tor"
or|o
Paragraphs can be dragged up and down to change their order, or moved between pages|I paragrafi possono essere trascinati su e giù per cambiare il loro ordine o spostati tra le pagine
Password|Parola d'ordine
Password: |Parola d'ordine:
Paste your ssh public key here|Incolla qui la tua chiave pubblica ssh
Paste your translations file below|Incolla il tuo file di traduzione qui sotto
Peertube allow new registrations|Peertube consente nuove registrazioni
Personal accounting|Contabilità personale
Personal or small business accounting|Contabilità personale o di piccola impresa
Photo album|album di foto
Please enter their username. This should be lower case only and with no spaces.|Per favore inserisci il loro nome utente. Questo dovrebbe essere solo in minuscolo e senza spazi.
Please insert a USB drive|Si prega di inserire un'unità USB
Please insert the USB drive to restore from now|Si prega di inserire l'unità USB per ripristinare da ora
Please insert your backup USB drive now|Inserisci ora la tua unità USB di backup
Please specify stream name, description and genre|Si prega di specificare nome, descrizione e genere del flusso
Please wait while your appliance is configuring|Attendi mentre il tuo dispositivo si sta configurando
Please write down or save these credentials|Si prega di scrivere o salvare queste credenziali
Pleroma|pleroma
Pleroma allow new registrations|Il pleroma consente nuove registrazioni
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Impostazioni di Pleroma
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Collega l'unità USB al tuo server, poi vai alle impostazioni dell'app Icecast, aggiungi alcuni dettagli sulla tua playlist e seleziona "Aggiorna"
Polish|polacco
Ports|Ports
Portuguese|portoghese
Portuguese (Brazil)|Portoghese (Brasile)
Power|Energia
Press the plus button to add a Mumble server.|Premere il pulsante più per aggiungere un server Mumble.
Proceed with backup?|Procedere con il backup?
Proceed with drive format?|Procedere con il formato guida?
Proceed with reset?|Procedi con il reset?
Proceed with restore?|Procedere con il ripristino?
RAM used|RAM usata
Remote access|Accesso remoto
Remove|Rimuovere
Remove any backup drives now|Rimuovi ora eventuali unità di backup
Remove APPNAME now?|Rimuovi APPNAME ora?
Remove user USERNAME?|Rimuovere l'utente USERNAME?
Removing user account|Rimozione account utente
Reset is in progress|Il ripristino è in corso
Reset to factory|Ripristina in fabbrica
RESET TO FACTORY DEFAULTS|RIPRISTINO I DEFAULT DI FABBRICA
Restart|Ricomincia
Restore|Ristabilire
Restore has failed|Il ripristino non è riuscito
Restore in progress|Ripristino in corso
Restore is complete|Il ripristino è completo
Restore of keys failed|Il ripristino delle chiavi non è riuscito
Restore of keys is complete|Il ripristino delle chiavi è completo
Restore password|Ripristina password
Restore your keys now?|Ripristina le tue chiavi ora?
Restoring backup keys|Ripristino delle chiavi di backup
Romanian|rumeno
RSS Reader|Lettore RSS
Run HexChat.|Esegui HexChat.
Running backup of keys|Esecuzione di backup di chiavi
Russian|russo
Samoan|Samoan
Search again for 'Conversations' (not the legacy version), then select 'install'|Cerca nuovamente "Conversazioni" (non la versione legacy), quindi seleziona "installa"
Search for and install Plumble.|Cerca e installa Plumble.
Secure realtime collaboration|Collaborazione sicura in tempo reale
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Collaborazione sicura in tempo reale con documenti, presentazioni, disegni e votazioni. I documenti sono effimeri e se non li salvi verranno eliminati alla chiusura del browser.
Secure Shell|Shell sicura
Select|Selezionare
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Seleziona "Applica" e "OK", quindi dal menu "Server" e "Connetti".
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Seleziona "Avanti" per creare l'account. Se tutto funziona dopo un paio di minuti dovresti vedere lo stato dell'account cambiare in "online" in verde
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Seleziona la ricerca (icona lente d'ingrandimento) e cerca 'Orbot' (non la versione legacy), quindi seleziona 'installa'
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Seleziona il pulsante 'translate'. Vedrai una nuova schermata con testo inglese a sinistra e testo tradotto a destra.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Selezionare la scheda Canali Autojoin, fare clic su Aggiungi e immettere #libreserver come nome del canale.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Selezionare la voce nella casella dei server, quindi inserire ircaddress.onion/6697 o mydomainname/6697 e premere Invio.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Seleziona il pulsante wiki nella parte inferiore dello schermo, accanto alle pagine, per abilitare o disabilitare la modifica.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Selezionando il server premendo su di esso, ti connetti al server in modo da poter chattare con altri utenti connessi
Serbian|serbo
Setting up on a laptop|Installazione su un laptop
Setting up on Android|Configurazione su Android
Setting up with an Android phone|Impostazione con un telefono Android
Settings|impostazioni
Setup on Android|Installazione su Android
Shortcode|Codice corto
Shutdown|Spegnimento
Shutting down|chiudere
Simple kanban|Kanban semplice
Simple Markdown blogging|Simple Markdown blogging
Simple notes|Note semplici
Slovak|slovacco
Slovenian|sloveno
Somali|somalo
Spanish (International)|Spagnolo (internazionale)
SSH access is disabled|L'accesso SSH è disabilitato
SSH access is enabled|L'accesso SSH è abilitato
Stream Description|Descrizione del flusso
Streaming media|Streaming media
Submit|Sottoscrivi
Submitting your translations to the LibreServer project|Invio delle tue traduzioni al progetto LibreServer
Swedish|svedese
System Monitor|Monitor di sistema
Systems may be temporarily unavailable in the next few minutes|I sistemi potrebbero essere temporaneamente non disponibili nei prossimi minuti
Tagalog|Tagalog
Tamil|Tamil
Thai|tailandese
Thankyou for choosing the LibreServer home internet appliance|Grazie per aver scelto l'appliance internet di casa LibreServer
The account will now be removed. This may take a minute or two. For details see:|L'account verrà rimosso. Questo potrebbe richiedere un minuto o due. Per dettagli vedi:
The classic low bandwidth chat system|Il classico sistema di chat a bassa larghezza di banda
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|Il sistema LibreServer non si rivolge principalmente a società o istituzioni, ma se sei un'azienda o un libero professionista di una sola persona, allora è utile avere la possibilità di eseguire il tuo sistema di contabilità personale e mantenere i dati privati ​​e anche il backup. Akaunting fornisce un buon sistema basato sul web per account di piccole imprese ed è anche abbastanza utilizzabile all'interno di un browser web mobile.
A new member is being added. This may take a minute or two.|Il nuovo utente è stato aggiunto. Annota o salva la password.
The passwords do not match|Le password non corrispondono
There are a few things to know about using the federated wiki.|Ci sono alcune cose da sapere sull'uso del wiki federato.
There are no apps installed. Select the plus button above to install new apps.|Non ci sono app installate. Seleziona il pulsante più in alto per installare nuove app.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Questa app può essere utile se hai un nuovo bambino o dei compiti di baby-sitter. Aiuta i caregiver a rintracciare il sonno, le poppate, i cambi di pannolino e il tempo addominale per conoscere e prevedere i bisogni del bambino senza dover fare altrettanto.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Si tratta di un sistema server che consente di eseguire app Internet come un blog o un social network federato.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Questo è sicuramente il tipo di dati che potresti voler mantenere privati ​​e lontani da società che altrimenti potrebbero utilizzare la sorveglianza dei dati delle app per genitori per cercare di indurti ad acquistare tutti i tipi di cianfrusaglie che non ti servono o non ti possono permettere .
This is your new password|Questa è la tua nuova password
This may take a few minutes.|Questo potrebbe richiedere alcuni minuti.
This may take a minute or two. For details see:|Questo potrebbe richiedere un minuto o due. Per dettagli vedi:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Questo sistema non è destinato a trasmettere a un vasto pubblico e il limite superiore degli ascoltatori è impostato su dieci. Quindi un gruppo di amici e familiari.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Questo eseguirà un backup delle chiavi che crittografano i backup, proteggendoli da perdite o esposizioni accidentali. È necessario mantenere questa unità in un luogo sicuro, separato dagli altri backup.
This will restore the keys used to encrypt backups.|Ciò ripristinerà le chiavi utilizzate per crittografare i backup.
To add a new paragraph use the + button|Per aggiungere un nuovo paragrafo usa il pulsante +
To claim/fork a page from another server click on the flag icon|Per richiedere / bifare una pagina da un altro server, fare clic sull'icona della bandiera
To edit a paragraph double click on it|Per modificare un paragrafo, fai doppio clic su di esso
To remove a paragraph just delete all of its text|Per rimuovere un paragrafo basta eliminare tutto il suo testo
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Per caricare i file musicali installa Syncthing, quindi copia le directory degli album in ~ / Sync / music_upload, quindi in Koel vai alle impostazioni e scansiona la directory / musica
Tor Bridges|Tor Bridges
Translate|Tradurre
Translations|Traduzioni
Turkish|Turco
Type: SRV|Tipo: SRV
Ukrainian|ucraino
Uncheck use global user information.|Deseleziona l'uso delle informazioni utente globali.
Uninstall|Disinstallare
Update|Aggiornare
Updates settings changed|Le impostazioni degli aggiornamenti sono cambiate
Upgrade|aggiornamento
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Gli aggiornamenti avvengono automaticamente. Non è necessario avviarli manualmente in questo modo, tranne in rare circostanze
Upload|Caricare
URL to upload from|URL da cui caricare
USB drive format has failed|Il formato del drive USB è fallito
USB drive format in progress|Formato dell'unità USB in corso
USB drive format is complete|Il formato del drive USB è completo
Username: |Nome utente:
Username: admin|Nome utente: admin
Members|utenti
Using your preferred editor|Usando il tuo editor preferito
Video broadcast|Trasmissione video
Vietnamese|vietnamita
Voice chat|Chat vocale
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|ATTENZIONE: QUESTO ELIMINERÀ TUTTO IL CONTENUTO DELL'UNITÀ USB
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Siamo spiacenti, ma il nome utente che hai indicato non è adatto. Verifica che non contenga spazi, sia in minuscolo e di almeno 3 caratteri di lunghezza.
Web publishing system|Sistema di pubblicazione Web
When done editing click on the wiki button again|Al termine della modifica, fai di nuovo clic sul pulsante wiki
When it's done it will appear on the apps screen|Al termine, verrà visualizzato nella schermata delle app
When removal is finished it will disappear from apps|Al termine della rimozione, scompare dalle app
When you are done with translating select the 'import' button on the translations screen.|Quando hai finito di tradurre seleziona il pulsante 'importa' nella schermata delle traduzioni.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Quando hai aggiunto le tue traduzioni seleziona il pulsante "aggiorna". Questo aggiornerà il file di traduzione per la lingua selezionata. Si noti che questo non modifica la lingua corrente nell'interfaccia utente. Se vuoi farlo torna alla schermata della lingua, seleziona una lingua e poi il pulsante 'seleziona'.
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Qualunque sia la schermata in cui ti trovi, puoi tornare alla schermata precedente facendo clic o premendo sul logo di LibreServer in alto.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Con Icecast puoi eseguire il tuo streaming radio Internet da un indirizzo di cipolla. Come sempre, fai attenzione ai problemi di copyright e preferisci attenersi alla musica o ai file musicali Creative Commons che possiedi.
