About|के बारे में
Click close and then connect.|बंद करें और फिर कनेक्ट करें पर क्लिक करें।
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|नया सर्वर जोड़ने के लिए "नया जोड़ें" पर क्लिक करें और फ्रीडमॉम्बोन के लिए डोमेन नाम या प्याज पता दर्ज करें, आपका उपयोगकर्ता नाम (जो कुछ भी हो सकता है) और वीओआईपी सर्वर पासवर्ड जो आपके द्वारा बॉक्स को सेट करने वाले पासवर्ड जैसा ही है। यदि आपके पास अपने डिफ़ॉल्ट डोमेन के लिए Let's Encrypt प्रमाणपत्र स्थापित नहीं है, तो स्वयं हस्ताक्षरित SSL प्रमाणपत्र स्वीकार करें। अब आप चैट करने के लिए तैयार हैं।
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|स्क्रीन के नीचे लॉक आइकन पर क्लिक करें और पासवर्ड दर्ज करें। यह अनलॉक दिखाई देना चाहिए। यदि आप अनलॉक नहीं करते हैं तो आपके द्वारा किए गए कोई भी संपादन सहेजे नहीं जाएंगे।
Collaborative document editor|सहयोगी दस्तावेज़ संपादक
Confirm backup password|बैकअप पासवर्ड की पुष्टि करें
Continue|जारी रहना
Copy and paste the translations file and select 'update'.|अनुवाद फ़ाइल कॉपी और पेस्ट करें और 'अपडेट' का चयन करें।
Copy and paste the translations file into your favorite editor.|अनुवाद फ़ाइल को अपने पसंदीदा संपादक में कॉपी और पेस्ट करें।
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|इसे किसी ईमेल या अन्य मैसेजिंग ऐप में कॉपी और पेस्ट करें और इसे फ्रीडमॉम्बोन प्रोजेक्ट पर भेजें।
CPU temperature|सीपीयू तापमान
CPU usage|सि पि यु का उपयोग
Croatian|क्रोएशियाई
Czech|चेक
Danish|डेनिश
DAT Server|डाटा सर्वर
Databaseless blogging|डाटाबेसलेस ब्लॉगिंग
Databaseless wiki|डाटाबेसलेस विकी
diagnostics|निदान
diagnostics log|निदान लॉग
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|विभिन्न सर्वरों पर एक ही पृष्ठ के विभिन्न संस्करण स्क्रीन के निचले दाएं भाग में बक्से द्वारा दर्शाए जाते हैं। यदि आप उस संस्करण को पसंद करते हैं तो आप विभिन्न संस्करणों को देखने के लिए उन पर डबल क्लिक कर सकते हैं, और ध्वज आइकन को कांटा में उपयोग कर सकते हैं
Disk I/O Speed|डिस्क I / O गति
Disk space used|डिस्क स्थान का इस्तेमाल किया
DNS setup|DNS सेटअप
Domain/User Blocking|डोमेन / उपयोगकर्ता अवरुद्ध
Domain:|डोमेन:
Domain|डोमेन
Dutch|डच
Dynamic DNS|डायनेमिक डीएनएस
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|अपने अनुवाद संपादित करें। इस फाइल की संरचना बहुत सरल है। बाईं तरफ अंग्रेजी पाठ है और दाईं तरफ एक विभाजक के रूप में लंबवत रेखा वर्ण के साथ पाठ का अनुवाद किया जाता है।
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|अवरोधित डोमेन या उपयोगकर्ताओं को संपादित करें, जोड़ें या निकालें। यह ईमेल और XMPP पते पर लागू होता है
Edith enable login|एडिथ लॉगिन सक्षम करें
Email system|ईमेल सिस्टम
Email/XMPP: USEREMAIL|ईमेल / एक्सएमपीपी: USEREMAIL
Enable access via secure shell?|सुरक्षित खोल के माध्यम से पहुंच सक्षम करें?
Enable Updates|अद्यतन सक्षम करें
English|अंग्रेज़ी
English (US)|अंग्रेजी हमें)
Ensure that dat files are always available|सुनिश्चित करें कि डेटा फ़ाइलें हमेशा उपलब्ध हैं
Ensure that tor is installed onto your local system:|सुनिश्चित करें कि आपके स्थानीय सिस्टम पर टोर इंस्टॉल है:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|एक लेबल दर्ज करें (जो सर्वर के लिए आप कोई भी नाम चुन सकते हैं), फ्रीडमॉम्बोन का डिफ़ॉल्ट डोमेन नाम या अधिमानतः गड़गड़ाहट प्याज पता, आपका उपयोगकर्ता नाम (जो कुछ भी हो सकता है) और गड़बड़ पासवर्ड जो एक जैसा है आप मूल रूप से बॉक्स के साथ सेट अप। बंदरगाह संख्या अपरिवर्तित छोड़ दें।
Enter a password which will be used to protect the backup|एक पासवर्ड दर्ज करें जिसका उपयोग बैकअप को सुरक्षित रखने के लिए किया जाएगा
Enter first and second nicknames and check connect to this network on startup.|पहले और दूसरे उपनाम दर्ज करें और स्टार्टअप पर इस नेटवर्क से कनेक्ट जांचें।
Estonian|एस्तोनियावासी
Everything installed will be lost|स्थापित सब कुछ खो जाएगा
Extremely simple note taking|बेहद सरल नोट लेना
Factory reset is in progress|फैक्टरी रीसेट प्रगति पर है
Farsi|फारसी
Favicon|फ़ेविकॉन
Federated image sharing|संघीय छवि साझाकरण
Federated microblogging|संघीय माइक्रोब्लॉगिंग
Federated social network|संघीय सोशल नेटवर्क
Federated wiki|संघीय विकी
File storage and sync|फ़ाइल भंडारण और सिंक
File synchronization|फ़ाइल सिंक्रनाइज़ेशन
Filipino|फिलिपिनो
Finnish|फिनिश
First ensure that tor is installed. Within a terminal:|सबसे पहले सुनिश्चित करें कि टोर स्थापित है। टर्मिनल के भीतर:
For details see the diagnostics|विवरण के लिए निदान देखें
For details see:|विवरण के लिए देखें:
For further information see the website at https://libreserver.org|अधिक जानकारी के लिए https://libreserver.org पर वेबसाइट देखें
For the initial login use username: admin password admin|प्रारंभिक लॉगिन उपयोग के लिए उपयोगकर्ता नाम: व्यवस्थापक पासवर्ड व्यवस्थापक
For the Jabber ID enter the email address from your LibreServer user settings|जाबर आईडी के लिए अपने LibreServer उपयोगकर्ता सेटिंग्स से ईमेल पता दर्ज करें
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|पासवर्ड के लिए उस पासवर्ड का उपयोग करें जिसे आपने प्रारंभ में लिखा था या फ्रीडमॉम्बोन सिस्टम के सेटअप के दौरान संग्रहीत किया था
Forward port 80 and 443 from your internet router|अपने इंटरनेट राउटर से आगे पोर्ट 80 और 443
Forward the following ports from your internet router:|अपने इंटरनेट राउटर से निम्नलिखित बंदरगाहों को अग्रेषित करें:
Forward the port 64738 from your internet router|अपने इंटरनेट राउटर से पोर्ट 64738 को अग्रेषित करें
Forward the port 6697 from your internet router|अपने इंटरनेट राउटर से पोर्ट 6697 को अग्रेषित करें
Forward the port 8448 from your internet router|अपने इंटरनेट राउटर से पोर्ट 8448 को अग्रेषित करें
FreeDNS code:|फ्रीडीएनएस कोड:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer 2013 में शुरू हुआ था। यह शुरुआत में Beaglebone ब्लैक हार्डवेयर पर आधारित था और घर के लिए इंटरनेट सर्वर का प्रबंधन करने के लिए एक सस्ती और सरल के फ्रीडमबॉक्स विचार से प्रेरित था।
French|फ्रेंच
French (Canada)|फ़्रेंच (कनाडा)
From the initial screen select 'settings' then 'language'.|प्रारंभिक स्क्रीन से 'सेटिंग्स' का चयन करें 'भाषा'।
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|मेनू से 'कॉन्फ़िगर करें' फिर 'सेटिंग्स' का चयन करें। 'उन्नत' चेकबॉक्स का चयन करें और फिर 'नेटवर्क' चुनें। 'फोर्स टीसीपी मोड' और प्रॉक्सी प्रकार 'सॉक्स 5' का चयन करें। होस्टनाम को 'लोकलहोस्ट' पर सेट किया जाना चाहिए और पोर्ट 9050 होना चाहिए।
Gaelic|गेलिक
Gallego|Gallego
Georgian|जॉर्जियाई
German|जर्मन
German (Personal)|जर्मन (व्यक्तिगत)
Git repo management|गिट रेपो प्रबंधन
Go Back|वापस जाओ
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|एफ-डोडिड प्रारंभिक स्क्रीन पर वापस जाएं और नीचे स्वाइप करके रिपॉजिटरीज़ अपडेट करें। आप इसे "भंडार अद्यतन" कहेंगे। इसमें कुछ मिनट लग सकते हैं।
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|वार्तालाप ऐप की प्रारंभिक स्क्रीन पर वापस जाएं, फिर से मेनू का चयन करें, फिर 'खाते प्रबंधित करें' चुनें। इसके आगे प्लस के साथ व्यक्ति आइकन का चयन करके एक खाता जोड़ें।
Gogs allow new registrations|गोग नए पंजीकरण की अनुमति देते हैं
Greek|यूनानी
Gujarati|गुजराती
Have you written down or saved the login credentials and removed any backup drives from the system?|क्या आपने लॉगिन क्रेडेंशियल्स को लिखा है या सहेजा है और सिस्टम से किसी भी बैकअप ड्राइव को हटा दिया है?
Hebrew|यहूदी
Help|मदद
Helps caregivers track sleep, feedings, diaper changes, and tummy time|देखभाल करने वालों को नींद, भोजन, डायपर परिवर्तन, और पेट का समय ट्रैक करने में मदद करता है
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|देखभाल करने वालों को नींद, भोजन, डायपर परिवर्तन, और पेटी के बारे में जानने के लिए पेट की जरूरतों के बारे में जानने और भविष्यवाणी करने में मदद करता है।
here|यहाँ
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|हेक्सचैट (पूर्व में एक्सकैट) टोर के माध्यम से प्रॉक्सीइंग के साथ संगत है और इसलिए आपके आईआरसी सर्वर से कनेक्ट होने पर सबसे अच्छी सुरक्षा प्रदान करता है। यह आपको अपने आईआरसी सर्वर के प्याज पते से कनेक्ट करने की अनुमति देगा।
Hindi|हिंदी
How to do translations|अनुवाद कैसे करें
Hungarian|हंगेरी
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|आइसकास्ट काफी सीपीयू गहन है। उदाहरण के लिए ए 20 आधारित प्रणाली पर यह लगभग 70% CPU संसाधन लेता है। यह पता होना चाहिए कि क्या आप एकाधिक ऐप्स चला रहे हैं
Icecast is updating|आइसकास्ट अपडेट हो रहा है
Icelandic|आइसलैंड का
Icons on the website and user interfaces are by Rashid Mhar.|वेबसाइट और उपयोगकर्ता इंटरफेस पर आइकन रशीद माहर हैं।
If you are an Emacs user then you can also connect to your IRC server via Emacs.|यदि आप एक Emacs उपयोगकर्ता हैं तो आप Emacs के माध्यम से अपने आईआरसी सर्वर से भी कनेक्ट कर सकते हैं।
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|यदि आप प्याज के पते का उपयोग कर रहे हैं तो एसएसएल का उपयोग अनचेक किया जाना चाहिए और परिवहन एन्क्रिप्शन प्याज के पते के माध्यम से ही संभाला जाएगा।
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|यदि आप सामान्य डोमेन नाम (क्लीनेट / आईसीएएनएएन) का उपयोग कर रहे हैं तो सुनिश्चित करें कि एसएसएल का उपयोग करें चेक किया गया है।
If you don't have a domain then just select Continue|यदि आपके पास डोमेन नहीं है तो बस जारी रखें का चयन करें
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|यदि आपके पास ऑर्बॉट इंस्टॉल नहीं है तो ड्रॉप डाउन मेनू से गार्जियन प्रोजेक्ट रिपॉजिटरी को सक्षम करें और इसे इंस्टॉल करें।
If you don't need a password then just leave this blank and select Update|अगर आपको पासवर्ड की आवश्यकता नहीं है तो बस इसे खाली छोड़ दें और अपडेट का चयन करें
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|यदि आपके पास यूएसबी प्लग इन है, तो इसे तब तक डाला जाए जब तक कि आप यह पुष्टि नहीं कर सकें कि स्ट्रीम काम कर रही है
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|यदि आपको प्याज के पते तक पहुंचने में परेशानी है तो नीचे कुछ टोर पुल पेस्ट करें। Https://bridges.torproject.org/bridges देखें
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|यदि आप अपने मैट्रिक्स होमसर्वर तक पहुंचने के लिए दंगा मोबाइल ऐप का उपयोग कर रहे हैं तो आप सेटिंग्स पर जाकर और 'सिंक अनुरोध टाइमआउट' को 30 सेकंड में बदलकर और 'सिंक अनुरोधों के बीच विलंब' को 600 सेकंड में बदलकर बैटरी प्रदर्शन में काफी सुधार कर सकते हैं। समूह चैट में 'msgstr "को बंद करने में भी मदद मिलेगी, क्योंकि जब भी कोई समूह चैट ईवेंट होता है तो वह अधिसूचना प्राप्त करने से बच जाएगा, जो तब स्क्रीन को जगाता है
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|यदि आपके अनुवाद स्वीकार किए जाते हैं तो वे बाद में अपस्ट्रीम प्रोजेक्ट में दिखाई देंगे और किसी के द्वारा उपयोग योग्य होंगे।
Import|आयात
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|एक टोर ब्राउज़र में आइसकास्ट के लिए प्याज पते पर नेविगेट करें और फिर आप स्ट्रीम चला सकते हैं
Indonesian|इन्डोनेशियाई
Initial login|प्रारंभिक लॉगिन
Initial Setup|प्रारंभिक व्यवस्था
Install|इंस्टॉल करें
Install APPNAME now?|अभी APPNAME इंस्टॉल करें?
Install F-Droid|एफ-Droid स्थापित करें
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|हेक्सचैट स्थापित करें और इसकी कॉन्फ़िगरेशन फ़ाइल सेट करें। यह मानते हुए कि आप डेबियन या आर्क आधारित डिस्ट्रो पर चल रहे हैं, यह आपके स्थानीय मशीन पर किया जा सकता है:
Installation|स्थापना
Installing in Emacs|Emacs में स्थापित करना
Installing on Desktop|डेस्कटॉप पर स्थापित करना
Invalid Password|अवैध पासवर्ड
IRC|आईआरसी
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|बहु-उपयोगकर्ता चैट के लिए आईआरसी उपयोगी है। क्लासिक उपयोग केस सॉफ्टवेयर विकास के लिए है जहां कई इंजीनियरों को अपनी गतिविधियों को समन्वयित करने की आवश्यकता हो सकती है, लेकिन यह बैठकों, पार्टियों और सामान्य सामाजिककरण के लिए भी उपयोगी है।
It can be shown using the command:|इसे कमांड का उपयोग करके दिखाया जा सकता है:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|जिंगल्स जोड़ना संभव है जो यादृच्छिक अंतराल पर ट्रैक के बीच खेला जाएगा। अगर आपके यूएसबी ड्राइव पर कुछ ऑडियो फाइलों को jingle_something.mp3 नाम दिया गया है तो उन्हें जिंगल्स के रूप में इस्तेमाल किया जाएगा
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|यह अनुशंसा की जाती है कि आप अपने DNS सेटअप में मैट्रिक्स के लिए एक एसआरवी रिकॉर्ड जोड़ें। आप यह कैसे करते हैं आपके गतिशील DNS प्रदाता और उनके वेब इंटरफेस पर निर्भर करेगा। सबडोमेन सेटिंग्स पर फ्रीडेंस पर जो आप मेट्रिक्स सर्वर के लिए उपयोग कर रहे सबडोमेन के अतिरिक्त निम्न प्रविष्टि बनाते हैं:
Italian|इतालवी
Japanese|जापानी
Jingles|जिंगल
Kannada|कन्नड़
Keep changes|परिवर्तन रखें
Khmer|खमेर
Korean|कोरियाई
Language|भाषा
Lao|लाओ
Latvian|लात्वीयावासी
Lithuanian|लिथुआनियाई
Malayalam|मलयालम
Malaysian|मलेशियाई
Manually upgrade now ?|अब मैन्युअल रूप से अपग्रेड करें?
Maori (Ngai Tahu)|माओरी (Ngai तहु)
Maori (Waikoto Uni)|माओरी (वाइकोटो यूनी)
Markdown blogging|मार्कडाउन ब्लॉगिंग
Matrix|मैट्रिक्स
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|हो सकता है कि इस उपयोगकर्ता इंटरफ़ेस में संपादन करने के बजाय आप अपने स्वयं के संपादक का उपयोग करना पसंद करते हैं। यह निम्नानुसार किया जा सकता है:
Media broadcast|मीडिया प्रसारण
Media storage and broadcast|मीडिया भंडारण और प्रसारण
Mongolian|मंगोलियन
Mumble|बुदबुदाना
Music player|संगीत बजाने वाला
No|नहीं
No SSH public key was provided|कोई एसएसएच सार्वजनिक कुंजी प्रदान नहीं की गई थी
none|कोई नहीं
Norwegian|नार्वेजियन
Norwegian (Primary)|नार्वेजियन (प्राथमिक)
Not Connected|जुड़े नहीं हैं
Note taking|लेख लेना
Nynorsk|नाइनोर्स्क
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|एक बार जब आप अनुवाद स्क्रीन पर हों (ऊपर दिए गए पहले खंड में पहले तीन चरणों को देखें) 'सबमिट' बटन का चयन करें।
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|एक बार जब आप अनुवाद स्क्रीन पर हों (ऊपर दिए गए पहले खंड में पहले तीन चरणों को देखें) स्क्रीन के शीर्ष पर दिखाए गए भाषा कोड का चयन करें (आमतौर पर यह यूटीएफ -8 के साथ समाप्त होता है)। फिर आप कच्चे अनुवाद फ़ाइल देख सकते हैं।
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|एफ-डोडिड ऐप खोलें और 'सेटिंग्स' का चयन करें 'रिपोजिटरीज'। सुनिश्चित करें कि 'अभिभावक परियोजना आधिकारिक विज्ञप्ति' सक्षम है
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|सेटिंग्स खोलें। 'सामान्य' का चयन करें, फिर 'टोर के माध्यम से कनेक्ट करें' चुनें। यह बेहतर सुरक्षा प्रदान करेगा, जिससे प्रतिद्वंद्वियों को यह पता चल जाएगा कि कौन बात कर रहा है। यदि टोर के माध्यम से कनेक्ट करना अविश्वसनीय है और क्रैश का कारण बनता है तो 'सामान्य सेटिंग्स' पर 'टोर के माध्यम से कनेक्ट करें' का चयन रद्द करें और फिर अपने सामान्य डोमेन नाम का उपयोग करें।
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|वार्तालाप ऐप खोलें और मेनू (तीन बिंदु) का चयन करें, नीचे स्क्रॉल करें और 'विशेषज्ञ सेटिंग्स' का चयन करें, फिर 'टोर से कनेक्ट करें' का चयन करें
or|या
Paragraphs can be dragged up and down to change their order, or moved between pages|पैराग्राफ को अपना ऑर्डर बदलने के लिए ऊपर और नीचे खींचा जा सकता है, या पृष्ठों के बीच स्थानांतरित किया जा सकता है
Password|पारण शब्द
Password: |पारण शब्द:
Paste your ssh public key here|यहां अपनी एसएसएच सार्वजनिक कुंजी पेस्ट करें
Paste your translations file below|नीचे अपनी अनुवाद फ़ाइल पेस्ट करें
Peertube allow new registrations|Peertube नए पंजीकरण की अनुमति देते हैं
Personal accounting|व्यक्तिगत लेखांकन
Personal or small business accounting|व्यक्तिगत या लघु व्यवसाय लेखांकन
Photo album|फोटो एलबम
Please enter their username. This should be lower case only and with no spaces.|कृपया अपना उपयोगकर्ता नाम दर्ज करें। यह केवल कम मामला होना चाहिए और बिना रिक्त स्थान के होना चाहिए।
Please insert a USB drive|कृपया एक यूएसबी ड्राइव डालें
Please insert the USB drive to restore from now|अब से पुनर्स्थापित करने के लिए कृपया यूएसबी ड्राइव डालें
Please insert your backup USB drive now|कृपया अपना बैकअप यूएसबी ड्राइव अब डालें
Please specify stream name, description and genre|कृपया स्ट्रीम नाम, विवरण और शैली निर्दिष्ट करें
Please wait while your appliance is configuring|कृपया प्रतीक्षा करें कि आपका उपकरण कॉन्फ़िगर कर रहा है
Please write down or save these credentials|कृपया इन प्रमाण-पत्रों को लिखें या सहेजें
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma नए पंजीकरण की अनुमति देते हैं
Pleroma Custom Emoji|Pleroma कस्टम इमोजी
Pleroma Settings|प्लरोमा सेटिंग्स
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|यूएसबी ड्राइव को अपने सर्वर में प्लग करें, फिर आइसकास्ट ऐप सेटिंग्स पर जाएं, अपनी प्लेलिस्ट के बारे में कुछ विवरण जोड़ें, और 'अपडेट' चुनें
Polish|पोलिश
Ports|बंदरगाहों
Portuguese|पुर्तगाली
Portuguese (Brazil)|पुर्तगाली (ब्राजील)
Power|शक्ति
Press the plus button to add a Mumble server.|एक मिंबल सर्वर जोड़ने के लिए प्लस बटन दबाएं।
Proceed with backup?|बैकअप के साथ आगे बढ़ें?
Proceed with drive format?|ड्राइव प्रारूप के साथ आगे बढ़ें?
Proceed with reset?|रीसेट के साथ आगे बढ़ें?
Proceed with restore?|बहाल करने के साथ आगे बढ़ें?
RAM used|राम इस्तेमाल किया
Remote access|दूरस्थ पहुँच
Remove|हटाना
Remove any backup drives now|अब किसी भी बैकअप ड्राइव को हटा दें
Remove APPNAME now?|अभी APPNAME निकालें?
Remove user USERNAME?|उपयोगकर्ता USERNAME को हटाएं?
Removing user account|उपयोगकर्ता खाते को हटा रहा है
Reset is in progress|रीसेट प्रगति पर है
Reset to factory|कारखाने के लिए रीसेट करें
RESET TO FACTORY DEFAULTS|फैक्ट्री डिफॉल्ट को रीसेट करें
Restart|पुनः आरंभ करें
Restore|पुनर्स्थापित
Restore has failed|पुनर्स्थापित विफल रहा है
Restore in progress|प्रगति पर पुनर्स्थापित करें
Restore is complete|बहाल पूरा हो गया है
Restore of keys failed|कुंजी की बहाली विफल रही
Restore of keys is complete|कुंजी की बहाली पूरी हो गई है
Restore password|पासवर्ड पुनर्स्थापित करें
Restore your keys now?|अब अपनी चाबियाँ बहाल करें?
Restoring backup keys|बैकअप कुंजी बहाल करना
Romanian|रोमानियाई
RSS Reader|आरएसएस रीडर
Run HexChat.|हेक्सचैट चलाएं।
Running backup of keys|चाबियाँ का बैकअप चलाना
Russian|रूसी
Samoan|सामोन
Search again for 'Conversations' (not the legacy version), then select 'install'|'वार्तालाप' (विरासत संस्करण नहीं) के लिए फिर से खोजें, फिर 'इंस्टॉल करें' का चयन करें
Search for and install Plumble.|प्लंबल के लिए खोजें और इंस्टॉल करें।
Secure realtime collaboration|सुरक्षित रीयलटाइम सहयोग
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|दस्तावेज़, प्रस्तुतियों, ड्राइंग और मतदान के साथ सुरक्षित रीयलटाइम सहयोग। दस्तावेज़ क्षणिक हैं और जब तक आप ब्राउज़र को बंद करते हैं तो उन्हें सहेजने तक हटा दिया जाएगा।
Secure Shell|सुरक्षित कवच
Select|चुनते हैं
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|'लागू करें' और 'ठीक' चुनें, फिर मेनू 'सर्वर' और 'कनेक्ट' पर।
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|खाता बनाने के लिए 'अगला' चुनें। यदि कुछ मिनटों के बाद eveything काम कर रहा है तो आपको हरे रंग में 'स्थिति' में खाता स्थिति परिवर्तन देखना चाहिए
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|खोज (आवर्धक ग्लास आइकन) का चयन करें और 'ऑर्बॉट' (विरासत संस्करण नहीं) के लिए खोजें, फिर 'इंस्टॉल करें' का चयन करें
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|'अनुवाद' बटन का चयन करें। आपको बाईं ओर अंग्रेजी पाठ के साथ एक नई स्क्रीन और दाईं ओर अनुवादित पाठ दिखाई देगा।
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|ऑटोजॉइन चैनल टैब का चयन करें, जोड़ें और #libreserver को चैनल नाम के रूप में दर्ज करें पर क्लिक करें।
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|सर्वर बॉक्स में प्रविष्टि का चयन करें, फिर ircaddress.onion/6697 या mydomainname/6697 दर्ज करें और एंटर दबाएं।
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|संपादन सक्षम या अक्षम करने के लिए, पृष्ठों के बगल में, स्क्रीन के निचले हिस्से में विकी बटन का चयन करें।
