About|Sur
Email/XMPP: USEREMAIL|Email / XMPP: USEREMAIL
Enable access via secure shell?|Activer l'accès via un shell sécurisé?
Enable Updates|Activer les mises à jour
English|Anglais
English (US)|Anglais (US)
Ensure that dat files are always available|Assurez-vous que les fichiers dat sont toujours disponibles
Ensure that tor is installed onto your local system:|Assurez-vous que tor est installé sur votre système local:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Entrez une étiquette (qui peut être n'importe quel nom que vous choisissez pour le serveur), le nom de domaine par défaut de LibreServer ou de préférence l'adresse de mumble onion, votre nom d'utilisateur (qui peut également être n'importe quoi) et le mot de passe mumble vous avez initialement configuré la boîte avec. Laissez le numéro de port inchangé.
Enter a password which will be used to protect the backup|Entrez un mot de passe qui sera utilisé pour protéger la sauvegarde
Enter first and second nicknames and check connect to this network on startup.|Entrez les premier et deuxième surnoms et vérifiez la connexion à ce réseau au démarrage.
Estonian|estonien
Everything installed will be lost|Tout installé sera perdu
Extremely simple note taking|Prise de notes extrêmement simple
Factory reset is in progress|La réinitialisation d'usine est en cours
Farsi|Farsi
Favicon|Favicon
Federated image sharing|Partage d'images fédérées
Federated microblogging|Microblogging fédéré
Federated social network|Réseau social fédéré
Federated wiki|Wiki fédéré
File storage and sync|Stockage de fichiers et synchronisation
File synchronization|Synchronisation de fichier
Filipino|Philippin
Finnish|finlandais
First ensure that tor is installed. Within a terminal:|Assurez-vous d'abord que tor est installé. Dans un terminal:
For details see the diagnostics|Pour plus de détails, voir les diagnostics
For details see:|Pour plus de détails voir:
For further information see the website at https://libreserver.org|Pour plus d'informations, consultez le site Web https://libreserver.org
For the initial login use username: admin password admin|Pour la connexion initiale, utilisez le nom d'utilisateur: admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|Pour l'identifiant Jabber, entrez l'adresse e-mail de vos paramètres utilisateur LibreServer
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Pour le mot de passe, utilisez le mot de passe que vous avez initialement noté ou stocké lors de la configuration du système LibreServer
Forward port 80 and 443 from your internet router|Port 80 et 443 à partir de votre routeur Internet
Forward the following ports from your internet router:|Transférez les ports suivants depuis votre routeur Internet:
Forward the port 64738 from your internet router|Transférer le port 64738 de votre routeur Internet
Forward the port 6697 from your internet router|Transférer le port 6697 de votre routeur Internet
Forward the port 8448 from your internet router|Transférer le port 8448 de votre routeur Internet
FreeDNS code:|Code FreeDNS:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer a été lancé en 2013. Il était initialement basé sur le matériel Beaglebone Black et inspiré par l’idée de FreedomBox, un serveur Internet simple et peu coûteux pour la gestion de la maison.
French|français
French (Canada)|Français (Canada)
From the initial screen select 'settings' then 'language'.|Dans l'écran initial, sélectionnez "Paramètres" puis "Langue".
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Dans le menu, sélectionnez «Configurer» puis «Paramètres». Cochez la case "Avancé" puis sélectionnez "Réseau". Sélectionnez "Forcer le mode TCP" et le type de proxy "Socks5". Le nom d'hôte doit être défini sur 'localhost' et le port sur 9050.
Gaelic|gaélique
Gallego|Gallego
Georgian|géorgien
German|allemand
German (Personal)|Allemand (personnel)
Git repo management|Git repo management
Go Back|Retourner
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Revenez à l'écran initial de F-droid et mettez à jour les référentiels en glissant vers le bas. Vous le verrez dire "mise à jour des référentiels". Ceci pourrait prendre quelques minutes.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Revenez à l'écran initial de l'application Conversations, sélectionnez à nouveau le menu, puis «Gérer les comptes». Ajouter un compte en sélectionnant l'icône de la personne avec le plus à côté.
Gogs allow new registrations|Les gogs permettent de nouvelles inscriptions
Greek|grec
Gujarati|Gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Avez-vous noté ou enregistré les identifiants de connexion et supprimé les lecteurs de sauvegarde du système?
Hebrew|hébreu
Help|Aidez-moi
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Aide les soignants à suivre le sommeil, l'alimentation, les changements de couches et la durée du ventre
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Aide les soignants à suivre le sommeil, l'alimentation, les changements de couches et le temps passé sur le ventre pour en savoir plus et prédire les besoins du bébé sans trop de travail.
here|ici
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (anciennement XChat) est compatible avec le proxy via Tor et fournit ainsi la meilleure sécurité lors de la connexion à votre serveur IRC. Cela vous permettra de vous connecter à l'adresse d'oignon de votre serveur IRC.
Hindi|hindi
How to do translations|Comment faire des traductions
Hungarian|hongrois
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast est très gourmand en ressources CPU. Par exemple, sur un système basé sur A20, il prend environ 70% de la ressource du processeur. C'est quelque chose à savoir si vous utilisez plusieurs applications
Icecast is updating|Icecast se met à jour
Icelandic|islandais
Icons on the website and user interfaces are by Rashid Mhar.|Les icônes sur le site Web et les interfaces utilisateur sont de Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Si vous êtes un utilisateur d'Emacs, vous pouvez également vous connecter à votre serveur IRC via Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Si vous utilisez l'adresse d'oignon, utilisez SSL si vous ne l'utilisez pas et le cryptage de transport sera géré via l'adresse d'oignon elle-même.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Si vous utilisez le nom de domaine ordinaire (clearnet / ICANN), assurez-vous que l'option Utiliser SSL est cochée.
If you don't have a domain then just select Continue|Si vous n'avez pas de domaine, sélectionnez simplement Continuer
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Si vous n'avez pas installé Orbot, activez le référentiel The Guardian Project dans le menu déroulant et installez-le.
If you don't need a password then just leave this blank and select Update|Si vous n'avez pas besoin d'un mot de passe, laissez simplement ce champ vide et sélectionnez Mettre à jour
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Si vous avez un port USB branché, laissez-le inséré jusqu'à ce que vous puissiez confirmer que le flux fonctionne
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Si vous avez des difficultés à accéder aux adresses d'oignon, collez des ponts Tor ci-dessous. Voir https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Si vous utilisez l'application mobile Element pour accéder à votre serveur domestique Matrix, vous pouvez considérablement améliorer les performances de la batterie en passant aux paramètres et en modifiant le délai d'attente de la requête à 30 secondes et le délai entre deux demandes de synchronisation à 600 secondes. Désactiver également «msgs dans les chats de groupe» vous aidera, car cela évitera de recevoir une notification chaque fois qu'un événement de chat en groupe se produira, ce qui réveillera l'écran.
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Si vos traductions sont acceptées, elles apparaîtront plus tard dans le projet en amont et seront utilisables par quiconque.
Import|Importer
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|Dans un navigateur Tor, naviguez jusqu'à l'adresse d'oignon pour Icecast et vous pourrez alors lire le flux
Indonesian|indonésien
Initial login|Connexion initiale
Initial Setup|La configuration initiale
Install|Installer
Install APPNAME now?|Installez APPNAME maintenant?
Install F-Droid|Installez F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Installez HexChat et configurez son fichier de configuration. En supposant que vous utilisez une distribution basée sur Debian ou Arch, cela peut être fait sur votre machine locale avec:
Installation|Installation
Installing in Emacs|Installation dans Emacs
Installing on Desktop|Installation sur le bureau
Invalid Password|Mot de passe incorrect
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC est utile pour les discussions multi-utilisateurs. Le cas d'utilisation classique est celui du développement de logiciels où de nombreux ingénieurs peuvent avoir besoin de coordonner leurs activités, mais il est également utile pour les réunions, les fêtes et la socialisation générale.
It can be shown using the command:|Il peut être montré en utilisant la commande:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Il est possible d'ajouter des jingles qui seront joués entre les pistes à des intervalles aléatoires. Si certains fichiers audio de votre clé USB sont nommés jingle_something.mp3, ils seront utilisés comme jingles
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Il est recommandé d'ajouter un enregistrement SRV pour Matrix à votre configuration DNS. La manière dont vous faites cela dépendra de votre fournisseur de DNS dynamique et de son interface Web. Sur FreeDNS, les paramètres de sous-domaines en plus du sous-domaine que vous utilisez pour le serveur de matrice créent une entrée supplémentaire comme suit:
Italian|italien
Japanese|Japonais
Jingles|Jingles
Kannada|Kannada
Keep changes|Notez les changements
Khmer|Khmer
Korean|coréen
Language|Langue
Lao|Lao
Latvian|letton
Lithuanian|lituanien
Malayalam|Malayalam
Malaysian|Malaisien
Manually upgrade now ?|Mettre à niveau manuellement maintenant?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown blogging
Matrix|Matrice
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Peut-être qu'au lieu d'éditer dans cette interface utilisateur, vous préférez utiliser votre propre éditeur. Cela peut se faire comme suit:
Media broadcast|Diffusion médiatique
Media storage and broadcast|Stockage multimédia et diffusion
Mongolian|mongol
Mumble|Marmonner
Music player|Lecteur de musique
No|Non
No SSH public key was provided|Aucune clé publique SSH n'a été fournie
none|aucun
Norwegian|norvégien
Norwegian (Primary)|Norvégien (primaire)
Not Connected|Pas connecté
Note taking|Prendre des notes
Nynorsk|Nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Une fois que vous êtes sur l'écran des traductions (voir les trois premières étapes de la première section ci-dessus), sélectionnez le bouton «Soumettre».
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Une fois que vous êtes sur l'écran de traductions (voir les trois premières étapes dans la première section ci-dessus), sélectionnez le code de langue affiché en haut de l'écran (généralement, il se termine par UTF-8). Vous pouvez alors voir le fichier de traductions brut.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Ouvrez l'application F-droid et sélectionnez "Paramètres" puis "Référentiels". Assurez-vous que les «communiqués officiels du projet Guardian» sont activés
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Ouvrez les paramètres. Sélectionnez "Général", puis "Connexion via Tor". Cela fournira une meilleure protection, ce qui rend plus difficile pour les adversaires de savoir qui parle à qui. Si la connexion via Tor n'est pas fiable et provoque des pannes, désélectionnez «Connect via Tor» dans les «Paramètres généraux», puis utilisez simplement votre nom de domaine ordinaire.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Ouvrez l'application Conversations et sélectionnez le menu (trois points), faites défiler et sélectionnez «Paramètres experts», puis sélectionnez «Connect to Tor».
or|ou
Paragraphs can be dragged up and down to change their order, or moved between pages|Les paragraphes peuvent être déplacés vers le haut ou le bas pour modifier leur ordre ou déplacés entre les pages.
Password|Mot de passe
Password: |Mot de passe:
Paste your ssh public key here|Collez votre clé publique ssh ici
Paste your translations file below|Collez votre fichier de traductions ci-dessous
Peertube allow new registrations|Peertube permet de nouvelles inscriptions
Personal accounting|Comptabilité personnelle
Personal or small business accounting|Comptabilité personnelle ou petite entreprise
Photo album|album photo
Please enter their username. This should be lower case only and with no spaces.|Veuillez entrer leur nom d'utilisateur. Cela devrait être en minuscule et sans espaces.
Please insert a USB drive|Veuillez insérer une clé USB
Please insert the USB drive to restore from now|Veuillez insérer le lecteur USB à restaurer maintenant
Please insert your backup USB drive now|Veuillez insérer votre clé USB de sauvegarde maintenant
Please specify stream name, description and genre|Veuillez spécifier le nom du flux, la description et le genre
Please wait while your appliance is configuring|Veuillez patienter pendant la configuration de votre appareil
Please write down or save these credentials|Veuillez noter ou enregistrer ces identifiants
Pleroma|Plérome
Pleroma allow new registrations|Plérome permet de nouvelles inscriptions
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Paramètres du plérome
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Branchez le lecteur USB sur votre serveur, puis accédez aux paramètres de l’application Icecast, ajoutez des détails sur votre liste de lecture et sélectionnez «Mettre à jour».
Polish|polonais
Ports|Les ports
Portuguese|Portugais
Portuguese (Brazil)|Portugais (Brésil)
Power|Puissance
Press the plus button to add a Mumble server.|Appuyez sur le bouton plus pour ajouter un serveur Mumble.
Proceed with backup?|Procéder à la sauvegarde?
Proceed with drive format?|Procéder au format de lecteur?
Proceed with reset?|Procéder à la réinitialisation?
Proceed with restore?|Procéder à la restauration?
RAM used|RAM utilisé
Remote access|Accès à distance
Remove|Retirer
Remove any backup drives now|Supprimer tous les disques de sauvegarde maintenant
Remove APPNAME now?|Supprimer APPNAME maintenant?
Remove user USERNAME?|Supprimer l'utilisateur USERNAME?
Removing user account|Suppression du compte utilisateur
Reset is in progress|Réinitialiser est en cours
Reset to factory|Réinitialiser à l'usine
RESET TO FACTORY DEFAULTS|RÉINITIALISER LES DÉFAUTS D'USINE
Restart|Redémarrer
Restore|Restaurer
Restore has failed|La restauration a échoué
Restore in progress|Restaurer en cours
Restore is complete|La restauration est terminée
Restore of keys failed|La restauration des clés a échoué
Restore of keys is complete|La restauration des clés est terminée
Restore password|Restaurer le mot de passe
Restore your keys now?|Restaurez vos clés maintenant?
Restoring backup keys|Restauration des clés de sauvegarde
Romanian|roumain
RSS Reader|Lecteur RSS
Run HexChat.|Exécutez HexChat.
Running backup of keys|Exécution d'une sauvegarde de clés
Russian|russe
Samoan|Samoan
Search again for 'Conversations' (not the legacy version), then select 'install'|Rechercher à nouveau pour «Conversations» (pas la version héritée), puis sélectionnez «installer»
Search for and install Plumble.|Recherchez et installez Plumble.
Secure realtime collaboration|Collaboration en temps réel sécurisée
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Collaboration en temps réel sécurisée avec docs, présentations, dessin et vote. Les documents sont éphémères et sauf si vous les enregistrez, ils seront supprimés lorsque vous fermez le navigateur.
Secure Shell|Enveloppe de protection
Select|Sélectionner
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Sélectionnez «Appliquer» et «Ok», puis dans le menu «Serveur» et «Connecter».
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Sélectionnez 'Suivant' pour créer le compte. Si tout fonctionne après quelques minutes, vous devriez voir le statut du compte devenir "en ligne" en vert.
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Sélectionnez la recherche (icône en forme de loupe) et recherchez «Orbot» (pas la version héritée), puis sélectionnez «installer».
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Sélectionnez le bouton "traduire". Vous verrez un nouvel écran avec le texte anglais à gauche et le texte traduit à droite.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Sélectionnez l'onglet Canaux Autojoin, cliquez sur Ajouter et entrez #libreserver comme nom de canal.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Sélectionnez l'entrée dans la zone Serveurs, puis entrez ircaddress.onion/6697 ou mydomainname/6697 et appuyez sur Entrée.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Sélectionnez le bouton wiki en bas de l'écran, à côté des pages, pour activer ou désactiver l'édition.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|En sélectionnant le serveur en appuyant dessus, vous vous connectez au serveur pour pouvoir discuter avec d'autres utilisateurs connectés.
Serbian|serbe
Setting up on a laptop|Mise en place sur un ordinateur portable
Setting up on Android|Mise en place sur Android
Setting up with an Android phone|Configuration avec un téléphone Android
Settings|Paramètres
Setup on Android|Configuration sur Android
Shortcode|Petit code
Shutdown|Fermer
Shutting down|Éteindre
Simple kanban|Kanban simple
Simple Markdown blogging|Blogging simples
Simple notes|Notes simples
Slovak|slovaque
Slovenian|slovène
Somali|somali
Spanish (International)|Espagnol (international)
SSH access is disabled|L'accès SSH est désactivé
SSH access is enabled|L'accès SSH est activé
Stream Description|Description du flux
Streaming media|Streaming media
Submit|Soumettre
Submitting your translations to the LibreServer project|Soumettre vos traductions au projet LibreServer
Swedish|suédois
System Monitor|Moniteur système
Systems may be temporarily unavailable in the next few minutes|Les systèmes peuvent être temporairement indisponibles dans les prochaines minutes
Tagalog|Tagalog
Tamil|Tamil
Thai|thaïlandais
Thankyou for choosing the LibreServer home internet appliance|Merci d'avoir choisi l'appareil internet domestique LibreServer
The account will now be removed. This may take a minute or two. For details see:|Le compte sera maintenant supprimé. Cela peut prendre une minute ou deux. Pour plus de détails voir:
The classic low bandwidth chat system|Le système de chat classique à faible bande passante
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|Le système LibreServer ne s'adresse pas principalement aux entreprises ou aux institutions, mais si vous êtes une entreprise individuelle ou indépendante, il est utile d'avoir la possibilité de gérer votre propre système comptable et de garder les données privées et sauvegardées. Akaunting fournit un système Web convivial pour les comptes de petites entreprises et est également utilisable dans un navigateur Web mobile.
A new member is being added. This may take a minute or two.|Le nouvel utilisateur est ajouté. Notez ou enregistrez leur mot de passe.
The passwords do not match|Le mot de passe ne correspond pas
There are a few things to know about using the federated wiki.|Il y a quelques choses à savoir sur l'utilisation du wiki fédéré.
There are no apps installed. Select the plus button above to install new apps.|Il n'y a pas d'applications installées. Sélectionnez le bouton plus ci-dessus pour installer de nouvelles applications.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Cette application peut être utile si vous avez un nouvel enfant ou des tâches de garde d'enfants. Il aide les soignants à suivre le sommeil, les tétées, les changements de couches et le temps passé sur le ventre pour en apprendre davantage sur les besoins de bébé et les prédire sans trop de travail.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Ceci est un système de serveur qui vous permet d'exécuter des applications Internet telles qu'un blog ou un réseau social fédéré.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|C'est certainement le type de données que vous voudrez peut-être garder privées et à l'écart des entreprises qui pourraient utiliser la surveillance des données de l'application parentale pour essayer de vous inciter à acheter toutes sortes d'ordures dont vous n'avez pas vraiment besoin ou que vous ne pouvez pas vous permettre. .
This is your new password|Ceci est votre nouveau mot de passe
This may take a few minutes.|Cela peut prendre quelques minutes.
This may take a minute or two. For details see:|Cela peut prendre une minute ou deux. Pour plus de détails voir:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Ce système n'est pas destiné à être diffusé à un large public et la limite supérieure des auditeurs est fixée à dix. Donc, un groupe de type famille et amis.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Cela fera une sauvegarde des clés qui chiffrent vos sauvegardes, les protégeant contre toute perte ou exposition accidentelle. Vous devez conserver ce lecteur dans un endroit sûr, distinct des autres sauvegardes.
This will restore the keys used to encrypt backups.|Cela restaurera les clés utilisées pour chiffrer les sauvegardes.
To add a new paragraph use the + button|Pour ajouter un nouveau paragraphe, utilisez le bouton +
To claim/fork a page from another server click on the flag icon|Pour réclamer / créer une page à partir d'un autre serveur, cliquez sur l'icône du drapeau.
To edit a paragraph double click on it|Pour éditer un paragraphe, double-cliquez dessus
To remove a paragraph just delete all of its text|Pour supprimer un paragraphe, supprimez simplement tout son texte
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Pour télécharger des fichiers musicaux, installez Syncthing, puis copiez les répertoires d'album dans ~ / Sync / music_upload, puis dans Koel, accédez aux paramètres et analysez le répertoire / musique.
Tor Bridges|Tor Bridges
Translate|Traduire
Translations|Traductions
Turkish|turc
Type: SRV|Type: SRV
Ukrainian|ukrainien
Uncheck use global user information.|Désactivez l'utilisation des informations utilisateur globales.
Uninstall|Désinstaller
Update|Mettre à jour
Updates settings changed|Les paramètres de mise à jour ont été modifiés
Upgrade|Améliorer
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Les mises à niveau se font automatiquement. Vous n'avez pas besoin de les démarrer manuellement comme ceci, sauf dans de rares circonstances
Upload|Télécharger
URL to upload from|URL à télécharger depuis
USB drive format has failed|Le format du lecteur USB a échoué
USB drive format in progress|Format de lecteur USB en cours
USB drive format is complete|Le format du lecteur USB est complet
Username: |Nom d'utilisateur:
Username: admin|Nom d'utilisateur: admin
Members|Utilisateurs
Using your preferred editor|En utilisant votre éditeur préféré
Video broadcast|Diffusion vidéo
Vietnamese|vietnamien
Voice chat|Chat vocal
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|AVERTISSEMENT: CELA EFFACERA TOUS LES CONTENUS DU DRIVE USB
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Nous sommes désolés, mais le nom d'utilisateur que vous avez donné n'est pas approprié. Vérifiez qu'il ne contient pas d'espaces, qu'il est en minuscule et d'au moins 3 caractères.
Web publishing system|Système de publication Web
When done editing click on the wiki button again|Lorsque vous avez terminé, cliquez à nouveau sur le bouton wiki
When it's done it will appear on the apps screen|Quand c'est fait, il apparaîtra sur l'écran des applications
When removal is finished it will disappear from apps|Lorsque la suppression est terminée, elle disparaîtra des applications
When you are done with translating select the 'import' button on the translations screen.|Lorsque vous avez fini de traduire, sélectionnez le bouton "Importer" sur l'écran de traduction.
