About|약
Copy and paste the translations file into your favorite editor.|번역 파일을 복사하여 원하는 편집기에 붙여 넣으십시오.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|이것을 전자 메일이나 다른 메시징 응용 프로그램에 복사하여 붙여넣고 LibreServer 프로젝트로 보내십시오.
CPU temperature|CPU 온도
CPU usage|CPU 사용량
Croatian|크로아티아 사람
Czech|체코 사람
Danish|덴마크 말
DAT Server|DAT 서버
Databaseless blogging|데이터뱅크 블로깅
Databaseless wiki|데이터베이스없는 위키
diagnostics|진단
diagnostics log|진단 로그
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|다른 서버에있는 동일한 페이지의 다른 버전은 화면의 오른쪽 하단에 상자로 표시됩니다. 여러 버전을 보려면 두 번 클릭하고 버전을 선호하는 경우 플래그 아이콘을 사용하여 포크로 갈 수 있습니다.
Disk I/O Speed|디스크 I / O 속도
Disk space used|사용 된 디스크 공간
DNS setup|DNS 설정
Domain/User Blocking|도메인 / 사용자 차단
Domain:|도메인:
Domain|도메인
Dutch|네덜란드 사람
Dynamic DNS|동적 DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|번역을 편집하십시오. 이 파일의 구조는 매우 간단합니다. 왼쪽은 영어 텍스트이고 오른쪽은 세로줄 문자를 구분 기호로 사용하여 번역 된 텍스트입니다.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|차단 된 도메인 또는 사용자를 편집, 추가 또는 제거합니다. 이메일 및 XMPP 주소에 적용됩니다.
Edith enable login|Edith 로그인 사용
Email system|이메일 시스템
Email/XMPP: USEREMAIL|이메일 / XMPP : USEREMAIL
Enable access via secure shell?|보안 쉘을 통해 액세스를 허용 하시겠습니까?
Enable Updates|업데이트 사용
English|영어
English (US)|영어 (미국)
Ensure that dat files are always available|dat 파일을 항상 사용할 수 있는지 확인하십시오.
Ensure that tor is installed onto your local system:|Tor가 로컬 시스템에 설치되었는지 확인하십시오.
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|레이블 (서버에 대해 선택하는 이름이 될 수 있음), LibreServer의 기본 도메인 이름 또는 바람직하게는 범블 양파 주소, 사용자 이름 (아무거나 될 수도 있음) 및 그와 동일한 Mumbble 암호를 입력하십시오 당신은 원래 박스를 셋업했습니다. 포트 번호는 변경하지 마십시오.
Enter a password which will be used to protect the backup|백업을 보호하는 데 사용할 암호를 입력하십시오.
Enter first and second nicknames and check connect to this network on startup.|첫 번째 및 두 번째 별명을 입력하고 시작할 때이 네트워크에 연결되어 있는지 확인하십시오.
Estonian|에스토니아 사람
Everything installed will be lost|설치된 모든 것이 손실됩니다.
Extremely simple note taking|매우 간단한 메모 복용
Factory reset is in progress|초기화가 진행 중입니다.
Farsi|페르시아어
Favicon|파비콘
Federated image sharing|페더레이션 이미지 공유
Federated microblogging|페더레이션 마이크로 블로그
Federated social network|연결된 소셜 네트워크
Federated wiki|연합 위키
File storage and sync|파일 저장 및 동기화
File synchronization|파일 동기화
Filipino|필리핀 사람
Finnish|핀란드어
First ensure that tor is installed. Within a terminal:|먼저 tor가 설치되었는지 확인하십시오. 터미널 내에서 :
For details see the diagnostics|자세한 내용은 진단 프로그램을 참조하십시오.
For details see:|자세한 내용은 다음을 참조하십시오.
For further information see the website at https://libreserver.org|자세한 내용은 https://libreserver.org에서 웹 사이트를 참조하십시오.
For the initial login use username: admin password admin|초기 로그인 사용자 이름 : admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|Jabber ID는 LibreServer 사용자 설정의 이메일 주소를 입력하십시오.
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|암호는 LibreServer 시스템을 설정하는 동안 처음에 기록하거나 저장 한 암호를 사용하십시오
Forward port 80 and 443 from your internet router|인터넷 라우터의 포트 80 및 443 전달
Forward the following ports from your internet router:|인터넷 라우터에서 다음 포트를 전달하십시오.
Forward the port 64738 from your internet router|인터넷 라우터에서 포트 64738을 전달하십시오.
Forward the port 6697 from your internet router|인터넷 라우터에서 포트 6697을 전달하십시오.
Forward the port 8448 from your internet router|인터넷 라우터에서 포트 8448을 전달하십시오.
FreeDNS code:|FreeDNS 코드 :
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer은 2013 년에 시작되었습니다. 처음에는 Beaglebone Black 하드웨어를 기반으로했으며 가정용 인터넷 서버를 저렴하게 관리 할 수 ​​있다는 FreedomBox 아이디어에 영감을 받았습니다.
French|프랑스 국민
French (Canada)|프랑스어 (캐나다)
From the initial screen select 'settings' then 'language'.|초기 화면에서 '설정'을 선택한 다음 '언어'를 선택하십시오.
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|메뉴에서 '구성'을 선택한 다음 '설정'을 선택하십시오. '고급'확인란을 선택한 다음 '네트워크'를 선택하십시오. '강제 TCP 모드'및 프록시 유형 'Socks5'를 선택하십시오. 호스트 이름은 'localhost'로 설정하고 포트는 9050이어야합니다.
Gaelic|게일 말
Gallego|갈레 고
Georgian|조르지아 주 사람
German|독일 사람
German (Personal)|독일어 (개인)
Git repo management|힘내 담당자 관리
Go Back|돌아 가기
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|F-droid 초기 화면으로 돌아가서 아래쪽으로 스 와이프하여 리포지토리를 업데이트하십시오. "저장소 업데이트 중"이라고 표시됩니다. 이 작업에는 몇 분이 걸릴 수 있습니다.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|대화 앱의 초기 화면으로 돌아가서 메뉴를 다시 선택한 다음 '계정 관리'를 클릭하십시오. 옆에있는 더하기 기호가있는 사람 아이콘을 선택하여 계정을 추가하십시오.
Gogs allow new registrations|신들은 새로운 등록을 허용합니다
Greek|그리스 사람
Gujarati|구자라트 어
Have you written down or saved the login credentials and removed any backup drives from the system?|로그인 자격 증명을 적어 두거나 저장하고 시스템에서 백업 드라이브를 제거 했습니까?
Hebrew|헤브라이 사람
Help|도움
Helps caregivers track sleep, feedings, diaper changes, and tummy time|간병인이 수면, 피임, 기저귀 변화, 배가 시간 추적
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|간병인은 수면, 피임, 기저귀 변화, 배가 시간을 추적하여 추측을하지 않고 아기의 요구를 파악하고 예측합니다.
here|이리
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (이전의 XChat)은 Tor를 통한 프록 싱과 호환되므로 IRC 서버에 연결할 때 최상의 보안을 제공합니다. IRC 서버의 양파 주소에 연결할 수 있습니다.
Hindi|힌디 어
How to do translations|번역 방법
Hungarian|헝가리 인
Icecast|아이스 캐스트
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast는 상당히 CPU 집약적입니다. 예를 들어 A20 기반 시스템에서 CPU 자원의 약 70 %를 차지합니다. 여러 개의 앱을 실행중인 경우이를 인식해야합니다.
Icecast is updating|Icecast가 업데이트 중입니다.
Icelandic|아이슬란드 어
Icons on the website and user interfaces are by Rashid Mhar.|Rashid Mhar는 웹 사이트 및 사용자 인터페이스의 아이콘을 제공합니다.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Emacs 사용자 인 경우 Emacs를 통해 IRC 서버에 연결할 수도 있습니다.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|양파 주소를 사용하는 경우 SSL을 사용하지 않아야하며 전송 암호화는 양파 주소 자체를 통해 처리됩니다.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|일반 도메인 이름 (clearnet / ICANN)을 사용하는 경우 SSL 사용이 선택되어 있는지 확인하십시오.
If you don't have a domain then just select Continue|도메인이없는 경우 계속을 선택하십시오.
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Orbot을 설치하지 않은 경우 드롭 다운 메뉴에서 Guardian Project 저장소를 활성화하고 설치하십시오.
If you don't need a password then just leave this blank and select Update|암호가 필요하지 않은 경우이 칸을 비워두고 업데이트를 선택하십시오.
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|연결된 USB가있는 경우 스트림이 작동하는지 확인할 수있을 때까지 삽입 된 상태로 두십시오
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|양파 주소에 액세스하는 데 문제가 있으면 아래의 Tor 브리지를 붙여 넣으십시오. https://bridges.torproject.org/bridges를 참조하십시오.
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Element 모바일 앱을 사용하여 Matrix 홈 서버에 액세스하는 경우 설정으로 이동하여 '동기화 요청 제한 시간'을 30 초로, '두 개의 동기화 요청 간 지연'을 600 초로 변경하면 배터리 성능을 크게 향상시킬 수 있습니다. 또한 그룹 채팅 이벤트가 발생할 때마다 알림을받지 않으므로 '그룹 채팅의 메시지'를 끄면 화면이 다시 활성화됩니다
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|귀하의 번역본이 받아 들여지면 나중에 업스트림 프로젝트에 나타나고 누구든지 사용할 수 있습니다.
Import|수입
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|Tor 브라우저에서 Icecast의 양파 주소로 이동하면 스트림을 재생할 수 있습니다.
Indonesian|인도네시아 인
Initial login|초기 로그인
Initial Setup|초기 설정
Install|설치
Install APPNAME now?|지금 APPNAME을 (를) 설치 하시겠습니까?
Install F-Droid|F-Droid 설치
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|HexChat을 설치하고 구성 파일을 설정하십시오. 데비안 또는 아치 기반의 배포판을 사용한다고 가정하면 로컬 컴퓨터에서 다음을 수행 할 수 있습니다.
Installation|설치
Installing in Emacs|Emacs에 설치하기
Installing on Desktop|데스크톱에 설치
Invalid Password|유효하지 않은 비밀번호
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC는 다중 사용자 채팅에 유용합니다. 고전적인 사용 사례는 많은 엔지니어가 자신의 활동을 조정해야하는 소프트웨어 개발이지만 회의, 당사자 및 일반적인 사교 활동에도 유용합니다.
It can be shown using the command:|다음 명령을 사용하여 표시 할 수 있습니다.
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|임의의 간격으로 트랙간에 재생 될 징글을 추가 할 수 있습니다. USB 드라이브에있는 일부 오디오 파일의 이름이 jingle_something.mp3 인 경우 딸깍 소리가납니다.
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Matrix에 대한 SRV 레코드를 DNS 설정에 추가하는 것이 좋습니다. 이를 수행하는 방법은 동적 DNS 공급자 및 해당 웹 인터페이스에 따라 다릅니다. 행렬 서버에 사용중인 하위 도메인 외에도 하위 도메인 설정의 FreeDNS에서 다음과 같이 추가 항목을 만듭니다.
Italian|이탈리아 사람
Japanese|일본어
Jingles|징글
Kannada|칸나다어
Keep changes|변경 사항 유지
Khmer|크메르어
Korean|한국어
Language|언어
Lao|라오스
Latvian|라트비아 사람
Lithuanian|리투아니아 사람
Malayalam|말라 얄람
Malaysian|말레이시아 인
Manually upgrade now ?|지금 수동으로 업그레이드 하시겠습니까?
Maori (Ngai Tahu)|마오리 (응가 타후)
Maori (Waikoto Uni)|마오리 (Waikoto Uni)
Markdown blogging|Markdown 블로깅
Matrix|매트릭스
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|이 사용자 인터페이스 내에서 편집하는 대신 자신 만의 편집기를 사용하는 것이 좋습니다. 그것은 다음과 같이 할 수 있습니다 :
Media broadcast|미디어 방송
Media storage and broadcast|미디어 저장 및 브로드 캐스트
Mongolian|몽고 어
Mumble|더듬 거리다
Music player|음악 플레이어
No|아니
No SSH public key was provided|SSH 공개 키가 제공되지 않았습니다.
none|없음
Norwegian|노르웨이 인
Norwegian (Primary)|노르웨이어 (기본)
Not Connected|연결되지 않은
Note taking|필기하기
Nynorsk|니 노르 스크
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|번역 화면 (위 첫 번째 섹션의 처음 세 단계 참조)에서 '제출'버튼을 선택하십시오.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|번역 화면 (위의 첫 번째 섹션의 처음 세 단계 참조)에서 화면 상단에 표시된 언어 코드를 선택하십시오. 일반적으로 UTF-8로 끝납니다. 그런 다음 원시 번역 파일을 볼 수 있습니다.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|F-droid 앱을 열고 '설정', '저장소'를 차례로 선택하십시오. 'Guardian Project Official Releases'가 활성화되어 있는지 확인하십시오.
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|설정을 엽니 다. '일반'을 선택한 다음 'Tor를 통해 연결'을 선택하십시오. 이것은 더 나은 보호를 제공하여 상대방이 누가 누구와 이야기하고 있는지를 알기가 더 어렵습니다. Tor를 통해 연결하는 것이 신뢰할 수없고 충돌이 발생하면 '일반 설정'에서 'Tor를 통해 연결'의 선택을 해제 한 다음 일반 도메인 이름을 사용하십시오.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|대화 앱을 열고 메뉴 (3 개의 점)를 선택하고 아래로 스크롤 한 다음 '전문가 설정'을 선택한 다음 '연결 대상'을 선택하십시오.
or|또는
Paragraphs can be dragged up and down to change their order, or moved between pages|단락을 위아래로 드래그하여 순서를 변경하거나 페이지간에 이동할 수 있습니다.
Password|암호
Password: |암호:
Paste your ssh public key here|여기에 ssh 공개 키 붙여 넣기
Paste your translations file below|아래에 번역 파일 붙여 넣기
Peertube allow new registrations|새로운 등록을 허용하는 Peertube
Personal accounting|개인 회계
Personal or small business accounting|개인 또는 소규모 기업 회계
Photo album|사진 앨범
Please enter their username. This should be lower case only and with no spaces.|사용자 이름을 입력하십시오. 소문자 여야하며 공백이 없어야합니다.
Please insert a USB drive|USB 드라이브를 넣으십시오.
Please insert the USB drive to restore from now|지금 복원하려면 USB 드라이브를 삽입하십시오.
Please insert your backup USB drive now|백업 USB 드라이브를 지금 삽입하십시오.
Please specify stream name, description and genre|스트림 이름, 설명 및 장르를 지정하십시오.
Please wait while your appliance is configuring|어플라이언스가 구성되는 동안 잠시 기다려주십시오.
Please write down or save these credentials|이 신임장을 적어 두거나 저장하십시오.
Pleroma|Pleroma
Pleroma allow new registrations|새로운 등록을 허용하는 Pleroma
Pleroma Custom Emoji|Pleroma 사용자 지정 이모티콘
Pleroma Settings|Pleroma 설정
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|USB 드라이브를 서버에 연결 한 다음 Icecast 앱 설정으로 이동하여 재생 목록에 대한 세부 정보를 추가하고 '업데이트'를 선택하십시오.
Polish|광택
Ports|포트
Portuguese|포르투갈 인
Portuguese (Brazil)|포르투갈어 (브라질)
Power|힘
Press the plus button to add a Mumble server.|Mumble 서버를 추가하려면 더하기 버튼을 누릅니다.
Proceed with backup?|백업을 계속 하시겠습니까?
Proceed with drive format?|드라이브 포맷을 계속 하시겠습니까?
Proceed with reset?|재설정을 계속 하시겠습니까?
Proceed with restore?|복원을 계속 하시겠습니까?
RAM used|사용 된 RAM
Remote access|원격 액세스
Remove|풀다
Remove any backup drives now|지금 백업 드라이브를 제거하십시오.
Remove APPNAME now?|지금 APPNAME을 (를) 삭제 하시겠습니까?
Remove user USERNAME?|USERNAME 님을 삭제 하시겠습니까?
Removing user account|사용자 계정 삭제
Reset is in progress|재설정이 진행 중입니다.
Reset to factory|공장 초기화
RESET TO FACTORY DEFAULTS|공장 기본값으로 재설정하십시오.
Restart|재시작
Restore|복원
Restore has failed|복원에 실패했습니다.
Restore in progress|진행중인 복원
Restore is complete|복원이 완료되었습니다.
Restore of keys failed|키 복원에 실패했습니다.
Restore of keys is complete|키 복원이 완료되었습니다.
Restore password|암호 복원
Restore your keys now?|지금 열쇠를 복원 하시겠습니까?
Restoring backup keys|백업 키 복원
Romanian|루마니아 사람
RSS Reader|RSS 리더
Run HexChat.|HexChat을 실행합니다.
Running backup of keys|키 백업 실행 중
Russian|러시아인
Samoan|사모아
Search again for 'Conversations' (not the legacy version), then select 'install'|'대화'(기존 버전 아님)를 다시 검색 한 다음 '설치'를 선택하십시오.
Search for and install Plumble.|Plumble을 찾아서 설치하십시오.
Secure realtime collaboration|안전한 실시간 협업
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|문서, 프리젠 테이션, 그림 및 투표로 실시간 공동 작업을 안전하게 수행 할 수 있습니다. 문서는 일시적이며 저장하지 않는 한 브라우저를 닫을 때 삭제됩니다.
Secure Shell|보안 쉘
Select|고르다
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|'적용'및 '확인'을 선택한 다음 '서버'및 '연결'메뉴를 선택하십시오.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|'다음'을 선택하여 계정을 만드십시오. 2 분 후에 전자 메일이 작동하면 계정 상태가 녹색으로 '온라인'으로 변경됩니다.
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|검색 (돋보기 아이콘)을 선택하고 'Orbot'(기존 버전 아님)을 검색 한 다음 '설치'를 선택하십시오.
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|'번역'버튼을 선택하십시오. 왼쪽에는 영어 텍스트가 있고 오른쪽에는 번역 된 텍스트가있는 새 화면이 나타납니다.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|자동 조인 채널 탭을 선택하고 추가를 클릭 한 다음 #libreserver을 채널 이름으로 입력하십시오.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|서버 상자에서 항목을 선택한 다음 ircaddress.onion/6697 또는 mydomainname/6697을 입력하고 Enter 키를 누릅니다.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|화면 하단의 페이지 옆에있는 wiki 버튼을 선택하여 편집을 활성화 또는 비활성화하십시오.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|서버를 눌러 서버를 선택하면 서버에 연결되므로 연결된 다른 사용자와 채팅 할 수 있습니다.
Serbian|세르비아 사람
Setting up on a laptop|노트북에 설치하기
Setting up on Android|Android에서 설정
Setting up with an Android phone|Android 휴대 전화로 설정하기
Settings|설정
Setup on Android|Android에서의 설정
Shortcode|짧은 코드
Shutdown|일시 휴업
Shutting down|셧다운
Simple kanban|단순한 간반
Simple Markdown blogging|간단한 마크 다운 블로깅
Simple notes|단순 메모
Slovak|슬로바키아 사람
Slovenian|슬로베니아
Somali|소 말리
Spanish (International)|스페인어 (국제)
SSH access is disabled|SSH 액세스가 비활성화되었습니다.
SSH access is enabled|SSH 액세스가 사용 가능합니다.
Stream Description|스트림 설명
Streaming media|스트리밍 미디어
Submit|제출
Submitting your translations to the LibreServer project|LibreServer 프로젝트에 번역 제출
Swedish|스웨덴어
System Monitor|시스템 모니터
Systems may be temporarily unavailable in the next few minutes|다음 몇 분 안에 시스템을 일시적으로 사용할 수 없습니다.
Tagalog|타갈로그어
Tamil|타밀 사람
Thai|태국 사람
Thankyou for choosing the LibreServer home internet appliance|LibreServer 홈 인터넷 어플라이언스를 선택해 주셔서 고맙습니다.
The account will now be removed. This may take a minute or two. For details see:|이제 계정이 삭제됩니다. 이 작업에는 1 ~ 2 분이 소요될 수 있습니다. 자세한 내용은 다음을 참조하십시오.
The classic low bandwidth chat system|고전적인 저 대역폭 채팅 시스템
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|LibreServer 시스템은 주로 회사 나 기관을 대상으로하지는 않지만, 개인 회사 나 프리랜서라면 자신의 회계 시스템을 운영하고 데이터를 비공개로 유지하고 백업 할 수있는 능력이 있어야 유용합니다. Akaunting은 중소 기업 계정을위한 멋진 웹 기반 시스템을 제공하며 모바일 웹 브라우저에서도 사용할 수 있습니다.
A new member is being added. This may take a minute or two.|새로운 사용자가 추가되고 있습니다. 암호를 적어 두거나 저장하십시오.
The passwords do not match|암호가 일치하지 않습니다
There are a few things to know about using the federated wiki.|연합 위키를 사용하는 것에 대해 알아야 할 몇 가지 사항이 있습니다.
There are no apps installed. Select the plus button above to install new apps.|설치된 앱이 없습니다. 새 앱을 설치하려면 위의 더하기 버튼을 선택하십시오.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|이 앱은 새로운 자녀가 있거나 탁아 의무가있는 경우에 유용 할 수 있습니다. 간병인, 수유부, 기저귀 교환 및 배를 추적하여 간병인의 요구를 예측하고 예측할 수 있습니다.
This is a server system which enables you to run internet apps such as a blog or federated social network.|이 블로그는 블로그 나 연합 소셜 네트워크와 같은 인터넷 앱을 운영 할 수있게 해주는 서버 시스템입니다.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|이것은 틀림없이 필요하지 않거나 감당할 수없는 모든 종류의 정크를 사기 위해 죄책감을 느끼기 위해 육아 애플리케이션 데이터의 감시를 사용하는 회사와 사적인 관계를 유지하려는 데이터의 유형입니다 .
This is your new password|이것은 새로운 암호입니다
This may take a few minutes.|이 작업은 몇 분 정도 걸릴 수 있습니다.
This may take a minute or two. For details see:|이 작업에는 1 ~ 2 분이 소요될 수 있습니다. 자세한 내용은 다음을 참조하십시오.
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|이 시스템은 많은 청중에게 방송되지 않으며 청취자의 상한은 10으로 설정됩니다. 그래서 가족과 친구 유형 그룹.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|이렇게하면 백업을 암호화 한 키를 백업하여 우발적 인 손실이나 노출로부터 보호 할 수 있습니다. 이 드라이브는 다른 백업과 분리 된 안전한 장소에 보관해야합니다.
This will restore the keys used to encrypt backups.|이렇게하면 백업을 암호화하는 데 사용되는 키가 복원됩니다.
To add a new paragraph use the + button|새 단락을 추가하려면 + 버튼을 사용하십시오.
To claim/fork a page from another server click on the flag icon|다른 서버에서 페이지를 청구 / 포크하려면 플래그 아이콘을 클릭하십시오.
To edit a paragraph double click on it|단락을 편집하려면 두 번 클릭하십시오.
To remove a paragraph just delete all of its text|단락을 제거하려면 텍스트 전체를 삭제하면됩니다.
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|음악 파일을 업로드하려면 Syncthing을 설치하고 ~ / Sync / music_upload에 앨범 디렉토리를 복사 한 다음 Koel에서 설정으로 이동하여 디렉토리 / 음악을 스캔하십시오.
Tor Bridges|토르 브릿지
Translate|옮기다
Translations|번역
Turkish|터키어
Type: SRV|유형 : SRV
Ukrainian|우크라이나 말
Uncheck use global user information.|선택을 취소하면 글로벌 사용자 정보가 사용됩니다.
Uninstall|제거
Update|최신 정보
Updates settings changed|업데이트 설정이 변경되었습니다.
Upgrade|업그레이드
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|업그레이드는 자동으로 이루어집니다. 희소 한 경우를 제외하고는 수동으로 시작할 필요가 없습니다.
Upload|업로드
URL to upload from|업로드 할 URL
USB drive format has failed|USB 드라이브 포맷이 실패했습니다.
USB drive format in progress|USB 드라이브 포맷 진행 중
USB drive format is complete|USB 드라이브 포맷이 완료되었습니다.
Username: |사용자 이름:
Username: admin|사용자 이름 : admin
Members|사용자
Using your preferred editor|선호하는 편집기 사용하기
Video broadcast|비디오 방송
