About|約
Icons on the website and user interfaces are by Rashid Mhar.|ウェブサイト上のアイコンとユーザーインターフェイスは、Rashid Mharによるものです。
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Emacsのユーザであれば、Emacs経由でIRCサーバに接続することもできます。
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|オニオンアドレスを使用している場合は、SSLを使用しないでください。トランスポート暗号化は、オニオンアドレス自体を介して処理されます。
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|通常のドメイン名（clearnet / ICANN）を使用している場合は、Use SSLがチェックされていることを確認してください。
If you don't have a domain then just select Continue|ドメインがない場合は、[続行]を選択します
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Orbotをインストールしていない場合は、ドロップダウンメニューからGuardian Projectリポジトリを有効にしてインストールします。
If you don't need a password then just leave this blank and select Update|パスワードが必要ない場合は、このフィールドを空白のままにして、[更新]を選択します。
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|USBを差し込んだままにしておくと、ストリームが動作していることを確認できるまで挿入されます
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|タマネギのアドレスにアクセスする際に問題がある場合は、以下のTorブリッジを貼り付けてください。 https://bridges.torproject.org/bridgesを参照してください。
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Elementモバイルアプリケーションを使用してMatrixホームサーバーにアクセスしている場合は、設定に進み、「同期要求のタイムアウト」を30秒に、「2つの同期要求の間の遅延」を600秒に変更することで、バッテリー性能を大幅に向上できます。また、グループチャットイベントが発生したときに通知を受け取らないようにするため、「グループチャットのメッセージ」をオフにすると、画面が起動します
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|翻訳が受け入れられた場合、後で上流のプロジェクトに表示され、誰でも使用できるようになります。
Import|インポート
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|TorブラウザでIcecastのタマネギアドレスに移動し、ストリームを再生することができます
Indonesian|インドネシア語
Initial login|初回ログイン
Initial Setup|初期設定
Install|インストール
Install APPNAME now?|APPNAMEを今すぐインストールしますか？
Install F-Droid|F-Droidをインストールする
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|HexChatをインストールし、設定ファイルを設定します。 DebianやArchベースのディストリビューションで動作していると仮定すると、これはあなたのローカルマシン上で以下のようにすることができます：
Installation|インストール
Installing in Emacs|Emacsにインストールする
Installing on Desktop|デスクトップにインストールする
Invalid Password|無効なパスワード
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRCはマルチユーザチャットに便利です。古典的なユースケースは、多くのエンジニアが活動を調整する必要があるかもしれないソフトウェア開発ですが、会議、パーティー、一般的な社交にも役立ちます。
It can be shown using the command:|次のコマンドを使用して表示できます。
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|ランダムな間隔でトラック間で再生されるジングルを追加することは可能です。あなたのUSBドライブ上のオーディオファイルのいくつかがjingle_something.mp3という名前の場合、それらはジングルとして使用されます
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|MatrixのSRVレコードをDNS設定に追加することをお勧めします。これを行う方法は、ダイナミックDNSプロバイダとそのWebインターフェイスに依存します。 FreeDNSのサブドメイン設定で、マトリクスサーバーに使用しているサブドメインに加えて、次のような追加エントリを作成します。
Italian|イタリアの
Japanese|日本語
Jingles|ジングル
Kannada|カンナダ
Keep changes|変更を保存する
Khmer|クメール語
Korean|韓国語
Language|言語
Lao|ラオス
Latvian|ラトビア語
Lithuanian|リトアニア語
Malayalam|マラヤラム
Malaysian|マレーシア人
Manually upgrade now ?|今すぐ手動でアップグレードしますか？
Maori (Ngai Tahu)|マオリ（ヌー・タフ）
Maori (Waikoto Uni)|マオリ（ワイコトユニ）
Markdown blogging|Markdown blogging
Matrix|マトリックス
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|おそらく、このユーザーインターフェイス内で編集する代わりに、独自のエディタを使用することをお勧めします。それは次のようにして行うことができます：
Media broadcast|メディア放送
Media storage and broadcast|メディアストレージとブロードキャスト
Mongolian|モンゴル語
Mumble|混乱
Music player|音楽プレーヤー
No|いいえ
No SSH public key was provided|SSH公開鍵が提供されていません
none|なし
Norwegian|ノルウェー語
Norwegian (Primary)|ノルウェー語（プライマリ）
Not Connected|接続されていません
Note taking|ノートをとる
Nynorsk|ニョルスク
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|翻訳画面が表示されたら（上記の最初の3つの手順を参照）、[送信]ボタンを選択します。
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|翻訳画面（上の最初の3つの手順を参照）で、画面の上部に表示されている言語コードを選択します（通常はUTF-8で終わります）。生の翻訳ファイルが表示されます。
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|F-droidアプリを開き、「設定」→「リポジトリ」を選択します。 「Guardian Project Official Releases」が有効になっていることを確認してください
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|設定を開きます。 「一般」を選択し、次に「Tor経由で接続する」を選択します。これはより良い保護を提供し、誰が誰と話しているのかを敵が知ることをより困難にする。 Torを介した接続が信頼できず、クラッシュする場合は、[一般設定]の[Tor via via]を選択解除し、通常のドメイン名を使用します。
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Conversationsアプリを開き、メニュー（3つの点）を選択し、下にスクロールして「エキスパート設定」を選択し、次に「Connect to Tor」を選択します。
or|または
Paragraphs can be dragged up and down to change their order, or moved between pages|段落を上下にドラッグして順序を変更したり、ページ間を移動したりすることができます
Password|パスワード
Password: |パスワード：
Paste your ssh public key here|ここにあなたのssh公開鍵を貼り付けてください
Paste your translations file below|翻訳ファイルを下に貼り付けます
Peertube allow new registrations|新しい登録を許可するPeertube
Personal accounting|個人会計
Personal or small business accounting|個人または中小企業の会計
Photo album|フォトアルバム
Please enter their username. This should be lower case only and with no spaces.|ユーザー名を入力してください。これは、小文字のみでスペースを入れないでください。
Please insert a USB drive|USBドライブを挿入してください
Please insert the USB drive to restore from now|今すぐ復元するにはUSBドライブを挿入してください
Please insert your backup USB drive now|バックアップUSBドライブを今すぐ挿入してください
Please specify stream name, description and genre|ストリーム名、説明、ジャンルを指定してください
Please wait while your appliance is configuring|アプライアンスの設定中にお待ちください
Please write down or save these credentials|これらの資格情報を書き留めておいてください
Pleroma|Pleroma
Pleroma allow new registrations|新しい登録を許可するPleroma
Pleroma Custom Emoji|Pleromaカスタム絵文字
Pleroma Settings|Pleromaの設定
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|USBドライブをサーバーに接続し、Icecastアプリの設定に進み、プレイリストの詳細を追加して、[更新]を選択します。
Polish|研磨
Ports|ポート
Portuguese|ポルトガル
Portuguese (Brazil)|ポルトガル語（ブラジル）
Power|力
Press the plus button to add a Mumble server.|Mumbleサーバーを追加するには、プラスボタンを押します。
Proceed with backup?|バックアップを続行しますか？
Proceed with drive format?|ドライブフォーマットを進めますか？
Proceed with reset?|リセットを続行しますか？
Proceed with restore?|リストアを続行しますか？
RAM used|使用RAM
Remote access|リモートアクセス
Remove|削除する
Remove any backup drives now|今すぐバックアップドライブを削除してください
Remove APPNAME now?|今すぐAPPNAMEを削除しますか？
Remove user USERNAME?|USERNAMEさんを削除しますか？
Removing user account|ユーザーアカウントの削除
Reset is in progress|リセットが進行中です
Reset to factory|工場にリセットする
RESET TO FACTORY DEFAULTS|工場出荷時の設定にリセットする
Restart|再起動
Restore|リストア
Restore has failed|復元に失敗しました
Restore in progress|復元が進行中です
Restore is complete|復元が完了しました
Restore of keys failed|キーの復元に失敗しました
Restore of keys is complete|キーの復元が完了しました
Restore password|パスワードを復元する
Restore your keys now?|今すぐあなたの鍵を復元しますか？
Restoring backup keys|バックアップキーの復元
Romanian|ルーマニア語
RSS Reader|RSSリーダー
Run HexChat.|HexChatを実行します。
Running backup of keys|鍵のバックアップの実行
Russian|ロシア
Samoan|サモアン
Search again for 'Conversations' (not the legacy version), then select 'install'|「会話」（従来のバージョンではない）を再度検索し、「インストール」を選択します。
Search for and install Plumble.|Plumbleを検索してインストールします。
Secure realtime collaboration|セキュアなリアルタイムコラボレーション
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|ドキュメント、プレゼンテーション、描画、投票によるリアルタイムのコラボレーションを実現します。ドキュメントは一時的なものであり、保存しない限り、ブラウザを閉じると削除されます。
Secure Shell|セキュアシェル
Select|選択
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|'Apply'と 'Ok'を選択し、 'Server'と 'Connect'メニューを選択します。
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|[次へ]を選択してアカウントを作成します。数分後にeveythingが動作している場合は、アカウントのステータスが緑色で「オンライン」に変更されているはずです
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|検索（虫眼鏡のアイコン）を選択し、従来のバージョンではなく「オルボット」を検索してから、「インストール」を選択します。
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|[翻訳]ボタンを選択します。あなたは、左側に英語のテキストと右側に翻訳されたテキストの新しい画面が表示されます。
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|[自動参加チャンネル]タブを選択し、[追加]をクリックしてチャンネル名として#libreserverと入力します。
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|サーバーボックス内のエントリを選択し、ircaddress.onion/6697またはmydomainname/6697と入力してEnterを押します。
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|画面の下部にあるページの横にあるwikiボタンを選択して、編集を有効または無効にします。
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|サーバーを押してサーバーを選択すると、サーバーに接続され、接続されている他のユーザーとチャットできます
Serbian|セルビア語
Setting up on a laptop|ラップトップでのセットアップ
Setting up on Android|Androidで設定する
Setting up with an Android phone|Android搭載端末で設定する
Settings|設定
Setup on Android|Androidでの設定
Shortcode|ショートコード
Shutdown|シャットダウン
Shutting down|シャットダウン
Simple kanban|シンプルなかんばん
Simple Markdown blogging|シンプルなマークダウンブログ
Simple notes|シンプルなメモ
Slovak|スロバキア語
Slovenian|スロベニア語
Somali|ソマリ
Spanish (International)|スペイン語（国際）
SSH access is disabled|SSHアクセスが無効になっています
SSH access is enabled|SSHアクセスが有効になっている
Stream Description|ストリーム記述
Streaming media|ストリーミングメディア
Submit|提出する
Submitting your translations to the LibreServer project|あなたの翻訳をLibreServerプロジェクトに提出する
Swedish|スウェーデンの
System Monitor|システムモニタ
Systems may be temporarily unavailable in the next few minutes|次の数分でシステムが一時的に使用できなくなることがあります
Tagalog|タガログ語
Tamil|タミル語
Thai|タイ語
Thankyou for choosing the LibreServer home internet appliance|LibreServerホームインターネットアプライアンスを選択していただきありがとうございます
The account will now be removed. This may take a minute or two. For details see:|アカウントは削除されます。これには1〜2分かかります。詳細は、以下を参照してください。
The classic low bandwidth chat system|古典的な低帯域幅のチャットシステム
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|LibreServerシステムは主に企業や機関を対象としているわけではありませんが、1人の企業またはフリーランサーであれば、独自の会計システムを運用してデータを非公開にしてバックアップすることができます。 Akauntingは、小規模ビジネスアカウント用の素敵なウェブベースのシステムを提供し、モバイルウェブブラウザ内でも非常に便利です。
A new member is being added. This may take a minute or two.|新しいユーザーが追加されています。パスワードを書き留めるか保存してください。
The passwords do not match|パスワードが一致しません
There are a few things to know about using the federated wiki.|連合されたwikiを使うことについて知っておくべきことがいくつかあります。
There are no apps installed. Select the plus button above to install new apps.|インストールされているアプリはありません。新しいアプリをインストールするには、上記のプラスボタンを選択します。
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|このアプリは、新しいお子さんやベビーシッターの仕事がある場合に便利です。介護者は、睡眠、授乳、おむつの変更、おなかの時間を追跡して、推測することなく赤ちゃんのニーズを知り、予測することができます。
This is a server system which enables you to run internet apps such as a blog or federated social network.|これは、ブログや連合したソーシャルネットワークなどのインターネットアプリを実行できるようにするサーバーシステムです。
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|これは確かにあなたが本当に必要としない、または買うことができないあらゆる種類の迷惑メールを購入することに罪を犯させようとするために、育児アプリのデータの監視を使用する可能性のある企業から、 。
This is your new password|これはあなたの新しいパスワードです
This may take a few minutes.|これには数分かかる場合があります。
This may take a minute or two. For details see:|これには1〜2分かかります。詳細は、以下を参照してください。
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|このシステムは大規模な視聴者に放送するためのものではなく、リスナーの上限は10に設定されています。だから、家族や友人がグループを作ります。
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|これにより、バックアップを暗号化する鍵のバックアップが作成され、偶発的な損失や暴露から保護されます。このドライブは、他のバックアップとは別に安全な場所に保管してください。
This will restore the keys used to encrypt backups.|これにより、バックアップの暗号化に使用されるキーが復元されます。
To add a new paragraph use the + button|新しい段落を追加するには、+ボタンを使用します
To claim/fork a page from another server click on the flag icon|別のサーバーからページを要求/フォークするには、フラグアイコンをクリックします
To edit a paragraph double click on it|段落を編集するにはダブルクリックしてください
To remove a paragraph just delete all of its text|段落を削除するには、すべてのテキストを削除するだけです
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|音楽ファイルをアップロードするにはSyncthingをインストールし、〜/ Sync / music_uploadにアルバムディレクトリをコピーしてから、Koel内で設定に行き、ディレクトリ/音楽をスキャンします
Tor Bridges|トルブリッジズ
Translate|翻訳
Translations|翻訳
Turkish|トルコ語
Type: SRV|タイプ：SRV
Ukrainian|ウクライナ語
Uncheck use global user information.|グローバルユーザ情報のチェックを外します。
Uninstall|アンインストール
Update|更新
Updates settings changed|更新設定が変更されました
Upgrade|アップグレード
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|アップグレードは自動的に行われます。ごくまれに例外を除いて、手動でこれを開始する必要はありません
Upload|アップロード
URL to upload from|アップロード元のURL
USB drive format has failed|USBドライブのフォーマットに失敗しました
USB drive format in progress|USBドライブのフォーマットが進行中
USB drive format is complete|USBドライブのフォーマットが完了しました
Username: |ユーザー名：
Username: admin|ユーザー名：admin
Members|ユーザー
Using your preferred editor|好みのエディタを使用する
Video broadcast|ビデオ放送
Vietnamese|ベトナム語
Voice chat|ボイスチャット
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|警告：これはUSBドライブのすべてのコンテンツを消去します
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|申し訳ありませんが、あなたが指定したユーザー名は適切ではありません。スペースが含まれていないことを確認します。小文字で、長さが3文字以上であることを確認してください。
Web publishing system|Web公開システム
When done editing click on the wiki button again|編集が完了したら、wikiボタンをもう一度クリックします。
When it's done it will appear on the apps screen|完了したら、アプリの画面に表示されます
When removal is finished it will disappear from apps|削除が完了すると、アプリケーションから消えます
When you are done with translating select the 'import' button on the translations screen.|翻訳が完了したら、翻訳画面で「インポート」ボタンを選択します。
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|翻訳を追加したら、「更新」ボタンを選択してください。これにより、選択した言語の翻訳ファイルが更新されます。これは、ユーザーインターフェイス内の現在の言語を変更しないことに注意してください。それを行うには、言語画面に戻り、言語を選択してから「選択」ボタンをクリックします。
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|いずれの画面でも、上のLibreServerロゴをクリックするか、押して、前の画面に戻ることができます。
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Icecastでは、タマネギのアドレスから自分のインターネットラジオストリームを実行できます。いつものように、著作権の問題に注意し、あなたが所有するクリエイティブコモンズの音楽や音楽ファイルに固執することが望ましいです。
Within the network list click, Add and enter your domain name then click Edit.|ネットワークリストで[追加]をクリックし、ドメイン名を入力して[編集]をクリックします。
Within the Password field enter the password which you originally set up the box with.|[パスワード]フィールドに、最初にボックスを設定したパスワードを入力します。
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|ソフトウェアセンター内で「mumble」を検索し、クライアントをインストールしてから実行します。オーディオ設定ウィザードをスキップします。初期接続ウィンドウをキャンセルします。
Write it down or save it|書き留めたり、保存したりする
XMPP|XMPP
xmpp based chat system|xmppベースのチャットシステム
Yes|はい
You can edit the translated text on the right side of the screen.|翻訳されたテキストは、画面の右側で編集できます。
You can get to this system remotely via:|次の方法でこのシステムにリモートからアクセスできます。
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|これで、最初の会話アプリ画面に戻り、使用を開始できるようになりました。おそらく、右下のアイコンを使用して連絡先を追加することになります。詳細については、ConversationsのWebサイト（conversations.im）を参照するか、またはチャットグループのconversations@conference.siacs.euを購読してください
You can now log in with:|これでログインできます：
You can see upgrade progress|あなたはアップグレードの進行状況を見ることができます
