About|oor
Enter a password which will be used to protect the backup|Voer 'n wagwoord in wat gebruik sal word om die rugsteun te beskerm
Enter first and second nicknames and check connect to this network on startup.|Voer eerste en tweede byname in en maak 'n verbinding met hierdie netwerk wanneer jy begin.
Estonian|Estnies
Everything installed will be lost|Alles geïnstalleer sal verlore gaan
Extremely simple note taking|Uiters eenvoudige aantekeninge
Factory reset is in progress|Fabrieksterugstelling is aan die gang
Farsi|Farsi
Favicon|favicon
Federated image sharing|Federated image sharing
Federated microblogging|Federated microblogging
Federated social network|Federated social network
Federated wiki|Federale wiki
Fedwiki Favicon|Fedwiki Favicon
Fedwiki Password|Fedwiki Wagwoord
Fedwiki Settings|Fedwiki-instellings
File storage and sync|Lêergeskiedenis en sinkronisering
File synchronization|Lêer sinchronisasie
Filipino|filipino
Finnish|Finse
First ensure that tor is installed. Within a terminal:|Maak eers seker dat Tor geïnstalleer is. Binne 'n terminaal:
For details see the diagnostics|Vir besonderhede, sien die diagnostiek
For details see:|Vir besonderhede sien:
For further information see the website at https://libreserver.org|Vir verdere inligting, besoek die webwerf by https://libreserver.org
For the initial login use username: admin password admin|Vir die aanvanklike login gebruik gebruikersnaam: admin wagwoord admin
For the Jabber ID enter the email address from your LibreServer user settings|Vir die Jabber-ID, voer die e-posadres in van u LibreServer-gebruikersinstellings
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Vir die wagwoord gebruik die wagwoord wat u aanvanklik neergeskryf of gestoor het tydens die opstelling van die LibreServer-stelsel
Forward port 80 and 443 from your internet router|Stuur hawe 80 en 443 van u internet router
Forward the following ports from your internet router:|Stuur die volgende poorte van jou internet router:
Forward the port 64738 from your internet router|Stuur die poort 64738 vanaf u internet router
Forward the port 6697 from your internet router|Stuur die poort 6697 vanaf u internet router
Forward the port 8448 from your internet router|Stuur die poort 8448 vanaf u internet router
FreeDNS code:|FreeDNS kode:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer het in 2013 begin. Dit was aanvanklik gebaseer op die Beaglebone Black-hardeware en geïnspireer deur die FreedomBox-idee van 'n goedkoop en maklike internetbediener vir die huis.
French|Frans
French (Canada)|Frans (Kanada)
From the initial screen select 'settings' then 'language'.|Kies vanaf die aanvanklike skerm 'instellings' en dan 'taal'.
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Kies 'Configure' en 'Settings' in die menu. Kies die 'Gevorderde' boks en kies 'Netwerk'. Kies 'Force TCP-modus' en proxy-tipe 'Socks5'. Hostnaam moet ingestel word op 'localhost' en die poort moet 9050 wees.
Gaelic|Gaelic
Gallego|Gallego
Georgian|georgian
German|Duitse
German (Personal)|Duits (Persoonlik)
Git repo management|Git repo bestuur
Go Back|Gaan terug
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Gaan terug na die F-droid aanvanklike skerm en werk die repositories op deur afwaarts te swaai. Jy sal sien dit sê "opdatering van bewaarplekke". Dit kan 'n paar minute neem.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Gaan terug na die aanvanklike skerm van die Gesprekke-program, kies die kieslys weer en dan 'Bestuur rekeninge'. Voeg 'n rekening by deur die persoon se ikoon met die plus langs dit te kies.
Gogs allow new registrations|Gogs laat nuwe registrasies toe
Greek|Griekse
Gujarati|gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Het u die inskrywingskennisgewings geskryf of gered en enige rugsteundrywe uit die stelsel verwyder?
Hebrew|Hebreeus
Help|help
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Hulp versorgers volg slaap, voedings, luier veranderinge, en maag tyd
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Hulp versorgers volg slaap, voedings, luier veranderinge, en maag tyd om te leer oor en voorspel babys behoeftes sonder soveel raai werk.
here|hier
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (voorheen XChat) is verenigbaar met proxying via Tor en bied dus die beste sekuriteit wanneer u aan u IRC-bediener koppel. Dit sal u toelaat om aan u IRC-bediener se ui-adres te koppel.
Hindi|hindi
How to do translations|Hoe om vertalings te doen
Hungarian|hungarian
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast is baie CPU intensief. Byvoorbeeld, op 'n A20-gebaseerde stelsel, neem dit ongeveer 70% van die SVE-hulpbron. Dit is iets om bewus te wees van of jy meer programme uitvoer
Icecast is updating|Icecast is opgedateer
Icelandic|Yslands
Icons on the website and user interfaces are by Rashid Mhar.|Ikone op die webwerf en gebruikerskoppelvlakke is deur Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|As jy 'n Emacs-gebruiker is, kan jy ook via jou Emacs verbinding maak met jou IRC-bediener.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|As u die ui-adres gebruik, moet SSL gebruik word, en die vervoer enkripsie sal via die ui-adres self hanteer word.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|As jy die gewone domeinnaam (clearnet / ICANN) gebruik, maak seker dat Gebruik SSL gekontroleer is.
If you don't have a domain then just select Continue|As jy nie 'n domein het nie, kies dan net voort
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|As jy nie Orbot geïnstalleer het nie, aktiveer dan die Guardian Project repository in die drop down menu en installeer dit.
If you don't need a password then just leave this blank and select Update|As jy nie 'n wagwoord benodig nie, moet jy dit leeg laat en kies Update
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|As jy 'n USB-aansluiting het, laat dit toe totdat jy kan bevestig dat die stroom werk
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|As jy probleme ondervind met die toegang tot uie adresse, plak 'n paar Tor brûe hieronder. Sien https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|As jy die Mobiele Mobiele App-program gebruik om toegang tot jou Matrix-huisbediener te verkry, kan jy die prestasie van die battery aansienlik verbeter deur na die instellings te gaan en die tydsduur van 'Sync-versoeke te verander' na 30 sekondes en 'Vertraag tussen twee sinkronisasieversoeke' na 600 sekondes. Dit sal ook help om 'boodskappe in groepskletse' uit te skakel, aangesien dit sal voorkom dat 'n kennisgewing ontvang word wanneer 'n groepklets gebeurtenis plaasvind, wat dan die skerm wakker word.
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|As u vertalings aanvaar word, sal dit later in die opwaartse projek verskyn en deur enigiemand gebruik kan word.
Import|invoer
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|In 'n Tor-blaaier navigeer na die ui-adres vir Icecast en dan kan jy die stroom speel
Indonesian|Indonesiese
Initial login|Aanvanklike inskrywing
Initial Setup|Aanvanklike instellings
Install|installeer
Install APPNAME now?|Installeer APPNAME nou?
Install F-Droid|Installeer F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Installeer HexChat en stel sy konfigurasielêer op. As jy aanvaar dat jy op 'n Debian- of Arch-gebaseerde distro gebruik, kan dit op jou plaaslike masjien gedoen word met:
Installation|installasie
Installing in Emacs|Installeer in Emacs
Installing on Desktop|Installeer op die lessenaar
Invalid Password|Ongeldige Wagwoord
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC is nuttig vir multi-gebruiker chat. Die klassieke gebruiksgeval is vir sagteware-ontwikkeling waar baie ingenieurs moontlik hul aktiwiteite moet koördineer, maar dit is ook nuttig vir vergaderings, partye en algemene sosialisering.
It can be shown using the command:|Dit kan met die opdrag gewys word:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Dit is moontlik om jingles wat tussen liedjies met willekeurige tussenposes gespeel word, by te voeg. As sommige van die klanklêers op u USB-stasie jingle_something.mp3 genoem word, sal hulle as jingles gebruik word
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Dit word aanbeveel dat u 'n SRV-rekord vir Matrix by u DNS-opstelling byvoeg. Hoe jy dit doen, sal afhang van jou dinamiese DNS-verskaffer en hul webkoppelvlak. Op FreeDNS in die subdomein instellings benewens die subdomein wat u vir die matriksbediener gebruik, skep u 'n ekstra inskrywing soos volg:
Italian|Italiaanse
Japanese|japanese
Jingles|jingles
Kannada|kannada
Keep changes|Hou veranderinge
Khmer|Khmer
Korean|Koreaanse
Language|Taal
Lao|Lao
Latvian|Lets
Lithuanian|lithuanian
Malayalam|Malabaars
Malaysian|Maleisiese
Manually upgrade now ?|Handmatig opgradeer nou?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown blogging
Matrix|Matrix
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Miskien in plaas van om binne hierdie gebruikerskoppelvlak te wysig, verkies jy om jou eie redakteur te gebruik. Dit kan soos volg gedoen word:
Media broadcast|Media uitsending
Media storage and broadcast|Media berging en uitsending
Mongolian|Mongoolse
Mumble|Mumble
Music player|Musiek speler
No|Geen
No SSH public key was provided|Geen SSH-publieke sleutel is verskaf nie
none|niemand
Norwegian|Noorse
Norwegian (Primary)|Noors (Primêr)
Not Connected|Nie gekonnekteer nie
Note taking|Neem van notas
Nynorsk|Nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Sodra jy op die vertalings skerm is (sien die eerste drie stappe in die eerste afdeling hierbo) kies die 'Submit' knoppie.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Sodra jy op die vertalings skerm is (sien die eerste drie stappe in die eerste afdeling hierbo) kies die taalkode boaan die skerm (gewoonlik eindig dit met UTF-8). U kan dan die rou vertalings lêer sien.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Open die F-droid app en kies 'Settings' en 'Repositories'. Maak seker dat 'Guardian Project Official Releases' aangeskakel is
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Maak die instellings oop. Kies 'Algemeen' en dan 'Koppel via Tor'. Dit sal beter beskerming bied, wat dit moeiliker maak vir teenstanders om te weet wie met wie praat. As koppeling deur Tor onbetroubaar is en oorsake veroorsaak, kies dan 'Connect via Tor' op die 'Algemene instellings' en gebruik dan net jou gewone domeinnaam.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Maak die Gesprekke-program oop en kies die kieslys (drie kolletjies), blaai af en kies 'Expert Settings' en kies 'Connect to Tor'
or|of
Paragraphs can be dragged up and down to change their order, or moved between pages|Paragrawe kan op en af ​​gesleep word om hul bestelling te verander, of tussen bladsye verskuif
Password|wagwoord
Password: |wagwoord:
Paste your ssh public key here|Plak jou ssh publieke sleutel hier
Paste your translations file below|Plak jou vertalings lêer hieronder
Peertube allow new registrations|Peertube laat nuwe registrasies toe
Personal accounting|Persoonlike rekeningkunde
Personal or small business accounting|Persoonlike of klein besigheidsrekeningkunde
Photo album|foto-album
Please enter their username. This should be lower case only and with no spaces.|Voer asseblief hul gebruikersnaam in. Dit moet slegs kleinletters en sonder spasies wees.
Please insert a USB drive|Plaas asseblief 'n USB-skyf
Please insert the USB drive to restore from now|Plaas asseblief die USB-stasie om van nou af te herstel
Please insert your backup USB drive now|Plaas asseblief u Friends USB Drive nou
Please specify stream name, description and genre|Spesifiseer asseblief stroom naam, beskrywing en genre
Please wait while your appliance is configuring|Wag asseblief terwyl u toestel konfigureer
Please write down or save these credentials|Skryf asseblief hierdie kennisgewings neer of stoor dit
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma laat nuwe registrasies toe
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Pleroma Instellings
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Plaas die USB-stasie in jou bediener, gaan dan na die Icecast-programinstellings, voeg 'n paar besonderhede oor jou snitlys by en kies 'Update'
Polish|Pools
Ports|hawens
Portuguese|Portugees
Portuguese (Brazil)|Portugees (Brasilië)
Power|krag
Press the plus button to add a Mumble server.|Druk die plus-knoppie om 'n Mumble-bediener by te voeg.
Proceed with backup?|Gaan voort met rugsteun?
Proceed with drive format?|Gaan voort met die ryformaat?
Proceed with reset?|Gaan voort met reset?
Proceed with restore?|Gaan voort met herstel?
RAM used|RAM gebruik
Remote access|Afstand toegang
Remove|verwyder
Remove any backup drives now|Verwyder nou enige rugsteun dryf
Remove APPNAME now?|Verwyder APPNAME nou?
Remove user USERNAME?|Verwyder gebruiker USERNAME?
Removing user account|Verwyder gebruiker rekening
Reset is in progress|Herstelling is aan die gang
Reset to factory|Herstel na fabriek
RESET TO FACTORY DEFAULTS|RESET AAN FABRIEKWAARDES
Restart|Begin oor
Restore|herstel
Restore has failed|Herstel het misluk
Restore in progress|Herstel aan die gang
Restore is complete|Herstel is voltooi
Restore of keys failed|Herstel van sleutels misluk
Restore of keys is complete|Herstel van sleutels is voltooi
Restore password|Herstel wagwoord
Restore your keys now?|Herstel nou jou sleutels?
Restoring backup keys|Herstel rugsteun sleutels
Romanian|Roemeens
RSS Reader|RSS-leser
Run HexChat.|Begin HexChat.
Running backup of keys|Running rugsteun van sleutels
Russian|Russiese
Samoan|Samoa
Search again for 'Conversations' (not the legacy version), then select 'install'|Soek weer vir 'Gesprekke' (nie die nalatenskapversie nie) en kies dan 'installeer'
Search for and install Plumble.|Soek en installeer Plumble.
Secure realtime collaboration|Veilige realtime samewerking
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Veilige realtime samewerking met dokumente, aanbiedings, tekeninge en stemme. Dokumente is efemere en tensy jy dit stoor, sal dit uitgevee word wanneer jy die blaaier sluit.
Secure Shell|Veilige Shell
Select|Kies
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Kies 'Apply' en 'Ok', dan op die menu 'Server' en 'Connect'.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Kies 'Volgende' om die rekening te skep. As eveything na 'n paar minute werk, moet u die status van die rekeningstatus na 'aanlyn' in groen sien
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Kies soektog (vergrootglasikoon) en soek vir 'Orbot' (nie die nalatenskapversie nie), kies dan 'installeer'
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Kies die 'vertaal'-knoppie. U sal 'n nuwe skerm met Engelse teks aan die linkerkant sien en vertaal teks aan die regterkant.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Kies die oortjie Autojoin kanale, klik Voeg by en voer #libreserver as die kanaal naam in.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Kies die item in die bediener boks en tik dan ircaddress.onion/6697 of mydomainname/6697 in en druk Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Kies die wiki-knoppie onderaan die skerm, langs bladsye, om redigering te aktiveer of te deaktiveer.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|As u die bediener kies deur dit te druk, verbind u die bediener sodat u met ander verbindende gebruikers kan gesels
Serbian|serbian
Setting up on a laptop|Opstel op 'n skootrekenaar
Setting up on Android|Opstel op Android
Setting up with an Android phone|Opstel met 'n Android-foon
Settings|instellings
Setup on Android|Opstel op Android
Shortcode|kortkode
Shutdown|afsluit
Shutting down|Af skakel
Simple kanban|Eenvoudige kanban
Simple Markdown blogging|Eenvoudige Markdown blogging
Simple notes|Eenvoudige aantekeninge
Slovak|slovak
Slovenian|slovenian
Somali|Somaliese
Spanish (International)|Spaans (Internasionaal)
SSH access is disabled|SSH-toegang is gedeaktiveer
SSH access is enabled|SSH-toegang is aangeskakel
Stream Description|Stroom Beskrywing
Streaming media|Streaming media
Submit|Indien
Submitting your translations to the LibreServer project|Stuur jou vertalings na die LibreServer-projek
Swedish|Sweeds
System Monitor|Stelsel Monitor
Systems may be temporarily unavailable in the next few minutes|Stelsels kan tydelik onbeskikbaar wees oor die volgende paar minute
Tagalog|Tagalog
Tamil|tamil
Thai|Thai
Thankyou for choosing the LibreServer home internet appliance|Dankie vir die keuse van die LibreServer huis internet toestel
The account will now be removed. This may take a minute or two. For details see:|Die rekening sal nou verwyder word. Dit kan 'n minuut of twee neem. Vir besonderhede sien:
The classic low bandwidth chat system|Die klassieke lae bandbreedte-kletsstelsel
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|Die LibreServer-stelsel is nie hoofsaaklik gemik op maatskappye of instansies nie, maar as jy 'n eenpersoonmaatskappy of freelancer is, dan kan jy jou eie rekeningkundige stelsel bestuur en die data privaat hou en ook gerugsteun word. Akaunting bied 'n goeie web-gebaseerde stelsel vir klein besigheidsrekeninge, en is ook redelik bruikbaar binne 'n mobiele webblaaier.
A new member is being added. This may take a minute or two.|Die nuwe gebruiker word bygevoeg. Skryf hul wagwoord neer of stoor dit.
The passwords do not match|Die wagwoorde stem nie ooreen nie
There are a few things to know about using the federated wiki.|Daar is 'n paar dinge om te weet oor die gebruik van die federale wiki.
There are no apps installed. Select the plus button above to install new apps.|Daar is geen programme geïnstalleer nie. Kies die plusknoppie hierbo om nuwe programme te installeer.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Hierdie inligting kan nuttig wees as jy 'n nuwe kind of babysit moet hê. Dit help versorgers om slaap, voedings, luier veranderinge en buik tyd te leer oor en voorspel baba se behoeftes sonder soveel raai werk.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Dit is 'n bedienerstelsel wat u in staat stel om internetprogramme soos 'n blog of federale sosiale netwerk uit te voer.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Dit is beslis die tipe data wat jy dalk wil privaat hou en weg van maatskappye wat andersins toesig kan maak op ouerskapprogramdata om jou te probeer skuldig maak in die aankoop van allerhande rommel wat jy nie regtig nodig het of kan bekostig nie. .
This is your new password|Dit is jou nuwe wagwoord
This may take a few minutes.|Dit kan 'n paar minute duur.
This may take a minute or two. For details see:|Dit kan 'n minuut of twee neem. Vir besonderhede sien:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Hierdie stelsel is nie bedoel om na groot gehore te versprei nie en die boonste perk van luisteraars is op tien. So 'n familie en vriende tipe groep.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Dit sal 'n back-up maak van die sleutels wat u rugsteunkodes enkripteer en hulle beskerm teen toevallige verlies of blootstelling. Jy moet hierdie ry op 'n veilige plek hou, afgesien van ander rugsteun.
This will restore the keys used to encrypt backups.|Dit sal die sleutels wat gebruik word om rugsteunkopieë te enkripteer, herstel.
To add a new paragraph use the + button|Om 'n nuwe paragraaf by te voeg, gebruik die + -knoppie
To claim/fork a page from another server click on the flag icon|Om 'n bladsy van 'n ander bediener te eis / vurk, klik op die vlagpictogram
To edit a paragraph double click on it|Om 'n paragraaf te verander, dubbelklik daarop
To remove a paragraph just delete all of its text|Om 'n paragraaf te verwyder, vee net al sy teks uit
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Om musieklêers op te laai, installeer Syncthing en kopieer albumgidse na ~ / Sync / music_upload, dan binne Koel gaan na instellings en scan die gids / musiek
Tor Bridges|Tor Bridges
Translate|vertaal
Translations|vertalings
Turkish|turkish
Type: SRV|Tipe: SRV
Ukrainian|Oekraïens
Uncheck use global user information.|Verwyder die vinkje van globale gebruikersinligting.
Uninstall|verwyder
Update|Opdateer
Updates settings changed|Opdateringsinstellings is verander
Upgrade|opgradering
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Opgraderings gebeur outomaties. U hoef dit nie so handmatig te begin nie, behalwe in seldsame omstandighede
Upload|oplaai
URL to upload from|URL om vanaf te laai
USB drive format has failed|USB-formaat het misluk
USB drive format in progress|USB-stasie-formaat aan die gang
USB drive format is complete|USB-formaat is voltooi
Username: |Gebruikersnaam:
Username: admin|Gebruikersnaam: admin
Members|gebruikers
Using your preferred editor|Gebruik jou voorkeurredakteur
Video broadcast|Video-uitsending
Vietnamese|Viëtnamees
Voice chat|Stem klets
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|WAARSKUWING: DIT SAL ALLE INHOUD VAN DIE USB DRIVE VERWYDER
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Ons is jammer, maar die gebruikersnaam wat u gegee het, is nie geskik nie. Kontroleer of dit nie spasies bevat nie, is kleinletters en ten minste 3 karakters lank.
Web publishing system|Web publiseer stelsel
When done editing click on the wiki button again|As jy klaar is, kliek weer op die wiki-knoppie
When it's done it will appear on the apps screen|Wanneer dit klaar is, sal dit op die programme skerm verskyn
When removal is finished it will disappear from apps|Wanneer die verwydering klaar is, sal dit van programme verdwyn
