About|על אודות
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|אם אתה משתמש ביישום הנייד ריוט כדי לגשת לשרת המטריקס שלך אז אתה יכול לשפר באופן משמעותי את ביצועי הסוללה על ידי הולך להגדרות ושינוי "פסק זמן בקשת סנכרון" ל 30 שניות "עיכוב בין שתי בקשות סינכרון" ל 600 שניות. גם ביטול 'הודעות בצ'אטים קבוצתיים' יסייע, שכן הוא ימנע קבלת הודעה בכל פעם אירוע צ'אט קבוצתי קורה, אשר ואז מעירה את המסך
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|אם התרגומים שלך יתקבלו הם יופיעו מאוחר יותר בפרויקט במעלה להיות שמיש על ידי מישהו.
Import|יְבוּא
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|בדפדפן Tor נווט אל כתובת הבצל של Icecast ולאחר מכן תוכל להפעיל את הזרם
Indonesian|אינדונזית
Initial login|כניסה ראשונית
Initial Setup|הגדרה ראשונית
Install|להתקין
Install APPNAME now?|האם להתקין את APPNAME כעת?
Install F-Droid|התקן F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|התקן את HexChat והגדר את קובץ התצורה שלו. בהנחה שאתה פועל על הפצה דביאן או Arch מבוסס, זה יכול להיעשות על המחשב המקומי שלך עם:
Installation|הַתקָנָה
Installing in Emacs|התקנה ב Emacs
Installing on Desktop|התקנה על שולחן העבודה
Invalid Password|סיסמה שגויה
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC שימושי לצ'אט מרובה משתמשים. המקרה השימוש הקלאסי הוא לפיתוח תוכנה שבה מהנדסים רבים ייתכן שיהיה צורך לתאם את הפעילויות שלהם, אבל זה גם שימושי עבור פגישות, צדדים חברתיים בכלל.
It can be shown using the command:|ניתן להציג אותו באמצעות הפקודה:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|אפשר להוסיף ג 'ינגלים אשר יהיה שיחק בין מסלולים במרווחים אקראיים. אם כמה קבצי אודיו בכונן ה- USB שלך נקראים jingle_something.mp3 אז הם ישמשו כמו jingles
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|מומלץ להוסיף רשומת SRV עבור מטריקס להגדרת ה- DNS שלך. איך אתה עושה את זה יהיה תלוי ספק DNS דינמי שלך ואת ממשק האינטרנט שלהם. ב- FreeDNS בהגדרות תת-הדומיינים בנוסף לתת-הדומיין שבו אתה משתמש עבור שרת המטריקס, צור ערך נוסף באופן הבא:
Italian|אִיטַלְקִית
Japanese|יַפָּנִית
Jingles|ג'ינגלים
Kannada|קנאדה
Keep changes|שמור שינויים
Khmer|חמר
Korean|קוריאנית
Language|שפה
Lao|לאו
Latvian|לטבית
Lithuanian|ליטאית
Malayalam|מלאיאלאם
Malaysian|מלזי
Manually upgrade now ?|שדרוג ידני כעת?
Maori (Ngai Tahu)|מאורי (נגאי טאהו)
Maori (Waikoto Uni)|מאורי (Waikoto Uni)
Markdown blogging|בלוגים
Matrix|מַטרִיצָה
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|אולי במקום לערוך בתוך ממשק משתמש זה אתה מעדיף להשתמש בעורך שלך. זה יכול להיעשות כדלקמן:
Media broadcast|שידור מדיה
Media storage and broadcast|אחסון מדיה ושידור
Mongolian|מוֹנגוֹלִי
Mumble|מִלמוּל
Music player|נגן מוזיקה
No|לא
No SSH public key was provided|לא הוגש מפתח ציבורי SSH
none|אף אחד
Norwegian|נורווגית
Norwegian (Primary)|נורווגית (ראשי)
Not Connected|לא מחובר
Note taking|הערה לוקח
Nynorsk|נינורסק
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|ברגע שאתה על המסך תרגומים (ראה את שלושת השלבים הראשונים בסעיף הראשון לעיל) בחר את הלחצן 'שלח'.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|ברגע שאתה על המסך תרגומים (ראה את שלושת השלבים הראשונים בסעיף הראשון לעיל) בחר את קוד השפה שמוצג בחלק העליון של המסך (בדרך כלל זה מסתיים עם UTF-8). לאחר מכן תוכל לראות את קובץ התרגומים הגולמיים.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|פתח את האפליקציה F-droid ובחר 'הגדרות' ולאחר מכן 'מאגרים'. ודא כי "Guardian Project הרשמי לעיתונות" מופעל
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|פתח את ההגדרות. בחר 'כללי' ולאחר מכן 'התחבר דרך Tor'. זה יספק הגנה טובה יותר, מה שהופך את זה קשה יותר עבור היריבים לדעת מי מדבר עם מי. אם החיבור דרך Tor אינו אמין וגורם לקריסות ואז בטל את הקישור 'התחבר דרך Tor' בהגדרות 'כללי' ולאחר מכן השתמש בשם הדומיין הרגיל שלך.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|פתח את האפליקציה 'שיחות' ובחר את התפריט (שלוש נקודות), גלול למטה ובחר 'הגדרות מומחה' ולאחר מכן בחר 'התחבר לטור'
or|אוֹ
Paragraphs can be dragged up and down to change their order, or moved between pages|ניתן לגרור את הפסקאות למעלה ולמטה כדי לשנות את סדרן, או לעבור בין דפים
Password|סיסמה
Password: |סיסמה:
Paste your ssh public key here|הדבק את המפתח הציבורי שלך כאן
Paste your translations file below|הדבק את קובץ התרגומים שלך למטה
Peertube allow new registrations|Peertube לאפשר רישומים חדשים
Personal accounting|חשבונאות אישית
Personal or small business accounting|חשבונאות אישית או עסקית קטנה
Photo album|אלבום תמונות
Please enter their username. This should be lower case only and with no spaces.|הזן את שם המשתמש שלהם. זה צריך להיות רק במקרה נמוך ללא רווחים.
Please insert a USB drive|הכנס כונן USB
Please insert the USB drive to restore from now|הכנס את כונן ה- USB לשחזור מעתה
Please insert your backup USB drive now|הכנס את כונן ה- USB לגיבוי כעת
Please specify stream name, description and genre|ציין שם זרם, תיאור וז'אנר
Please wait while your appliance is configuring|המתן עד שהגדרת את המכשיר שלך
Please write down or save these credentials|רשום או שמור אישורים אלה
Pleroma|פלרומה
Pleroma allow new registrations|פלרומה מאפשרת רישויים חדשים
Pleroma Custom Emoji|פלוארומה אישית Emoji
Pleroma Settings|פלרומה הגדרות
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|חבר את כונן ה- USB לשרת שלך, ולאחר מכן עבור אל הגדרות היישום Icecast, הוסף פרטים על הפלייליסט ובחר 'עדכן'
Polish|פולני
Ports|יציאות
Portuguese|פורטוגזית
Portuguese (Brazil)|פורטוגזית (ברזיל)
Power|כּוֹחַ
Press the plus button to add a Mumble server.|לחץ על לחצן הפלוס כדי להוסיף שרת Mumble.
Proceed with backup?|להמשיך עם גיבוי?
Proceed with drive format?|להמשיך בתבנית כונן?
Proceed with reset?|האם להמשיך באיפוס?
Proceed with restore?|להמשיך עם שחזור?
RAM used|RAM בשימוש
Remote access|גישה מרחוק
Remove|לְהַסִיר
Remove any backup drives now|הסר את כל הכוננים גיבוי עכשיו
Remove APPNAME now?|להסיר את APPNAME עכשיו?
Remove user USERNAME?|להסיר את המשתמש USERNAME?
Removing user account|הסרת חשבון משתמש
Reset is in progress|האיפוס מתבצע
Reset to factory|איפוס למפעל
RESET TO FACTORY DEFAULTS|איפוס לחריגות מפעלים
Restart|איתחול
Restore|לשחזר
Restore has failed|השחזור נכשל
Restore in progress|שחזור בתהליך
Restore is complete|השחזור הושלם
Restore of keys failed|שחזור המפתחות נכשל
Restore of keys is complete|שחזור המפתחות הושלם
Restore password|שחזור סיסמה
Restore your keys now?|לשחזר את המפתחות עכשיו?
Restoring backup keys|שחזור מפתחות גיבוי
Romanian|רומנית
RSS Reader|קורא RSS
Run HexChat.|הפעל HexChat.
Running backup of keys|הפעלת גיבוי של מפתחות
Russian|רוּסִי
Samoan|סמואי
Search again for 'Conversations' (not the legacy version), then select 'install'|חפש שוב עבור 'שיחות' (לא בגרסה ישנה), ולאחר מכן בחר 'התקן'
Search for and install Plumble.|חיפוש והתקנה של Plumble.
Secure realtime collaboration|שיתוף פעולה מאובטח בזמן אמת
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|שיתוף פעולה מאובטח בזמן אמת עם מסמכים, מצגות, ציורים והצבעה. המסמכים הם זמניים, אלא אם תשמור אותם יימחקו כאשר תסגור את הדפדפן.
Secure Shell|מעטפת מאובטחת
Select|בחר
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|בחר 'החל' ו 'אישור', ולאחר מכן בתפריט 'שרת' ו 'התחבר'.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|בחר 'הבא' כדי ליצור את החשבון. אם eveything עובד אחרי כמה דקות אתה צריך לראות את מצב החשבון לשנות ל 'מקוון' בירוק
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|בחר חיפוש (סמל זכוכית מגדלת) וחפש את 'Orbot' (לא את הגירסה הקודמת), ולאחר מכן בחר 'התקן'
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|בחר בלחצן 'תרגם'. תראה מסך חדש עם טקסט באנגלית בצד שמאל ותרגום טקסט בצד ימין.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|בחר בכרטיסיה Autojoin channel, לחץ על Add והזן #libreserver כשם הערוץ.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|בחר את הערך בתוך תיבת השרתים, ולאחר מכן הזן ircaddress.onion/6697 או mydomainname/6697 והקש על Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|בחר בלחצן הוויקי שבתחתית המסך, לצד דפים, כדי להפעיל או להשבית את העריכה.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|בחירת השרת על ידי לחיצה עליו ולאחר מכן מחברת אותך לשרת, כך שתוכל לשוחח בצ'אט עם משתמשים מחוברים אחרים
Serbian|סרבית
Setting up on a laptop|הגדרת על מחשב נייד
Setting up on Android|הגדרה ב- Android
Setting up with an Android phone|הגדרה עם טלפון Android
Settings|הגדרות
Setup on Android|הגדרה ב- Android
Shortcode|קוד קצר
Shutdown|לכבות
Shutting down|כיבוי
Simple kanban|קנבן פשוט
Simple Markdown blogging|בלוגים פשוטים
Simple notes|הערות פשוטות
Slovak|סלובקית
Slovenian|סלובנית
Somali|סומלית
Spanish (International)|ספרדית (בינלאומי)
SSH access is disabled|הגישה SSH מושבתת
SSH access is enabled|גישת SSH מופעלת
Stream Description|תיאור זרם
Streaming media|מדיה זורמת
Submit|שלח
Submitting your translations to the LibreServer project|הגשת התרגומים שלך לפרויקט Freedomone
Swedish|שוודית
System Monitor|צג מערכת
Systems may be temporarily unavailable in the next few minutes|ייתכן שהמערכות לא יהיו זמינות באופן זמני בדקות הקרובות
Tagalog|טגלוג
Tamil|טמילית
Thai|תאילנדית
Thankyou for choosing the LibreServer home internet appliance|תודה שבחרת את מכשיר האינטרנט הביתית של Freedomone
The account will now be removed. This may take a minute or two. For details see:|החשבון יוסר כעת. פעולה זו עשויה להימשך דקה או שתיים. לפרטים ראה:
The classic low bandwidth chat system|רוחב פס קלאסי נמוך מערכת צ 'אט
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|מערכת LibreServer לא מכוונת בעיקר לחברות או למוסדות, אבל אם אתה אדם אחד או פרילנסר אז יש את היכולת להפעיל את מערכת החשבונאות שלך ולשמור את הנתונים פרטיים מגובים גם הוא שימושי. Aaunting מספק מערכת מבוססת אינטרנט נחמד עבור חשבונות עסקיים קטנים, והוא גם שמיש למדי בתוך דפדפן אינטרנט סלולרי.
A new member is being added. This may take a minute or two.|המשתמש החדש מתווסף. כתוב או שמור את הסיסמה שלהם.
The passwords do not match|הסיסמאות לא תואמות
There are a few things to know about using the federated wiki.|יש כמה דברים לדעת על שימוש בוויקי הפדרלי.
There are no apps installed. Select the plus button above to install new apps.|לא מותקנות אפליקציות. בחר בלחצן החיבור למעלה כדי להתקין אפליקציות חדשות.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|אפליקציה זו עשויה להיות שימושית אם יש לך ילד חדש או שירותי בייביסיטר. זה עוזר למטפלים לעקוב אחר שינה, האכלה, שינויים חיתולים, זמן בטן כדי ללמוד על ולחזות את הצרכים של התינוק בלי לעבוד כמו לנחש.
This is a server system which enables you to run internet apps such as a blog or federated social network.|זוהי מערכת שרת המאפשרת לך להפעיל יישומי אינטרנט כגון בלוג או רשת חברתית מאוחדת.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|זה בהחלט סוג של נתונים אשר ייתכן שתרצה לשמור על פרטיות וחברות אחרות אשר עשויים להשתמש אחרת מעקב של הורות נתוני האפליקציה לנסות אשמה לך לקנות כל מיני זבל כי אתה לא באמת צריך או לא יכול להרשות לעצמו .
This is your new password|זוהי הסיסמה החדשה שלך
This may take a few minutes.|זה יכול לקחת כמה דקות.
This may take a minute or two. For details see:|פעולה זו עשויה להימשך דקה או שתיים. לפרטים ראה:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|מערכת זו אינה מיועדת לשדר לקהל גדול, והגבול העליון של המאזינים נקבע בעשרה. אז משפחה וחברים סוג קבוצה.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|זה יגרום גיבוי של המפתחות אשר להצפין את הגיבויים שלך, להגן עליהם מפני אובדן או חשיפה בשוגג. עליך לשמור את הכונן במקום בטוח, בנפרד מגיבויים אחרים.
This will restore the keys used to encrypt backups.|פעולה זו תשחזר את המקשים המשמשים להצפנת גיבויים.
To add a new paragraph use the + button|כדי להוסיף פסקה חדשה, השתמש בלחצן +
To claim/fork a page from another server click on the flag icon|כדי לטעון / להצביע על דף משרת אחר, לחץ על סמל הדגל
To edit a paragraph double click on it|כדי לערוך פיסקה לחץ פעמיים על זה
To remove a paragraph just delete all of its text|כדי להסיר פסקה פשוט למחוק את כל הטקסט שלה
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|כדי להעלות קבצי מוסיקה להתקין Syncthing ואז להעתיק ספריות האלבום לתוך ~ / Sync / music_upload, ולאחר מכן בתוך Koel ללכת הגדרות ולסרוק את הספרייה / מוסיקה
Tor Bridges|גשרי טור
Translate|לתרגם
Translations|תרגומים
Turkish|טורקי
Type: SRV|סוג: SRV
Ukrainian|אוקראינית
Uncheck use global user information.|בטל את הסימון של מידע משתמש גלובלי.
