About|Sobre
Dynamic DNS|DNS dinâmico
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Edite suas traduções. A estrutura deste arquivo é muito simples. À esquerda está o texto em inglês e, à direita, o texto traduzido, com o caractere de linha vertical como separador.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Edite, adicione ou remova domínios ou usuários bloqueados. Isso se aplica a endereços de e-mail e XMPP
Edith enable login|Edith permite login
Email system|Sistema de e-mail
Email/XMPP: USEREMAIL|Email / XMPP: USEREMAIL
Enable access via secure shell?|Ativar o acesso via shell seguro?
Enable Updates|Ativar Atualizações
English|Inglês
English (US)|Inglês (EUA)
Ensure that dat files are always available|Assegure-se de que os arquivos dat estejam sempre disponíveis
Ensure that tor is installed onto your local system:|Certifique-se de que o tor esteja instalado em seu sistema local:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Digite um rótulo (que pode ser qualquer nome que você escolher para o servidor), o nome de domínio padrão do LibreServer ou, de preferência, o endereço de cebola murmurante, seu nome de usuário (que também pode ser qualquer) e a senha do Mumble que é a mesma você originalmente configurou a caixa com. Deixe o número da porta inalterado.
Enter a password which will be used to protect the backup|Digite uma senha que será usada para proteger o backup
Enter first and second nicknames and check connect to this network on startup.|Digite primeiro e segundo apelidos e verifique se conectar a esta rede na inicialização.
Estonian|estoniano
Everything installed will be lost|Tudo instalado será perdido
Extremely simple note taking|Extremamente simples anotações
Factory reset is in progress|A redefinição de fábrica está em andamento
Farsi|Farsi
Favicon|Favicon
Federated image sharing|Compartilhamento de imagem federada
Federated microblogging|Microblogging Federado
Federated social network|Rede social federada
Federated wiki|Wiki federado
File storage and sync|Armazenamento de arquivos e sincronização
File synchronization|Sincronização de arquivos
Filipino|Filipino
Finnish|finlandês
First ensure that tor is installed. Within a terminal:|Primeiro assegure-se de que o tor esteja instalado. Dentro de um terminal:
For details see the diagnostics|Para mais detalhes, consulte o diagnóstico
For details see:|Para detalhes, consulte:
For further information see the website at https://libreserver.org|Para mais informações, consulte o site em https://libreserver.org
For the initial login use username: admin password admin|Para o login inicial use username: admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|Para o ID do Jabber, digite o endereço de e-mail das configurações do usuário do seu LibreServer.
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Para a senha, use a senha que você inicialmente anotou ou armazenou durante a configuração do sistema LibreServer.
Forward port 80 and 443 from your internet router|Encaminhe as portas 80 e 443 do seu roteador de internet
Forward the following ports from your internet router:|Encaminhe as seguintes portas do seu roteador de internet:
Forward the port 64738 from your internet router|Encaminhe a porta 64738 do seu roteador de internet
Forward the port 6697 from your internet router|Encaminhe a porta 6697 do seu roteador de internet
Forward the port 8448 from your internet router|Encaminhe a porta 8448 do seu roteador de internet
FreeDNS code:|Código FreeDNS:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer começou em 2013. Foi inicialmente baseado no hardware Beaglebone Black e inspirado na ideia FreedomBox de um servidor de internet barato e simples de gerenciar para o lar.
French|francês
French (Canada)|Francês (Canadá)
From the initial screen select 'settings' then 'language'.|Na tela inicial, selecione 'configurações' e 'idioma'.
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|No menu, selecione "Configurar" e depois "Configurações". Selecione a caixa de seleção 'Avançado' e selecione 'Rede'. Selecione "Forçar o modo TCP" e o tipo de proxy "Socks5". O nome do host deve ser definido como 'localhost' e a porta deve ser 9050.
Gaelic|gaélico
Gallego|Galego
Georgian|Georgiano
German|alemão
German (Personal)|Alemão (Pessoal)
Git repo management|Gerenciamento de recompra Git
Go Back|Volte
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Volte para a tela inicial do F-droid e atualize os repositórios deslizando para baixo. Você verá "atualizando repositórios". Isso pode levar alguns minutos.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Volte para a tela inicial do aplicativo Conversas, selecione o menu novamente e, em seguida, "Gerenciar contas". Adicione uma conta selecionando o ícone da pessoa com o sinal de mais ao lado dela.
Gogs allow new registrations|Gogs permitem novos registros
Greek|grego
Gujarati|Gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Você anotou ou salvou as credenciais de login e removeu todas as unidades de backup do sistema?
Hebrew|hebraico
Help|Socorro
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Ajuda os cuidadores a acompanhar o sono, as mamadas, as trocas de fraldas e o tempo de barriga
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Ajuda os cuidadores a acompanhar o sono, as mamadas, as trocas de fraldas e o tempo de barriga para aprender e prever as necessidades dos bebês sem muito trabalho de adivinhação.
here|Aqui
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|O HexChat (antigo XChat) é compatível com o proxy via Tor e, portanto, fornece a melhor segurança ao se conectar ao seu servidor de IRC. Ele permitirá que você se conecte ao endereço de cebola do seu servidor de IRC.
Hindi|hindi
How to do translations|Como fazer traduções
Hungarian|húngaro
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast é bastante intensivo da CPU. Por exemplo, em um sistema baseado em A20, ele leva cerca de 70% do recurso da CPU. Isso é algo para se saber se você está executando vários aplicativos
Icecast is updating|Icecast está atualizando
Icelandic|islandês
Icons on the website and user interfaces are by Rashid Mhar.|Os ícones no site e nas interfaces de usuário são de Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Se você é um usuário do Emacs, você também pode se conectar ao seu servidor de IRC via Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Se você estiver usando o endereço da cebola, use o SSL que deve estar desmarcado e a criptografia de transporte será manipulada pelo próprio endereço da cebola.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Se você estiver usando o nome de domínio comum (clearnet / ICANN), verifique se a opção Usar SSL está marcada.
If you don't have a domain then just select Continue|Se você não tem um domínio, basta selecionar Continuar
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Se você não tiver o Orbot instalado, ative o repositório The Guardian Project no menu suspenso e instale-o.
If you don't need a password then just leave this blank and select Update|Se você não precisa de uma senha, apenas deixe em branco e selecione Atualizar.
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Se você tiver um USB conectado, deixe-o inserido até que você possa confirmar que o fluxo está funcionando
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Se você tiver problemas para acessar os endereços em cebola, cole algumas pontes Tor abaixo. Veja https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Se você estiver usando o aplicativo móvel da Element para acessar seu servidor Matrix, poderá melhorar significativamente o desempenho da bateria acessando as configurações e alterando o 'Tempo limite da solicitação de sincronização' para 30 segundos e 'Atraso entre duas solicitações de sincronização' para 600 segundos. Desativar também 'msgs em bate-papos em grupo' ajudará, já que evitará receber uma notificação sempre que um evento de bate-papo em grupo acontecer, o que então ativa a tela
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Se suas traduções forem aceitas, elas aparecerão mais tarde no projeto upstream e poderão ser usadas por qualquer pessoa.
Import|Importar
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|Em um navegador Tor, navegue até o endereço cebola do Icecast e você poderá reproduzir o fluxo
Indonesian|indonésio
Initial login|Login inicial
Initial Setup|Configuração inicial
Install|Instalar
Install APPNAME now?|Instalar APPNAME agora?
Install F-Droid|Instale o F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Instale o HexChat e configure seu arquivo de configuração. Assumindo que você está rodando em uma distribuição baseada em Debian ou Arch, isto pode ser feito em sua máquina local com:
Installation|Instalação
Installing in Emacs|Instalando no Emacs
Installing on Desktop|Instalando no Desktop
Invalid Password|senha inválida
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|O IRC é útil para bate-papo com vários usuários. O caso de uso clássico é para desenvolvimento de software, onde muitos engenheiros podem precisar coordenar suas atividades, mas também é útil para reuniões, festas e socialização geral.
It can be shown using the command:|Pode ser mostrado usando o comando:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|É possível adicionar jingles que serão reproduzidos entre faixas em intervalos aleatórios. Se alguns dos arquivos de áudio da sua unidade USB forem chamados de jingle_something.mp3, eles serão usados ​​como jingles
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|É recomendado que você adicione um registro SRV para Matrix à sua configuração de DNS. Como você faz isso dependerá do seu provedor de DNS dinâmico e de sua interface da web. No FreeDNS nas configurações de subdomínios, além do subdomínio que você está usando para o servidor de matriz, crie uma entrada extra da seguinte forma:
Italian|italiano
Japanese|japonês
Jingles|Jingles
Kannada|Canará
Keep changes|Mantenha as alterações
Khmer|Khmer
Korean|coreano
Language|Língua
Lao|Lao
Latvian|letão
Lithuanian|lituano
Malayalam|Malaiala
Malaysian|Malaio
Manually upgrade now ?|Atualizar manualmente agora?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown blogging
Matrix|Matriz
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Talvez, em vez de editar nesta interface de usuário, você prefira usar seu próprio editor. Isso pode ser feito da seguinte maneira:
Media broadcast|Transmissão de mídia
Media storage and broadcast|Armazenamento de mídia e transmissão
Mongolian|mongol
Mumble|Resmungar
Music player|Reprodutor de música
No|Não
No SSH public key was provided|Nenhuma chave pública SSH foi fornecida
none|Nenhum
Norwegian|norueguês
Norwegian (Primary)|Norueguês (Primário)
Not Connected|Não conectado
Note taking|Tomando notas
Nynorsk|Nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Quando estiver na tela de traduções (veja os três primeiros passos da primeira seção acima), selecione o botão 'enviar'.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Quando estiver na tela de traduções (veja os três primeiros passos da primeira seção acima), selecione o código do idioma mostrado na parte superior da tela (geralmente termina com UTF-8). Você pode então ver o arquivo de traduções brutas.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Abra o aplicativo F-droid e selecione "Configurações" e depois "Repositórios". Certifique-se de que 'Comunicados oficiais do Project Guardian' estejam ativados
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Abra as configurações. Selecione "Geral" e depois "Conectar via Tor". Isso proporcionará melhor proteção, tornando mais difícil para os adversários saberem quem está falando com quem. Se a conexão através do Tor não for confiável e causar falhas, desmarque a opção "Conectar via Tor" nas "Configurações gerais" e, em seguida, use apenas o nome de domínio comum.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Abra o aplicativo Conversations e selecione o menu (três pontos), role para baixo e selecione 'Expert Settings' e selecione 'Connect to Tor'
or|ou
Paragraphs can be dragged up and down to change their order, or moved between pages|Os parágrafos podem ser arrastados para cima e para baixo para alterar sua ordem ou movidos entre as páginas
Password|Senha
Password: |Senha:
Paste your ssh public key here|Cole sua chave pública ssh aqui
Paste your translations file below|Cole seu arquivo de traduções abaixo
Peertube allow new registrations|Peertube permite novos registros
Personal accounting|Contabilidade pessoal
Personal or small business accounting|Contabilidade pessoal ou de pequena empresa
Photo album|álbum de foto
Please enter their username. This should be lower case only and with no spaces.|Por favor, digite seu nome de usuário. Isso deve ser apenas em caixa baixa e sem espaços.
Please insert a USB drive|Por favor, insira uma unidade USB
Please insert the USB drive to restore from now|Por favor, insira o drive USB para restaurar a partir de agora
Please insert your backup USB drive now|Por favor, insira sua unidade USB de backup agora
Please specify stream name, description and genre|Por favor, especifique o nome do stream, descrição e gênero
Please wait while your appliance is configuring|Aguarde enquanto seu appliance está configurando
Please write down or save these credentials|Por favor, anote ou salve essas credenciais
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma permite novos registros
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Configurações do Pleroma
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Conecte a unidade USB ao seu servidor, vá para as configurações do aplicativo Icecast, adicione alguns detalhes sobre sua lista de reprodução e selecione "Atualizar"
Polish|polonês
Ports|Portos
Portuguese|Português
Portuguese (Brazil)|Português (Brasil)
Power|Poder
Press the plus button to add a Mumble server.|Pressione o botão de adição para adicionar um servidor Mumble.
Proceed with backup?|Continuar com o backup?
Proceed with drive format?|Prossiga com o formato da unidade?
Proceed with reset?|Continuar com redefinição?
Proceed with restore?|Prossiga com a restauração?
RAM used|RAM usada
Remote access|Acesso remoto
Remove|Remover
Remove any backup drives now|Remova todas as unidades de backup agora
Remove APPNAME now?|Remover APPNAME agora?
Remove user USERNAME?|Remover usuário USERNAME?
Removing user account|Removendo a conta do usuário
Reset is in progress|Redefinir está em andamento
Reset to factory|Redefinir para fábrica
RESET TO FACTORY DEFAULTS|RESTABELECER OS PADRÕES DE FÁBRICA
Restart|Reiniciar
Restore|Restaurar
Restore has failed|Restauração falhou
Restore in progress|Restaurar em andamento
Restore is complete|A restauração está completa
Restore of keys failed|Restauração de chaves falhou
Restore of keys is complete|Restauração de chaves está completa
Restore password|Restaurar senha
Restore your keys now?|Restaurar suas chaves agora?
Restoring backup keys|Restaurando Chaves de Backup
Romanian|romena
RSS Reader|Leitor de RSS
Run HexChat.|Execute o HexChat.
Running backup of keys|Execução de backup de chaves
Russian|russo
Samoan|Samoano
Search again for 'Conversations' (not the legacy version), then select 'install'|Pesquise novamente por "conversas" (não a versão legada) e selecione "instalar"
Search for and install Plumble.|Procure e instale o Plumble.
Secure realtime collaboration|Assegure colaboração em tempo real
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Garanta a colaboração em tempo real com documentos, apresentações, desenho e votação. Os documentos são efêmeros e, a menos que você os salve, serão excluídos quando você fechar o navegador.
Secure Shell|Capsula segura
Select|Selecione
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Selecione 'Aplicar' e 'Ok', depois no menu 'Servidor' e 'Conectar'.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Selecione "Próximo" para criar a conta. Se tudo estiver funcionando depois de alguns minutos, você verá o status da conta mudar para 'on-line' em verde
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Selecione a pesquisa (ícone de lupa) e pesquise por 'Orbot' (não a versão legada) e selecione 'instalar'
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Selecione o botão 'traduzir'. Você verá uma nova tela com texto em inglês à esquerda e texto traduzido à direita.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Selecione a guia Autojoin channels, clique em Add e insira #libreserver como o nome do canal.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Selecione a entrada na caixa de servidores e, em seguida, insira ircaddress.onion/6697 ou mydomainname/6697 e pressione Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Selecione o botão wiki na parte inferior da tela, ao lado de páginas, para ativar ou desativar a edição.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Selecionando o servidor pressionando-o, então conecta você ao servidor para que você possa conversar com outros usuários conectados
Serbian|sérvio
Setting up on a laptop|Configurando em um laptop
Setting up on Android|Configurando no Android
Setting up with an Android phone|Configurando com um telefone Android
Settings|Configurações
Setup on Android|Configuração no Android
Shortcode|Código curto
Shutdown|Desligar
Shutting down|Desligando
Simple kanban|Kanban simples
Simple Markdown blogging|Blogging simples de Markdown
Simple notes|Notas simples
Slovak|Eslovaco
Slovenian|esloveno
Somali|Somali
Spanish (International)|Espanhol (internacional)
SSH access is disabled|O acesso SSH está desativado
SSH access is enabled|O acesso SSH está ativado
Stream Description|Descrição do Fluxo
Streaming media|Mídia streaming
Submit|Enviar
Submitting your translations to the LibreServer project|Submetendo suas traduções ao projeto LibreServer
Swedish|sueco
System Monitor|Monitor do sistema
Systems may be temporarily unavailable in the next few minutes|Os sistemas podem estar temporariamente indisponíveis nos próximos minutos
Tagalog|Tagalo
Tamil|tâmil
Thai|tailandês
Thankyou for choosing the LibreServer home internet appliance|Obrigado por escolher o aparelho de internet em casa LibreServer
The account will now be removed. This may take a minute or two. For details see:|A conta será removida agora. Isso pode demorar um ou dois minutos. Para detalhes, consulte:
The classic low bandwidth chat system|O sistema clássico de chat com baixa largura de banda
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|O sistema LibreServer não é destinado principalmente a empresas ou instituições, mas se você é uma empresa de uma pessoa ou freelancer, em seguida, ter a capacidade de executar o seu próprio sistema de contabilidade e manter os dados privados e também backup é útil. Akaunting fornece um bom sistema baseado na web para contas de pequenas empresas, e também é bastante utilizável dentro de um navegador da web móvel.
A new member is being added. This may take a minute or two.|O novo usuário está sendo adicionado. Anote ou salve sua senha.
The passwords do not match|As senhas não combinam
There are a few things to know about using the federated wiki.|Há algumas coisas a saber sobre o uso do wiki federado.
There are no apps installed. Select the plus button above to install new apps.|Não há aplicativos instalados. Selecione o botão de adição acima para instalar novos aplicativos.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Este aplicativo pode ser útil se você tiver um novo filho ou deveres de babá. Ele ajuda os cuidadores a acompanhar o sono, as mamadas, as trocas de fraldas e o tempo de barriga para aprender e prever as necessidades do bebê sem muito trabalho de adivinhação.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Este é um sistema de servidor que permite que você execute aplicativos da Internet, como um blog ou uma rede social federada.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Este é certamente o tipo de dados que você pode querer manter privado e longe de empresas que poderiam usar vigilância de dados de aplicativos para pais para tentar culpá-lo para comprar todos os tipos de lixo que você realmente não precisa ou não pode pagar .
This is your new password|Esta é sua nova senha
This may take a few minutes.|Isso pode levar alguns minutos.
This may take a minute or two. For details see:|Isso pode demorar um ou dois minutos. Para detalhes, consulte:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Este sistema não se destina a transmitir a grandes audiências e o limite superior de ouvintes é definido em dez. Então, uma família e um grupo de amigos.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Isso fará um backup das chaves que criptografam seus backups, protegendo-os contra perda ou exposição acidental. Você deve manter essa unidade em um local seguro, separado de outros backups.
This will restore the keys used to encrypt backups.|Isso restaurará as chaves usadas para criptografar backups.
To add a new paragraph use the + button|Para adicionar um novo parágrafo, use o botão +
To claim/fork a page from another server click on the flag icon|Para reivindicar / bifurcar uma página de outro servidor, clique no ícone de bandeira
To edit a paragraph double click on it|Para editar um parágrafo, clique duas vezes nele
To remove a paragraph just delete all of its text|Para remover um parágrafo, basta excluir todo o texto
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Para fazer upload de arquivos de música, instale o Syncthing e depois copie os diretórios dos álbuns para ~ / Sync / music_upload, depois, dentro do Koel, vá para configurações e escaneie o diretório / música
Tor Bridges|Tor Pontes
Translate|Traduzir
Translations|Traduções
Turkish|turco
Type: SRV|Tipo: SRV
Ukrainian|ucraniano
Uncheck use global user information.|Desmarque a opção de usar informações globais do usuário.
Uninstall|Desinstalar
Update|Atualizar
Updates settings changed|Configurações de atualizações alteradas
Upgrade|Atualizar
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Upgrades acontecem automaticamente. Você não precisa iniciá-los manualmente assim, exceto em raras circunstâncias
Upload|Envio
URL to upload from|URL para fazer o upload de
USB drive format has failed|O formato da unidade USB falhou
USB drive format in progress|Formato da unidade USB em andamento
USB drive format is complete|O formato da unidade USB está completo
Username: |Nome de usuário:
Username: admin|Nome de usuário: admin
Members|Comercial
Using your preferred editor|Usando seu editor preferido
Video broadcast|Transmissão de vídeo
Vietnamese|vietnamita
Voice chat|Chat de voz
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|AVISO: ISTO APAGARÁ TODO O CONTEÚDO DA UNIDADE USB
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Desculpe, mas o nome de usuário que você deu não é adequado. Verifique se não contém espaços, está em minúsculas e pelo menos 3 caracteres de comprimento.
Web publishing system|Sistema de publicação na Web
When done editing click on the wiki button again|Quando terminar de editar, clique no botão wiki novamente
When it's done it will appear on the apps screen|Quando estiver pronto, aparecerá na tela de aplicativos
When removal is finished it will disappear from apps|Quando a remoção estiver concluída, ela desaparecerá dos aplicativos
When you are done with translating select the 'import' button on the translations screen.|Quando terminar de traduzir, selecione o botão 'importar' na tela de traduções.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Quando você adicionar suas traduções, selecione o botão "atualizar". Isso atualizará o arquivo de traduções para o idioma selecionado. Observe que isso não altera o idioma atual na interface do usuário. Se você quiser fazer isso, volte para a tela de idiomas, selecione um idioma e depois o botão 'select'.
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Qualquer que seja a tela em que você está atualmente, você pode voltar para a tela anterior clicando ou pressionando o logo LibreServer no topo.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Com Icecast você pode executar seu próprio fluxo de rádio na Internet a partir de um endereço de cebola. Como sempre, tenha cuidado com questões de direitos autorais e, de preferência, cole-se à música ou arquivos de música da Creative Commons que você possui.
Within the network list click, Add and enter your domain name then click Edit.|Na lista de redes, clique em Adicionar e digite seu nome de domínio e clique em Editar.
Within the Password field enter the password which you originally set up the box with.|No campo Senha, insira a senha com a qual você originalmente configurou a caixa.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|Dentro do centro de software, procure "mumble" e instale o cliente e execute-o. Ignore o assistente de configuração de áudio. Cancele a janela de conexão inicial.
Write it down or save it|Anote ou salve
XMPP|XMPP
xmpp based chat system|sistema de chat baseado em xmpp
Yes|sim
You can edit the translated text on the right side of the screen.|Você pode editar o texto traduzido no lado direito da tela.
You can get to this system remotely via:|Você pode acessar este sistema remotamente via:
