About|Acerca de
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Haga clic en el icono de candado en la parte inferior de la pantalla e ingrese la contraseña. Entonces debería aparecer desbloqueado. Si no lo desbloqueas, las ediciones que hagas no se guardarán.
Collaborative document editor|Editor de documentos colaborativos
Confirm backup password|Confirmar contraseña de respaldo
Continue|Continuar
Copy and paste the translations file and select 'update'.|Copie y pegue el archivo de traducciones y seleccione 'actualizar'.
Copy and paste the translations file into your favorite editor.|Copie y pegue el archivo de traducciones en su editor favorito.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Copie y pegue esto en un correo electrónico u otra aplicación de mensajería y envíela al proyecto de LibreServer.
CPU temperature|Temperatura de la CPU
CPU usage|uso de CPU
Croatian|croata
Czech|checo
Danish|danés
DAT Server|Servidor DAT
Databaseless blogging|Blog sin base de datos
Databaseless wiki|Wiki sin base de datos
diagnostics|diagnóstico
diagnostics log|registro de diagnóstico
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Las diferentes versiones de la misma página en diferentes servidores están representadas por cuadros en la parte inferior derecha de la pantalla. Puede hacer doble clic en ellos para ver las diferentes versiones, y usar el icono de la bandera para tenedor si prefiere esa versión
Disk I/O Speed|Velocidad de E / S del disco
Disk space used|Espacio en disco utilizado
DNS setup|Configuración de DNS
Domain/User Blocking|Dominio / Bloqueo del usuario
Domain:|Dominio:
Domain|Dominio
Dutch|holandés
Dynamic DNS|DNS Dinámico
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Edita tus traducciones La estructura de este archivo es muy simple. A la izquierda está el texto en inglés y a la derecha está el texto traducido, con el carácter de línea vertical como separador.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Edite, agregue o elimine dominios o usuarios bloqueados. Esto se aplica a direcciones de correo electrónico y XMPP
Edith enable login|Edith permite iniciar sesión
Email system|Sistema de correo electrónico
Email/XMPP: USEREMAIL|Correo electrónico / XMPP: USEREMAIL
Enable access via secure shell?|¿Habilitar el acceso a través de shell seguro?
Enable Updates|Habilitar actualizaciones
English|Inglés
English (US)|Inglés (EE. UU.)
Ensure that dat files are always available|Asegúrese de que los archivos dat estén siempre disponibles
Ensure that tor is installed onto your local system:|Asegúrese de que tor esté instalado en su sistema local:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Ingrese una etiqueta (que puede ser cualquier nombre que elija para el servidor), el nombre de dominio predeterminado de LibreServer o preferiblemente la dirección de murmullo de la cebolla, su nombre de usuario (que también puede ser cualquier cosa) y la contraseña incorrecta que es la misma originalmente configuró la caja con. Deje el número de puerto sin cambios.
Enter a password which will be used to protect the backup|Ingrese una contraseña que se usará para proteger la copia de seguridad
Enter first and second nicknames and check connect to this network on startup.|Ingrese los primeros y segundos apodos y verifique conectarse a esta red al inicio.
Estonian|Estonio
Everything installed will be lost|Todo lo que se haya instalado se perderá
Extremely simple note taking|Toma de notas extremadamente simple
Factory reset is in progress|El restablecimiento de fábrica está en progreso
Farsi|Farsi
Favicon|Favicon
Federated image sharing|Compartir imágenes federadas
Federated microblogging|Microblogging federado
Federated social network|Red social federada
Federated wiki|Wiki federado
File storage and sync|Almacenamiento y sincronización de archivos
File synchronization|Sincronización de archivos
Filipino|Filipino
Finnish|finlandés
First ensure that tor is installed. Within a terminal:|Primero asegúrate de que tor esté instalado. Dentro de una terminal:
For details see the diagnostics|Para más detalles ver los diagnósticos
For details see:|Para detalles, ver:
For further information see the website at https://libreserver.org|Para más información, visite el sitio web en https://libreserver.org
For the initial login use username: admin password admin|Para el inicio de sesión inicial usa el nombre de usuario: admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|Para la ID de Jabber ingrese la dirección de correo electrónico de la configuración de usuario de LibreServer
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Para la contraseña, use la contraseña que inicialmente anotó o almacenó durante la configuración del sistema LibreServer
Forward port 80 and 443 from your internet router|Reenviar los puertos 80 y 443 desde su enrutador de internet
Forward the following ports from your internet router:|Reenvíe los siguientes puertos desde su enrutador de internet:
Forward the port 64738 from your internet router|Desviar el puerto 64738 desde su enrutador de internet
Forward the port 6697 from your internet router|Desplace el puerto 6697 desde su enrutador de internet
Forward the port 8448 from your internet router|Reenviar el puerto 8448 desde su enrutador de internet
FreeDNS code:|Código de FreeDNS:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer comenzó en 2013. Inicialmente se basó en el hardware de Beaglebone Black e inspiró en la idea de FreedomBox de un servidor de Internet económico y fácil de administrar para el hogar.
French|francés
French (Canada)|Francés (Canadá)
From the initial screen select 'settings' then 'language'.|Desde la pantalla inicial seleccione 'configuración' luego 'idioma'.
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Desde el menú, seleccione 'Configurar' y luego 'Configuración'. Seleccione la casilla de verificación 'Avanzado' y luego seleccione 'Red'. Seleccione 'Forzar modo TCP' y el tipo de proxy 'Socks5'. El nombre de host debe establecerse en 'localhost' y el puerto debe ser 9050.
Gaelic|gaélico
Gallego|Gallego
Georgian|georgiano
German|alemán
German (Personal)|Alemán (Personal)
Git repo management|Git Repo Management
Go Back|Regresa
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Regrese a la pantalla inicial de F-droides y actualice los repositorios deslizando hacia abajo. Lo verá decir "actualizar repositorios". Esto puede tardar unos minutos.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Regrese a la pantalla inicial de la aplicación Conversaciones, seleccione el menú nuevamente y luego "Administrar cuentas". Agregue una cuenta seleccionando el ícono de persona con el signo más al lado.
Gogs allow new registrations|Gogs permite nuevos registros
Greek|griego
Gujarati|Gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|¿Ha anotado o guardado las credenciales de inicio de sesión y eliminado las unidades de respaldo del sistema?
Hebrew|hebreo
Help|Ayuda
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Ayuda a los cuidadores a controlar el sueño, la alimentación, los cambios de pañales y el tiempo boca abajo
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Ayuda a los cuidadores a seguir el sueño, la alimentación, los cambios de pañales y el tiempo boca abajo para conocer y predecir las necesidades de los bebés sin mucho trabajo.
here|aquí
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (anteriormente XChat) es compatible con el proxy a través de Tor y proporciona la mejor seguridad cuando se conecta a su servidor IRC. Le permitirá conectarse a la dirección de cebolla de su servidor IRC.
Hindi|hindi
How to do translations|Cómo hacer traducciones
Hungarian|húngaro
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast consume bastante CPU. Por ejemplo, en un sistema basado en A20, toma alrededor del 70% del recurso de la CPU. Esto es algo a tener en cuenta si está ejecutando varias aplicaciones
Icecast is updating|Icecast está actualizando
Icelandic|islandés
Icons on the website and user interfaces are by Rashid Mhar.|Los iconos en el sitio web y las interfaces de usuario son de Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Si usted es un usuario de Emacs, entonces también puede conectarse a su servidor IRC a través de Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Si está usando la dirección de cebolla, entonces use SSL. Debe ser desmarcado y el cifrado de transporte será manejado a través de la dirección de cebolla.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Si usa el nombre de dominio ordinario (clearnet / ICANN), asegúrese de que Use SSL esté marcado.
If you don't have a domain then just select Continue|Si no tiene un dominio, simplemente seleccione Continuar
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Si no tiene instalado Orbot, habilite el repositorio The Guardian Project desde el menú desplegable e instálelo.
If you don't need a password then just leave this blank and select Update|Si no necesita una contraseña, simplemente deje esto en blanco y seleccione Actualizar
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Si tiene un USB conectado, déjelo insertado hasta que pueda confirmar que la transmisión está funcionando
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Si tiene problemas para acceder a direcciones de cebolla, pegue algunos puentes de Tor a continuación. Ver https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Si está utilizando la aplicación móvil Element para acceder a su servidor de Matrix, puede mejorar significativamente el rendimiento de la batería accediendo a la configuración y cambiando el tiempo de espera de solicitud de sincronización a 30 segundos y el retraso de entre dos solicitudes de sincronización a 600 segundos. Igualmente, la desactivación de 'mensajes en chats grupales' ayudará, ya que evitará recibir notificaciones cada vez que ocurra un evento de chat en grupo, lo que luego activará la pantalla.
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Si sus traducciones son aceptadas, aparecerán más adelante en el proyecto original y podrán ser utilizadas por cualquier persona.
Import|Importar
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|En un navegador Tor navega a la dirección de cebolla para Icecast y luego puedes reproducir la transmisión
Indonesian|indonesio
Initial login|Inicio de sesión inicial
Initial Setup|Configuración inicial
Install|Instalar
Install APPNAME now?|Instalar APPNAME ahora?
Install F-Droid|Instalar F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Instale HexChat y configure su archivo de configuración. Asumiendo que está ejecutando una distribución basada en Debian o Arch, esto se puede hacer en su máquina local con:
Installation|Instalación
Installing in Emacs|Instalando en Emacs
Installing on Desktop|Instalando en escritorio
Invalid Password|Contraseña invalida
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC es útil para el chat multiusuario. El caso de uso clásico es para el desarrollo de software donde muchos ingenieros pueden necesitar coordinar sus actividades, pero también es útil para reuniones, fiestas y socialización general.
It can be shown using the command:|Se puede mostrar usando el comando:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Es posible agregar jingles que se reproducirán entre pistas a intervalos aleatorios. Si algunos de los archivos de audio en su unidad USB se llaman jingle_something.mp3, entonces se usarán como jingles
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Se recomienda agregar un registro SRV para Matrix a su configuración de DNS. Cómo lo hará dependerá de su proveedor de DNS dinámico y su interfaz web. En FreeDNS en la configuración de subdominios, además del subdominio que está utilizando para el servidor de matriz, cree una entrada adicional de la siguiente manera:
Italian|italiano
Japanese|japonés
Jingles|Jingles
Kannada|Kannada
Keep changes|Mantener cambios
Khmer|Khmer
Korean|coreano
Language|Idioma
Lao|Lao
Latvian|letón
Lithuanian|lituano
Malayalam|Malayalam
Malaysian|malasio
Manually upgrade now ?|Actualiza manualmente ahora?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Blogging de rebajas
Matrix|Matriz
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Tal vez en lugar de editar dentro de esta interfaz de usuario, prefiera usar su propio editor. Eso se puede hacer de la siguiente manera:
Media broadcast|Transmisión de medios
Media storage and broadcast|Almacenamiento y transmisión de medios
Mongolian|mongol
Mumble|Mascullar
Music player|Reproductor de música
No|No
No SSH public key was provided|No se proporcionó clave pública SSH
none|ninguna
Norwegian|noruego
Norwegian (Primary)|Noruego (Primaria)
Not Connected|No conectado
Note taking|Tomar nota
Nynorsk|Nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Una vez que esté en la pantalla de traducciones (vea los primeros tres pasos en la primera sección anterior), seleccione el botón 'enviar'.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Una vez que esté en la pantalla de traducciones (consulte los primeros tres pasos en la primera sección anterior), seleccione el código de idioma que se muestra en la parte superior de la pantalla (generalmente termina con UTF-8). A continuación, puede ver el archivo de traducciones sin formato.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Abra la aplicación F-droid y seleccione 'Configuración' y luego 'Repositorios'. Asegúrate de que 'Lanzamientos oficiales del proyecto Guardian' esté habilitado
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Abra la configuración. Seleccione 'General', luego 'Conectar vía Tor'. Esto proporcionará una mejor protección, haciendo que sea más difícil para los adversarios saber quién está hablando con quién. Si la conexión a través de Tor no es confiable y causa bloqueos, deseleccione 'Conectar mediante Tor' en 'Configuración general' y luego simplemente use su nombre de dominio común.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Abra la aplicación Conversaciones y seleccione el menú (tres puntos), desplácese hacia abajo y seleccione 'Configuración experta' luego seleccione 'Conectarse a Tor'
or|o
Paragraphs can be dragged up and down to change their order, or moved between pages|Los párrafos se pueden arrastrar hacia arriba y hacia abajo para cambiar su orden, o moverse entre páginas
Password|Contraseña
Password: |Contraseña:
Paste your ssh public key here|Pegue su clave pública ssh aquí
Paste your translations file below|Pegue su archivo de traducciones a continuación
Peertube allow new registrations|Peertube permite nuevos registros
Personal accounting|Contabilidad personal
Personal or small business accounting|Contabilidad personal o de pequeñas empresas
Photo album|album de fotos
Please enter their username. This should be lower case only and with no spaces.|Por favor ingrese su nombre de usuario. Esto debería ser solo minúsculas y sin espacios.
Please insert a USB drive|Por favor inserte una unidad USB
Please insert the USB drive to restore from now|Por favor, inserte la unidad USB para restaurar a partir de ahora
Please insert your backup USB drive now|Por favor inserte su unidad USB de respaldo ahora
Please specify stream name, description and genre|Por favor, especifique el nombre de la transmisión, la descripción y el género
Please wait while your appliance is configuring|Espere mientras su dispositivo se está configurando
Please write down or save these credentials|Por favor escriba o guarde estas credenciales
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma permite nuevos registros
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Configuraciones de Pleroma
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Conecte la unidad USB a su servidor, luego vaya a la configuración de la aplicación Icecast, agregue algunos detalles sobre su lista de reproducción y seleccione 'Actualizar'
Polish|polaco
Ports|Puertos
Portuguese|portugués
Portuguese (Brazil)|Portugués (Brasil)
Power|Poder
Press the plus button to add a Mumble server.|Presione el botón más para agregar un servidor Mumble.
Proceed with backup?|Proceder con la copia de seguridad?
Proceed with drive format?|Proceda con el formato de unidad?
Proceed with reset?|Proceder con el reinicio?
Proceed with restore?|Proceda con la restauración?
RAM used|RAM utilizada
Remote access|Acceso remoto
Remove|retirar
Remove any backup drives now|Eliminar cualquier unidad de copia de seguridad ahora
Remove APPNAME now?|¿Eliminar APPNAME ahora?
Remove user USERNAME?|¿Eliminar usuario USERNAME?
Removing user account|Eliminar cuenta de usuario
Reset is in progress|Restablecimiento está en progreso
Reset to factory|Restablecer a fábrica
RESET TO FACTORY DEFAULTS|RESTABLECER A LOS VALORES PREDETERMINADOS DE FÁBRICA
Restart|Reiniciar
Restore|Restaurar
Restore has failed|La restauración ha fallado
Restore in progress|Restauración en progreso
Restore is complete|La restauración está completa
Restore of keys failed|La restauración de las llaves falló
Restore of keys is complete|La restauración de claves está completa
Restore password|Restaurar contraseña
Restore your keys now?|Restaure sus llaves ahora?
Restoring backup keys|Restauración de claves de respaldo
Romanian|rumano
RSS Reader|Lector de RSS
Run HexChat.|Ejecute HexChat.
Running backup of keys|Ejecutando copia de seguridad de llaves
Russian|ruso
Samoan|Samoano
Search again for 'Conversations' (not the legacy version), then select 'install'|Busque nuevamente "Conversaciones" (no la versión heredada), luego seleccione "instalar"
Search for and install Plumble.|Busque e instale Plumble.
Secure realtime collaboration|Colaboración segura en tiempo real
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Asegure la colaboración en tiempo real con documentos, presentaciones, sorteo y votación. Los documentos son efímeros y, a menos que los guarde, se eliminarán cuando cierre el navegador.
Secure Shell|Cubierta segura
Select|Seleccionar
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Seleccione 'Aplicar' y 'Aceptar', luego en el menú 'Servidor' y 'Conectar'.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Seleccione 'Siguiente' para crear la cuenta. Si todo está funcionando después de un par de minutos, debería ver el estado de la cuenta cambiar a 'en línea' en verde
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Seleccione la búsqueda (icono de lupa) y busque 'Orbot' (no la versión heredada), luego seleccione 'instalar'
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Seleccione el botón 'traducir'. Verá una nueva pantalla con texto en inglés a la izquierda y texto traducido a la derecha.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Seleccione la pestaña de unirse automáticamente, haga clic en Agregar e ingrese #libreserver como el nombre del canal.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Seleccione la entrada dentro del cuadro de servidores, luego ingrese ircaddress.onion/6697 o mydomainname/6697 y presione Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Seleccione el botón wiki en la parte inferior de la pantalla, al lado de las páginas, para habilitar o deshabilitar la edición.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Al seleccionar el servidor, al presionarlo se conecta al servidor para que pueda chatear con otros usuarios conectados
Serbian|serbio
Setting up on a laptop|Configuración en una computadora portátil
Setting up on Android|Configuración en Android
Setting up with an Android phone|Configuración con un teléfono Android
Settings|Configuraciones
Setup on Android|Configuración en Android
Shortcode|Código corto
Shutdown|Apagar
Shutting down|Apagando
Simple kanban|Kanban simple
Simple Markdown blogging|Simple Markdown blogging
Simple notes|Notas simples
Slovak|eslovaco
Slovenian|esloveno
Somali|somalí
Spanish (International)|Español (Internacional)
SSH access is disabled|El acceso SSH está deshabilitado
SSH access is enabled|El acceso SSH está habilitado
Stream Description|Descripción de la corriente
Streaming media|Medios de transmisión
Submit|Enviar
Submitting your translations to the LibreServer project|Envío de sus traducciones al proyecto LibreServer
Swedish|sueco
System Monitor|Monitor del sistema
Systems may be temporarily unavailable in the next few minutes|Los sistemas pueden estar temporalmente no disponibles en los próximos minutos
Tagalog|Tagalo
Tamil|Tamil
Thai|tailandés
Thankyou for choosing the LibreServer home internet appliance|Gracias por elegir el aparato de Internet hogareño LibreServer
The account will now be removed. This may take a minute or two. For details see:|La cuenta ahora será eliminada. Esto puede tomar uno o dos minutos. Para detalles, ver:
The classic low bandwidth chat system|El clásico sistema de chat de bajo ancho de banda
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|El sistema LibreServer no está dirigido principalmente a empresas o instituciones, pero si usted es una empresa de una sola persona o un profesional independiente, entonces es útil tener la capacidad de ejecutar su propio sistema de contabilidad y mantener la privacidad de los datos y la copia de seguridad. Akaunting ofrece un buen sistema basado en la web para cuentas de pequeñas empresas, y también es bastante útil dentro de un navegador web móvil.
A new member is being added. This may take a minute or two.|El nuevo usuario se está agregando. Escriba o guarde su contraseña.
The passwords do not match|las contraseñas no coinciden
There are a few things to know about using the federated wiki.|Hay algunas cosas que debe saber sobre el uso de la wiki federada.
There are no apps installed. Select the plus button above to install new apps.|No hay aplicaciones instaladas. Seleccione el botón más arriba para instalar nuevas aplicaciones.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Esta aplicación puede ser útil si tienes un nuevo hijo o tareas de cuidado de niños. Ayuda a los cuidadores a seguir el sueño, la alimentación, los cambios de pañal y el tiempo boca abajo para conocer y predecir las necesidades del bebé sin mucho trabajo.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Este es un sistema de servidor que le permite ejecutar aplicaciones de Internet, como un blog o una red social federada.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Este es ciertamente el tipo de datos que puede desear mantener en privado y alejado de compañías que de otra manera podrían usar la vigilancia de los datos de la aplicación de crianza para intentar culparte de comprar todo tipo de basura que realmente no necesitas o no puedes pagar. .
This is your new password|Esta es su nueva contraseña
This may take a few minutes.|Esto puede tomar unos pocos minutos.
This may take a minute or two. For details see:|Esto puede tomar uno o dos minutos. Para detalles, ver:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Este sistema no está destinado a transmitir a grandes audiencias y el límite superior de oyentes se establece en diez. Entonces un grupo de tipo familiar y de amigos.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Esto hará una copia de seguridad de las claves que encriptan sus copias de seguridad, protegiéndolas contra la pérdida o exposición accidental. Debe mantener esta unidad en un lugar seguro, separado de otras copias de seguridad.
This will restore the keys used to encrypt backups.|Esto restaurará las claves utilizadas para cifrar copias de seguridad.
To add a new paragraph use the + button|Para agregar un nuevo párrafo use el botón +
To claim/fork a page from another server click on the flag icon|Para reclamar / bifurcar una página de otro servidor, haga clic en el icono de la bandera
To edit a paragraph double click on it|Para editar un párrafo, haga doble clic en él
To remove a paragraph just delete all of its text|Para eliminar un párrafo, simplemente elimine todo su texto
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Para cargar archivos de música instale Syncthing y luego copie los directorios de álbumes en ~ / Sync / music_upload, luego dentro de Koel vaya a la configuración y escanee el directorio / música
Tor Bridges|Tor Bridges
Translate|Traducir
Translations|Traducciones
Turkish|turco
Type: SRV|Tipo: SRV
Ukrainian|ucranio
Uncheck use global user information.|Desmarque usar información global del usuario.
Uninstall|Desinstalar
Update|Actualizar
Updates settings changed|La configuración de las actualizaciones ha cambiado
Upgrade|Mejorar
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Las actualizaciones ocurren automáticamente. No es necesario que los inicies manualmente así, excepto en circunstancias excepcionales
Upload|Subir
URL to upload from|URL para cargar desde
USB drive format has failed|El formato de la unidad USB ha fallado
USB drive format in progress|Formato de unidad USB en progreso
USB drive format is complete|El formato de la unidad USB está completo
Username: |Nombre de usuario:
Username: admin|Nombre de usuario: admin
Members|Usuarios
Using your preferred editor|Usando su editor preferido
Video broadcast|Transmisión de video
Vietnamese|vietnamita
Voice chat|Chat de voz
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|ADVERTENCIA: ESTO borrará TODO EL CONTENIDO DE LA UNIDAD USB
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Lo sentimos, pero el nombre de usuario que nos diste no es adecuado. Verifique que no contenga espacios, que esté en minúscula y tenga al menos 3 caracteres de longitud.
Web publishing system|Sistema de publicación web
When done editing click on the wiki button again|Cuando termine de editar, haga clic en el botón wiki nuevamente
When it's done it will appear on the apps screen|Cuando termine, aparecerá en la pantalla de aplicaciones
When removal is finished it will disappear from apps|Cuando finalice la eliminación, desaparecerá de las aplicaciones
When you are done with translating select the 'import' button on the translations screen.|Cuando haya terminado con la traducción, seleccione el botón 'importar' en la pantalla de traducciones.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Cuando haya agregado sus traducciones, seleccione el botón 'actualizar'. Esto actualizará el archivo de traducciones para el idioma seleccionado. Tenga en cuenta que esto no cambia el idioma actual dentro de la interfaz de usuario. Si desea hacerlo, regrese a la pantalla de idioma, seleccione un idioma y luego el botón 'seleccionar'.
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Independientemente de la pantalla en la que se encuentre actualmente, puede volver a la pantalla anterior haciendo clic o presionando sobre el logotipo de LibreServer en la parte superior.
