About|Um
CPU usage|CPU notkun
Croatian|Króatíska
Czech|Tékkneska
Danish|Danska
DAT Server|DAT Server
Databaseless blogging|Gagnasala að blogga
Databaseless wiki|Gagnasala wiki
diagnostics|greiningartækni
diagnostics log|greiningarskrá
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Mismunandi útgáfur af sömu síðu á mismunandi netþjónum eru táknuð með kassa neðst til hægri á skjánum. Þú getur tvöfaldur smellur á þá til að sjá mismunandi útgáfur, og nota flagg táknið til gaffal ef þú vilt þá útgáfu
Disk I/O Speed|Diskur I / O hraði
Disk space used|Diskur er notaður
DNS setup|DNS uppsetning
Domain/User Blocking|Domain / User Blocking
Domain:|Lén:
Domain|Lén
Dutch|Hollenska
Dynamic DNS|Dynamic DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Breyta þýðingarunum þínum. Uppbygging þessa skrá er mjög einföld. Til vinstri er enska texti og hægra megin er þýddur texti með lóðrétt lína staf sem aðskilnaður.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Breyta, bæta við eða fjarlægja lokað lén eða notendur. Þetta á við um Email og XMPP heimilisföng
Edith enable login|Edith kveikir innskráningu
Email system|Tölvupóstkerfi
Email/XMPP: USEREMAIL|Email / XMPP: USEREMAIL
Enable access via secure shell?|Virkja aðgang með öruggum skel?
Enable Updates|Virkja uppfærslur
English|Enska
English (US)|Enska
Ensure that dat files are always available|Gakktu úr skugga um að skrár séu alltaf í boði
Ensure that tor is installed onto your local system:|Gakktu úr skugga um að tor sé settur upp á staðbundið kerfi:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Sláðu inn merki (sem getur verið nafn sem þú velur fyrir þjóninn), sjálfgefið lén LibreServer eða helst mumble lök heimilisfang, notendanafn þitt (sem getur líka verið eitthvað) og mumble lykilorðið sem er það sama og einn þú stofnar upphaflega kassann með. Leyfi hafnarnúmerinu óbreytt.
Enter a password which will be used to protect the backup|Sláðu inn lykilorð sem verður notað til að vernda öryggisafritið
Enter first and second nicknames and check connect to this network on startup.|Sláðu inn fyrstu og annað gælunöfn og athugaðu tengingu við þetta net þegar þú byrjar.
Estonian|eistneska, eisti, eistneskur
Everything installed will be lost|Allt uppsett verður glatað
Extremely simple note taking|Mjög einfalt huga að taka
Factory reset is in progress|Factory endurstilla er í gangi
Farsi|Farsi
Favicon|Favicon
Federated image sharing|Samnýtt ímynd hlutdeildar
Federated microblogging|Federated microblogging
Federated social network|Samtök félagslegrar netkerfis
Federated wiki|Federated wiki
File storage and sync|Skrá geymsla og samstilling
File synchronization|Skrá samstillingu
Filipino|Filippseyska
Finnish|Finnska
First ensure that tor is installed. Within a terminal:|Gakktu úr skugga um að fyrst sé komið fyrir. Innan flugstöðvar:
For details see the diagnostics|Nánari upplýsingar er að finna í greiningunni
For details see:|Nánari upplýsingar sjá:
For further information see the website at https://libreserver.org|Nánari upplýsingar er að finna á vefsíðu https://libreserver.org
For the initial login use username: admin password admin|Fyrir upphaflega notendanafnið notaðu notandanafn: admin lykilorð admin
For the Jabber ID enter the email address from your LibreServer user settings|Fyrir Jabber ID sláðu inn netfangið úr LibreServer notendastillingum þínum
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Fyrir lykilorðið er notað lykilorðið sem þú skrifaðir upphaflega eða geymt meðan á uppsetningu LibreServer kerfisins stendur
Forward port 80 and 443 from your internet router|Forsenda höfn 80 og 443 úr netleiðinni þinni
Forward the following ports from your internet router:|Framsenda eftirfarandi höfn úr netleiðinni þinni:
Forward the port 64738 from your internet router|Framhjá höfn 64738 úr netleiðinni þinni
Forward the port 6697 from your internet router|Framhjá höfn 6697 úr netleiðinni þinni
Forward the port 8448 from your internet router|Framhjá höfninni 8448 úr netleiðinni þinni
FreeDNS code:|FreeDNS kóða:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer hófst árið 2013. Það var upphaflega byggt á Beaglebone Black vélbúnaði og innblásin af FreedomBox hugmyndinni um ódýr og einföld að stjórna netþjóni fyrir heimili.
French|Franska
French (Canada)|Franska (Kanada)
From the initial screen select 'settings' then 'language'.|Frá upphafsskjánum skaltu velja 'stillingar' og 'tungumál'.
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Í valmyndinni veldu 'Stilla' og 'Stillingar'. Veldu gátreitinn 'Advanced' og veldu 'Network'. Veldu 'Force TCP ham' og proxy gerð 'Socks5'. Hostname ætti að vera stillt á 'localhost' og höfn ætti að vera 9050.
Gaelic|Gaelic
Gallego|Gallego
Georgian|Georgíska
German|þýska, Þjóðverji, þýskur
German (Personal)|Þýska (persónuleg)
Git repo management|Git repo stjórnun
Go Back|Farðu til baka
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Fara aftur á F-droid fyrstu skjáinn og uppfærðu geymslur með því að fletta niður. Þú munt sjá það segja "uppfæra geymslur". Þetta gæti tekið nokkrar mínútur.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Fara aftur í upphafsskjá samtalaforritsins, veldu valmyndina aftur og síðan 'Stjórna reikningum'. Bættu við reikningi með því að velja persóna táknið með plús við hliðina á henni.
Gogs allow new registrations|Gogs leyfa nýjum skráningum
Greek|Gríska
Gujarati|Gújaratí
Have you written down or saved the login credentials and removed any backup drives from the system?|Hefur þú skrifað niður eða vistað innskráningarupplýsingar og fjarlægt afrit af drifi úr kerfinu?
Hebrew|Hebreska
Help|Hjálp
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Hjálpar umönnunaraðilum að fylgjast með svefn, mataræði, breytingum á bleiu og maga tíma
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Hjálpar umönnunaraðilum að fylgjast með svefn, mataræði, blæðingarbreytingum og maga tíma til að læra um og spá fyrir þörfum barnsins án þess að gera ráð fyrir að vinna.
here|hér
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (áður XChat) er samhæft við umboð í gegnum Tor og veitir því besta öryggi þegar tengt er við IRC miðlara. Það mun leyfa þér að tengja við laukfangið þitt á IRC miðlara.
Hindi|Hindí
How to do translations|Hvernig á að gera þýðingar
Hungarian|ungverska, Ungverji, ungverskt
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast er alveg CPU ákafur. Til dæmis á A20 byggt kerfi tekur það um 70% af CPU auðlindinni. Þetta er eitthvað til að vera meðvitaður um hvort þú ert að keyra mörg forrit
Icecast is updating|Icecast er að uppfæra
Icelandic|Íslensku
Icons on the website and user interfaces are by Rashid Mhar.|Tákn á vefsíðunni og notendaviðmótunum eru með Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Ef þú ert Emacs notandi þá getur þú einnig tengst IRC miðlara þínum með Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Ef þú ert að nota laukfangið, þá skal nota SSL skal óskráð og flutnings dulkóðunin verður meðhöndluð í gegnum lónið sjálft.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Ef þú notar venjulegt lén (clearnet / ICANN) skaltu ganga úr skugga um að Nota SSL sé valið.
If you don't have a domain then just select Continue|Ef þú ert ekki með lén skaltu velja bara Halda áfram
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Ef þú ert ekki með Orbot uppsett þá virkjaðu The Guardian Project repository í fellilistanum og settu það upp.
If you don't need a password then just leave this blank and select Update|Ef þú þarft ekki aðgangsorð skaltu bara láta þetta eyða og velja Uppfæra
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Ef þú ert með USB tengt skaltu láta hana setja þar til þú getur staðfesta að straumurinn er að vinna
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Ef þú átt í vandræðum með að fá aðgang að lauknum, límdu sumir Tor brýr neðan. Sjá https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Ef þú ert að nota Element farsímaforritið til að fá aðgang að Matrix heimilisþjóninum geturðu bætt rafhlöðu árangur verulega með því að fara í stillingarnar og breyta "Samþykkja biðtímaútgáfu" í 30 sekúndur og "Tafir milli tveggja samstillingarbeiðna" í 600 sekúndur. Slökkt er á því að slökkva á "skilaboðum í hópsímtölum" þar sem það mun koma í veg fyrir að tilkynning sé tilkynnt hvenær sem spjallþáttur gerist, sem þá vaknar skjáinn
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Ef þýðingarin þín eru samþykkt þá birtast þau síðar í andstreymisverkefninu og kunna að vera notagildi af einhverjum.
Import|Flytja inn
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|Í Tor-vafranum er farið á laukardaginn fyrir Icecast og þú getur þá spilað strauminn
Indonesian|Indónesísku
Initial login|Upphafleg innskráning
Initial Setup|Upphafleg skipulag
Install|Setja upp
Install APPNAME now?|Setjið APPNAME núna upp?
Install F-Droid|Setjið F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Settu HexChat upp og settu upp stillingarskrána. Miðað við að þú sért að keyra á Debian eða Arch byggt distro, þetta er hægt að gera á staðnum vél með:
Installation|Uppsetning
Installing in Emacs|Uppsetning í Emacs
Installing on Desktop|Uppsetning á skjáborðinu
Invalid Password|ógilt lykilorð
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC er gagnlegt fyrir fjölnotanda spjall. The klassískt notkun tilfelli er fyrir hugbúnaðarþróun þar sem margir verkfræðingar gætu þurft að samræma starfsemi sína, en það er einnig gagnlegt fyrir fundi, aðila og almenna félagsskap.
It can be shown using the command:|Það er hægt að sýna með því að nota skipunina:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Það er hægt að bæta við jingles sem verður spilað á milli laga af handahófi. Ef einhver hljóðskrár á USB disknum þínum eru nefnd jingle_something.mp3 þá verða þau notuð sem jingles
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Mælt er með því að þú bætir við SRV skrá fyrir Matrix við DNS uppsetninguna þína. Hvernig þú gerir þetta mun ráðast á dynamic DNS fyrir hendi og vefviðmót þeirra. Á FreeDNS á undirlén stillingum til viðbótar við undirlénið sem þú ert að nota fyrir fylkismiðjunnar búa til aukalega færslu sem hér segir:
Italian|Ítalska
Japanese|Japanska
Jingles|Jingles
Kannada|Kannada
Keep changes|Halda breytingum
Khmer|Khmer
Korean|Kóreska
Language|Tungumál
Lao|Lao
Latvian|Lettneska
Lithuanian|Litháíska
Malayalam|Malayalam
Malaysian|Malaysian
Manually upgrade now ?|Uppfærðu handvirkt núna?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown blogga
Matrix|Matrix
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Kannski í stað þess að breyta í þessum notendaviðmótum, þá viltu frekar nota eigin ritstjóra. Það er hægt að gera sem hér segir:
Media broadcast|Miðlunarútvarp
Media storage and broadcast|Media geymsla og útvarpsþáttur
Mongolian|Mongólska
Mumble|Mumble
Music player|Tónlistarspilari
No|Nr
No SSH public key was provided|Engin SSH lykill var veittur
none|enginn
Norwegian|Norsku
Norwegian (Primary)|Norsku
Not Connected|Ekki tengdur
Note taking|Glósa
Nynorsk|Nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Þegar þú ert á þýðingarskjánum (sjá fyrstu þrjú skrefin í fyrsta hluta hér að ofan) veldu 'Senda' hnappinn.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Þegar þú ert á þýðingarskjánum (sjá fyrstu þrjú skrefin í fyrsta hluta hér að ofan) skaltu velja tungumálakóðann sem birtist efst á skjánum (venjulega endar það með UTF-8). Þú getur þá séð hrár þýðingar skrá.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Opnaðu forritið F-droid og veldu 'Settings' then 'Repositories'. Gakktu úr skugga um að 'Guardian Project Official Releases' sé virk
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Opnaðu stillingarnar. Veldu 'Almennt' og síðan 'Tengdu í gegnum Tor'. Þetta mun veita betri vernd, sem gerir það erfiðara fyrir andstæðinga að vita hver er að tala við hver. Ef tenging í gegnum Tor er óáreiðanleg og veldur hrun, veldu síðan 'Tengdu í gegnum Tor' á 'Almennar stillingar' og notaðu bara venjulegt lén þitt.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Opnaðu samtölforritið og veldu valmyndina (þrjá punkta), flettu niður og veldu 'Sérstillingar' og veldu 'Tengdu við Tor'
or|eða
Paragraphs can be dragged up and down to change their order, or moved between pages|Hægt er að draga málsatriði upp og niður til að breyta pöntun sinni eða færa á milli síðna
Password|Lykilorð
Password: |Lykilorð:
Paste your ssh public key here|Límdu ssh opinbera lykilinn þinn hér
Paste your translations file below|Límdu þýðingarina þína hér að neðan
Peertube allow new registrations|Peertube leyfa nýjum skráningum
Personal accounting|Persónuleg bókhald
Personal or small business accounting|Starfsfólk eða lítil fyrirtæki bókhald
Photo album|mynda albúm
Please enter their username. This should be lower case only and with no spaces.|Vinsamlegast sláðu inn notandanafnið sitt. Þetta ætti aðeins að vera í lágstöfum og án rýma.
Please insert a USB drive|Vinsamlegast settu inn USB-drif
Please insert the USB drive to restore from now|Vinsamlegast settu inn USB-drifið til að endurheimta frá nú
Please insert your backup USB drive now|Vinsamlegast settu öryggisafrit USB-drifið þitt núna
Please specify stream name, description and genre|Vinsamlegast tilgreindu straumheiti, lýsingu og tegund
Please wait while your appliance is configuring|Bíddu meðan tækið þitt er stillt
Please write down or save these credentials|Vinsamlegast skrifaðu niður eða vistaðu þessa persónuskilríki
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma leyfa nýjum skráningum
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Pleroma Stillingar
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Tengdu USB-drifið við netþjóninn þinn, farðu síðan í Icecast app stillingar, bæta við smáum upplýsingum um spilunarlistann þinn og veldu 'Uppfæra'
Polish|Pólsku
Ports|Hafnir
Portuguese|Portúgalska
Portuguese (Brazil)|Portúgalskur (Brasilía)
Power|Máttur
Press the plus button to add a Mumble server.|Ýttu á plús-hnappinn til að bæta við Mumble-miðlara.
Proceed with backup?|Halda áfram með öryggisafrit?
Proceed with drive format?|Halda áfram með akstursformi?
Proceed with reset?|Halda áfram með endurstilla?
Proceed with restore?|Halda áfram með endurheimt?
RAM used|RAM notuð
Remote access|Fjaraðgangur
Remove|Fjarlægja
Remove any backup drives now|Fjarlægðu allar öryggisafritar núna
Remove APPNAME now?|Fjarlægja APPNAME núna?
Remove user USERNAME?|Fjarlægja notanda USERNAME?
Removing user account|Fjarlægi notandareikning
Reset is in progress|Endurstilla er í gangi
Reset to factory|Endurstilla í verksmiðju
RESET TO FACTORY DEFAULTS|HÆTTU TIL AÐ SKOÐA FYRIRTÆKI
Restart|Endurræsa
Restore|Endurheimta
Restore has failed|Endurheimta mistókst
Restore in progress|Endurheimta í gangi
Restore is complete|Endurheimt er lokið
Restore of keys failed|Endurheimt lykla mistókst
Restore of keys is complete|Endurheimt lykla er lokið
Restore password|Endurstilla lykilorð
Restore your keys now?|Endurstilla lykla núna?
Restoring backup keys|Endurheimt öryggislykla
Romanian|Rúmenska
RSS Reader|RSS lesandi
Run HexChat.|Hlaupa HexChat.
Running backup of keys|Running öryggisafrit af lyklum
Russian|rússneska, Rússi, rússneskur
Samoan|Samóa
Search again for 'Conversations' (not the legacy version), then select 'install'|Leitaðu aftur að 'Samtöl' (ekki arfleifð útgáfa), veldu síðan 'setja'
Search for and install Plumble.|Leitaðu að og settu upp Plumble.
Secure realtime collaboration|Öruggt samvinnu í rauntíma
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Öruggt samvinnu í samvinnu við skjöl, kynningar, teikningu og atkvæðagreiðslu. Skjölin eru tímabundin og ef þú vistar þau verður eytt þegar þú lokar vafranum.
Secure Shell|Öruggur skel
Select|Veldu
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Veldu 'Apply' og 'Ok', þá á valmyndinni 'Server' og 'Connect'.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Veldu 'Næsta' til að búa til reikninginn. Ef eveything er að vinna eftir nokkrar mínútur ættirðu að sjá breytinguna á reikningsstöðu til 'á netinu' í grænu
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Veldu leit (stækkunargler táknið) og leitaðu að 'Orbot' (ekki arfleifð útgáfa), veldu síðan 'setja'
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Veldu 'translate' hnappinn. Þú munt sjá nýja skjá með ensku texta til vinstri og þýddur texti til hægri.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Veldu flipann Autojoin channels, smelltu á Add og sláðu inn #libreserver sem rás heiti.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Veldu færsluna innan netþjónsins, sláðu síðan inn ircaddress.onion/6697 eða mydomainname/6697 og ýttu á Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Veldu wiki hnappinn neðst á skjánum, við hliðina á síðum, til að virkja eða slökkva á breytingum.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Ef þjónninn er valinn með því að ýta á hann tengir hann þig við miðlara þannig að þú getir spjallað við aðra tengda notendur
Serbian|Serbneska
Setting up on a laptop|Uppsetning á fartölvu
Setting up on Android|Uppsetning á Android
Setting up with an Android phone|Uppsetning með Android síma
Settings|Stillingar
Setup on Android|Uppsetning á Android
Shortcode|Shortcode
Shutdown|Lokun
Shutting down|Loka
Simple kanban|Einfalt kanban
Simple Markdown blogging|Einföld Markdown blogga
Simple notes|Einföld athugasemd
Slovak|Slóvakíu
Slovenian|Slóvenska
Somali|Sómalíska
Spanish (International)|Spænskur (alþjóðleg)
SSH access is disabled|SSH aðgang er óvirk
SSH access is enabled|SSH aðgang er virkt
Stream Description|Stærð lýsing
Streaming media|Á fjölmiðlum
Submit|Senda inn
Submitting your translations to the LibreServer project|Sendi þýðingar til LibreServer verkefnisins
Swedish|Sænska
System Monitor|Kerfisskjár
Systems may be temporarily unavailable in the next few minutes|Kerfi geta verið tímabundið óaðgengilegar á næstu mínútum
Tagalog|Tagalog
Tamil|Tamil
Thai|Taílenska
Thankyou for choosing the LibreServer home internet appliance|Þakka þér fyrir að velja LibreServer heimilisnetsbúnaðinn
The account will now be removed. This may take a minute or two. For details see:|Reikningurinn verður núna eytt. Þetta getur tekið eina mínútu eða tvær. Nánari upplýsingar sjá:
The classic low bandwidth chat system|The klassískt lágmark bandbreidd spjall kerfi
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|LibreServer kerfið er ekki fyrst og fremst miðað við fyrirtæki eða stofnanir, en ef þú ert einn eða fleiri fyrirtæki sem eru sjálfstætt starfandi, þá hefur þú hæfileika til að keyra eigin bókhaldskerfi og halda gögnum persónulega og einnig studdur. Akaunting veitir gott vefur undirstaða kerfi fyrir lítil fyrirtæki reikninga, og er líka mjög nothæft í farsíma vafra.
A new member is being added. This may take a minute or two.|Hin nýja notandi er bætt við. Skrifaðu niður eða vistaðu lykilorð sitt.
The passwords do not match|Lykilorðin passa ekki saman
There are a few things to know about using the federated wiki.|Það eru nokkur atriði sem hægt er að vita um að nota samtengda wiki.
There are no apps installed. Select the plus button above to install new apps.|Það eru engar forrit settar upp. Veldu plús-hnappinn fyrir ofan til að setja upp ný forrit.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Þessi app getur verið gagnleg ef þú hefur nýtt barn eða barnapössun. Það hjálpar umönnunaraðilum að fylgjast með svefn, mataræði, blæðingarbreytingum og maga tíma til að læra um og spá fyrir þörfum barnsins án þess að gera ráð fyrir að vinna.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Þetta er netþjónakerfi sem gerir þér kleift að keyra internetforrit eins og blogg eða félagsleg netkerfi.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Þetta er vissulega tegund upplýsinga sem þú gætir viljað halda persónulegum og í burtu frá fyrirtækjum sem gætu annars notað eftirlit með foreldraupplýsingum til að reyna að sekt þig við að kaupa alls konar rusl sem þú þarft ekki raunverulega eða hefur ekki efni á .
This is your new password|Þetta er nýtt lykilorð þitt
This may take a few minutes.|Þetta getur tekið nokkrar mínútur.
This may take a minute or two. For details see:|Þetta getur tekið eina mínútu eða tvær. Nánari upplýsingar sjá:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Þetta kerfi er ekki ætlað að senda til stórra markhópa og efri mörk hlustenda er stillt á tíu. Svo fjölskylda og vinir tegund hóps.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Þetta mun taka öryggisafrit af lyklunum sem dulkóða öryggisafritið þitt, vernda þá gegn slysni eða útsetningu. Þú ættir að halda þessari ökuferð á öruggan stað, aðskilin frá öðrum öryggisafritum.
This will restore the keys used to encrypt backups.|Þetta mun endurheimta takkana sem notuð eru til að dulrita öryggisafrit.
To add a new paragraph use the + button|Til að bæta við nýrri málsgrein skaltu nota hnappinn +
To claim/fork a page from another server click on the flag icon|Til að krefjast / gaffla síðu frá annarri miðlara skaltu smella á flaggstáknið
To edit a paragraph double click on it|Til að breyta málsgrein skaltu tvísmella á það
To remove a paragraph just delete all of its text|Til að fjarlægja málsgrein skaltu bara eyða öllum texta hennar
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Til að hlaða upp tónlistarskrám settu Syncthing þá afrita albúmaskrár í ~ / Sync / music_upload, þá innan Koel fara í stillingar og skannaðu skrána / tónlistina
Tor Bridges|Tor Bridges
Translate|Þýða
Translations|Þýðingar
Turkish|Tyrkneska
Type: SRV|Gerð: SRV
Ukrainian|Úkraínska
Uncheck use global user information.|Taktu hakið af notkun alheims notandaupplýsinga.
Uninstall|Uninstall
Update|Uppfæra
Updates settings changed|Uppfærsla stillingar breytt
Upgrade|Uppfærsla
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Uppfærslur gerast sjálfkrafa. Þú þarft ekki að byrja handvirkt eins og þetta, nema í mjög sjaldgæfum tilvikum
Upload|Hlaða inn
URL to upload from|Slóð til að hlaða frá
USB drive format has failed|USB drif snið hefur mistekist
USB drive format in progress|USB drif snið í gangi
USB drive format is complete|USB drif snið er lokið
