About|Около
Keep changes|Сохранять изменения
Khmer|кхмерский
Korean|Корейский
Language|язык
Lao|Лао
Latvian|Латышский
Lithuanian|Литовский
Malayalam|Malayalam
Malaysian|малазийский
Manually upgrade now ?|Вручную обновить сейчас?
Maori (Ngai Tahu)|Маори (Нгай Таху)
Maori (Waikoto Uni)|Маори (Вайкото Юни)
Markdown blogging|Markdown blogging
Matrix|матрица
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Возможно, вместо редактирования в этом пользовательском интерфейсе вы предпочитаете использовать собственный редактор. Это можно сделать следующим образом:
Media broadcast|Медиа-трансляция
Media storage and broadcast|Хранение и трансляция носителей
Mongolian|монгольский
Mumble|бормотать
Music player|Музыкальный проигрыватель
No|нет
No SSH public key was provided|Нет открытого ключа SSH
none|никто
Norwegian|Норвежский
Norwegian (Primary)|Норвежский (первичный)
Not Connected|Не подключен
Note taking|Делать заметки
Nynorsk|нюнорск
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Когда вы находитесь на экране трансляций (см. Первые три шага в первом разделе выше), выберите кнопку «отправить».
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Когда вы находитесь на экране трансляций (см. Первые три шага в первом разделе выше), выберите код языка, показанный в верхней части экрана (как правило, он заканчивается UTF-8). Затем вы можете увидеть исходный файл переводов.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Откройте приложение F-droid и выберите «Настройки», затем «Репозитории». Удостоверьтесь, что «Официальные релизы проекта Guardian» включены
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Откройте настройки. Выберите «Общие», затем «Подключить через Tor». Это обеспечит лучшую защиту, затрудняя тем, чтобы противники знали, кто с кем разговаривает. Если соединение через Tor ненадежно и вызывает сбои, отмените выбор «Подключить через Tor» в «Общие настройки», а затем просто используйте обычное доменное имя.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Откройте приложение «Разговоры» и выберите меню (три точки), прокрутите вниз и выберите «Экспертные настройки», затем выберите «Подключиться к Tor»,
or|или
Paragraphs can be dragged up and down to change their order, or moved between pages|Пункты можно перетаскивать вверх и вниз, чтобы изменить их порядок или перемещаться между страницами
Password|пароль
Password: |Пароль:
Paste your ssh public key here|Вставьте свой открытый ключ ssh здесь
Paste your translations file below|Вставьте файл перевода ниже.
Peertube allow new registrations|Peertube разрешает новые регистрации
Personal accounting|Личный кабинет
Personal or small business accounting|Учет личного или малого бизнеса
Photo album|Фотоальбом
Please enter their username. This should be lower case only and with no spaces.|Введите свое имя пользователя. Это должно быть только в нижнем регистре и без пробелов.
Please insert a USB drive|Пожалуйста, вставьте USB-накопитель
Please insert the USB drive to restore from now|Пожалуйста, вставьте USB-накопитель для восстановления с этого момента.
Please insert your backup USB drive now|Пожалуйста, вставьте резервный USB-накопитель сейчас
Please specify stream name, description and genre|Укажите название потока, описание и жанр
Please wait while your appliance is configuring|Подождите, пока устройство будет настроено
Please write down or save these credentials|Пожалуйста, запишите или сохраните эти учетные данные
Pleroma|Плерома
Pleroma allow new registrations|Pleroma разрешает новые регистрации
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Настройки Pleroma
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Подключите USB-накопитель к вашему серверу, затем перейдите в настройки приложения Icecast, добавьте некоторые сведения о своем плейлисте и выберите «Обновить»,
Polish|полировать
Ports|Порты
Portuguese|португальский
Portuguese (Brazil)|Португальский (Бразилия)
Power|Мощность
Press the plus button to add a Mumble server.|Нажмите кнопку «плюс», чтобы добавить сервер Mumble.
Proceed with backup?|Продолжить резервное копирование?
Proceed with drive format?|Продолжить с форматом диска?
Proceed with reset?|Выполнить сброс?
Proceed with restore?|Продолжить восстановление?
RAM used|Используемая RAM
Remote access|Удаленный доступ
Remove|Удалить
Remove any backup drives now|Удалите все резервные диски сейчас
Remove APPNAME now?|Удалить APPNAME сейчас?
Remove user USERNAME?|Удалить пользователя USERNAME?
Removing user account|Удаление учетной записи пользователя
Reset is in progress|Выполняется сброс
Reset to factory|Сброс на завод
RESET TO FACTORY DEFAULTS|СБРОС НА ЗАВОДСКИЕ ПО УМОЛЧАНИЮ
Restart|Перезапуск
Restore|Восстановить
Restore has failed|Восстановить не удалось
Restore in progress|Восстановление в процессе
Restore is complete|Восстановление завершено
Restore of keys failed|Не удалось восстановить ключи
Restore of keys is complete|Восстановление ключей завершено
Restore password|Восстановить пароль
Restore your keys now?|Восстановить ключи сейчас?
Restoring backup keys|Восстановление резервных ключей
Romanian|румынский
RSS Reader|RSS-ридер
Run HexChat.|Запустите HexChat.
Running backup of keys|Запуск резервного копирования ключей
Russian|русский
Samoan|Samoan
Search again for 'Conversations' (not the legacy version), then select 'install'|Повторите поиск в разделе «Беседы» (не устаревшая версия), затем выберите «установить»,
Search for and install Plumble.|Найдите и установите Plumble.
Secure realtime collaboration|Безопасная работа в режиме реального времени
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Безопасное взаимодействие в реальном времени с документами, презентациями, графикой и голосованием. Документы являются эфемерными, и если вы не сохраните их, они будут удалены при закрытии браузера.
Secure Shell|Защищенная оболочка
Select|Выбрать
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Выберите «Применить» и «Хорошо», затем в меню «Сервер» и «Подключить».
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Выберите «Далее», чтобы создать учетную запись. Если eveything работает через пару минут, вы должны увидеть изменение статуса учетной записи в «онлайн» зеленым
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Выберите поиск (значок увеличительного стекла) и найдите «Orbot» (а не устаревшую версию), затем выберите «установить»,
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Выберите кнопку «перевести». Вы увидите новый экран с английским текстом слева и переведенный текст справа.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Перейдите на вкладку «Автосоединение каналов», нажмите «Добавить» и введите #libreserver в качестве имени канала.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Выберите запись в поле серверов, затем введите ircaddress.onion/6697 или mydomainname/6697 и нажмите Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Чтобы включить или отключить редактирование, выберите кнопку wiki в нижней части экрана рядом с страницами.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Выбрав сервер, нажав на него, он подключится к серверу, чтобы вы могли общаться с другими подключенными пользователями
Serbian|сербский
Setting up on a laptop|Настройка на ноутбуке
Setting up on Android|Настройка на Android
Setting up with an Android phone|Настройка телефона Android
Settings|настройки
Setup on Android|Настройка на Android
Shortcode|Короткий код
Shutdown|Неисправность
Shutting down|Выключение
Simple kanban|Простой канбан
Simple Markdown blogging|Простой брандмауэр Markdown
Simple notes|Простые заметки
Slovak|словацкий
Slovenian|словенский
Somali|сомалийский
Spanish (International)|Испанский (международный)
SSH access is disabled|Доступ к SSH отключен
SSH access is enabled|Доступ к SSH включен
Stream Description|Описание потока
Streaming media|Потоковые медиа
Submit|Отправить
Submitting your translations to the LibreServer project|Отправка ваших переводов в проект LibreServer
Swedish|шведский
System Monitor|Системный монитор
Systems may be temporarily unavailable in the next few minutes|Системы могут быть временно недоступны в течение следующих нескольких минут
Tagalog|тагальского
Tamil|тамильский
Thai|тайский
Thankyou for choosing the LibreServer home internet appliance|Спасибо, что выбрали домашний интернет-магазин LibreServer
The account will now be removed. This may take a minute or two. For details see:|Теперь учетная запись будет удалена. Это может занять минуту или две. Подробнее см .:
The classic low bandwidth chat system|Классическая система чата с низкой пропускной способностью
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|Система LibreServer не ориентирована в первую очередь на компании или учреждения, но если вы являетесь компанией с одним человеком или фрилансером, то возможность использовать свою собственную систему учета и хранить данные конфиденциальными, а также резервные копии полезны. Akaunting обеспечивает хорошую веб-систему для учетных записей малого бизнеса, а также вполне можно использовать в мобильном веб-браузере.
A new member is being added. This may take a minute or two.|Добавляется новый пользователь. Запишите или сохраните свой пароль.
The passwords do not match|пароли не совпадают
There are a few things to know about using the federated wiki.|Есть несколько вещей, которые нужно знать об использовании федеративной вики.
There are no apps installed. Select the plus button above to install new apps.|Приложения не установлены. Чтобы добавить новые приложения, нажмите кнопку «плюс» выше.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Это приложение может быть полезно, если у вас есть новый ребенок или обязанности няни. Это помогает воспитателям отслеживать сон, кормление, изменения подгузников и время живота, чтобы узнать и спрогнозировать потребности ребенка без такой работы.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Это серверная система, которая позволяет запускать интернет-приложения, такие как блог или федеративная социальная сеть.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Это, безусловно, тип данных, которые вы, возможно, захотите сохранить в частном порядке и от компаний, которые в противном случае могли бы использовать наблюдение за данными о родительских приложениях, чтобы попытаться обвинить вас в покупке всех видов мусора, которые вам действительно не нужны или не могут позволить себе ,
This is your new password|Это ваш новый пароль
This may take a few minutes.|Это может занять несколько минут.
This may take a minute or two. For details see:|Это может занять минуту или две. Подробнее см .:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Эта система не предназначена для трансляции в большую аудиторию, а верхний предел слушателей устанавливается в десять. Итак, группа семей и друзей типа.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Это сделает резервную копию ключей, которые шифруют ваши резервные копии, защищая их от случайной потери или воздействия. Вы должны держать этот диск в надежном месте, отдельно от других резервных копий.
This will restore the keys used to encrypt backups.|Это приведет к восстановлению ключей, используемых для шифрования резервных копий.
To add a new paragraph use the + button|Чтобы добавить новый абзац, используйте кнопку +
To claim/fork a page from another server click on the flag icon|Чтобы потребовать / разблокировать страницу с другого сервера, щелкните значок флага
To edit a paragraph double click on it|Чтобы отредактировать абзац, дважды щелкните по нему
To remove a paragraph just delete all of its text|Чтобы удалить абзац, просто удалите весь его текст
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Чтобы загрузить музыкальные файлы, установите Synching, затем скопируйте каталоги альбомов в ~ / Sync / music_upload, затем в Koel перейдите к настройкам и отсканируйте каталог / музыку
Tor Bridges|Тор-Мосты
Translate|Переведите
Translations|Переводы
Turkish|турецкий
Type: SRV|Тип: SRV
Ukrainian|украинец
Uncheck use global user information.|Снимите флажок, используя глобальную информацию пользователя.
Uninstall|Удалить
Update|Обновить
Updates settings changed|Изменены настройки обновлений
Upgrade|Обновить
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Модернизация происходит автоматически. Вам не нужно запускать их вручную, как это, за исключением редких обстоятельств
Upload|Загрузить
URL to upload from|URL для загрузки из
USB drive format has failed|Формат USB-накопителя не выполнен
USB drive format in progress|Выполняется формат USB-накопителя
USB drive format is complete|Формат USB-накопителя завершен
Username: |Имя пользователя:
Username: admin|Имя пользователя: admin
Members|пользователей
Using your preferred editor|Использование предпочтительного редактора
Video broadcast|Видеопередача
Vietnamese|вьетнамский
Voice chat|Голосовой чат
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|ПРЕДУПРЕЖДЕНИЕ: ЭТО УБИТ ВСЕ СОДЕРЖАНИЕ USB-ПРИВОДА
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Извините, но имя пользователя, которое вы дали, не подходит. Убедитесь, что он не содержит пробелов, имеет строчный регистр и длину не менее 3 символов.
Web publishing system|Система веб-публикации
When done editing click on the wiki button again|Когда закончите редактирование, снова нажмите кнопку вики
When it's done it will appear on the apps screen|Когда это будет сделано, оно появится на экране приложений.
When removal is finished it will disappear from apps|Когда удаление завершено, оно исчезнет из приложений
When you are done with translating select the 'import' button on the translations screen.|Когда вы закончите с переводом, выберите кнопку «импорт» на экране перевода.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Когда вы добавили свои переводы, нажмите кнопку «Обновить». Это обновит файл перевода для выбранного языка. Обратите внимание, что это не меняет текущий язык в пользовательском интерфейсе. Если вы хотите сделать это, вернитесь на экран языка, выберите язык, а затем кнопку «Выбрать».
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|На каком экране вы сейчас находитесь, вы можете вернуться к предыдущему экрану, нажав или нажав на логотип LibreServer вверху.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|С Icecast вы можете запускать свой собственный интернет-радиопоток с лукового адреса. Как всегда, будьте осторожны с вопросами об авторских правах и предпочтительно придерживайтесь музыки Creative Commons или музыкальных файлов, которыми вы владеете.
Within the network list click, Add and enter your domain name then click Edit.|В списке сети нажмите «Добавить» и введите имя домена, затем нажмите «Изменить».
Within the Password field enter the password which you originally set up the box with.|В поле «Пароль» введите пароль, с которого вы первоначально установили поле.
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|В программном центре найдите «mumble» и установите клиент, затем запустите его. Пропустите мастер настройки звука. Отмените начальное окно подключения.
Write it down or save it|Запишите его или сохраните
XMPP|XMPP
xmpp based chat system|система чата на основе xmpp
Yes|да
You can edit the translated text on the right side of the screen.|Вы можете редактировать переведенный текст в правой части экрана.
You can get to this system remotely via:|Вы можете получить эту систему удаленно через:
