About|O
Gujarati|Gudżarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Czy zapisałeś lub zapisałeś dane logowania i usunąłeś wszystkie dyski kopii zapasowych z systemu?
Hebrew|hebrajski
Help|Wsparcie
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Pomaga opiekunom śledzić sen, karmienie, zmiany pieluchy i czas brzucha
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Pomaga opiekunom śledzić sen, karmienie, zmiany w pieluchach i czas na brzuszek, aby poznać i przewidzieć potrzeby babys bez zgadywania.
here|tutaj
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (wcześniej XChat) jest kompatybilny z proxy za pośrednictwem Tora, więc zapewnia najlepsze zabezpieczenie podczas łączenia się z serwerem IRC. Pozwoli ci to połączyć się z adresem cebuli twojego serwera IRC.
Hindi|hinduski
How to do translations|Jak wykonywać tłumaczenia
Hungarian|język węgierski
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast jest dość obciążający procesor. Na przykład w systemie opartym na A20 zajmuje około 70% zasobów procesora. Jest to coś, o czym należy pamiętać, jeśli używasz wielu aplikacji
Icecast is updating|Icecast się aktualizuje
Icelandic|islandzki
Icons on the website and user interfaces are by Rashid Mhar.|Ikony na stronie i interfejsy użytkownika są autorstwa Rashida Mhara.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Jeśli jesteś użytkownikiem Emacsa, możesz także połączyć się z serwerem IRC za pośrednictwem Emacsa.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Jeśli używasz adresu cebuli, użyj opcji SSL, aby usunąć zaznaczenie, a szyfrowanie transportu będzie obsługiwane przez sam adres cebuli.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Jeśli używasz zwykłej nazwy domeny (clearnet / ICANN), upewnij się, że jest zaznaczona opcja Użyj SSL.
If you don't have a domain then just select Continue|Jeśli nie masz domeny, po prostu wybierz Kontynuuj
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Jeśli nie masz zainstalowanego Orbota, włącz repozytorium projektu Guardian z rozwijanego menu i zainstaluj je.
If you don't need a password then just leave this blank and select Update|Jeśli nie potrzebujesz hasła, zostaw to pole puste i wybierz Aktualizuj
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Jeśli masz podłączony port USB, zostaw go włożony, dopóki nie potwierdzisz, że strumień działa
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Jeśli masz problemy z uzyskaniem dostępu do adresów cebuli, wklej poniżej kilka mostków Tora. Zobacz https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Jeśli korzystasz z aplikacji mobilnej Element w celu uzyskania dostępu do serwera macierzystego Matrix, możesz znacznie poprawić wydajność baterii, przechodząc do ustawień i zmieniając "Limit czasu żądania synchronizacji" na 30 sekund i "Opóźnienie między dwoma żądaniami synchronizacji" na 600 sekund. Wyłączenie "wiadomości w czatach grupowych" pomoże, ponieważ pozwoli uniknąć otrzymywania powiadomienia za każdym razem, gdy wydarzy się czat grupowy, a następnie budzi ekran
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Jeśli twoje tłumaczenia zostaną zaakceptowane, pojawią się później w projekcie upstream i będą dostępne dla każdego.
Import|Import
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|W przeglądarce Tor przejdź do adresu cebuli dla Icecast, a następnie możesz zagrać w stream
Indonesian|indonezyjski
Initial login|Początkowe logowanie
Initial Setup|Początkowe ustawienia
Install|zainstalować
Install APPNAME now?|Zainstaluj teraz APPNAME?
Install F-Droid|Zainstaluj F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Zainstaluj HexChat i skonfiguruj jego plik konfiguracyjny. Zakładając, że korzystasz z dystrybucji opartej na Debianie lub Archu, możesz to zrobić na komputerze lokalnym za pomocą:
Installation|Instalacja
Installing in Emacs|Instalowanie w Emacs
Installing on Desktop|Instalowanie na komputerze
Invalid Password|nieprawidłowe hasło
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC jest przydatny w czacie dla wielu użytkowników. Klasyczny przypadek użycia dotyczy rozwoju oprogramowania, w którym wielu inżynierów może potrzebować koordynować swoje działania, ale jest także przydatny podczas spotkań, przyjęć i ogólnych spotkań towarzyskich.
It can be shown using the command:|Można go wyświetlić za pomocą polecenia:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Możliwe jest dodanie dżingli, które będą odtwarzane między utworami w losowych odstępach czasu. Jeśli niektóre pliki audio na dysku USB mają nazwę jingle_something.mp3, wówczas będą używane jako dżingle
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Zaleca się dodanie rekordu SRV dla Matrix do konfiguracji DNS. Sposób, w jaki to zrobisz, będzie zależeć od dostawcy dynamicznego DNS i jego interfejsu internetowego. W FreeDNS w ustawieniach subdomeny oprócz subdomeny, której używasz dla serwera macierzy, utwórz dodatkowy wpis w następujący sposób:
Italian|Włoski
Japanese|język japoński
Jingles|Jingles
Kannada|Kannada
Keep changes|Zachowaj zmiany
Khmer|Khmer
Korean|koreański
Language|Język
Lao|Lao
Latvian|łotewski
Lithuanian|litewski
Malayalam|Malajalam
Malaysian|Malezyjski
Manually upgrade now ?|Ręcznie uaktualnić teraz?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Blogowanie Markdown
Matrix|Matryca
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Może zamiast edytować w tym interfejsie, wolisz używać własnego edytora. Można to zrobić w następujący sposób:
Media broadcast|Transmisja medialna
Media storage and broadcast|Przechowywanie i transmisja multimediów
Mongolian|mongolski
Mumble|Bełkot
Music player|Odtwarzacz muzyki
No|Nie
No SSH public key was provided|Nie podano klucza publicznego SSH
none|Żaden
Norwegian|norweski
Norwegian (Primary)|Norweski (podstawowy)
Not Connected|Nie połączony
Note taking|Notatka
Nynorsk|Nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Po przejściu do ekranu tłumaczeń (zobacz pierwsze trzy kroki w pierwszej sekcji powyżej) wybierz przycisk "wyślij".
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Po przejściu do ekranu tłumaczeń (patrz pierwsze trzy kroki w pierwszej sekcji powyżej) wybierz kod języka wyświetlany u góry ekranu (zwykle kończy się on na UTF-8). Możesz wtedy zobaczyć plik nieprzetworzonych tłumaczeń.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Otwórz aplikację F-droid i wybierz "Ustawienia", a następnie "Repozytoria". Upewnij się, że "Oficjalne publikacje projektu Guardian" są włączone
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Otwórz ustawienia. Wybierz "Ogólne", a następnie "Połącz przez Tora". Zapewni to lepszą ochronę, co utrudni przeciwnikom poznanie, kto z kim rozmawia. Jeśli połączenie z Torem jest niewiarygodne i powoduje awarie, odznacz "Połącz przez Tora" w "Ustawieniach ogólnych", a następnie po prostu użyj swojej zwykłej nazwy domeny.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Otwórz aplikację Conversations i wybierz menu (trzy kropki), przewiń w dół i wybierz "Ustawienia eksperta", a następnie wybierz "Połącz z Torem"
or|lub
Paragraphs can be dragged up and down to change their order, or moved between pages|Akapity można przeciągać w górę lub w dół, aby zmieniać ich kolejność lub przenosić między stronami
Password|Hasło
Password: |Hasło:
Paste your ssh public key here|Wklej tutaj swój publiczny klucz ssh
Paste your translations file below|Wklej swój plik tłumaczeń poniżej
Peertube allow new registrations|Peertube pozwala na nowe rejestracje
Personal accounting|Księgowość osobista
Personal or small business accounting|Rachunek osobisty lub mały biznes
Photo album|album zdjęć
Please enter their username. This should be lower case only and with no spaces.|Wprowadź swoją nazwę użytkownika. Powinno to być tylko małe litery i bez spacji.
Please insert a USB drive|Włóż dysk USB
Please insert the USB drive to restore from now|Włóż dysk USB, aby odtworzyć teraz
Please insert your backup USB drive now|Włóż teraz swój zapasowy dysk USB
Please specify stream name, description and genre|Podaj nazwę strumienia, opis i gatunek
Please wait while your appliance is configuring|Zaczekaj, aż urządzenie się skonfiguruje
Please write down or save these credentials|Zapisz lub zapisz te dane logowania
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma pozwala na nowe rejestracje
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Ustawienia Pleroma
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Podłącz dysk USB do swojego serwera, a następnie przejdź do ustawień aplikacji Icecast, dodaj kilka szczegółów na temat swojej listy odtwarzania i wybierz opcję "Aktualizuj"
Polish|Polskie
Ports|Porty
Portuguese|portugalski
Portuguese (Brazil)|Portugalski (Brazylia)
Power|Moc
Press the plus button to add a Mumble server.|Naciśnij przycisk plus, aby dodać serwer Mumble.
Proceed with backup?|Kontynuuj z kopią zapasową?
Proceed with drive format?|Kontynuuj format dysku?
Proceed with reset?|Kontynuuj z resetowaniem?
Proceed with restore?|Kontynuuj z przywracaniem?
RAM used|Używana pamięć RAM
Remote access|Dostęp zdalny
Remove|Usunąć
Remove any backup drives now|Usuń teraz wszystkie napędy kopii zapasowych
Remove APPNAME now?|Usunąć aplikację APPNAME teraz?
Remove user USERNAME?|Usunąć użytkownika USERNAME?
Removing user account|Usuwanie konta użytkownika
Reset is in progress|Resetowanie jest w toku
Reset to factory|Zresetuj do fabryki
RESET TO FACTORY DEFAULTS|RESET DO DEFEKTÓW FABRYCZNYCH
Restart|Uruchom ponownie
Restore|Przywracać
Restore has failed|Przywracanie nie powiodło się
Restore in progress|Przywróć w toku
Restore is complete|Przywracanie zostało zakończone
Restore of keys failed|Przywracanie kluczy nie powiodło się
Restore of keys is complete|Przywracanie kluczy zostało zakończone
Restore password|Przywróć hasło
Restore your keys now?|Odzyskaj teraz klucze?
Restoring backup keys|Przywracanie kluczy zapasowych
Romanian|rumuński
RSS Reader|Czytnik RSS
Run HexChat.|Uruchom HexChat.
Running backup of keys|Uruchamianie kopii zapasowej kluczy
Russian|Rosyjski
Samoan|Samoa
Search again for 'Conversations' (not the legacy version), then select 'install'|Ponownie wyszukaj "Rozmowy" (nie starszą wersję), a następnie wybierz "zainstaluj"
Search for and install Plumble.|Wyszukaj i zainstaluj Plumble.
Secure realtime collaboration|Bezpieczna współpraca w czasie rzeczywistym
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Bezpieczna współpraca w czasie rzeczywistym z dokumentami, prezentacjami, rysowaniem i głosowaniem. Dokumenty są efemeryczne i jeśli ich nie zapiszesz, zostaną usunięte po zamknięciu przeglądarki.
Secure Shell|Bezpieczna Shell
Select|Wybierz
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Wybierz "Zastosuj" i "OK", a następnie w menu "Serwer" i "Połącz".
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Wybierz "Dalej", aby utworzyć konto. Jeśli wszystko działa po kilku minutach, powinieneś zobaczyć, że status konta zmienia się na "online" na zielono
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Wybierz wyszukiwanie (ikona lupy) i wyszukaj "Orbot" (nie starszą wersję), a następnie wybierz "zainstaluj"
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Wybierz przycisk "przetłumacz". Zobaczysz nowy ekran z tekstem po lewej stronie i przetłumaczonym tekstem po prawej.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Wybierz zakładkę Autojoin, kliknij Dodaj i wprowadź #libreserver jako nazwę kanału.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Wybierz wpis w polu serwerów, a następnie wpisz ircaddress.onion/6697 lub mydomainname/6697 i naciśnij klawisz Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Wybierz przycisk wiki u dołu ekranu, obok stron, aby włączyć lub wyłączyć edycję.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Wybór serwera przez naciśnięcie go, a następnie łączy się z serwerem, aby można było czatować z innymi podłączonymi użytkownikami
Serbian|serbski
Setting up on a laptop|Konfigurowanie na laptopie
Setting up on Android|Konfigurowanie w systemie Android
Setting up with an Android phone|Konfigurowanie za pomocą telefonu z Androidem
Settings|Ustawienia
Setup on Android|Konfiguracja na Androida
Shortcode|Krótki kod
Shutdown|Zamknąć
Shutting down|Wyłączanie
Simple kanban|Prosty kanban
Simple Markdown blogging|Proste blogowanie Markdown
Simple notes|Proste notatki
Slovak|słowacki
Slovenian|słoweński
Somali|Somalijski
Spanish (International)|Hiszpański (międzynarodowy)
SSH access is disabled|Dostęp SSH jest wyłączony
SSH access is enabled|Dostęp SSH jest włączony
Stream Description|Opis strumienia
Streaming media|Media strumieniowe
Submit|Zatwierdź
Submitting your translations to the LibreServer project|Przesyłanie twoich tłumaczeń do projektu LibreServer
Swedish|szwedzki
System Monitor|Monitor systemu
Systems may be temporarily unavailable in the next few minutes|Systemy mogą być chwilowo niedostępne w ciągu kilku minut
Tagalog|Tagalog
Tamil|Tamil
Thai|tajski
Thankyou for choosing the LibreServer home internet appliance|Dziękujemy za wybranie urządzenia domowego LibreServer
The account will now be removed. This may take a minute or two. For details see:|Konto zostanie teraz usunięte. Może to potrwać minutę lub dwie. Aby uzyskać szczegółowe informacje, patrz:
The classic low bandwidth chat system|Klasyczny system czatowy o niskiej przepustowości
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|System LibreServer nie jest skierowany przede wszystkim do firm lub instytucji, ale jeśli jesteś jednoosobową firmą lub freelancerem, posiadanie umiejętności prowadzenia własnego systemu księgowego i utrzymywania danych w tajemnicy oraz kopii zapasowych jest przydatne. Akaunting zapewnia miły system oparty na Internecie dla małych kont biznesowych, a także jest całkiem użyteczny w mobilnej przeglądarce internetowej.
A new member is being added. This may take a minute or two.|Nowy użytkownik jest dodawany. Zapisz lub zapisz swoje hasło.
The passwords do not match|Hasła się nie zgadzają
There are a few things to know about using the federated wiki.|Jest kilka rzeczy, które trzeba wiedzieć o używaniu sfederowanego wiki.
There are no apps installed. Select the plus button above to install new apps.|Brak zainstalowanych aplikacji. Wybierz przycisk plus powyżej, aby zainstalować nowe aplikacje.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Ta aplikacja może być przydatna, jeśli masz nowe dziecko lub obowiązki związane z opieką nad dzieckiem. Pomaga opiekunom śledzić sen, karmienie, zmiany w pieluchach i czas na brzuszek, aby poznać i przewidzieć potrzeby dziecka bez zgadywania.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Jest to system serwera, który umożliwia uruchamianie aplikacji internetowych, takich jak blog lub stowarzyszona sieć społecznościowa.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Jest to z pewnością rodzaj danych, które możesz chcieć zachować w tajemnicy, z dala od firm, które w przeciwnym razie mogłyby korzystać z nadzoru danych aplikacji dla rodziców, aby próbować poczuć się winnym, kupując różnego rodzaju śmieci, których tak naprawdę nie potrzebujesz lub na które nie możesz sobie pozwolić. .
This is your new password|To jest twoje nowe hasło
This may take a few minutes.|To może zająć parę minut.
This may take a minute or two. For details see:|Może to potrwać minutę lub dwie. Aby uzyskać szczegółowe informacje, patrz:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Ten system nie jest przeznaczony do emisji dla dużej publiczności, a górny limit słuchaczy jest ustawiony na dziesięć. Tak więc grupa typu rodzina i przyjaciele.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Spowoduje to wykonanie kopii zapasowej kluczy, które zaszyfrują kopie zapasowe, chroniąc je przed przypadkową utratą lub ekspozycją. Przechowuj dysk w bezpiecznym miejscu, innym niż inne kopie zapasowe.
This will restore the keys used to encrypt backups.|Spowoduje to przywrócenie kluczy używanych do szyfrowania kopii zapasowych.
To add a new paragraph use the + button|Aby dodać nowy akapit, użyj przycisku +
To claim/fork a page from another server click on the flag icon|Aby odebrać / rozwidlić stronę z innego serwera, kliknij ikonę flagi
To edit a paragraph double click on it|Aby edytować akapit, kliknij go dwukrotnie
To remove a paragraph just delete all of its text|Aby usunąć akapit, po prostu usuń cały jego tekst
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Aby przesłać pliki muzyczne, zainstaluj Syncthing, a następnie skopiuj katalogi albumów do ~ / Sync / music_upload, a następnie w Koel przejdź do ustawień i zeskanuj katalog / muzykę
Tor Bridges|Tor Bridges
Translate|Tłumaczyć
Translations|Tłumaczenia
Turkish|turecki
Type: SRV|Wpisz: SRV
Ukrainian|ukraiński
Uncheck use global user information.|Usuń zaznaczenie, użyj globalnych informacji o użytkowniku.
Uninstall|Odinstaluj
Update|Aktualizacja
Updates settings changed|Zaktualizowano ustawienia aktualizacji
Upgrade|Aktualizacja
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Aktualizacje następują automatycznie. Nie trzeba uruchamiać ich ręcznie w ten sposób, z wyjątkiem rzadkich okoliczności
Upload|Przekazać plik
URL to upload from|Adres URL do przesłania z
