About|Quant a
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Editeu les vostres traduccions. L'estructura d'aquest fitxer és molt simple. A l'esquerra hi ha text en anglès i al text de la dreta es tradueix, amb el caràcter de la línia vertical com a separador.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Editeu, afegiu o elimineu dominis o usuaris bloquejats. Això s'aplica a les adreces de correu electrònic i XMPP
Edith enable login|Edith habilita l'inici de sessió
Email system|Sistema de correu electrònic
Email/XMPP: USEREMAIL|Correu electrònic / XMPP: USEREMAIL
Enable access via secure shell?|Habilitar l'accés mitjançant un intèrpret d'ordres segur?
Enable Updates|Habilita les actualitzacions
English|Anglès
English (US)|Anglès (EUA)
Ensure that dat files are always available|Assegureu-vos que els fitxers dat sempre estiguin disponibles
Ensure that tor is installed onto your local system:|Assegureu-vos que tor està instal·lat al vostre sistema local:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Introduïu una etiqueta (que pot ser qualsevol nom que trieu per al servidor), el nom de domini predeterminat de LibreServer o, preferiblement, l'adreça de ceba mumble, el vostre nom d'usuari (que també pot ser qualsevol cosa) i la contrasenya mumble que és la mateixa que la originalment heu configurat la casella. Deixeu el número de port sense canvis.
Enter a password which will be used to protect the backup|Introduïu una contrasenya que s'utilitzarà per protegir la còpia de seguretat
Enter first and second nicknames and check connect to this network on startup.|Introduïu els primers i secundaris i verifiqueu la connexió a aquesta xarxa a l'inici.
Estonian|Estonià
Everything installed will be lost|Tot allò instal·lat es perdrà
Extremely simple note taking|Presa de notes extremadament senzilla
Factory reset is in progress|S'ha produït un restabliment de fàbrica
Farsi|Farsi
Favicon|Favicon
Federated image sharing|Participació d'imatges federades
Federated microblogging|Microblogging federat
Federated social network|Xarxa social federada
Federated wiki|Wiki federada
File storage and sync|Arxiu d'emmagatzematge i sincronització
File synchronization|Sincronització d'arxius
Filipino|Filipí
Finnish|Finlandès
First ensure that tor is installed. Within a terminal:|Primer assegureu-vos que tor està instal·lat. Dins d'un terminal:
For details see the diagnostics|Per obtenir més informació, consulteu el diagnòstic
For details see:|Per obtenir més informació, consulteu:
For further information see the website at https://libreserver.org|Per obtenir més informació, consulteu el lloc web a https://libreserver.org
For the initial login use username: admin password admin|Per a l'inici de sessió inicial utilitzeu el nom d'usuari: admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|Per a l'identificador de Jabber, introduïu l'adreça de correu electrònic des de la vostra configuració d'usuari de LibreServer
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|Per a la contrasenya, utilitzeu la contrasenya que inicialment va escriure o emmagatzemada durant la configuració del sistema LibreServer
Forward port 80 and 443 from your internet router|Avança el port 80 i 443 des del vostre enrutador d'Internet
Forward the following ports from your internet router:|Reenvia els ports següents del teu enrutador d'Internet:
Forward the port 64738 from your internet router|Endavant el port 64738 des del vostre enrutador d'Internet
Forward the port 6697 from your internet router|Endavant el port 6697 des del vostre enrutador d'Internet
Forward the port 8448 from your internet router|Endavant el port 8448 des del vostre enrutador d'Internet
FreeDNS code:|Codi FreeDNS:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer va començar el 2013. Inicialment es va basar en el maquinari de Beaglebone Black i es va inspirar en la idea de FreedomBox d'una xarxa barata i senzilla de gestionar el servidor d'Internet per a la llar.
French|Francès
French (Canada)|Francès (Canadà)
From the initial screen select 'settings' then 'language'.|Des de la pantalla inicial, seleccioneu "configuració" i "idioma".
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Al menú, seleccioneu "Configura" i, a continuació, "Configuració". Seleccioneu la casella "Avançada" i seleccioneu "Xarxa". Seleccioneu "Forçar el mode TCP" i el tipus de proxy "Socks5". El nom de l'amfitrió s'hauria d'establir a 'localhost' i el port hauria de ser de 9050.
Gaelic|Gaèlic
Gallego|Gallego
Georgian|Georgià
German|Alemany
German (Personal)|Alemany (personal)
Git repo management|Git repo management
Go Back|Torna
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Torneu a la pantalla inicial de F-droid i actualitzeu els repositoris fent lliscar cap avall. Ho veurà dir "actualitzar els repositoris". Això pot trigar uns quants minuts.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Torneu a la pantalla inicial de l'aplicació Converses, torneu a seleccionar el menú i, a continuació, "Gestiona els comptes". Afegiu un compte seleccionant la icona de la persona amb el complement que hi ha al costat.
Gogs allow new registrations|Gogs permet nous registres
Greek|Grec
Gujarati|Gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Has escrit o guardat les credencials d'inici de sessió i heu eliminat totes les unitats de còpia de seguretat del sistema?
Hebrew|Hebreu
Help|Ajuda
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Ajuda als cuidadors a fer un seguiment del somni, alimentació, canvis de bolquers i temps d'abdomen
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Ajuda als cuidadors a fer un seguiment del somni, alimentació, canvis de bolquers i temps de panza per aprendre i predir les necessitats dels nadons sense tant treballs d'endevina.
here|aquí
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (anteriorment XChat) és compatible amb proxying a través de Tor, de manera que proporciona la millor seguretat quan es connecta al vostre servidor IRC. Us permetrà connectar-vos a la vostra adreça de ceba del servidor IRC.
Hindi|Hindi
How to do translations|Com fer traduccions
Hungarian|Hongarès
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast és bastant intensiu en la CPU. Per exemple, en un sistema basat en A20, es necessita prop del 70% del recurs de la CPU. Això és conscient de si s'està executant diverses aplicacions
Icecast is updating|Icecast està actualitzant
Icelandic|Islandès
Icons on the website and user interfaces are by Rashid Mhar.|Les icones del lloc web i les interfícies d'usuari són per Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Si sou un usuari d'Emacs, també podeu connectar-vos al vostre servidor IRC a través d'Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Si esteu utilitzant l'adreça de ceba, llavors l'ús de SSL no s'ha de controlar i el xifrat del transport es gestionarà a través de la pròpia adreça de ceba.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Si utilitzeu el nom del domini ordinari (clearnet / ICANN), assegureu-vos que l'opció Utilitza SSL està marcada.
If you don't have a domain then just select Continue|Si no teniu un domini, simplement seleccioneu Continuar
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Si no teniu instal·lat Orbot, activeu el repositori del Projecte Guardian del menú desplegable i instal·leu-lo.
If you don't need a password then just leave this blank and select Update|Si no necessiteu una contrasenya, simplement deixeu-lo en blanc i seleccioneu Actualitza
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Si teniu un connector USB, deixeu-lo inserit fins que no pugueu confirmar que funcioni la seqüència
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Si teniu problemes per accedir a les adreces de ceba, enganxeu alguns ponts de Tor a continuació. Vegeu https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Si esteu utilitzant l'aplicació mòbil Element per accedir al vostre servidor d'habitatges Matrix, podeu millorar significativament el rendiment de la bateria, passant a la configuració i canviant el temps d'espera de la sol·licitud de sincronització a 30 segons i "Retard entre dues peticions de sincronització" a 600 segons. També s'apagarà "missatges en xats de grup", ja que evitarà rebre notificacions cada vegada que succeeix un esdeveniment de xat en grup, que després desperta la pantalla
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Si s'accepten les vostres traduccions, apareixeran més endavant en el projecte ascendent i seran utilitzables per qualsevol persona.
Import|Importació
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|En un navegador Tor, aneu a l'adreça de ceba de Icecast i després podeu reproduir la seqüència
Indonesian|Indonesi
Initial login|Inici de sessió inicial
Initial Setup|Configuració inicial
Install|Instal·lar
Install APPNAME now?|Instal·leu APPNAME ara?
Install F-Droid|Instal·leu F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Instal·leu HexChat i configureu el fitxer de configuració. Suposant que esteu utilitzant una distribució basada en Debian o Arch, això es pot fer a la vostra màquina local amb:
Installation|Instal·lació
Installing in Emacs|S'està instal·lant a Emacs
Installing on Desktop|S'està instal·lant a l'escriptori
Invalid Password|contrasenya invàlida
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|L'IRC és útil per a xats de diversos usuaris. El cas d'ús clàssic és per al desenvolupament de programari on molts enginyers poden necessitar per coordinar les seves activitats, però també és útil per a reunions, festes i socialitzacions en general.
It can be shown using the command:|Es pot mostrar usant l'ordre:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|És possible afegir jingles que es reproduiran entre pistes a intervals aleatoris. Si alguns dels fitxers d'àudio de la unitat USB es diuen jingle_something.mp3 llavors s'utilitzaran com jingles
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Es recomana que afegiu un registre SRV per Matrix a la vostra configuració de DNS. Com ho feu dependrà del vostre proveïdor de DNS dinàmic i de la seva interfície web. En FreeDNS a la configuració de subdominis, a més del subdomini que esteu utilitzant per al servidor de la matriu, creeu una entrada addicional de la següent manera:
Italian|Italià
Japanese|Japonès
Jingles|Jingles
Kannada|Kannada
Keep changes|Manteniu els canvis
Khmer|Khmer
Korean|Coreà
Language|Llenguatge
Lao|Lao
Latvian|Letó
Lithuanian|Lituà
Malayalam|Malayalam
Malaysian|Malàisia
Manually upgrade now ?|Actualitzar manualment ara?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown blogging
Matrix|Matrix
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Potser en comptes d'editar dins d'aquesta interfície d'usuari preferiu utilitzar el vostre propi editor. Això es pot fer de la manera següent:
Media broadcast|Emissió de mitjans
Media storage and broadcast|Emmagatzematge i emissió de mitjans
Mongolian|Mongol
Mumble|Mumble
Music player|Reproductor de música
No|No
No SSH public key was provided|No s'ha proporcionat cap clau pública SSH
none|cap
Norwegian|Noruec
Norwegian (Primary)|Noruec (primària)
Not Connected|No connectat
Note taking|Prendre notes
Nynorsk|Nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Un cop estigui a la pantalla de traduccions (vegeu els tres primers passos de la primera secció anterior), seleccioneu el botó 'enviar'.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Una vegada que es troba a la pantalla de traduccions (vegeu els tres primers passos de la primera secció anterior), seleccioneu el codi d'idioma que es mostra a la part superior de la pantalla (normalment acaba amb UTF-8). A continuació, podeu veure el fitxer de traduccions sense processar.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Obriu l'aplicació F-droid i seleccioneu "Configuració" i "Repositoris". Assegureu-vos que "Publicacions oficials del projecte Guardian" estigui activat
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Obriu la configuració. Seleccioneu "General" i, a continuació, "Connectar mitjançant Tor". Això proporcionarà una millor protecció, fent més difícil per als adversaris saber qui està parlant amb qui. Si la connexió a través de Tor no és fiable i provoca errors, desactiveu «Connect via Tor» a la 'Configuració general' i, a continuació, només feu servir el vostre nom de domini ordinari.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Obriu l'aplicació Converses i seleccioneu el menú (tres punts), desplaceu-vos cap avall i seleccioneu "Configuració d'experts" i, seguidament, seleccioneu "Connecteu-vos a Tor"
or|o
Paragraphs can be dragged up and down to change their order, or moved between pages|Els paràgrafs es poden arrossegar cap amunt o cap avall per canviar el seu ordre o desplaçar-se entre pàgines
Password|Contrasenya
Password: |Contrasenya:
Paste your ssh public key here|Enganxeu la vostra clau pública ssh aquí
Paste your translations file below|Enganxeu el fitxer de traduccions a continuació
Peertube allow new registrations|Peertube permet nous registres
Personal accounting|Comptabilitat personal
Personal or small business accounting|Comptabilitat personal o de negocis petits
Photo album|àlbum de fotos
Please enter their username. This should be lower case only and with no spaces.|Introduïu el vostre nom d'usuari. Això només ha de ser minúscules i sense espais.
Please insert a USB drive|Introduïu una unitat USB
Please insert the USB drive to restore from now|Introduïu la unitat USB per restaurar a partir d'ara
Please insert your backup USB drive now|Inseriu ara la vostra unitat USB de còpia de seguretat
Please specify stream name, description and genre|Especifiqueu el nom de la seqüència, la descripció i el gènere
Please wait while your appliance is configuring|Espereu mentre s'està configurant el vostre dispositiu
Please write down or save these credentials|Escriviu o deseu aquestes credencials
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma permet nous registres
Pleroma Custom Emoji|Pleroma Emoji personalitzat
Pleroma Settings|Configuració de Pleroma
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Connecteu la unitat USB al vostre servidor, aneu a la configuració de l'aplicació Icecast, afegiu alguns detalls sobre la vostra llista de reproducció i seleccioneu "Actualitza"
Polish|Polonès
Ports|Ports
Portuguese|Portuguès
Portuguese (Brazil)|Portuguès (Brasil)
Power|Poder
Press the plus button to add a Mumble server.|Premeu el botó per afegir un servidor Mumble.
Proceed with backup?|Voleu fer una còpia de seguretat?
Proceed with drive format?|Voleu continuar amb el format de la unitat?
Proceed with reset?|Voleu reiniciar?
Proceed with restore?|Procediu amb la restauració?
RAM used|S'utilitza RAM
Remote access|Accés remot
Remove|Elimina
Remove any backup drives now|Elimineu totes les unitats de còpia de seguretat ara
Remove APPNAME now?|Voleu eliminar APPNAME ara?
Remove user USERNAME?|Voleu eliminar l'usuari USERNAME?
Removing user account|S'està eliminant el compte d'usuari
Reset is in progress|El restabliment està en progrés
Reset to factory|Restablir a la fàbrica
RESET TO FACTORY DEFAULTS|RESET A DEFAULTS DE LA FÀBRICA
Restart|Reinicia
Restore|Restaurar
Restore has failed|Ha fallat la restauració
Restore in progress|Restauració en progrés
Restore is complete|S'ha completat la restauració
Restore of keys failed|S'ha produït un error en la restauració de claus
Restore of keys is complete|S'ha completat la restauració de claus
Restore password|Restaura la contrasenya
Restore your keys now?|Voleu restaurar les vostres claus ara?
Restoring backup keys|Restauració de claus de còpia de seguretat
Romanian|Romanès
RSS Reader|Lector RSS
Run HexChat.|Executar HexChat.
Running backup of keys|Executa còpia de seguretat de claus
Russian|Rus
Samoan|Samoà
Search again for 'Conversations' (not the legacy version), then select 'install'|Torneu a cercar "Converses" (no la versió heredada), després seleccioneu "instal·lar"
Search for and install Plumble.|Cerqueu i instal·leu Plumble.
Secure realtime collaboration|Col·laboració segura en temps real
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Col·laboració segura en temps real amb documents, presentacions, dibuixos i votacions. Els documents són efímers i, llevat que els guardeu, se suprimiran quan tanqueu el navegador.
Secure Shell|Shell segur
Select|Selecciona
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Seleccioneu "Aplica" i "Acceptar", al menú "Servidor" i "Connectar".
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Seleccioneu "Següent" per crear el compte. Si tot està funcionant després d'un parell de minuts, heu de veure el canvi d'estat del compte a "en línia" en color verd
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Seleccioneu la cerca (icona de lupa) i cerqueu 'Orbot' (no la versió heredada), després seleccioneu 'instal·lar'
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Seleccioneu el botó "traduir". Veureu una nova pantalla amb text anglès a l'esquerra i el text traduït a la dreta.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Seleccioneu la fitxa Canals automàtics, feu clic a Agregar i introduïu #libreserver com a nom del canal.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Seleccioneu l'entrada al quadre de servidors, introduïu ircaddress.onion/6697 o mydomainname/6697 i premeu Retorn.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Seleccioneu el botó Wiki a la part inferior de la pantalla, al costat de les pàgines, per activar o desactivar l'edició.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Seleccionant el servidor prement sobre ell es connecta al servidor perquè pugui xatejar amb altres usuaris connectats
Serbian|Serbi
Setting up on a laptop|Configuració en un ordinador portàtil
Setting up on Android|Configuració a Android
Setting up with an Android phone|S'està configurant amb un telèfon Android
Settings|Configuració
Setup on Android|Configuració a Android
Shortcode|Shortcode
Shutdown|Tancar
Shutting down|Apagant
Simple kanban|Kanban simple
Simple Markdown blogging|Simple Markdown blogging
Simple notes|Notes simples
Slovak|Eslovac
Slovenian|Eslovè
Somali|Somali
Spanish (International)|Espanyol (internacional)
SSH access is disabled|L'accés SSH està desactivat
SSH access is enabled|L'accés SSH està habilitat
Stream Description|Descripció del corrent
Streaming media|Streaming de mitjans de comunicació
Submit|Presentar
Submitting your translations to the LibreServer project|Enviant les vostres traduccions al projecte LibreServer
Swedish|Suec
System Monitor|Monitor del sistema
Systems may be temporarily unavailable in the next few minutes|Els sistemes poden estar temporalment inaccessibles en els propers minuts
Tagalog|Tagalog
Tamil|Tamil
Thai|Tailandès
Thankyou for choosing the LibreServer home internet appliance|Gràcies per triar l'electrodomèstic a Internet de LibreServer
The account will now be removed. This may take a minute or two. For details see:|El compte s'eliminarà ara. Això pot trigar un minut o dos. Per obtenir més informació, consulteu:
The classic low bandwidth chat system|El clàssic sistema de xat de baix ample de banda
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|El sistema LibreServer no està dirigit principalment a empreses o institucions, però si sou una empresa d'una sola persona o un professional independent, teniu la possibilitat d'executar el vostre propi sistema de comptabilitat i mantenir les dades privades i també una còpia de seguretat és útil. Acaunting proporciona un bon sistema basat en web per a comptes de petites empreses, i també és bastant útil en un navegador web mòbil.
A new member is being added. This may take a minute or two.|S'està afegint el nou usuari. Escriure o desar la seva contrasenya.
The passwords do not match|Les contrasenyes no coincideixen
There are a few things to know about using the federated wiki.|Hi ha algunes coses per saber sobre l'ús de la wiki federada.
There are no apps installed. Select the plus button above to install new apps.|No hi ha cap aplicació instal·lada. Seleccioneu el botó de més a sobre per instal·lar noves aplicacions.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Aquesta aplicació pot ser útil si teniu un nou fill o servei de mainadera. Ajuda als cuidadors a fer un seguiment del somni, alimentació, canvis de bolquers i temps d'abdominals per conèixer i predir les necessitats del nadó sense tant treball d'endevina.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Es tracta d'un sistema de servidor que us permet executar aplicacions d'Internet, com ara un bloc o una xarxa social federada.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Aquest és sens dubte el tipus de dades que és possible que vulgueu mantenir a la privadesa i fora d'empreses que de qualsevol altra manera podrien utilitzar la vigilància de les dades de l'aplicació dels pares per intentar culpar-vos en la compra de tot tipus de ferralla que realment no necessiteu o no podeu permetre's .
This is your new password|Aquesta és la vostra nova contrasenya
This may take a few minutes.|Això pot trigar uns quants minuts.
This may take a minute or two. For details see:|Això pot trigar un minut o dos. Per obtenir més informació, consulteu:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Aquest sistema no té la intenció d'emetre's a grans públics i el límit superior dels oients s'estableix a deu. Per tant, un grup de família i amics.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Això farà una còpia de seguretat de les claus que xifren les còpies de seguretat, protegint-les contra pèrdues o exposicions accidentals. Heu de mantenir aquest disc en un lloc segur, separat d'altres còpies de seguretat.
This will restore the keys used to encrypt backups.|Això restaurarà les claus utilitzades per xifrar les còpies de seguretat.
To add a new paragraph use the + button|Per afegir un nou paràgraf feu servir el botó +
To claim/fork a page from another server click on the flag icon|Per reclamar / tancar una pàgina d'un altre servidor, feu clic a la icona de la bandera
To edit a paragraph double click on it|Per editar un paràgraf feu doble clic
To remove a paragraph just delete all of its text|Per eliminar un paràgraf, només heu d'esborrar tot el text
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Per carregar els fitxers de música, instal·leu Syncthing i copieu els directoris de l'àlbum a ~ / Sync / music_upload, després dins de Koel aneu a la configuració i escaneu el directori / música
Tor Bridges|Tor Bridges
Translate|Traduir
Translations|Traduccions
Turkish|Turc
Type: SRV|Tipus: SRV
Ukrainian|Ucraïnès
Uncheck use global user information.|Desmarqueu l'ús de la informació global de l'usuari.
Uninstall|Desinstal·lació
Update|Actualització
Updates settings changed|S'ha canviat la configuració de les actualitzacions
Upgrade|Actualització
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Les actualitzacions es realitzen automàticament. No cal que comenceu manualment d'aquesta manera, excepte en rares circumstàncies
Upload|Carrega
URL to upload from|URL a carregar des de
USB drive format has failed|El format de la unitat USB ha fallat
USB drive format in progress|El format de la unitat USB en progrés
USB drive format is complete|S'ha completat el format de la unitat USB
Username: |Nom d'usuari:
Username: admin|Nom d'usuari: administrador
Members|Usuaris
Using your preferred editor|Utilitzant el vostre editor preferit
Video broadcast|Emissió de vídeo
Vietnamese|Vietnamita
Voice chat|Xat de veu
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|ADVERTÈNCIA: AQUESTA ESBORRARÀ TOT EL CONTINGUT DE LA UNITAT USB
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Ho sentim, però el nom d'usuari que heu proporcionat no és adequat. Comproveu que no contingui espais, és minúscula i, com a mínim, 3 caràcters de longitud.
Web publishing system|Sistema de publicació web
When done editing click on the wiki button again|Quan acabi l'edició, torneu a fer clic al botó Wiki
When it's done it will appear on the apps screen|Quan estigui fet, apareixerà a la pantalla d'aplicacions
