About|Om
Click on "add new" to add a new server and enter the domain name or onion address for the LibreServer, your username (which can be anything) and the VoIP server password which is the same as the password you set up the box with. Accept the self-signed SSL certificate if you don't have a Let's Encrypt certificate set up for your default domain. You are now ready to chat.|Klik på "Tilføj nyt" for at tilføje en ny server og indtast domænenavnet eller løgadressen til LibreServer, dit brugernavn (som kan være noget) og VoIP-serverens adgangskode, som er det samme som det kodeord, du opretter boksen med. Accepter det selvsignerede SSL-certifikat, hvis du ikke har et Lad os kryptere certifikat oprettet til dit standard domæne. Du er nu klar til at chatte.
Click on the lock icon at the bottom of the screen and enter the password. It should then appear unlocked. If you don't unlock then any edits you make won't be saved.|Klik på låsikonet nederst på skærmen og indtast adgangskoden. Det skal så vises ulåst. Hvis du ikke låser op, gemmes eventuelle redigeringer, du ikke foretager.
Collaborative document editor|Samarbejdsdokumenteditor
Confirm backup password|Bekræft backupadgangskode
Continue|Blive ved
Copy and paste the translations file and select 'update'.|Kopier og indsæt oversættelsesfilen og vælg 'opdatering'.
Copy and paste the translations file into your favorite editor.|Kopier og indsæt oversættelsesfilen i dit yndlingsredaktør.
Copy and paste this into an email or other messaging app and send it to the LibreServer project.|Kopier og indsæt dette i en e-mail eller en anden messaging-app og send den til LibreServer-projektet.
CPU temperature|CPU temperatur
CPU usage|CPU brug
Croatian|Kroatisk
Czech|tjekkisk
Danish|dansk
DAT Server|DAT Server
Databaseless blogging|Databaseløs blogging
Databaseless wiki|Databaseløs wiki
diagnostics|diagnostik
diagnostics log|diagnostik logfil
Different versions of the same page on different servers are represented by boxes at the bottom right of the screen. You can double click on them to see the different versions, and use the flag icon to fork if you prefer that version|Forskellige versioner af den samme side på forskellige servere er repræsenteret af bokse nederst til højre på skærmen. Du kan dobbeltklikke på dem for at se de forskellige versioner, og brug flagikonet til at gaffel, hvis du foretrækker den version
Disk I/O Speed|Disk I / O-hastighed
Disk space used|Anvendt diskplads
DNS setup|DNS opsætning
Domain/User Blocking|Domæne / Bruger blokering
Domain:|Domæne:
Domain|Domæne
Dutch|hollandsk
Dynamic DNS|Dynamisk DNS
Edit your translations. The structure of this file is very simple. On the left is English text and on the right is translated text, with the vertical line character as a separator.|Rediger dine oversættelser. Strukturen af ​​denne fil er meget enkel. Til venstre er engelsk tekst og til højre oversættes tekst, med lodret linjetegn som separator.
Edit, add or remove blocked domains or users. This applies to Email and XMPP addresses|Rediger, tilføj eller fjern blokerede domæner eller brugere. Dette gælder for e-mail- og XMPP-adresser
Edith enable login|Edith aktivere login
Email system|Email system
Email/XMPP: USEREMAIL|Email / XMPP: USEREMAIL
Enable access via secure shell?|Aktivér adgang via sikker shell?
Enable Updates|Aktivér opdateringer
English|engelsk
English (US)|Engelsk (amerikansk)
Ensure that dat files are always available|Sørg for, at dat-filer altid er tilgængelige
Ensure that tor is installed onto your local system:|Sørg for at tor er installeret på dit lokale system:
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|Indtast en etiket (som kan være hvilket som helst navn du vælger til serveren), LibreServers standarddomæne eller helst mumble løgadressen, dit brugernavn (som også kan være noget) og mumbleadgangskoden, som er den samme som den ene Du har oprindeligt oprettet kassen med. Forlad portnummeret uændret.
Enter a password which will be used to protect the backup|Indtast et kodeord, der bruges til at beskytte backupen
Enter first and second nicknames and check connect to this network on startup.|Indtast første og andet kælenavn og tjek forbindelsen til dette netværk ved opstart.
Estonian|estisk
Everything installed will be lost|Alt installeret vil gå tabt
Extremely simple note taking|Ekstremt enkel notering
Factory reset is in progress|Fabriksåbning er i gang
Farsi|Farsi
Favicon|favicon
Federated image sharing|Forbundet billeddeling
Federated microblogging|Federated microblogging
Federated social network|Forbundet socialt netværk
Federated wiki|Forbundet wiki
File storage and sync|Fillagring og synkronisering
File synchronization|Filsynkronisering
Filipino|filipino
Finnish|Finsk
First ensure that tor is installed. Within a terminal:|Sørg først for at tor er installeret. Inden for en terminal:
For details see the diagnostics|For detaljer se diagnostik
For details see:|For detaljer se:
For further information see the website at https://libreserver.org|For yderligere information se hjemmesiden på https://libreserver.org
For the initial login use username: admin password admin|For den første login bruger brugernavn: admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|For Jabber ID indtast e-mail-adressen fra dine LibreServer brugerindstillinger
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|For adgangskoden skal du bruge den adgangskode, som du oprindeligt skrev ned eller lagret under opsætningen af ​​LibreServer-systemet
Forward port 80 and 443 from your internet router|Forsend port 80 og 443 fra din internetrouter
Forward the following ports from your internet router:|Videresend følgende porte fra din internetrouter:
Forward the port 64738 from your internet router|Viderestil port 64738 fra din internetrouter
Forward the port 6697 from your internet router|Viderestil port 6697 fra din internetrouter
Forward the port 8448 from your internet router|Viderestil port 8448 fra din internetrouter
FreeDNS code:|FreeDNS kode:
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer startede i 2013. Det var oprindeligt baseret på Beaglebone Black hardware og inspireret af FreedomBox ideen om en billig og nem at administrere internet server til hjemmet.
French|fransk
French (Canada)|Fransk (canada)
From the initial screen select 'settings' then 'language'.|Fra den indledende skærm vælg 'indstillinger' og derefter 'sprog'.
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|Fra menuen vælg 'Konfigurer' og derefter 'Indstillinger'. Marker afkrydsningsfeltet 'Avanceret', og vælg derefter 'Netværk'. Vælg 'Force TCP mode' og proxy type 'Socks5'. Hostname skal indstilles til 'localhost' og porten skal være 9050.
Gaelic|gælisk
Gallego|Gallego
Georgian|georgisk
German|tysk
German (Personal)|Tysk (personlig)
Git repo management|Git repo management
Go Back|Gå tilbage
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|Gå tilbage til F-droid-startskærmen og opdatere lagrene ved at skubbe nedad. Du får se det sige "opdatering af lagre". Det kan tage et par minutter.
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|Gå tilbage til startskærmen i samtaleprogrammet, vælg menuen igen og derefter 'Administrer konti'. Tilføj en konto ved at vælge personikonet med plus ved siden af ​​det.
Gogs allow new registrations|Gogs tillader nye registreringer
Greek|græsk
Gujarati|Gujarati
Have you written down or saved the login credentials and removed any backup drives from the system?|Har du skrevet ned eller gemt loginoplysninger og fjernet eventuelle backupdrev fra systemet?
Hebrew|Hebrew
Help|Hjælp
Helps caregivers track sleep, feedings, diaper changes, and tummy time|Hjælper omsorgspersoner med at spore søvn, feedings, bleerændringer og maven tid
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|Hjælper plejepersoner med at spore søvn, feedings, blørændringer og maven tid til at lære om og forudsige babys behov uden så meget gæt arbejde.
here|her
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat (tidligere XChat) er kompatibel med proxying via Tor og giver dermed den bedste sikkerhed ved tilslutning til din IRC-server. Det giver dig mulighed for at oprette forbindelse til din IRC-serverens løgadresse.
Hindi|Hindi
How to do translations|Sådan foretages oversættelser
Hungarian|ungarsk
Icecast|Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast er ganske CPU-intensiv. For eksempel på et A20-baseret system tager det omkring 70% af CPU-ressourcen. Dette er noget at være opmærksom på, hvis du kører flere apps
Icecast is updating|Icecast opdateres
Icelandic|islandsk
Icons on the website and user interfaces are by Rashid Mhar.|Ikoner på hjemmesiden og brugergrænseflader er af Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Hvis du er en Emacs-bruger, kan du også oprette forbindelse til din IRC-server via Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Hvis du bruger løgadressen, skal du bruge SSL, og markeringen af ​​transportkryptering sker via selve løgadressen.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Hvis du bruger det almindelige domænenavn (clearnet / ICANN), så sørg for, at Brug SSL er markeret.
If you don't have a domain then just select Continue|Hvis du ikke har et domæne, skal du bare vælge Fortsæt
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Hvis du ikke har Orbot installeret, skal du aktivere The Guardian Project-depotet fra drop-down menuen og installere det.
If you don't need a password then just leave this blank and select Update|Hvis du ikke har brug for en adgangskode, skal du bare lade dette være tomt og vælge Opdater
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Hvis du har en USB-tilsluttet, skal du sætte den i, indtil du kan bekræfte, at strømmen fungerer
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Hvis du har problemer med at få adgang til løgadresser, indsæt nogle Tor broer nedenfor. Se https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Hvis du bruger mobilappen Element til at få adgang til din Matrix homeserver, kan du forbedre batteriets ydeevne betydeligt ved at gå til indstillingerne og ændre 'Synkroniser forespørgsels timeout' til 30 sekunder og 'Forsink mellem to synkroniseringsforespørgsler' til 600 sekunder. Det vil også hjælpe med at slukke for 'msgs i gruppechat', da det vil undgå at få en besked, når der sker en gruppechatbegivenhed, som derefter vækker skærmen
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Hvis dine oversættelser accepteres, vises de senere i upstream-projektet og kan bruges af nogen.
Import|Importere
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|I en Tor-browser navigerer du til løgadressen til Icecast, og du kan derefter afspille streamen
Indonesian|Indonesisk
Initial login|Indledende login
Initial Setup|Indledende opsætning
Install|Installere
Install APPNAME now?|Installer APPNAME nu?
Install F-Droid|Installer F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Installer HexChat og opsæt dets konfigurationsfil. Forudsat at du kører på Debian eller Arch-baseret distro, kan dette gøres på din lokale maskine med:
Installation|Installation
Installing in Emacs|Installation i Emacs
Installing on Desktop|Installation på skrivebordet
Invalid Password|forkert kodeord
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC er nyttig til multi-user chat. Det klassiske brug er tilfældet for softwareudvikling, hvor mange ingeniører måske skal koordinere deres aktiviteter, men det er også nyttigt for møder, fester og generel socialisering.
It can be shown using the command:|Det kan vises ved hjælp af kommandoen:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Det er muligt at tilføje jingles som vil blive afspillet mellem spor med tilfældige intervaller. Hvis nogle af lydfilerne på dit USB-drev hedder jingle_something.mp3 så bliver de brugt som jingles
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Det anbefales, at du tilføjer en SRV-post til Matrix til din DNS-opsætning. Hvordan du gør dette afhænger af din dynamiske DNS-udbyder og deres web-interface. På FreeDNS i underdomæneindstillingerne ud over underdomænet, som du bruger til matrixserveren, oprettes en ekstra post som følger:
Italian|italiensk
Japanese|japansk
Jingles|Jingles
Kannada|kannaresisk
Keep changes|Hold ændringer
Khmer|Khmer
Korean|Korean
Language|Sprog
Lao|Lao
Latvian|lettisk
Lithuanian|litauisk
Malayalam|malayalam
Malaysian|malaysiske
Manually upgrade now ?|Manuel opgradering nu?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown blogging
Matrix|Matrix
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Måske i stedet for at redigere inden for denne brugergrænseflade foretrækker du at bruge din egen editor. Det kan gøres som følger:
Media broadcast|Medieudsendelse
Media storage and broadcast|Medieopbevaring og udsendelse
Mongolian|Mongolsk
Mumble|Mumle
Music player|Musik afspiller
No|Ingen
No SSH public key was provided|Der blev ikke givet nogen SSH-nøgle
none|ingen
Norwegian|Norsk
Norwegian (Primary)|Norsk (primær)
Not Connected|Ikke forbundet
Note taking|Tage noter
Nynorsk|Nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Når du er på oversættelsesskærmen (se de tre første trin i det første afsnit ovenfor), vælg 'send' knappen.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Når du er på oversættelsesskærmen (se de tre første trin i det første afsnit ovenfor), vælg den sprogkode, der vises øverst på skærmen (normalt slutter den med UTF-8). Du kan så se den rå oversættelsesfil.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Åbn appen F-droid og vælg 'Indstillinger' og derefter 'Repositories'. Sørg for, at 'Guardian Project Official Releases' er aktiveret
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Åbn indstillingerne. Vælg 'Generelt' og derefter 'Connect via Tor'. Dette vil give bedre beskyttelse, hvilket gør det vanskeligere for modstandere at vide, hvem der taler med hvem. Hvis forbindelsen via Tor er upålidelig og forårsager nedbrud, skal du vælge "Connect via Tor" på "Generelle indstillinger" og derefter bare bruge dit almindelige domænenavn.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Åbn appen Konversationer og vælg menuen (tre prikker), rul ned og vælg 'Ekspertindstillinger' og vælg derefter 'Connect to Tor'
or|eller
Paragraphs can be dragged up and down to change their order, or moved between pages|Punkter kan trækkes op og ned for at ændre deres ordre eller flyttes mellem sider
Password|Adgangskode
Password: |Adgangskode:
Paste your ssh public key here|Indsæt din ssh offentlige nøgle her
Paste your translations file below|Indsæt dine oversættelsesfil under
Peertube allow new registrations|Peertube tillader nye registreringer
Personal accounting|Personlig regnskabsføring
Personal or small business accounting|Personlig eller lille virksomhed regnskabsmæssig
Photo album|fotoalbum
Please enter their username. This should be lower case only and with no spaces.|Indtast venligst deres brugernavn. Dette bør kun være lille og uden mellemrum.
Please insert a USB drive|Indsæt venligst et USB-drev
Please insert the USB drive to restore from now|Indsæt venligst USB-drevet for at gendanne fra nu af
Please insert your backup USB drive now|Indsæt venligst dit backup USB-drev nu
Please specify stream name, description and genre|Angiv venligst navn, beskrivelse og genre
Please wait while your appliance is configuring|Vent venligst mens dit apparat er konfigureret
Please write down or save these credentials|Skriv venligst eller gem disse legitimationsoplysninger
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma tillader nye registreringer
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Pleroma-indstillinger
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Slut USB-drevet til din server, og gå til Icecast-appindstillingerne, tilføj nogle detaljer om din afspilningsliste, og vælg 'Opdater'
Polish|Polere
Ports|Havne
Portuguese|portugisisk
Portuguese (Brazil)|Portugisisk (Brasilien)
Power|Strøm
Press the plus button to add a Mumble server.|Tryk på plusknappen for at tilføje en Mumble-server.
Proceed with backup?|Fortsæt med backup?
Proceed with drive format?|Fortsæt med drevformat?
Proceed with reset?|Fortsæt med nulstilling?
Proceed with restore?|Fortsæt med gendannelse?
RAM used|RAM bruges
Remote access|Fjernadgang
Remove|Fjerne
Remove any backup drives now|Fjern eventuelle backup drev nu
Remove APPNAME now?|Fjern APPNAME nu?
Remove user USERNAME?|Fjern bruger USERNAME?
Removing user account|Fjernelse af brugerkonto
Reset is in progress|Nulstilling er i gang
Reset to factory|Nulstil til fabrikken
RESET TO FACTORY DEFAULTS|TILBAGE TIL FABRIKAFVIKLINGER
Restart|Genstart
Restore|Gendan
Restore has failed|Gendan har mislykkedes
Restore in progress|Gendannelse pågår
Restore is complete|Gendan er færdig
Restore of keys failed|Gendannelse af nøgler mislykkedes
Restore of keys is complete|Genoprettelse af nøgler er afsluttet
Restore password|Gendan adgangskode
Restore your keys now?|Gendan dine nøgler nu?
Restoring backup keys|Gendannelse af backup nøgler
Romanian|rumænsk
RSS Reader|RSS Reader
Run HexChat.|Kør HexChat.
Running backup of keys|Kører backup af nøgler
Russian|Russisk
Samoan|Samoan
Search again for 'Conversations' (not the legacy version), then select 'install'|Søg igen for 'Samtaler' (ikke den gamle version), og vælg derefter 'installer'
Search for and install Plumble.|Søg efter og installer Plumble.
Secure realtime collaboration|Sikker realtime samarbejde
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Sikre realtime samarbejde med dokumenter, præsentationer, tegning og afstemning. Dokumenter er flygtige, og medmindre du gemmer dem, slettes du, når du lukker browseren.
Secure Shell|Secure Shell
Select|Vælg
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Vælg 'Anvend' og 'Ok', så på menuen 'Server' og 'Connect'.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Vælg 'Næste' for at oprette kontoen. Hvis eveything virker efter et par minutter, skal du se ændring af konto status til 'online' i grønt
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Vælg søgning (forstørrelsesglasikon) og søg efter 'Orbot' (ikke den gamle version), og vælg derefter 'installer'
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Vælg knappen 'oversæt'. Du vil se en ny skærm med engelsk tekst til venstre og oversat tekst til højre.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Vælg fanen Autojoin Channels, klik på Add, og indtast #libreserver som kanalnavn.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Vælg posten i serverens boks, og indtast derefter ircaddress.onion/6697 eller mydomainname/6697, og tryk på Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Vælg wiki-knappen nederst på skærmen ved siden af ​​sider for at aktivere eller deaktivere redigering.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Hvis du vælger serveren ved at trykke på den, forbinder du dig til serveren, så du kan chatte med andre tilsluttede brugere
Serbian|serbisk
Setting up on a laptop|Opsætning på en bærbar computer
Setting up on Android|Opsætning på Android
Setting up with an Android phone|Opsætning med en Android-telefon
Settings|Indstillinger
Setup on Android|Opsætning på Android
Shortcode|Lær
Shutdown|Lukke ned
Shutting down|Lukker ned
Simple kanban|Enkel kanban
Simple Markdown blogging|Simple Markdown blogging
Simple notes|Enkle noter
Slovak|slovakisk
Slovenian|slovensk
Somali|somalisk
Spanish (International)|Spansk (international)
SSH access is disabled|SSH-adgang er deaktiveret
SSH access is enabled|SSH-adgang er aktiveret
Stream Description|Stream Beskrivelse
Streaming media|Streaming media
Submit|Indsend
Submitting your translations to the LibreServer project|Indsende dine oversættelser til LibreServer projektet
Swedish|Svensk
System Monitor|System Monitor
Systems may be temporarily unavailable in the next few minutes|Systemer kan være midlertidigt utilgængelige i de næste par minutter
Tagalog|Tagalog
Tamil|Tamil
Thai|Thai
Thankyou for choosing the LibreServer home internet appliance|Tak fordi du valgte LibreServer Home Internet Appliance
The account will now be removed. This may take a minute or two. For details see:|Kontoen vil nu blive fjernet. Det kan tage et øjeblik eller to. For detaljer se:
The classic low bandwidth chat system|Det klassiske system med lav båndbredde chat
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|LibreServer systemet er ikke primært rettet mod virksomheder eller institutioner, men hvis du er en enkeltperson virksomhed eller freelancer så har du evnen til at køre dit eget regnskabssystem og holde dataene private og også sikkerhedskopieret nyttigt. Akaunting tilbyder et flot web-baseret system til små virksomheder, og det er også ret anvendeligt i en mobil webbrowser.
A new member is being added. This may take a minute or two.|Den nye bruger tilføjes. Skriv ned eller gem deres adgangskode.
The passwords do not match|Passordene stemmer ikke overens
There are a few things to know about using the federated wiki.|Der er et par ting at vide om at bruge den federerede wiki.
There are no apps installed. Select the plus button above to install new apps.|Der er ingen apps installeret. Vælg plusknappen ovenfor for at installere nye apps.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Denne app kan være nyttig, hvis du har et nyt barn eller børnepasning pligter. Det hjælper plejepersoner med at spore søvn, fodring, blørændringer og maven tid for at lære om og forudsige babyens behov uden så meget gæt arbejde.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Dette er et serversystem, der gør det muligt at køre internetapplikationer som en blog eller et fødereret socialt netværk.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|Dette er helt sikkert den type data, som du måske vil beholde privat og væk fra virksomheder, der ellers kunne bruge overvågning af forældreappdata for at forsøge at skyld dig i at købe alle mulige junk, som du ikke rigtig har brug for eller ikke har råd til .
This is your new password|Dette er din nye adgangskode
This may take a few minutes.|Det kan tage et par minutter.
This may take a minute or two. For details see:|Det kan tage et øjeblik eller to. For detaljer se:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Dette system er ikke beregnet til at udsende til store publikum, og den øvre grænse for lyttere er sat til ti. Så en familie og venner skriver gruppe.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Dette vil lave en sikkerhedskopi af nøglerne, som krypterer dine sikkerhedskopier, beskytter dem mod utilsigtet tab eller eksponering. Du bør holde dette drev på et sikkert sted, adskilt fra andre sikkerhedskopier.
This will restore the keys used to encrypt backups.|Dette vil gendanne de nøgler, der bruges til at kryptere sikkerhedskopier.
To add a new paragraph use the + button|For at tilføje et nyt afsnit skal du bruge knappen +
To claim/fork a page from another server click on the flag icon|For at kræve / fork en side fra en anden server, klik på flagikonet
To edit a paragraph double click on it|For at redigere et stykke dobbeltklik på det
To remove a paragraph just delete all of its text|Hvis du vil fjerne et afsnit, skal du bare slette hele teksten
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|For at uploade musikfiler skal du installere Syncthing og derefter kopiere albumkataloger til ~ / Sync / music_upload, og derefter i Koel gå til indstillinger og scan mappen / musik
Tor Bridges|Tor Bridges
Translate|Oversætte
Translations|Oversættelser
Turkish|tyrkisk
Type: SRV|Type: SRV
Ukrainian|ukrainsk
Uncheck use global user information.|Fjern markeringen af ​​brug af globale brugeroplysninger.
Uninstall|Afinstaller
Update|Opdatering
Updates settings changed|Opdateringsindstillingerne er ændret
Upgrade|opgradering
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Opgraderinger sker automatisk. Du behøver ikke at starte dem manuelt som dette, undtagen i sjældne tilfælde
Upload|Upload
URL to upload from|URL til upload fra
USB drive format has failed|USB-drevformat er mislykket
USB drive format in progress|USB-drevformat i gang
USB drive format is complete|USB-drevformat er færdigt
Username: |Brugernavn:
Username: admin|Brugernavn: admin
Members|Brugere
Using your preferred editor|Brug din foretrukne editor
Video broadcast|Video-udsendelse
Vietnamese|Vietnamesisk
Voice chat|Voice chat
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|ADVARSEL: Dette vil slette alt indhold i USB-drevet
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Vi beklager, men brugernavnet du gav er ikke egnet. Kontroller, at det ikke indeholder mellemrum, er små bogstaver og mindst 3 tegn i længden.
Web publishing system|Web publishing system
When done editing click on the wiki button again|Når du er færdig med at redigere, klik på wiki-knappen igen
When it's done it will appear on the apps screen|Når det er færdigt, vises det på apps-skærmen
When removal is finished it will disappear from apps|Når fjernelsen er færdig, forsvinder den fra apps
When you are done with translating select the 'import' button on the translations screen.|Når du er færdig med oversættelsen, vælg 'import'-knappen på oversættelsesskærmen.
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Når du har tilføjet dine oversættelser, skal du vælge knappen 'opdatering'. Dette opdaterer oversættelsesfilen for det valgte sprog. Bemærk, at dette ikke ændrer det aktuelle sprog inden for brugergrænsefladen. Hvis du vil gøre det, skal du gå tilbage til sprogskærmen, vælg et sprog og derefter knappen 'vælg'.
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Uanset hvilken skærm du er i øjeblikket, kan du komme tilbage til forrige skærm ved at klikke eller trykke på LibreServer-logoet øverst.
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|Med Icecast kan du køre din egen internetradio stream fra en løgadresse. Vær altid forsigtig med ophavsretlige problemer og helst holde fast i Creative Commons musik eller musikfiler, som du ejer.
Within the network list click, Add and enter your domain name then click Edit.|Klik på Tilføj, og indtast dit domænenavn i netværkslisten, og klik derefter på Rediger.
Within the Password field enter the password which you originally set up the box with.|Indtast adgangskoden, som du oprindeligt indstillede boksen med, i feltet Adgangskode.
