About|关于
Enter a label (which can be any name you choose for the server), the default domain name of the LibreServer or preferably the mumble onion address, your username (which can also be anything) and the mumble password which is the same as the one you originally set up the box with. Leave the port number unchanged.|输入一个标签（可以是您为服务器选择的任何名称），LibreServer的默认域名，或者最好是嘟嘟洋葱地址，您的用户名（也可以是任何内容）和嘟嘟密码与该密码相同你最初设置的盒子。保持端口号不变。
Enter a password which will be used to protect the backup|输入用于保护备份的密码
Enter first and second nicknames and check connect to this network on startup.|输入第一个和第二个昵称，并在启动时检查连接到此网络。
Estonian|爱沙尼亚语
Everything installed will be lost|安装的一切都将丢失
Extremely simple note taking|非常简单的笔记
Factory reset is in progress|恢复出厂设置正在进行中
Farsi|波斯语
Favicon|网站图标
Federated image sharing|联合图像共享
Federated microblogging|联邦微博
Federated social network|联邦社交网络
Federated wiki|联邦维基
File storage and sync|文件存储和同步
File synchronization|文件同步
Filipino|菲律宾
Finnish|芬兰
First ensure that tor is installed. Within a terminal:|首先确保安装了tor。在终端内：
For details see the diagnostics|有关详细信息，请参阅诊断
For details see:|详情见：
For further information see the website at https://libreserver.org|有关详细信息，请访问https://libreserver.org网站
For the initial login use username: admin password admin|对于初始登录，请使用用户名：admin password admin
For the Jabber ID enter the email address from your LibreServer user settings|对于Jabber ID，请输入LibreServer用户设置中的电子邮件地址
For the password use the password which you initially wrote down or stored during the setup of the LibreServer system|对于密码，请使用最初在LibreServer系统设置期间记下或存储的密码
Forward port 80 and 443 from your internet router|从您的互联网路由器转发端口80和443
Forward the following ports from your internet router:|从您的互联网路由器转发以下端口：
Forward the port 64738 from your internet router|从您的互联网路由器转发端口64738
Forward the port 6697 from your internet router|从您的互联网路由器转发端口6697
Forward the port 8448 from your internet router|从您的互联网路由器转发端口8448
FreeDNS code:|FreeDNS代码：
LibreServer started in 2013. It was initially based on the Beaglebone Black hardware and inspired by the FreedomBox idea of an inexpensive and simple to manage internet server for the home.|LibreServer始于2013年。它最初基于Beaglebone Black硬件，灵感来自FreedomBox的想法，即为家庭提供廉价且易于管理的互联网服务器。
French|法国
French (Canada)|法语（加拿大）
From the initial screen select 'settings' then 'language'.|从初始屏幕选择“设置”，然后选择“语言”。
From the menu select 'Configure' then 'Settings'. Select the 'Advanced' checkbox then select 'Network'. Select 'Force TCP mode' and proxy type 'Socks5'. Hostname should be set to 'localhost' and port should be 9050.|从菜单中选择“配置”，然后选择“设置”。选中“高级”复选框，然后选择“网络”。选择“强制TCP模式”和代理类型“Socks5”。主机名应设置为“localhost”，端口应为9050。
Gaelic|盖尔
Gallego|加列戈
Georgian|格鲁吉亚
German|德语
German (Personal)|德语（个人）
Git repo management|Git回购管理
Go Back|回去
Go back to the F-droid initial screen and update the repositories by swiping downwards. You'll see it say "updating repositories". This might take a few minutes.|返回F-droid初始屏幕并向下滑动以更新存储库。你会看到它说“更新存储库”。这可能需要几分钟时间。
Go back to the initial screen of the Conversations app, select the menu again, then 'Manage accounts'. Add an account by selecting the person icon with the plus next to it.|返回“对话”应用的初始屏幕，再次选择菜单，然后选择“管理帐户”。通过选择旁边带有加号的人员图标来添加帐户。
Gitea allow new registrations|Gitea允许新的注册
Greek|希腊语
Gujarati|古吉拉特语
Have you written down or saved the login credentials and removed any backup drives from the system?|您是否已记下或保存了登录凭据并从系统中删除了所有备份驱动器？
Hebrew|希伯来语
Help|帮帮我
Helps caregivers track sleep, feedings, diaper changes, and tummy time|帮助护理人员跟踪睡眠，喂养，尿布变化和肚子时间
Helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict babys needs without as much guess work.|帮助护理人员跟踪睡眠，喂养，尿布变化和肚子时间，以了解和预测宝宝的需求，而无需尽可能多的猜测工作。
here|这里
HexChat (formerly XChat) is compatible with proxying via Tor and so provides the best security when connecting to your IRC server. It will allow you to connect to your IRC server's onion address.|HexChat（以前称为XChat）与Tor代理兼容，因此在连接到IRC服务器时提供最佳安全性。它将允许您连接到IRC服务器的洋葱地址。
Hindi|印地语
How to do translations|怎么做翻译
Hungarian|匈牙利
Icecast|的Icecast
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast非常占用CPU。例如，在基于A20的系统上，它占用了大约70％的CPU资源。如果您正在运行多个应用程序，请注意这一点
Icecast is updating|Icecast正在更新
Icelandic|冰岛的
Icons on the website and user interfaces are by Rashid Mhar.|网站和用户界面上的图标由Rashid Mhar提供。
If you are an Emacs user then you can also connect to your IRC server via Emacs.|如果您是Emacs用户，则还可以通过Emacs连接到IRC服务器。
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|如果您正在使用洋葱地址，则应取消选中使用SSL，并通过洋葱地址本身处理传输加密。
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|如果您使用普通域名（clearnet / ICANN），请确保选中使用SSL。
If you don't have a domain then just select Continue|如果您没有域，则只需选择继续
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|如果您没有安装Orbot，请从下拉菜单中启用Guardian Project存储库并进行安装。
If you don't need a password then just leave this blank and select Update|如果您不需要密码，请将其留空并选择更新
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|如果您已插入USB，请将其插入，直到您可以确认该流正常工作
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|如果您无法访问洋葱地址，请在下方粘贴一些Tor桥。请参阅https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|如果您使用Element移动应用程序访问Matrix主服务器，那么您可以通过转到设置并将“同步请求超时”更改为30秒并将“两个同步请求之间的延迟”更改为600秒来显着提高电池性能。关闭“群组聊天中的消息”也会有所帮助，因为它会避免在群聊事件发生时收到通知，然后唤醒屏幕
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|如果您的翻译被接受，它们将在以后出现在上游项目中并且可供任何人使用。
Import|进口
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|在Tor浏览器中，导航到Icecast的洋葱地址，然后您可以播放该流
Indonesian|印度尼西亚
Initial login|初次登录
Initial Setup|初始设置
Install|安装
Install APPNAME now?|立即安装APPNAME？
Install F-Droid|安装F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|安装HexChat并设置其配置文件。假设您在基于Debian或Arch的发行版上运行，可以在本地计算机上执行以下操作：
Installation|安装
Installing in Emacs|在Emacs中安装
Installing on Desktop|在桌面上安装
Invalid Password|无效的密码
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC对多用户聊天很有用。经典用例适用于软件开发，许多工程师可能需要协调他们的活动，但它对会议，聚会和一般社交活动也很有用。
It can be shown using the command:|可以使用以下命令显示：
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|可以添加将以随机间隔在曲目之间播放的jingles。如果USB驱动器上的某些音频文件名为jingle_something.mp3，那么它们将被用作jingles
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|建议您将Matrix的SRV记录添加到DNS设置中。如何执行此操作取决于您的动态DNS提供程序及其Web界面。在子域设置上的FreeDNS以及您用于矩阵服务器的子域之外，创建一个额外的条目，如下所示：
Italian|意大利
Japanese|日本
Jingles|顺口溜
Kannada|卡纳达语
Keep changes|保持变化
Khmer|高棉
Korean|朝鲜的
Language|语言
Lao|老挝
Latvian|拉脱维亚
Lithuanian|立陶宛
Malayalam|马拉雅拉姆语
Malaysian|马来西亚
Manually upgrade now ?|现在手动升级？
Maori (Ngai Tahu)|毛利人（Ngai Tahu）
Maori (Waikoto Uni)|毛利人（Waikoto Uni）
Markdown blogging|Markdown博客
Matrix|矩阵
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|也许您不想在此用户界面中进行编辑，而是希望使用自己的编辑器。这可以做到如下：
Media broadcast|媒体广播
Media storage and broadcast|媒体存储和广播
Mongolian|蒙
Mumble|咕哝
Music player|音乐播放器
No|没有
No SSH public key was provided|没有提供SSH公钥
none|没有
Norwegian|挪威
Norwegian (Primary)|挪威语（小学）
Not Connected|未连接
Note taking|做笔记
Nynorsk|尼诺斯克
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|进入翻译界面后（请参阅上面第一部分的前三个步骤），选择“提交”按钮。
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|进入翻译界面后（请参阅上面第一部分的前三个步骤），选择屏幕顶部显示的语言代码（通常以UTF-8结尾）。然后，您可以看到原始翻译文件。
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|打开F-droid应用程序，然后选择“设置”，然后选择“存储库”。确保启用“Guardian Project官方发布”
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|打开设置。选择“常规”，然后选择“通过Tor连接”。这将提供更好的保护，使对手更难以知道谁在与谁交谈。如果通过Tor连接不可靠并导致崩溃，则在“常规设置”中取消选择“通过Tor连接”，然后只使用普通域名。
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|打开Conversations应用程序并选择菜单（三个点），向下滚动并选择'Expert Settings'然后选择'Connect to Tor'
or|要么
Paragraphs can be dragged up and down to change their order, or moved between pages|可以上下拖动段落以更改其顺序，也可以在页面之间移动
Password|密码
Password: |密码：
Paste your ssh public key here|在此粘贴您的ssh公钥
Paste your translations file below|在下面粘贴您的翻译文件
Peertube allow new registrations|Peertube允许新注册
Personal accounting|个人会计
Personal or small business accounting|个人或小企业会计
Photo album|相片集
Please enter their username. This should be lower case only and with no spaces.|请输入他们的用户名。这应该只是小写，没有空格。
Please insert a USB drive|请插入USB驱动器
Please insert the USB drive to restore from now|请从现在开始插入USB驱动器进行恢复
Please insert your backup USB drive now|请立即插入备用USB驱动器
Please specify stream name, description and genre|请指定流名称，描述和流派
Please wait while your appliance is configuring|您的设备正在配置，请稍候
Please write down or save these credentials|请写下或保存这些凭据
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma允许新的注册
Pleroma Custom Emoji|Pleroma Custom Emoji
Pleroma Settings|Pleroma设置
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|将USB驱动器插入服务器，然后转到Icecast应用程序设置，添加有关播放列表的一些详细信息，然后选择“更新”
Polish|抛光
Ports|端口
Portuguese|葡萄牙语
Portuguese (Brazil)|葡萄牙语（巴西）
Power|功率
Press the plus button to add a Mumble server.|按加号按钮添加Mumble服务器。
Proceed with backup?|继续进行备份？
Proceed with drive format?|继续驱动格式？
Proceed with reset?|继续重置？
Proceed with restore?|继续还原？
RAM used|使用RAM
Remote access|远程访问
Remove|去掉
Remove any backup drives now|立即删除所有备份驱动器
Remove APPNAME now?|立即删除APPNAME？
Remove user USERNAME?|删除用户USERNAME？
Removing user account|删除用户帐户
Reset is in progress|重置正在进行中
Reset to factory|重置为工厂
RESET TO FACTORY DEFAULTS|重置工厂默认值
Restart|重新开始
Restore|恢复
Restore has failed|恢复失败
Restore in progress|正在恢复
Restore is complete|恢复完成
Restore of keys failed|恢复密钥失败
Restore of keys is complete|恢复密钥已完成
Restore password|恢复密码
Restore your keys now?|现在恢复你的钥匙？
Restoring backup keys|恢复备份密钥
Romanian|罗马尼亚
RSS Reader|RSS阅读器
Run HexChat.|运行HexChat。
Running backup of keys|运行密钥备份
Russian|俄语
Samoan|萨摩亚
Search again for 'Conversations' (not the legacy version), then select 'install'|再次搜索“对话”（不是旧版），然后选择“安装”
Search for and install Plumble.|搜索并安装Plumble。
Secure realtime collaboration|安全的实时协作
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|通过文档，演示文稿，绘图和投票实现安全的实时协作。文档是短暂的，除非您保存它们将在关闭浏览器时被删除。
Secure Shell|安全外壳
Select|选择
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|选择“应用”和“确定”，然后在“服务器”和“连接”菜单上。
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|选择“下一步”以创建帐户。如果eveything在几分钟后工作，您应该会看到帐户状态变为绿色的“在线”状态
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|选择搜索（放大镜图标）并搜索“Orbot”（不是旧版），然后选择“安装”
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|选择“翻译”按钮。您将看到左侧是英文文本的新屏幕，右侧是翻译文本。
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|选择“自动加入频道”选项卡，单击“添加”，然后输入#libreserver作为频道名称。
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|选择服务器框中的条目，然后输入ircaddress.onion/6697或mydomainname/6697并按Enter键。
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|选择屏幕底部，页面旁边的wiki按钮，以启用或禁用编辑。
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|按下它选择服务器然后将您连接到服务器，以便您可以与其他连接的用户聊天
Serbian|塞尔维亚
Setting up on a laptop|在笔记本电脑上设置
Setting up on Android|在Android上设置
Setting up with an Android phone|使用Android手机进行设置
Settings|设置
Setup on Android|在Android上安装
Shortcode|短代码
Shutdown|关掉
Shutting down|关机
Simple kanban|简单的看板
Simple Markdown blogging|简单的Markdown博客
Simple notes|简单的笔记
Slovak|斯洛伐克
Slovenian|斯洛文尼亚
Somali|索马里
Spanish (International)|西班牙语（国际）
SSH access is disabled|SSH访问被禁用
SSH access is enabled|SSH访问已启用
Stream Description|流描述
Streaming media|流媒体
Submit|提交
Submitting your translations to the LibreServer project|将您的翻译提交到LibreServer项目
Swedish|瑞典
System Monitor|系统监视器
Systems may be temporarily unavailable in the next few minutes|系统可能在接下来的几分钟内暂时无法使用
Tagalog|他加禄语
Tamil|泰米尔人
Thai|泰国
Thankyou for choosing the LibreServer home internet appliance|谢谢您选择LibreServer家庭互联网设备
The account will now be removed. This may take a minute or two. For details see:|该帐户现在将被删除。这可能需要一两分钟。详情见：
The classic low bandwidth chat system|经典的低带宽聊天系统
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|LibreServer系统并非主要针对公司或机构，但如果您是一个单独的公司或自由职业者，那么能够运行您自己的会计系统并将数据保密并备份也很有用。 Akaunting为小型企业帐户提供了一个很好的基于Web的系统，并且在移动Web浏览器中也非常有用。
A new member is being added. This may take a minute or two.|正在添加新用户。记下或保存他们的密码。
The passwords do not match|密码不匹配
There are a few things to know about using the federated wiki.|关于使用联合wiki，有几点需要了解。
There are no apps installed. Select the plus button above to install new apps.|没有安装应用程序。选择上面的加号按钮以安装新应用。
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|如果您有新的孩子或保姆职责，此应用程序可能会有用。它帮助护理人员跟踪睡眠，喂养，尿布变化和肚子时间，以了解和预测宝宝的需求，而无需进行大量的猜测工作。
This is a server system which enables you to run internet apps such as a blog or federated social network.|这是一个服务器系统，使您可以运行互联网应用程序，如博客或联合社交网络。
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|这肯定是您可能希望保密的数据类型，远离公司，否则他们可能会使用对育儿应用数据的监控来试图让您有罪地购买各种您实际上不需要或不负担的垃圾。
This is your new password|这是您的新密码
This may take a few minutes.|这可能需要几分钟的时间。
This may take a minute or two. For details see:|这可能需要一两分钟。详情见：
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|该系统不打算向大量观众广播，并且听众的上限设置为10。所以一个家庭和朋友类型组。
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|这将备份加密备份的密钥，防止意外丢失或暴露。您应该将此驱动器保存在安全的地方，与其他备份分开。
This will restore the keys used to encrypt backups.|这将恢复用于加密备份的密钥。
To add a new paragraph use the + button|要添加新段落，请使用+按钮
To claim/fork a page from another server click on the flag icon|要从另一台服务器声明/分叉页面，请单击标志图标
To edit a paragraph double click on it|要编辑段落，请双击它
To remove a paragraph just delete all of its text|要删除段落，只需删除其所有文本
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|要上传音乐文件，请安装Syncthing，然后将相册目录复制到〜/ Sync / music_upload，然后在Koel内转到设置并扫描目录/音乐
Tor Bridges|Tor Bridges
Translate|翻译
Translations|翻译
Turkish|土耳其
Type: SRV|类型：SRV
Ukrainian|乌克兰
Uncheck use global user information.|取消选中使用全局用户信息。
Uninstall|卸载
Update|更新
Updates settings changed|更新设置已更改
Upgrade|升级
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|升级自动发生。除非在极少数情况下，否则您不需要像这样手动启动它们
Upload|上传
URL to upload from|要上传的网址
USB drive format has failed|USB驱动器格式失败
USB drive format in progress|USB驱动器格式正在进行中
USB drive format is complete|USB驱动器格式已完成
Username: |用户名：
Username: admin|用户名：admin
Members|用户
Using your preferred editor|使用首选编辑器
Video broadcast|视频广播
Vietnamese|越南
Voice chat|语音聊天
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|警告：这将删除USB驱动器的所有内容
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|很抱歉，您提供的用户名不合适。检查它是否包含空格，是小写字母，长度至少为3个字符。
Web publishing system|网络出版系统
When done editing click on the wiki button again|完成编辑后再次单击wiki按钮
When it's done it will appear on the apps screen|完成后，它将显示在应用程序屏幕上
When removal is finished it will disappear from apps|删除完成后，它将从应用程序中消失
When you are done with translating select the 'import' button on the translations screen.|完成翻译后，选择翻译屏幕上的“导入”按钮。
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|添加翻译后，选择“更新”按钮。这将更新所选语言的翻译文件。请注意，这不会更改用户界面中的当前语言。如果要执行此操作，请返回语言屏幕，选择一种语言，然后选择“选择”按钮。
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|无论您当前使用哪种屏幕，都可以通过单击或按顶部的LibreServer徽标返回上一屏幕。
With Icecast you can run your own internet radio stream from an onion address. As always, be careful about copyright issues and preferably stick to Creative Commons music or music files that you own.|使用Icecast，您可以从洋葱地址运行自己的互联网广播流。与往常一样，请注意版权问题，最好坚持使用您拥有的Creative Commons音乐或音乐文件。
Within the network list click, Add and enter your domain name then click Edit.|在网络列表中单击，添加并输入您的域名，然后单击编辑。
Within the Password field enter the password which you originally set up the box with.|在密码字段中输入您最初设置框的密码。
Within the software center search for "mumble" and install the client then run it. Skip through the audio setup wizard. Cancel the initial connection window.|在软件中心内搜索“mumble”并安装客户端然后运行它。跳过音频设置向导。取消初始连接窗口。
Write it down or save it|写下来或保存
XMPP|XMPP
xmpp based chat system|基于xmpp的聊天系统
Yes|是
You can edit the translated text on the right side of the screen.|您可以编辑屏幕右侧的翻译文本。
You can get to this system remotely via:|您可以通过以下方式远程访问此系统：
You can now go back to the initial Conversations app screen and start using it. You'll probably want to add contacts using the icon at the bottom right. For more information see the Conversations website (conversations.im) or subscribe to the chat group conversations@conference.siacs.eu|您现在可以返回初始的Conversations应用程序屏幕并开始使用它。您可能希望使用右下方的图标添加联系人。有关详细信息，请参阅Conversations网站（conversations.im）或订阅聊天组conversations@conference.siacs.eu
You can now log in with:|您现在可以使用以下命令登录：
You can see upgrade progress|您可以看到升级进度
You can use left and right cursor keys to move through pages|您可以使用左右光标键在页面中移动
You may also want to make another entry with the same settings but replacing tcp with udp.|您可能还想使用相同的设置创建另一个条目，但用udp替换tcp。
You may now remove the USB drive|您现在可以删除USB驱动器
You might have mistyped one of them|您可能输错了其中一个
You will see the translations file with some instructions at the top.|您将在顶部看到带有一些说明的翻译文件。
Your password must be at least 8 characters in length and only use the characters a-z A-Z and 0-9|您的密码长度必须至少为8个字符，并且只能使用字符a-z A-Z和0-9
Zero knowledge pastebin|零知识pastebin
Theme|主题
Light|光
Dark|黑暗
Mail|邮件
Clear|明确
Send email through a proxy|通过代理发送电子邮件
If you find that you can't send out email and that you get 'failed delivery' messages returned instead then you may be able to proxy sent emails through another server. Sometimes ISPs or companies provide an SMTP server which can do this.|如果您发现无法发送电子邮件，并且您收到了“发送失败”消息，那么您可以通过其他服务器代理发送的电子邮件。 有时，ISP或公司提供可以执行此操作的SMTP服务器。
Failed to install. For details see admin/applog.txt|安装失败。 有关详细信息，请参阅admin/applog.txt
Installed successfully|安装成功
pihole|pihole
Unlike browser based ad blockers, pihole works at the domain name resolution level to block domains known to privide the ads appearing in web pages.|与基于浏览器的广告拦截器不同，pihole在域名解析级别工作，以阻止已知的域名出现在网页中。
Set your DNS IP address to the one shown and many ads will get blocked even before they're delivered to your laptop or mobile device. This can save a lot of bandwidth and generally speed up the loading of websites.| 将您的DNS IP地址设置为显示的IP地址，即使在将广告投放到您的笔记本电脑或移动设备之前，也会阻止许多广告。这可以节省大量带宽，并且通常可以加快网站的加载速度
Change DNS on your internet router| 在您的互联网路由器上更改DNS
If your internet router allows you to change the DNS IP address then this is the best way to use pihole because it will then provide coverage for all of the devices and computers in your home.|如果您的互联网路由器允许您更改DNS IP地址，那么这是使用pihole的最佳方式，因为它将为您家中的所有设备和计算机提供覆盖。
Change DNS on individual devices|更改各个设备上的DNS
If you can't change your internet router's DNS then you can do that on individual GNU/Linux systems as follows:| 如果您无法更改您的互联网路由器的DNS，那么您可以在各个GNU/Linux系统上执行此操作，如下所示：
Remove or comment out any existing nameservers and add one with the IP address shown for the pihole app. Something like:|删除或注释掉任何现有的名称服务器，并添加一个显示为pihole应用程序显示的IP地址。像：
Then save and exit and prevent the file from being automatically changed with:| 然后保存并退出并阻止文件自动更改为：
If you're running the standard version of LibreServer (not the onion version) then you may need to modify your hosts file to access your own domain.|如果您正在运行LibreServer的标准版本（而不是洋葱版），那么您可能需要修改您的hosts文件以访问您自己的域。
Then add something like:|然后添加如下内容：
This only works when you're within your home network, so if you're outside of your home then undo the changes made above.|这仅适用于您在家庭网络中的情况，因此如果您在家外，则撤消上述更改
The Pi-hole is a DNS sinkhole that protects your devices from unwanted content, without installing any client-side software.|Pi-hole是一个DNS sinkhole，可以保护您的设备免受不必要的内容的侵害，而无需安装任何客户端软件。
Search|搜索
removed|去除
To get email working you will need to forward some ports. Email using your onion address will work anyway, so long as you are contacting other onion based email addresses.|要使电子邮件正常工作，您需要转发一些端口。 只要您联系其他基于洋葱的电子邮件地址，使用您的洋葱地址的电子邮件仍然有效。
Forward ports 25, 587 and 465 from your internet router|从您的互联网路由器转发端口25,587和465
