About|O
Icecast is quite CPU intensive. For example on an A20 based system it takes about 70% of the CPU resource. This is something to be aware of if you're running multiple apps|Icecast je poměrně intenzivní procesor. Například v systému založeném na systému A20 to trvá přibližně 70% prostředků CPU. To si musíte být vědomi, pokud používáte více aplikací
Icecast is updating|Icecast se aktualizuje
Icelandic|islandský
Icons on the website and user interfaces are by Rashid Mhar.|Ikony na webu a uživatelských rozhraních jsou Rashid Mhar.
If you are an Emacs user then you can also connect to your IRC server via Emacs.|Pokud jste uživatel Emacs, můžete se také připojit k serveru IRC pomocí služby Emacs.
If you are using the onion address then use SSL should be unchecked and the transport encryption will be handled via the onion address itself.|Používáte-li cibulovou adresu, pak byste neměli používat protokol SSL a transportní šifrování bude zpracováno přes samotnou cibulovou adresu.
If you are using the ordinary domain name (clearnet/ICANN) then make sure that Use SSL is checked.|Pokud používáte běžný název domény (clearnet / ICANN), ujistěte se, že je zaškrtnuto Použít SSL.
If you don't have a domain then just select Continue|Pokud nemáte doménu, stačí vybrat možnost Pokračovat
If you don't have Orbot installed then enable The Guardian Project repository from the drop down menu and install it.|Pokud nemáte nainstalován Orbot, povolte repozitář The Guardian Project z rozbalovací nabídky a nainstalujte jej.
If you don't need a password then just leave this blank and select Update|Pokud nepotřebujete heslo, nechte toto prázdné a vyberte Aktualizovat
If you have a USB plugged in leave it inserted until you can confirm that the stream is working|Pokud máte připojený USB, nechte jej vložen, dokud nebudete moci potvrdit, že proud funguje
If you have trouble accessing onion addresses paste some Tor bridges below. See https://bridges.torproject.org/bridges|Pokud máte problémy s přístupem na cibulové adresy, vložte níže uvedené mosty Tor. Viz https://bridges.torproject.org/bridges
If you're using the Element mobile app to access your Matrix homeserver then you can significantly improve battery performance by going to the settings and changing 'Sync request timeout' to 30 seconds and 'Delay between two sync requests' to 600 seconds. Also turning off 'msgs in group chats' will help, since it will avoid getting a notification whenever a group chat event happens, which then wakes up the screen|Pokud používáte mobilní aplikaci Element k přístupu k Matrix homeserveru, můžete výrazně zvýšit výkon baterie tím, že přejdete do nastavení a změníte časový limit "Sync request timeout" na 30 sekund a "Delay between two sync requests" na 600 sekund. Také vypnutí funkce "skupinové chaty" vám pomůže, protože se vyhneme upozornění vždy, když nastane událost skupinového rozhovoru, která pak probudí obrazovku
If your translations are accepted they will later appear in the upstream project and be usable by anyone.|Pokud budou vaše překlady přijaty, objeví se později v projektu upstream a budou použitelné kdokoli.
Import|Import
In a Tor browser navigate to the onion address for Icecast and you can then play the stream|V prohlížeči Tor přejděte na adresu cibule Icecast a poté můžete přehrát stream
Indonesian|indonéština
Initial login|Počáteční přihlášení
Initial Setup|Počáteční nastavení
Install|Nainstalujte
Install APPNAME now?|Nyní nainstalujete aplikaci APPNAME?
Install F-Droid|Nainstalujte F-Droid
Install HexChat and set up its configuration file. Assuming that you're running on a Debian or Arch based distro, this can be done on your local machine with:|Nainstalujte HexChat a nastavte jeho konfigurační soubor. Za předpokladu, že běžíte na distribučním systému Debian nebo Arch, může to být provedeno na místním počítači pomocí:
Installation|Instalace
Installing in Emacs|Instalace do aplikace Emacs
Installing on Desktop|Instalace na plochu
Invalid Password|Neplatné heslo
IRC|IRC
IRC is useful for multi-user chat. The classic use case is for software development where many engineers might need to coordinate their activities, but it's also useful for meetings, parties and general socialising.|IRC je užitečné pro chat pro více uživatelů. Klasickým pouţitím je vývoj softwaru, kde by mnoho inženýrů muselo koordinovat své aktivity, ale je také užitečné pro setkání, večírky a obecnou socializaci.
It can be shown using the command:|Může se zobrazit pomocí příkazu:
It's possible to add jingles which will be played between tracks at random intervals. If some of the audio files on your USB drive are named jingle_something.mp3 then they will be used as jingles|Je možné přidat jingle, které budou přehrávány mezi skladbami v náhodných intervalech. Pokud jsou některé zvukové soubory na jednotce USB nazývány jako jingle_something.mp3, pak budou použity jako jingle
It's recommended that you add an SRV record for Matrix to your DNS setup. How you do this will depend upon your dynamic DNS provider and their web interface. On FreeDNS on the subdomains settings in addition to the subdomain which you are using for the matrix server create an extra entry as follows:|Doporučuje se, abyste do nastavení DNS přidali záznam o SRV pro Matrix. Jak to uděláte, bude záviset na vašem dynamickém poskytovateli DNS a na jeho webovém rozhraní. Na FreeDNS v nastavení subdomén vedle subdomény, kterou používáte pro maticový server, vytvořte další záznam takto:
Italian|italština
Japanese|japonský
Jingles|Jingles
Kannada|Kannada
Keep changes|Udržujte změny
Khmer|Khmer
Korean|korejština
Language|Jazyk
Lao|Lao
Latvian|lotyšský
Lithuanian|Lithuanian
Malayalam|Malayalam
Malaysian|Malajsijský
Manually upgrade now ?|Chcete ručně provést upgrade?
Maori (Ngai Tahu)|Maori (Ngai Tahu)
Maori (Waikoto Uni)|Maori (Waikoto Uni)
Markdown blogging|Markdown blogging
Matrix|Matice
Maybe instead of editing within this user interface you prefer to use your own editor. That can be done as follows:|Možná místo úpravy v tomto uživatelském rozhraní dáváte přednost použití vlastního editoru. To lze provést takto:
Media broadcast|Vysílání médií
Media storage and broadcast|Ukládání a vysílání médií
Mongolian|mongolský
Mumble|Mumlat
Music player|Hudební přehrávač
No|Ne
No SSH public key was provided|Nebyl poskytnut žádný veřejný klíč SSH
none|žádný
Norwegian|Norština
Norwegian (Primary)|Norština (primární)
Not Connected|Nepřipojený
Note taking|Psaní poznámek
Nynorsk|Nynorsk
Once you are on the translations screen (see the first three steps in the first section above) select the 'submit' button.|Jakmile jste na obrazovce překlady (viz první tři kroky v první části výše), vyberte tlačítko Odeslat.
Once you are on the translations screen (see the first three steps in the first section above) select the language code shown at the top of the screen (usually it ends with UTF-8). You can then see the raw translations file.|Jakmile jste na obrazovce překlady (viz první tři kroky v první části výše), vyberte kód jazyka zobrazený v horní části obrazovky (obvykle končí UTF-8). Poté můžete zobrazit soubor surových překladů.
Open the F-droid app and select 'Settings' then 'Repositories'. Make sure that 'Guardian Project Official Releases' is enabled|Otevřete aplikaci F-droid a vyberte 'Nastavení' a 'Repository'. Ujistěte se, že jsou povoleny "oficiální zprávy Guardian Project"
Open the settings. Select 'General', then 'Connect via Tor'. This will provide better protection, making it more difficult for adversaries to know who is talking to who. If connecting through Tor is unreliable and causes crashes then unselect 'Connect via Tor' on the 'General settings' and then just use your ordinary domain name.|Otevřete nastavení. Zvolte možnost "Obecné" a poté možnost "Připojit přes Tor". Tím bude zajištěna lepší ochrana a pro seniory bude složitější zjistit, kdo s kým mluví. Pokud je spojení přes Tor nespolehlivé a způsobuje selhání, zrušte zaškrtnutí políčka "Připojit přes Tor" v části "Obecná nastavení" a pak použijte pouze běžné jméno domény.
Open up the Conversations app and select the menu (three dots), scroll down and select 'Expert Settings' then select 'Connect to Tor'|Otevřete aplikaci Konverzace a vyberte nabídku (tři body), přejděte dolů a vyberte položku "Expert Settings" a poté zvolte možnost "Connect to Tor"
or|nebo
Paragraphs can be dragged up and down to change their order, or moved between pages|Odstavec lze přetáhnout nahoru nebo dolů, změnit jejich pořadí nebo přesunout mezi stránky
Password|Heslo
Password: |Heslo:
Paste your ssh public key here|Vložte zde svůj veřejný klíč ssh
Paste your translations file below|Vložte níže uvedený soubor překladů
Peertube allow new registrations|Peerube umožňují nové registrace
Personal accounting|Osobní účetnictví
Personal or small business accounting|Účetnictví osobních nebo malých podniků
Photo album|fotoalbum
Please enter their username. This should be lower case only and with no spaces.|Zadejte své uživatelské jméno. Měla by být pouze malá a bez mezer.
Please insert a USB drive|Vložte jednotku USB
Please insert the USB drive to restore from now|Vložte jednotku USB, kterou chcete nyní obnovit
Please insert your backup USB drive now|Vložte nyní svou zálohovou jednotku USB
Please specify stream name, description and genre|Zadejte prosím název, popis a žánr streamu
Please wait while your appliance is configuring|Čekejte prosím, dokud je váš přístroj konfigurován
Please write down or save these credentials|Zapište nebo uloţte tato pověření
Pleroma|Pleroma
Pleroma allow new registrations|Pleroma umožňuje nové registrace
Pleroma Custom Emoji|Pleroma Vlastní Emoji
Pleroma Settings|Pleroma Nastavení
Plug the USB drive into your server, then go to the Icecast app settings, add some details about your playlist, and select 'Update'|Připojte jednotku USB k serveru a přejděte do nastavení aplikace Icecast, přidejte některé podrobnosti o playlistu a vyberte možnost "Aktualizovat"
Polish|polština
Ports|Porty
Portuguese|portugalština
Portuguese (Brazil)|Portugalština (Brazílie)
Power|Napájení
Press the plus button to add a Mumble server.|Stiskněte tlačítko plus pro přidání serveru Mumble.
Proceed with backup?|Pokračovat se zálohováním?
Proceed with drive format?|Pokračujte ve formátu jednotky?
Proceed with reset?|Pokračovat v resetování?
Proceed with restore?|Pokračovat v obnovení?
RAM used|Použitá paměť RAM
Remote access|Vzdálený přístup
Remove|Odstranit
Remove any backup drives now|Odstraňte všechny zálohovací jednotky
Remove APPNAME now?|Chcete aplikaci APPNAME odebrat?
Remove user USERNAME?|Odstranit uživatele USERNAME?
Removing user account|Odstranění uživatelského účtu
Reset is in progress|Reset probíhá
Reset to factory|Resetujte do továrny
RESET TO FACTORY DEFAULTS|RESET ZRUŠIT FACTORY
Restart|Restartujte
Restore|Obnovit
Restore has failed|Obnovení se nezdařilo
Restore in progress|Obnova probíhá
Restore is complete|Obnovení je dokončeno
Restore of keys failed|Obnovení klíče se nezdařilo
Restore of keys is complete|Obnovení klíčů je dokončeno
Restore password|Obnovení hesla
Restore your keys now?|Obnovit své klíče?
Restoring backup keys|Obnovení zálohovacích klíčů
Romanian|rumunština
RSS Reader|RSS Reader
Run HexChat.|Spustit HexChat.
Running backup of keys|Spouštění záloh klíčů
Russian|ruština
Samoan|Samoan
Search again for 'Conversations' (not the legacy version), then select 'install'|Znovu vyhledat "Konverzace" (ne starší verze), poté vyberte možnost "install"
Search for and install Plumble.|Vyhledejte a nainstalujte Plumble.
Secure realtime collaboration|Zabezpečte spolupráci v reálném čase
Secure realtime collaboration with docs, presentations, drawing and voting. Documents are ephemeral and unless you save them will be deleted when you close the browser.|Zabezpečte spolupráci v reálném čase pomocí dokumentů, prezentací, kreslení a hlasování. Dokumenty jsou pomíjivé a pokud je uložíte, budou po zavření prohlížeče smazány.
Secure Shell|Secure Shell
Select|Vybrat
Select 'Apply' and 'Ok', then on the menu 'Server' and 'Connect'.|Vyberte 'Apply' a 'Ok', pak v menu 'Server' a 'Connect'.
Select 'Next' to create the account. If eveything is working after a couple of minutes you should see the account status change to 'online' in green|Zvolte 'Další' pro vytvoření účtu. Pokud eveything funguje po několika minutách, měli byste vidět změnu stavu účtu na "online" v zelené barvě
Select search (magnifying glass icon) and search for 'Orbot' (not the legacy version), then select 'install'|Zvolte vyhledávání (ikona lupy) a vyhledejte položku "Orbot" (ne starší verzi) a poté vyberte "install"
Select the 'translate' button. You will see a new screen with English text on the left and translated text on the right.|Vyberte tlačítko "přeložit". Uvidíte novou obrazovku s anglickým textem vlevo a přeloženým textem vpravo.
Select the Autojoin channels tab, click Add and enter #libreserver as the channel name.|Vyberte kartu Autojoin kanály, klepněte na tlačítko Přidat a jako název kanálu zadejte #libreserver.
Select the entry within the servers box, then enter ircaddress.onion/6697 or mydomainname/6697 and press Enter.|Vyberte položku v poli servery a zadejte příkaz ircaddress.onion/6697 nebo mydomainname/6697 a stiskněte klávesu Enter.
Select the wiki button at the bottom of the screen, next to pages, to enable or disable editing.|Zvolte tlačítko wiki ve spodní části obrazovky, vedle stránek, chcete-li povolit nebo zakázat úpravy.
Selecting the server by pressing on it then connects you to the server so that you can chat with other connected users|Výběr serveru stisknutím tlačítka se připojí k serveru, abyste mohli chatovat s ostatními připojenými uživateli
Serbian|srbština
Setting up on a laptop|Nastavení na přenosném počítači
Setting up on Android|Nastavení v systému Android
Setting up with an Android phone|Nastavení pomocí telefonu Android
Settings|Nastavení
Setup on Android|Nastavení v systému Android
Shortcode|Krátký kód
Shutdown|Vypnout
Shutting down|Vypínání
Simple kanban|Jednoduchý kanban
Simple Markdown blogging|Simple Markdown blogging
Simple notes|Jednoduché poznámky
Slovak|Slovák
Slovenian|slovinský
Somali|Somálština
Spanish (International)|Španělština (mezinárodní)
SSH access is disabled|Přístup SSH je zakázán
SSH access is enabled|Přístup SSH je povolen
Stream Description|Popis streamu
Streaming media|Streamingové média
Submit|Předložit
Submitting your translations to the LibreServer project|Předkládání překladů do projektu LibreServer
Swedish|švédský
System Monitor|Systémový monitor
Systems may be temporarily unavailable in the next few minutes|Systémy mohou být dočasně nedostupné v příštích několika minutách
Tagalog|Tagalog
Tamil|Tamil
Thai|Thajština
Thankyou for choosing the LibreServer home internet appliance|Děkujeme za výběr domácího internetového zařízení společnosti LibreServer
The account will now be removed. This may take a minute or two. For details see:|Účet bude nyní odebrán. Může to trvat minutu nebo dvě. Podrobnosti naleznete v části:
The classic low bandwidth chat system|Klasický chatový systém s nízkou šířkou pásma
The LibreServer system isn't primarily aimed at companies or institutions, but if you're a one person company or freelancer then having the ability to run your own accounting system and keep the data private and also backed up is useful. Akaunting provides a nice web based system for small business accounts, and is also quite usable within a mobile web browser.|LibreServer systém není primárně zaměřen na společnosti nebo instituce, ale pokud jste společnost jednoho člověka nebo freelancer pak mít schopnost spustit vlastní účetní systém a uchovávat data soukromá a také zálohovaná je užitečná. Akaunting poskytuje příjemný webový systém pro účty malých firem a je také docela použitelný v mobilním webovém prohlížeči.
A new member is being added. This may take a minute or two.|Nový uživatel je přidán. Zapsat nebo uložit heslo.
The passwords do not match|hesla se neshodují
There are a few things to know about using the federated wiki.|Existuje několik věcí, které byste měli vědět o používání federované wiki.
There are no apps installed. Select the plus button above to install new apps.|Neinstalovány žádné aplikace. Chcete-li nainstalovat nové aplikace, vyberte tlačítko plus.
This app may be useful if you have a new child or babysitting duties. It helps caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without as much guess work.|Tato aplikace může být užitečná, pokud máte nové povinnosti týkající se péče o děti nebo hlídání dětí. Pomáhá těmto pečovatelům sledovat spánek, krmení, změny plenky a čas břicha, aby se dozvěděli a předpověděli potřeby dítěte, aniž by tolik hádek práce.
This is a server system which enables you to run internet apps such as a blog or federated social network.|Jedná se o serverový systém, který umožňuje spouštět internetové aplikace, jako je blog nebo federovaná sociální síť.
This is certainly the type of data which you might want to keep private and away from companies who might otherwise use surveillance of parenting app data to try to guilt you into buying all sorts of junk that you don't really need or can't afford.|To je určitě typ dat, který můžete chtít uchovávat soukromý a mimo společnosti, které by jinak mohly používat sledování rodičovských dat aplikací, aby se pokoušely vinit vás ke koupi všech druhů nevyžádané pošty, které ve skutečnosti nepotřebujete nebo si nemůžete dovolit .
This is your new password|Toto je vaše nové heslo
This may take a few minutes.|Možná to potrvá pár minut.
This may take a minute or two. For details see:|Může to trvat minutu nebo dvě. Podrobnosti naleznete v části:
This system isn't intended to broadcast to large audiences and the upper limit of listeners is set at ten. So a family and friends type group.|Tento systém není určen pro vysílání široké veřejnosti a horní hranice posluchačů je nastavena na deset. Rodina a skupina přátel.
This will make a backup of the keys which encrypt your backups, protecting them against accidental loss or exposure. You should keep this drive in a safe place, separate from other backups.|Tím vytvoříte zálohu klíčů, které zašifruje vaše zálohy, chrání je před náhodnou ztrátou nebo expozicí. Měli byste tento disk udržet na bezpečném místě, odděleně od ostatních záloh.
This will restore the keys used to encrypt backups.|Tím se obnoví klíče používané k šifrování záloh.
To add a new paragraph use the + button|Chcete-li přidat nový odstavec, použijte tlačítko +
To claim/fork a page from another server click on the flag icon|Chcete-li požadovat / přetáhnout stránku z jiného serveru, klikněte na ikonu příznaku
To edit a paragraph double click on it|Chcete-li upravit odstavec, klikněte na něj dvakrát
To remove a paragraph just delete all of its text|Chcete-li odstranit odstavec, stačí smazat celý jeho text
To upload music files install Syncthing then copy album directories into ~/Sync/music_upload, then within Koel go to settings and scan the directory /music|Chcete-li nahrát hudební soubory, nainstalujte Synchronizaci a poté zkopírujte alba adresáře do ~ / Sync / music_upload, pak v rámci Koel přejděte do nastavení a prohlédněte adresář / hudbu
Tor Bridges|Tor Bridges
Translate|přeložit
Translations|Překlady
Turkish|turečtina
Type: SRV|Typ: SRV
Ukrainian|ukrajinština
Uncheck use global user information.|Zrušte zaškrtnutí použít globální informace o uživateli.
Uninstall|Odinstalovat
Update|Aktualizace
Updates settings changed|Nastavení aktualizace byla změněna
Upgrade|Vylepšit
Upgrades happen automatically. You don't need to start them manually like this, except in rare circumstances|Aktualizace probíhají automaticky. Nemusíte je spustit ručně takhle, kromě výjimečných okolností
Upload|nahrát
URL to upload from|URL, ze kterého chcete nahrát
USB drive format has failed|Formát USB disku selhal
USB drive format in progress|Probíhá formát USB disku
USB drive format is complete|Formát USB disku je dokončen
Username: |Uživatelské jméno:
Username: admin|Uživatelské jméno: admin
Members|Uživatelé
Using your preferred editor|Použití preferovaného editoru
Video broadcast|Video vysílání
Vietnamese|vietnamština
Voice chat|Hlasový rozhovor
WARNING: THIS WILL ERASE ALL CONTENT OF THE USB DRIVE|UPOZORNĚNÍ: TENTO ZNOVU VŠECHNY OBSAH USB DRIVE
We're sorry, but the username you gave is not suitable. Check that it does not contain spaces, is lower case and at least 3 characters in length.|Omlouváme se, ale uživatelské jméno, které jste uvedl, není vhodné. Zkontrolujte, zda neobsahuje mezery, malé písmo a délku alespoň 3 znaků.
Web publishing system|Systém publikování na webu
When done editing click on the wiki button again|Po dokončení úpravy klikněte znovu na tlačítko wiki
When it's done it will appear on the apps screen|Když je hotovo, objeví se na obrazovce aplikací
When removal is finished it will disappear from apps|Po dokončení odebrání zmizí z aplikací
When you are done with translating select the 'import' button on the translations screen.|Po dokončení převodu vyberte na obrazovce překlady tlačítko "import".
When you've added your translations select the 'update' button. This will update the translations file for the selected language. Note that this does not change the current language within the user interface. If you want to do that go back to the language screen, select a language and then the 'select' button.|Po přidání překladů vyberte tlačítko "aktualizace". Tím se aktualizuje soubor překladů pro vybraný jazyk. Všimněte si, že to nezmění aktuální jazyk v uživatelském rozhraní. Chcete-li to vrátit zpět na obrazovku jazyka, vyberte jazyk a pak tlačítko "vybrat".
Whichever screen you are currently on, you can get back to the previous screen by clicking or pressing on the LibreServer logo at the top.|Bez ohledu na obrazovku, na které se právě nacházíte, můžete se vrátit na předchozí obrazovku kliknutím nebo stisknutím loga LibreServer v horní části obrazovky.
